star_point,comment,photo
5,"다른 키보드보다 1.5mm의 짧은 구동 거리여서인지 타이핑 하자마자 딱 느낌이오네요. 맥스틸 청축 쓰다가 넘어왔는데 적응하는데 그리 오래 걸리진 않을 것 같네요. 다른 리뷰 보니까 한글 각인 되있는곳엔 LED가 흐릿하게 나온다고 해서 영문으로 되있는걸 샀는데 매우 만족합니다. 배송도 매우 빠르고 다음달엔 여기 스토어에서 G903 구입할 예정인데 좋은 제품 싼 가격에 믿고 살 수 있을 것 같습니다. 로지텍 제품은 쓸때마다 느끼지만 저한테 정말 잘맞는 제품이라 생각됩니다.
로지텍 키보드루프 치면 5000원에 판매중이던데 그것도 같이 구매하셔서 쓰시는걸 추천합니다. 사용하지 않을 때 먼지 들어가는 것도 막아주고 나름대로 이쁘네요.","['https://phinf.pstatic.net/checkout/20191128_64/1574932760808KVv9P_JPEG/20191128_171557.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191128_187/157493276086106mOi_JPEG/20191128_171626.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191128_60/1574932772202ggdFQ_JPEG/20191128_171754.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191128_225/1574932775744kwu7x_JPEG/20191128_172407.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191128_148/1574932777901JuN8d_JPEG/20191128_171935.jpg?type=f287']"
1,"저는 원래 mini 키보드( f1~12, home insert delete 상하좌우 키가 없는 키보드)를 사용하였습니다. 하지만 이미 인지도도 있고 여러 스트리머들과 프로들도 사용하는 로지텍 pro로 바꿔보고 싶어서 원래 쓰던 키보드 또한 가지고 있으면서 주문을 하게되었다.
벌크상품이 아니라 리퍼상품 같은 느낌을 받았다.
. 원래 제가 쓰고 있던건 ducky one2 mini 신품가 12만원 정도의 제품과 비교하였을때 키보드 타건할때의 스프링 눌리고 튕겨나오는 소리가 컴퓨터를 키고 있어도 들린다 게임할때 게임소리를 들으면 듣기지는 않을 듯 하다.
또 하나의 심각점 이게 제일 크다 키보드의 평형이 맞지 않는다. 키보드 밑에는 미끌림방지 패드가 부착되어있다. 하지만 미끌림방지 패드의 높낮이가 일정하지 않아 backspace부터 시작하여 오른쪽 45도 방향으의 led 전원 스위치 까지 조금의 힘만 주면 들썩들썩 거리며 오른쪽 위에있는 키보드 미끌림 방지용 패드가 그제서야 책상위에 완벽히 부딪힌다. 이때 책상에 부딪히는 소리가 매우 거슬린다.
필자는 마우스패드만 사용한다. 장패드를 사용하지 않는다. 하지만 집에 있는 장패드를 꺼내 키보드를 올려보니 장패드의 쿠션으로 눌리지만 책상에 부딪히는 소리가 나지않는다.
교환하기에는 귀찮고 방법을 찾다가 배송올때 상품 파손방지용으로 뽁뽁이를 이용하여 패드사이즈로 잘라서 붙히니 높낮이가 맞쳐줬다.

긴 리뷰였지만 여기서 사는건 좋은 선택이 아닌 것 같다. 돈 조금 더 주고 리뷰가 완벽한 곳에서 사는 곳을 추천한다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_03_09_0/7fdec2f8-61c8-11ea-81f7-505dac8c3721_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200309_207/158373261297769tnp_JPEG/20200309_1434472.jpg?type=f287']"
5,일단 키보드라는것은 PC 를 하시는 분들이라면 가장먼저 접하게 되는 물건 입니다. 이러한 키보드 회사중 로지텍은 당연 독보적입니다. 특히 G PRO X는 게이밍 기어중 최고가 아닌가 함. 1. 가격게이밍기어 들은 다양한 가격으로 포진. 그중 10만원대 중에서도 몇가지 있는데. g시리즈들은 g 시리즈만의 감성이 확남. 가격대비 좋다는 말임 2. 성능.성능은 두말할것 없음. 특히 g 시리즈의 특이한 축 소리는 경쾌하면서도 정숙함.,[]
1,"쓰레기입니다.

상태도 쓰레기 제품도 쓰레기 절대 사지마세요

생활기스는 기본이고 제품 자체가 하자입니다.

어디서 얼마나 굴러먹다가 온건지 확인도 안되고

이정도 폐급인지몰랐네요..

게임용으로만 써서 버튼몇개 안눌러지는것도 몰랐네요","['https://phinf.pstatic.net/checkout/20200330_277/1585545116740zwIeB_JPEG/KakaoTalk_20200330_141059469_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200330_197/1585545116754WrVaE_JPEG/KakaoTalk_20200330_141059469_02.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200330_105/1585545116794LkoTv_JPEG/KakaoTalk_20200330_141059469_03.jpg?type=f287']"
5,"원래 G413을 쓰고 있었는데 이사를 하면서 키보드를 다 들고 올 수가 없어서 본가에 놔 두고 왔습니다. 키캡이 파손되어


그러다가 키감이 그리워서 큰맘먹고 질렀습니다. 지금까지 많은 키보드를 만져 본 것은 아니지만 가장 마음에 드는 축입니다.
키갑이 그렇게 무겁지 않으며, 서걱서걱하는 느낌도 있으며 살짝 걸리는 느낌도 있어서 좋습니다.
마찬가지로 느끼는 거지만 통울림이 미세하게 있으나, 실제 사용환경이 도서관 등이 아닌 이상은 통울림을 느끼지 못할 것 같습니다. 아니면 제가 둔감한것이거나.
키보드 루프도 잘 쓰고 있습니다. 파손 없이 와서 다행","['https://shopping-phinf.pstatic.net/20190605_2/46526bcf-09c6-42e7-a206-d510c2d6d720.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190605_12/009bd3cb-48a3-4521-8059-4d9d4a6ea1f9.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190605_9/77e6bba9-a0e7-411a-9ef5-459716ea29af.jpg?type=f287']"
5,"급했는데 구매하자 마자 다음날 와서 넘 좋았습니다.
품질은 정말 최상급 퀄리티네요..질감이나 뽀대는 최상입니다..
LED도 매우 고급스럽게 들어옵니다..
가장 중요한 키감은...글쎄요...무지 참 묘한 키감이네요...
기계식 키보들보다는 조용한 편이고 묵직한 편입니다...
그런다고 아주 조용하지는 절때 아닙니다...
드득드득.....
첨봤을때는 캬...하루정도 써보니 이쁘기만 하고 키감이 거슬리는데..
한 몇일 지나니 정이가기 시작하고 매우 고급스러움이 다시 느껴지네요..
암튼 기계식 소리보단 조용하고 좋은 것 같습니다..
익숙해지려면 한 일주일 정도는 써야 좋아지고 점점 진가를 발휘하는 듯합니다..로지텍에서 게임용좀 그만만들고 전문가용으로 좀 만들어 줬으면 좋겠네요..저도 게임할라구 산건 아니고...ㅋ..
기계식 키보들도 마찬가지지만 키가 높은편이어서 손목받침대들 하나씩 준비하셔야할 것 같습니다.
빠른배송 감사합니다...",[]
5,예전에 쓰던 듣보브랜드 청축 예쁘기만해서 구매했었는데 소리도 요란하고 키 잔고장도 많아서 이번기회에 큰맘먹고 투자했는데 너무 마음에 들어요!! 타자소리가 시끄럽지 않으면서 고급스럽고 타자감이 너무너무 좋아요 !! 완전만족!,[]
5,"키감도 좋고 배송도 생각했던 것보다 빨리 와서 좋았습니다
영문자판만 있는 키보드는 처음 써봐서 적응이 안되면 어떡하지 했는데
제가 컴퓨터를 많이해서 그런지; 자판은 안보고 칠 수 있어서 영문자판이
그렇게 큰 문제는 아니더라구요
오히려 자판에 적힌 게 별로 없어서 깔끔했습니다
깔끔한 블랙 색상과 RGB, 텐키리스 좋아하시는 분들께 추천드립니다
()",[]
5,"병행수입품에 대한 걱정이 있었습니다. 새 제품인데 여기저기 까져서 오면 어쩌나 + 자판이 안먹히는 게 있으면 어쩌나 등등.. 다행히도 ALT 키 앞부분이 아주 약간 까진 걸 제외하면 전체적인 배송상태,케이블상태,자판외부/내부 상태에 아주 만족합니다. 그리고 로지텍 소프트웨어는 logitech gamming(이름이 정확히 뭔지 기억 안나는데 쨌든 기본 소프트웨어?) 말구 g hub를 설치하셔서 fn 키 설정하셔야 먹히는 거 같습니다.
디자인도 예쁘고 기존에 쓰던 만원짜리 블루투스 키보드보단 키가 빨리 먹히는 듯한 느낌이 들어서 좋네요",[]
5,"한달동안 사용해봤는데 여전히 만족스럽네요 일단 비싸게 주고 산거라 마음이 더 가는 것도 있고 애지중지하게 됩니닼ㅋㅋㅋ 그래서 그런지 키보드 덮개없는건 아쉽습니다.
고장난거 없고 키감도 좋습니다
다만 두드릴 때 소리가 좀 납니다
피시방 키보드보단 소리가 작은데 기계식이라 어쩔수없이 소음 있는거같습니다.
소리가 작다고는 절대 말할수 없네요",[]
