star_point,comment,photo
5,"역시 게이밍은 로지텍이네요. 정말 만족스럽습니다. 구매를 고민하시는 분들을 위해 사용후기를 간략히 적어 보겠습니다.

1. 키감 : 키보드의 제일 중요한 첫번째는 키감입니다. 키감이 정말 부드럽고 경쾌하며 리드미컬한 타건이 가능합니다. 클릭 스위치는 처음 써보는데 생각보다 소음이 심하지 않고 누르는 맛이 정말 찰지네요. 계속 키보드로 뭔가를 쳐보고 싶은 느낌입니다.

2. 반응속도 : 그냥 키보드로도 충분히 넘치는 스팩이지만 G PRO X는 게이밍 키보드가 확실한것 같습니다. 여러개의 키를 눌러도 모두 완벽히 입력이 되는 동시입력이 가능하고 . 말 그대로 게임이 훨씬 잘 되는것 같습니다.

3. RGB : 감성적인 RGB가 눈을 사로 잡네요. 너무 밝지도 너무 어둡지도 않고 적절하며, 빛이 새어나가거나 각인이 비치지 않는 등의 결점이 하나도 없는 완벽한 RGB입니다. G HUB 소프트웨어로 여러가지 RGB 설정을 할 수 있어 더욱 질리지 않을 듯 합니다.

4. 전반적인 마감 : 로지텍 제품을 구매하면 항상 느끼는 부분이지만 세세한 부분까지 정말 깔끔하게 마무리 되었다는 느낌을 항상 받습니다. 키보드 외관 역시 단 하나의 결점이나 기스도 없이 깨끗하다 못해 완벽합니다.

5. 소재 및 디자인 : 키보드 촉감이나 보이는 . 다른 키보드가 옆에 있으면 오징어가 될 듯 하네요. 작은 부분 하나까지 신경을 쓴 느낌입니다. 예를 들면 USB부분도 작은 키보드 그림이 그려져 있습니다.

6. 총평 : 마우스 움직임이 좀 더 자유롭고 작은 사이즈의 키보드를 더 선호해서 텐키리스 키보드인 G PRO X를 구매 하게 되었는데 너무 만족합니다. 소프트웨어를 통해서 다양한 설정을 할 수 있어서 더욱 기능이 화려한 키보드인 듯 하고 제일 중요한건 게임이 더 잘되서 가장 좋습니다. 또한 G PRO 와이어리스 마우스와 세트로 일체감을 줄 수 있어 더욱 마음에 듭니다. 무선키보드면 더 좋겠지만 마우스처럼 움직이는 장비가 아니다보니 상관은 없어 보이네요. 라이브 이벤트를 보고 받은 사은품 키보드 루프도 정말 고급스럽고 먼지 유입을 잘 방지해 줄꺼 같아 정말 좋습니다. 착한 가격으로 잘 구입한거 같네요. G PRO X 키보드 강추 합니다.","['https://phinf.pstatic.net/checkout/20200912_205/1599859505526OxWpF_JPEG/review-attachment-1fdc277e-f3f5-46b6-a404-28f8092e1304.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_77/1599859507239Cw5tz_JPEG/review-attachment-3b5452b8-e9d6-471e-a19a-efd1ad6e59a6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_251/1599859507242e29GP_JPEG/review-attachment-3cb15ddb-c6ba-4d96-af00-7ede8ec57e12.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_148/1599859507239LKS24_JPEG/review-attachment-8dc4576e-ea2d-4c2e-9c38-a7136dab7d99.jpeg?type=f287']"
5,"일단 포장부터 너무 마음에 듭니다. 뽁뽁이로 제품을 꼼꼼하게 포장했고, 제품표면에 스크래치가 하나도없었어 놀랬습니다.
전 마우스도 로지텍제품이라서 깔맞춤할려고 로지텍 키보드를 살려고 고민했는데 결국 Pro X를 골랐습니다. 처음에 이제품을 들었을 때, 생각보다 무거워서 좀 많이 당황했습니다. 기계식 키보드는 이게 처음이라.... ^^; 무게를 재보니까 1300g이네요, 참고하시길 바랍니다.
그리고 전 청축으로 샀는데, 직접 타이핑 해보니까 가족들이 시끄럽다고 집나가라고 하네요. ㅋㅋㅋ youtube에서 남이 리뷰한거 보고 샀는데, 전 개인적으로 청축에 그 타자음이 너무 마음에 들어서 골랐습니다. 하지만 남에게 피해를 줄수있으니, 한번더 생각해보고 사세요~","['https://phinf.pstatic.net/checkout/20200912_80/1599895004766KykF7_JPEG/review-attachment-8145e237-303e-4532-88ac-5fd28af7acb6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_17/1599895005034UXnO7_JPEG/review-attachment-9d1117c3-049d-4fd5-ab61-48bb6740cfad.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_41/1599894991246Y5TyQ_JPEG/review-attachment-706f6138-4e2b-4b2a-8389-6f1bf0391256.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_200/1599897819560QGdCA_JPEG/review-attachment-204a5353-273e-4587-9ce6-fa4c971273ce.jpeg?type=f287']"
5,"역시 믿고 쓰는 로지텍 G시리즈네요!
키보드는 키감도 정말 좋고 소리가 경쾌합니다. 무엇보다 로지텍 제품 중에 유일하게 축 교체가 가능하여 소리가 질리거나 키감이 마음에 들지 않을 경우 키를 교체할 수 있어서 좋은 것 같아요!
사이즈도 성인 남성이 쓰기에 적당하고, 실제 유명 프로게이머들이 많이 사용하는 제품이기에 믿고 사용할 수 있을 것 같아요.
정말 아쉽게도 사은품은 받지 못했지만... 키보드가 정말 마음에 들어서 기쁜 마음으로 사용하고 있습니다. 무게감이 있어 막 눌러도 흔들리지 않고 모든 버튼이 정확하고 빠르게 눌립니다. 그리고 G허브를 통해서 커스터마이징도 할 수 있고 키보드 색도 원하는 색으로 바꿀 수 있어 !!

특히나 청축 소리가 너무 경쾌하고 신나네요!
동영상 눌러보시면 소리 들으실 수 있습니다!","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_12_0/ed885bec-f4a1-11ea-9665-505dac8c3607_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200912_164/15998786855499hvyV_JPEG/review-attachment-1a81fab7-f2dd-40bd-88f1-c0bebfee7b7f.jpeg?type=f287']"
5,기존에 사용하던 풀 사이즈 기계식 키보드가 있었으나 각종 기기들로 책상 공간이 협소하여 매번 주변 기기를 정리하는 것이 귀찮아 텐키리스 키보드를 구매하고자 했습니다.마침 우연하게도 인터파크 생방송 행사를 통해 10% 추가 할인 쿠폰 및 교체용 스위치까지 저렴하게 살 수 있어 대단히 만족스럽습니다.기존에 사용하던 키보드도 체리 청축이라 본 제품도 타건 시 크게 이질감은 없었고 오히려 조금 더 조용하게 눌린다고나 할까요? 눌리는 압력이 조금은 더 있는 것 같았습니다.그 외 RGB 효과나 전체적으로 깔끔한 마감 무엇보다도 저렴한 가격 덕분에 만족하며 사용하고 있습니다.,"['https://shopping-phinf.pstatic.net/20200409_19/7d73d22b-4e4a-4589-979c-b4d62dfa6dfd.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200409_17/26a22cda-4c95-4d39-b75f-a4fc0d27f33e.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200409_23/0a76c51a-c94d-4583-a955-6538ea4c7d58.jpg?type=f287']"
5,키보드 자체가 묵직하고 디자인도 튀지도 않고 간결하고 심플한 고급스러운 디자인이네요 기존 청축보다 키압이 더 부드럽게 눌리고 소리도 조금 다듬어진 느낌이네요 주변기기 마우스 스피커 헤드셋 패드 다 로지텍 쓰고 있고 키보드만 다른 제품이였는데 키보드까지 바꾸니 g허브로 통합되어서 셋팅하기도 편합니다,"['https://phinf.pstatic.net/checkout/20200913_178/1599928265792WG0ib_JPEG/review-attachment-00a95d5a-f4fb-42a7-89e4-0f6d860c010a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200913_35/159992826580740PHn_JPEG/review-attachment-c6d7d1e8-9392-4a96-a0d7-88813516ae45.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200913_150/1599928265907n6p4k_JPEG/review-attachment-93a72b0f-ab14-4e2d-ac9c-e0db3e72f4bb.jpeg?type=f287']"
5,"처음에 경험해본 기계식 키보드
기존 G PRO 무선마우스가 있어서 맞춤으로 선택했는데
기본 청축의 느낌은 정말 게임을 위해서 집에서 쓰기에 좋은거 같구요
추가 구매한 적축은 소리가 꽤 작아서 사무실에서도 사용이 가능할 것 같습니다
물론 전부 적축으로 교체하는 과정은 정말 쉽지 않았습니다

추후에 토체프 저소음적축과 타건감 및 소리를 비교해 보려고 합니다","['https://phinf.pstatic.net/checkout/20200514_143/1589444631829SLjzF_JPEG/BD77D4B1-F023-4D2F-86BC-35B6B39E3184.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200514_199/1589444631890zwpGO_JPEG/D583F6F5-1951-4836-894F-793061A26D3A.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200514_211/1589444631926grTjA_JPEG/501A8713-6799-4409-95F9-CE38FE00E7DD.jpeg?type=f287']"
4,"남자친구 선물로 구매했는데 좋아했어요!
남자친구 말로는 우선 청축이 기본으로 정해져있고 갈축, 적축은 추가로 구매해서 갈아끼워야한다는게 아쉽다고 했습니다. 그리고 usb 케이블 단자가 c타입이 아니고 5핀이라 의문이라했어요.
또 스페이스바 스테빌소음이 조금 있는것 같다고 하네요. 이 부분 제외하고는 디자인이 이뻐서 좋다고 했습니다! 그리고 갈축을 더 원했는데 청축이 생각보다 소음이 안심해서 갈축으로 교체 안해도 될것 같다구 하네요~ 롤챔스 루프까지 사은품으로 주셔서 롤쟁이 남자친구가 더 좋아했어요ㅋㅋ","['https://phinf.pstatic.net/checkout/20200915_292/1600166947322rBjcF_JPEG/review-attachment-0f1ef9d5-68a4-4580-b034-4880ac71de3c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200915_141/1600166979140GFyd7_JPEG/review-attachment-9075582b-0645-47f9-ae6c-662838087bf8.jpeg?type=f287']"
5,"좋은 제품 좋은 가격 기분 좋게 살 수 있었습니다 게임을 안 하고 있는데도 멍하니 영롱한 led만 보고 있네요 카일 스위치 제품은 처음 사용해보았지만 저는 체리 스위치 제품 보다 제 손에 더 잘 맞는 거 같네요 마감도 훌륭하고 abs키캡이 정말 마음에 들었습니다
축교체를 할 수 있는 메리트도 있고요 하나 더 구매하고 소장해둘 걸 하는 아쉬움도 남네요
다른 분들은 모르겠지만 저에게 있어서는 인생 키보드네요 국내 정품이라 as 걱정도 없고요 물건 구매한 거에 있어서 후회 안 했습니다 오래오래 잘 사용하겠습니다 감사합니다",['https://phinf.pstatic.net/checkout/20200912_65/15999213174493pz3m_JPEG/review-attachment-091a7262-238d-46f3-b365-b0eb340a6af8.jpeg?type=f287']
4,"일단 전 로지텍 제품은 상당히 좋아합니다 거의 웬만한 주변기기가 다 로지텍이지만 키보드는 아닙니다. 일단 써 봤을 때 장단점 이야기 해드리겠습니다. 이건 제 개인적으로 느꼇을 때 말하는겁니다. 장점 ★★led 이쁨★★ 지허브로 추가적인 커스텀 설정 할 수 있어 좋음 마감 좋음 품질 괜찮음 선 분리 괜찮음 ★★★로지텍 감성 차오름(pro시리즈 모두 수집)★★★ ★고급스러운 느낌★ ★심플함★ 단점 99000원이면 납득가는 가격이지만 정가시 너무 비쌈 쉽게 번들거려짐 통울림이 좀 심함 청축제품만 있는 건 개오바임 (사은품 적축 12개만 주던데 그래도 슬픔 적축 리니어 사야되나 고민 중)(키트도 너무 비쌈 59000원이면 가성비 키보드 하나 더 살 수 있는 돈) 이정도 가격이면 레이저처럼 손목 받침대나 솔 같은게 없는 아쉬움 스페이스키,쉬프트키가 좀 마음에 안 듬 결론 : 로지텍 pro시리즈 감성 느껴보고싶다. 추천하지만 실망감이 없을 정도다 이렇게 까지는 자신있게 말 못 함 다른 분들은 이 가격대면 다른 키보드를 찾아보라고 말하고 싶음 (단,할인 할 때는 한번쯤 사봐도 괜찮다고 생각함)",[]
5,"남자친구가 게임하는 걸 좋아해서 답프로포즈할때 다른 선물과 게이밍키보드를 주면 좋아할 것 같아서 구매했어요. 어떤 키보드가 좋을까 엄청엄청 검색해보고 마트에서도 테스트 해보았는데 저는 역시 로지텍키보드가 치는 느낌이 좋더라구여. 장바구니에 담아놨는데 갑자기 라이브방송을 하는 거 있죠! 게다가 대박 가격으로♡ 이때다 싶어서 바~로 결제했네요. 덮는 것도 사은품으로 주셔서 감사해요. 게다가 장패드까지 당첨됬네요. 정말 감사하고, 한달뒤에 후기 또 올릴게요.
뽁뽁이 싸서 안전하게 배송되어서 좋았고, 게다가 a/s도 가능한 제품이다보니 넘 만족스러워요.
남친이 좋아했으면 좋겠네요.좋아하겠죠~?ㅎㅎ",['https://phinf.pstatic.net/checkout/20200914_23/1600057971751OK1gv_JPEG/review-attachment-8c0d2445-e338-4504-b610-a4fc6f7508ce.jpeg?type=f287']
