star_point,comment,photo
5,"회사에서 작업용으로 구매 했습니다
빅스마일데이와 삼성카드 할인으로 12만 2500원이라는 아랫급인 MX Keys 가격으로 구매했네요
배송은 다음날 바로 도착했고 바로 유니파잉으로 장치 추가하고 사용해보았습니다
키감은 이미 알려진데로 쫀득합니다 펜타그래프 방식인데 가운데 오목하게 들어가서 손가락 이탈을 어느정도 잡아주는듯 하고 키압은 일반 펜타그래프보단 다소 무겁습니다 기계식으로 보면 적축보단 흑축 키압 느낌이네요 키 재열이 살짝 달라서 적응에 약간의 시간이 필요합니다. 다이얼... 즉 크라운은 생각보다 기능이 제한적이네요 볼륨 조절은 자주 사용할거 같은데 그 외 용도는 생각 좀 해봐야겠습니다
최종적으로 정가 주고 사긴 고민이지만 이정도 가격이면 충분히 가치가 있다고 생각하고 강추합니다",[]
5,"회사 업무용으로 기존에 기계식 및 무접점을 사용하던 중에 사무용 끝판왕? 이라는 이 키보드가 눈에 들어와 고민의 고민을 하다가 구입하게되었습니다.이 모델의 크라운이 빠진 mx keys와 비교해서 커뮤니티에서 다양한 의견이 있어 내심 비싼 키보드를 구입하고 하루만에 방출할까 고민이 되서 구입을 망설이긴 했지만, 빅스마일데이 40프로 쿠폰과 삼성카드 중복할인으로 MX Keys와 유사한 가격대가 맞춰져 안살래야 안살수가 없었네요.옆의 여직원도 같이 사달라고 해서 옥션1개 지마켓1개 이렇게 두개 구입했습니다.그리고 다음날 수령 후 개봉... 유니파잉 장치 추가 후 기대반 우려반의 복잡한 감정을 안고 사용을 해보고...둘 다 아주 아주 만족하고 있습니다. 사실 크라운은 기능이 너무 제한적이라 많이 사용을 하진 않고 있습니다. 볼륨 업/다운이나 워드/엑셀/파포 등에서 제공하는 간단한 기능정도가 다네요. 단점이 프로그램별 기능 전환 시 크라운에서 '찰칵'하는 소리가 난다는 겁니다. 조용한 사무실에서 이 찰칵 소리가 유달리 크게 느껴져서 눈치가 보이네요 ㅠㅠ, 반발력은 높은 편입니다. 기존에 무접점 키보드를 사용했던 터라 더욱 반발감이 크게 느껴집니다. 흡사 기계식 흑축의 낮은 키캡 버전을 사용하는 느낌입니다. 그래도 쫀득한 키감이 타이핑할 맛을 나게 해줍니다.총 구매가격이 12만 2천 정도인데, 이정도면 가성비 좋게 구입한거 같습니다.오래오래 고장 나지 않고 잘 사용했으면 좋겠습니다.",[]
5,"책상을 정리하면서 책상 위에 선들이 나와있는게 싫어 무선 마우스, 무선 키보드, 모니터 암 등등책상공간을 활용할 수 있는 모든걸 준비했습니다.MX master3 마우스를 이미 구입한 상태였기 때문에 같은 수신기를 쓰는 MX KEYS키보드와 크래프트 사이에서 고민했는데, 크래프트가 할인행사를 하고 있어서 큰맘 먹고 크래프트로 구입할 수 있었습니다.크래프트의 다이얼은 사실 그래픽이나 영상편집 등 활용할 만한 프로그램이나 작업을 하지 않으신다면전혀 쓸모가 없다고 보셔도 되기 때문에 KEYS와 크래프트 사이에서 고민하시는 분들은 참고하시면 될 것 같습니다.",['https://shopping-phinf.pstatic.net/20200721_29/ae9108fb-f473-4ac8-8c41-4a2927ab8e79.jpg?type=f287']
5,"가격이 좀 비싸긴 하지만. 키보드 마우스는 좀 좋은걸 써야 손목에 무리가 안가더라고요.
키 타격감은 고급노트북의 느낌으로 짱짱하고 저 크리에이티브 다이얼 감도가 좀 높아서 그렇지 쓸만해요!!
일단 사무실에서 주는 저가 가 오래되어 타이핑이 뻑뻑해서 힘들었는데. 지금은 손가락이 날아다님.ㅋ
mx 560인가 삿다가 너무 작고 텐키가 있는 대신 홈버튼 영역과 방향키가 거의 없어지다시피 하는 바람에 차라리 좋은걸로 사보자라고 생각했는데. 이건 풀사이즈라 있을거 다있어서 좋아요!
연결하는데도 무리 없고 등록하려 시리얼 넘버 찾는데 엄청 고생했네요.ㅋ 그 막 제품정보있는 부분 위쪽 흰지부분 안쪽에 있어요. 글자색이 그리 눈에 띄진 않으니 잘 보셔야합니다!
받았는데 박스에 이벤트하고 있다고 상품권준다고 그래서 로지텍 로그인 하고 상품등록했습니다.ㅋㅋ
백화점 상품권 만원짜리 준다니 뭐 만원 더 싸게삿다고 생각하지요~
로그인 하고 로지택 옵션을 다운로드 후 설치하면 크리에이티브 다이얼 활용이 가능해집니다!
!",[]
3,상품 잘 받았습니다 배송이야 이젠 하루 이틀이면 전국 배달되니 머..한달 사용 하고 솔직 리뷰 올립니다.단점부터 말하죠.첫째 F1번키가 문제네요.아니 키간격이 너무 넓다고 해야 할까요?저는 파일명 바꿀때 등 F2번을 자주 쓰는데.F1번이 너무 자주 늘려지네요 손가락이 작지고 ？北嗤？.기존 키보드 보다 키간격이 너무 넓어서 그런지 오타가 많습니다.둘째 크라운은 쓴적이 없습니다 쓸모가 없네요...저는 CAD 프로그램을 거의 사용합니다그런데 휠을 돌릴일이 전혀 없니요.물론 프로그램을 이용해서 셋팅을 바꾸면 되는데 빠꾼다해도도움이 안되고 그냥 줌 인아웃만 쓰지 딱히 쓸필요가 없습니다.셋째 가장 큰 단점인데 한달만에키가 안눌립니다 지금 v키가 꾹꾹 눌렁야 입력됩니다환장하겠습니다 물론 as보내면 새 제품으로 교환해주시겠지만이만 저만 시간과 경비 손해입니다한달만에 고장은 너무 하네요 막쓰지도 않았는데.. 블루투스 페어링 잘되는점 정도 하죠비싼 돈 주고 살 정도는 아닌것같습니다,[]
4,작업용으로 타건음도 적고 왼쪽상단 휠로 커스터마이징을 통한 편집에 효율성을 높혀줍니다.단점으로는 esc키와 휠이 너무 근처라 esc누르면서 휠이 손가락에 닿는경우가 생깁니다. 휠이 돌아가진 않지만 살짝 거슬리네요.그리고 블루투스 연결문제로 보이는데 신호가 한번씩 놓치는지 키를 누르다 입력이 안되는경우가 가끔 있습니다.추후 사용하다 계속 문제발생시 as해야될것 같네요.,[]
5,매직키보드 1세대로 8년을 썼습니다. 이번에 새 맥북을 사서 데탑처럼 쓰다보니.. 역시 수신감도 때문에 스트레스 받아 도저히 안되겠다 판단하여 질렀습니다. 수신감도는 확실히 맥북보다 넓은게 맞는거 같아요. 설령 블루투스 거리가 문제되더라도 유니파잉 수신기가 있어 괜찮겠다 싶어 구매했습니다. 페어링을 쉽게 변경할 수 있으니 구형 타워맥과도 같이 쓰는데 문제가 없네요.,[]
5,도대체 충전램프가 어찌돌아가는건지 찾아보다가 그냥 구매결정합니다. 아니 완충이 되면 불이 꺼지든지 아니면 고정이 되야지 알 수 없음. 심지어 전용 소프트웨어에서 배터리 잔량 표시 없음... 도대체 로지텍 왜들 좋아하는지 모르겠네요. 그래도 상품은 잘 작동합니다. 유니파이나 블루투스도 다 잘됨.,[]
4,"-배송빠름
-크라운기능으로 대박 편함 까지는 아직 못느낌(사용초기라..)
-크라운기능으로 대박 멋있어 까지는 금방 느낌(이게핵심ㅋㅋ)
-한영 각인도 깔끔
-키촉감은 손끝에서 굉장히 부드러움
-키 눌리는 느낌이 툭툭 눌리는 느낌, 확실히 뭔가 누르고 있는 느낌이 들게끔 해놓은듯
-기본으로 지원해주는 프로그램들 외에 유저가 추가 프로그램 설정도 가능함( 아직 기능을 제대로 활용해보진 못했음 )
-한영 전환키 누를때 불편함 : 오른쪽 하단 fn + 한영 눌러야됨
-키스킨도 같이 동봉되었으면 너무 좋았을 것같은데.....아쉽...너무...아쉽..
-키보드 자체 무게감 있음 : 잘 안밀림
-키소리가 크게 들리지는 않음
- 대만족
-핸드크림 바르고 썼는데 지문이.....키스킨 사야지....
- 설정도 쉽게할수있음
-설정프로그램 키지않는 이상 그 어디에도 위젯으로 키보드 배터리 상태 알수가 없음 ( %표시가 필요한데 )
-설정프로그램에 개발자 모드같은게 있는데 (사용안해봄) 이런거 잘 이용하면 더 편리하고 자신에게 맞게 사용할수 있지 않을까 생각해봄",[]
3,포토샵할때 편하게 쓸려고 로지텍크르프트 키보드 주문한건데요.. 근데.. 포토샵cs6 가 로지텍옵션 프로그램안에 연동이 되질 않아요.. ㅜㅜ 로지텍 as o70-9860-18207 전화도 해봤는데.. 일반사원이라서 잘모르겠다고만 하고.. 모든응용프로그램 자체에 포토샵이 뜨질않아요. 이거 어떻게 해야 하나요... ? ㅜㅜ 키보드 뿐만 아니라 mx 마스터3 마우스도 연동이 안되요 아에 포토샵이 뜨질 않아요..ㅜㅜ 이것떄문에 산건데.... 다이얼 쓰는 이유가 없어졌네요.. 디자인은 예쁜데..,['https://shopping-phinf.pstatic.net/20200924_0/721bbc22-e809-480e-b19d-f6036a30b157.jpg?type=f287']
4,"해피해킹 몇대를 주력으로 쓰고 있는데.. 쎈딜가격이 좋아서 충동적으로 구입했습니다. 그 전에 mx keys 모델을 보고 있었는데, 몇만원 차이 안나니 크래프트로 가보자 생각했거든요.. 구입하기전에는 애플키보드처럼 전체 재질이 당연히 알루미늄일거라 생각했습니다. 받아보니 다이얼 부분은 알루미늄인데, 나머지 하우징은 플라스틱이네요;; 급실망해서 다시 포장해놓고 중고판매 할려고 했더니, 이번에 많이 풀려서 그런지 문의도 없네요ㅎ 당분간 묵혀뒀다가 시간날때 셋팅해 봐야 겠습니다. 잠깐 만져본 느낌으로는, 스트로크가 짧고, 자판 사이에 간격이 넓어서.. 적응하는데 시간이 좀 걸리겠구나(워낙 해피해킹을 오래 사용해서 그런듯;;) 싶네요.. 암튼 20만원 주고 사기에는 거품이 심한거 같고;; (차라리 예전 디노버 엣지가 더 고급져 보임~) mx keys 정도의 가격대가 적당한 제품인거 같네요ㅎㅎ",[]
5,얼마전 같은 상품 구입하고 너무 좋아서 일주일만에 재구매 했어요. 너무 비싼 제품이라 처음 살 때는 엄청 망설였는데 일단 사서 사무실에서 써보니까 집에서도 같은 것 써야겠더라구요. 일단 키감이 너무 좋습니다. 이전에 쓰던 것도 팬터그래프 방식 중에서 키감 좋기로 유명한 K811이었는데 크래프트를 써보니 811은 장난감이더라구요. 그만큼 묵직하고 안정적인 키감이 발군입니다. 물론 휴대용이랑 비교하는게 이상할만큼 크래프트는 무겁고 풀사이즈라 크기도 큽니다. 구매 전에는 신형 mx keys와 엄청 비교하고 고민했는데 다이얼 하나 차이로 훨씬 비싼데도 선택했고 결과적으로는 만족합니다. 다이얼이 설정만 잘 하면 다양한 용도로 쓸 수 있습니다. 물론 다이얼이 필요 없으시면 훨씬 싸고 무게도 가벼우면서 묵직한 키감은 그대로인 mx keys를 구매하시면 됩니다. 그리고 지난번에 X팡에서 샀는데 그땐 그게 최저가인 줄 알았는데 카드할인까지 받으니 롯데가 더 싸네요. 배송도 바로 왔고 여러모로 만족합니다.,[]
5,사무실에서 무접점 기계식 키보드를 썼었는데 오타도 많이 나고 손가락도 좀 피로했던 것 같습니다.비싸서 조금 고민했는데 키감이 너무 좋네요. 왜 사무용 끝판왕이라고 하는지 알것 같습니다.휠은 별로 쓸 일이 없긴 한데 크롬에서 탭 전환할 때 쓰니깐 좋네요 ㅋㅋ,[]
