star_point,comment,photo
1,"지인의 동일제품을 사용해봤는데 키감이 부드러워서 구매했으나,
일주일 정도 사용해도 뻑뻑한 감이 개선될 여지가 보이지 않아서
사용 못하겠습니다.

가격도 저렴하고 개봉도 해서 교환 요청은 안드리지만
제 제품은 . 벽돌을 두르는 것마냥 너무
타자 치는 데 힘이 많이 들어갑니다.",[]
4,"배송빠르고 좋아요 하루만에 왔네요 포장상태도 괜찮고 좋은듯, 노트북에 쓸꺼라 USB포트를 샀어야됬는데 어제 이것저것 사느라 깜빡하고 PS2로 샀네요 뭐... 제 실수니 어쩔수 없이 비상용 키보드 하나 생겼다 생각하고 써야겠네요 ㅠㅠ",[]
5,역니 로지텍 넘 좋아요!!,['https://phinf.pstatic.net/checkout/20201123_45/1606108526949BNOM3_JPEG/review-attachment-fd177e45-4ba1-4f28-879f-726e93f1e97f.jpeg?type=f287']
5,배송 빨라요! 배송 중에 무슨 일이 있었는지 택배박스 윗면이 짜부라져왔는데 뽁뽁이에 말린 상품박스는 멀쩡했어요ㅎㅎ 그리고 사은품으로 마스크도 보내주셔서 기분 좋았네요ㅎㅎ 감사합니다 많이 파세요~,"['https://phinf.pstatic.net/checkout/20200728_31/1595928786813hkOXw_JPEG/review-attachment-d9562e83-ad95-4f61-b202-79f78287d348.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200728_114/1595928799336WO0hq_JPEG/review-attachment-a96a851f-9513-4e77-91ed-f74a2eff91ae.jpeg?type=f287']"
5,빠른 배송....제품은 언제나 촤상상태..감사합니다,['https://phinf.pstatic.net/checkout/20201117_225/1605584135067DzDiK_JPEG/review-attachment-2b2f20b4-d641-4de8-ba25-038c06107db8.jpeg?type=f287']
5,"이 제품만 6년째 사용중입니다. (구형때부터)이번으로 4번째 구매인데, 1년정도 쓰면 키스킨이 찢어져서 계속 사게되네요. 키스킨을 따로 안 팔아서 멀쩡한 키보드만 재구매하고있습니다.사무용으로도 게임용으로도 완벽.마우스나 모니터는 몰라도 키보드는 비싼거 살필요가 없는거같네요",[]
5,정말 잘 사용하고 있습니다 감사합니다,['https://phinf.pstatic.net/checkout/20201023_81/16034197042101W3Y0_JPEG/review-attachment-115e03fb-4bdd-4340-83bd-11606214515d.jpeg?type=f287']
5,역시 컴퓨존입니다 배송빠르고 제품 확실하고 너무 좋아요,['https://phinf.pstatic.net/checkout/20201014_92/1602641191406hjg65_JPEG/review-attachment-f4c400fb-3451-4420-94ad-3d943d15e645.jpeg?type=f287']
4,빠른 배송 너무 감사합니다,['https://phinf.pstatic.net/checkout/20200921_102/1600673503826HrCOt_JPEG/review-attachment-2429fccf-c0ca-40eb-b0a4-2aceba514a98.jpeg?type=f287']
5,잘쓸께요 감사합니다,[]
5,포장 꼼꼼하고 너무 늦지 않게 도착하여마음에 듭니다.,[]
5,"타자 소리 조용하고
싼가격에 만족합니다",[]
4,배송도 빠르고 좋아요 잘쓸께요오,[]
4,배송이 하루정도 늦었지만 제품은 쓸만합니다 키스킨도 괜찮구요,[]
3,질못시고 잘못 연결하고... 모든게 질못됨..ㅠㅠㅠ,[]
5,사용하던거라 역시 좋아여ᆢ,['https://phinf.pstatic.net/checkout/20200622_252/1592827675394o7FFb_JPEG/1592827646150.jpg?type=f287']
5,가성비 갑이네요. 오래 사용할 수 있으면 좋겠는데 저가형이라도 로지텍이니 믿고 씁니다.,['https://phinf.pstatic.net/checkout/20200621_32/1592745565678IM2aj_JPEG/DE986CEC-5201-4807-8777-3C299AA0EC52.jpeg?type=f287']
5,배송도 빠르고 저렴한 가격에 잘 샀습니다.,['https://phinf.pstatic.net/checkout/20200616_266/1592295285686S4Njt_JPEG/2020-06-16-17-14-11-999.jpg?type=f287']
5,싸서 좋네요 키보드가 생각보다 뻑뻑해요,['https://phinf.pstatic.net/checkout/20200621_22/1592703213033GjdiC_JPEG/image.jpg?type=f287']
3,그냥 키보드에요ㅎ 쏘쏘,[]
5,가끔 usb 단자가 먹통일 때 유용하게 사용할 수 있습니다,['https://phinf.pstatic.net/checkout/20200604_273/1591278165396qLoSE_JPEG/20200604_215144.jpg?type=f287']
5,좋은상품잘받앗습니다,['https://phinf.pstatic.net/checkout/20200604_39/1591246177991HHewt_JPEG/20200604_134756.jpg?type=f287']
5,"타자 칠때 부드럽게 잘 쳐져요
손가락 덜아퍼요",[]
5,이 가격대 키보드 중 제일 좋아요,[]
4,상품 이상없고 군더더기 없이 깔끔해서 구입했어요,[]
5,배송 품질 만족합니다.,[]
3,아...잘못샀네...,[]
5,생각보다 편하고 조용하고 좋아요,[]
4,USB단자식이 아니라 조금 아쉽지만 그래도 깔끔하고 만족합니다 노트북에 연결해서 사용하시는분들은 연결단자 꼭 참고하세요,[]
5,가격대비 제품 아주 좋아요,[]
4,괜찮아요 괜찮아요..,[]
5,"사무실에서 쓰는용으로는 최고죠.
배송 빠릅니다.",['https://phinf.pstatic.net/checkout/20200423_141/1587626335798SB91I_JPEG/1587626328591.jpg?type=f287']
5,키보드 몇십만원쩌리보단 이득,[]
5,배송이 빨라서 좋습니다,[]
5,딜레이도 없고 저렴한 가격에 좋은 상품 잘 구매하였습니다.,[]
5,키보드좋라요~~~~,[]
5,마음에 듭니다아~~~~,[]
5,무선쓰다 다시 유선왓어요 ㅎㅎ 좋아요,[]
5,역시 로지텍 키보드 좋습니다.,[]
5,배송빠르고 물건 좋네요,[]
5,"가격만족도/성능 등 : 가격대비 만족합니다. 상태/배송 : 배송만족, 상태양호 굿입니다. 그 외 도움이 될 만한 사용후기 : 다른건 별무리가 없으나, 키스킨만 별도로 구매할수 있으면 좋겠네요. 아들이 지저분하게 사용하기도 하고 조금 오래 사용하면 찢어지기도 해서 키보드 전체를 구매해야하는 단점이 있네요. 개선바랍니다. 수고하세요.옥션 안드로이드 앱으로 작성",['https://shopping-phinf.pstatic.net/20190627_10/f1055643-fc34-4a85-88b5-8227d1c005af.jpg?type=f287']
4,"안전하게 포장되어 빠르게 배송되었으며, 외관이나 기능 이상없네요. 감사합니다.",[]
5,무게도 가볍고 키감도 좋네요.,['https://phinf.pstatic.net/checkout/20200130_145/1580386240308n5t6T_JPEG/KakaoTalk_20200130_210608514.jpg?type=f287']
5,로지텍 K100은 가성비 갑,[]
5,잘 받았습니다. 잘 사용하겠습니다.,[]
5,배송이 빨라서 좋았어요 감사합니다.,[]
5,LED 똥불도 없고 한자키도 있고 조용하고 제일 좋습니다.,[]
5,가격도 좋고 키스킨 포함에 사용하기 적당합니다.,[]
5,레오폴드 키보드 사용햇엇는데 키감꽤쓸만합니다,[]
5,배송빠르고잘쓸게요~~,[]
5,"[스마트스토어] 위즈위즐

/정품/로지텍 K100 New 유선키보드 전용실리콘제공",[]
5,가격도 저렴하고 배송도 엄청 빠릅니다!,[]
4,부드럽게 잘 쳐져요 재구매 했습니다.,[]
5,한달동안 아주좋아요 가성비굿~~,['https://phinf.pstatic.net/checkout/20200116_37/15791602375698c3qa_JPEG/12.jpg?type=f287']
5,신속한 배송에 감사합니다,[]
5,키보드가 고장나서 새로 샀는데 타자감도 좋구 후기중에 엔터키가 작아서 불편하다고 하셨는데 저는 평소에 노트북 쓰기도 하고 그래서 엔터키 작아서 불편한 점은 크게 없는거같아요 타자감도 좋고 좋네요!,[]
4,키감에 만족. 개발자들이 쓰는 키보드까진 아니어도 좀 눌리는 감이 있는 게 손에 잘 맞아서 구매했습니다. 애플 키보드같이 얇은 것들 쓰면 손가락 너무 아파서요. 디자인도 맘에 들고 키스킨도 감사합니다. 무선쓰다가 유선으로 다시 넘어와서 조금 불편한 것 빼고 만족입니다.,['https://phinf.pstatic.net/checkout/20151120_282/chodamnim_1447979991690PcFBr_JPEG/PRREW_8152521945301676937.jpg?type=f287']
5,배송이 빠르네요 잘 받았습니다,[]
4,2개 구압했는데 만족해요,[]
5,너무나도 만족합니다,['https://phinf.pstatic.net/checkout/20200104_65/1578128297810SbOqM_JPEG/20200104_174242.jpg?type=f287']
3,하..... usb방식이 아니군요....... 제불찰이긴한데... . 하... 쓰고싶은데 쓸수없네요 슬픕니다,[]
5,"가성비도 조하요.
배송도 기대 이상 이네요.",[]
4,터치소리가 부드러워서 참 좋습니다.,[]
5,빠른 배송을 잘 해주셔서 감사합니다. 건강 유의하세요.,[]
5,가성비 킹왕짱입니당,[]
5,"다른건 모르지만 K100 키보드 4개째 구매하여 사용중
(고장이 아닌 가정용 업무용 등, 고장 안남, 실리콘 키스킨 수명 1~2년정도)",[]
5,아주 기본의 키보드면서 제몫을 다하는 키보드입니다.,[]
5,싸고조항요 잘쓰고있어요ㅎㅎ,['https://phinf.pstatic.net/checkout/20191127_220/1574830617272t2Fub_JPEG/uu.jpg?type=f287']
5,"빠른배송 고맙습니다.
잘 받아서 잘 사용하고 있습니다
번창하세요",[]
4,Ps/2타입 젠더 호환 불가 잘보고사세요,[]
2,키가 제대로 눌리지 않고 뻑뻑합니다. 이미 상자를 파손해서 반품도 못하네요 ㅡ.ㅡ,['https://phinf.pstatic.net/checkout/20191124_258/1574561476128PdvHm_JPEG/15745614546341477090503256027098.jpg?type=f287']
4,가격대비 무난해서 좋네요,[]
4,저렴하게 구매했어요,[]
2,ps2 인줄 몰랐네요 ㅎㅎ,[]
5,배송 포장 만족합니다,[]
1,"싼 값에 별 기대 없이 구매했지만 우선 키보드 인식부터 잘 안되고, 자판도 잘 안눌려요. 너무 뻑뻑하네요. 많이 아쉽습니다.",[]
4,가성비 좋고 소리 작고 내구성도 좋습니다.일반상품평에 추가로 키스킨 산 것과 착각해서 잘못입력했습니다.수정하는 법을 몰라서 여기에 다시 입력합니다.,[]
5,빠르게 왔고 물품도 정확해요. 많이 파세요.,[]
5,날씬해서 딱 사용하기 좋네옹,['https://shopping-phinf.pstatic.net/20191111_1/2bac3856-3c0d-4627-bacf-c55dd558ca9f.jpg?type=f287']
5,가성비 훌륭한 제품입니다.,[]
5,"키스킨도 딱 맞고 아주 좋습니다
usb 포트가 아니어서 usb 포트 하나를 세이브 할 수 있네요",[]
3,"입금 후 판매 업체의 당일 발송은 마음에 들었으나, 해당 제품에 대해 약간 아쉬운 감이 있습니다. 제품의 품질 균일화가 덜 되었는지 몰라도, 제가 수령한 제품은 평평한 책상 바닥에 놓으면 꺼떡꺼떡(흔들흔들?)한 느낌이 있었습니다. 그래서 키보드 바닥에 조그마한 걸 붙여 흔들림은 막았지만, 굴지의 키보드 회사의 제품이 이런 현상이 있다는건 조금 아쉬울 뿐이네요..",[]
5,예전에도 사용했었는데 가성비가 정말 최고네요,[]
1,"10년사용한 키보드가 부서져서 구매했는데 자판누르기가 너무 힘드네요. 하루사용했는데 손가락이 아파요
신상이라 그런가!",[]
4,싸고 튼튼하고 실용적이에요~,['https://shopping-phinf.pstatic.net/20191007_6/d00dff76-9dd5-4fce-96cb-ea432fbd5b17.jpg?type=f287']
5,데스크탑용으로 강력추천 데스크탑에 연결해서 사용할 일반 노트북이 필요하다면 강력 추천합니다. 콤펙트하고 튼튼해요. 엄마도 사용하기에 정말 좋다고 이야기하십니다.따로 드라이브 설치가 필요없어서 좋네요.전 유선이 좋아서 구매에 만족합니다.,[]
3,"사용해보니 새거라 그런지 너무 뻑뻑하네요..
제가 원래 쓰던 키보드가 너무 부드러워서
똑같은제품을 산건데... 완전 달라요",[]
5,내구성이 좋습니다.,[]
5,잘쓸게요~,[]
4,개발자들이 쓰는 키보드까진 아니어도 좀 눌리는 감이 있는 게 손에 잘 맞아서 구매했습니다. 애플 키보드같이 얇은 것들 쓰면 손가락 너무 아파서요. 디자인도 맘에 들고 키스킨도 감사합니다. 무선쓰다가 유선으로 다시 넘어와서 조금 불편한 것 빼고 만족입니다.,[]
4,좋아요 심플하고 게이밍 키보드 쓰다가 바꿨는데 깔끔하네요,['https://phinf.pstatic.net/checkout/20190918_161/1568799988284cmK63_JPEG/image.jpg?type=f287']
5,저렴한 가격에 좋네요^^ 키보드 비싼거 굳이 필요없어서 가격싼거 찾았는데..괜찮구요 타이핑할 때 그냥 일반 키보드와 다를바 없이 그냥 무난한제품입니다.키스킨이랑 함께와서 좋구요. 흔들림없이 고정되어서 좋습니다.뭐 가성비좋은 제품이라고 생각되네요.배송은 컴퓨존이라 말할것도 없이 빨랐습니다.,[]
5,만원도 안되는가격에 무난한 제품고른것같아요 롤할때 거슬림없는정도 괜찮아여 고장나면 다시 구매할라고여,['https://phinf.pstatic.net/checkout/20190815_281/1565868912859aBJb4_PNG/%C1%D6%BC%AE_2019-08-15_203308.png?type=f287']
5,가격대비 너무좋습니다,[]
