star_point,comment,photo
5,"뾱뾱이 포장 해야하나 걱정했는데 파손 없이 잘 왔습니다. 저렇게 포장 돼 오네요.

키감이 부드러워 좋습니다. 이거 써보니 그동안 돌멩이같은 키도브 쓰고 있었구나 라는걸 깨달았습니다. 반응속도나 동시입력이 어떤지는 게임을 안해봐서 모르겠습니다. 다만 문서작성에 키가 걸리는 것 없어 무리 없이 사용 가능합니다.

문자판과 F1자판이 살짝 떨어져 있지만 불편할 정도는 아닙니다.

전체적으로 깔끔하고 . . 다이소 5천원짜리 샀으면 후회할 뻔 했습니다.","['https://phinf.pstatic.net/checkout/20200914_179/1600083162952ttz59_JPEG/review-attachment-73b44879-ffa8-4944-9832-41f897f5348a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200914_65/1600083169738lJbbi_JPEG/review-attachment-cb462334-056a-4688-959e-135a1b14f952.jpeg?type=f287']"
5,"0905주문(토)
0908수령(화)

기존 사용제품 : logitech k375s 무선블루투스 키보드

노트북사용으로 무선키보드만 사용하다가
데스크탑 구매로 유선키보드를 사용하게 되었습니다.

기존키보드보다 키판이 조금 더 높이 솟아있고, 깊이 눌리는 느낌입니다.
누군가는 타격감으로 말할 수도 있는 부분이나, 저는 조금 피곤하네요.

그리고 키판에 있는 글자 인덱스가 사람 글씨 느낌입니다.
직각 기역과 니은만 보다가 꼬부라진 기역과 글씨의 삐침을 보니 새롭네요.

펑션기능이 없습니다.
다른건 다 안써서 상관 없는데 음량 조절에 조금 아쉽습니다.

키스틴이 얇습니다.
기존에는 살짝 두꺼운 느낌이 있었는데, 이 녀석은 살짝 수술용장갑 느낌입니다.

공부하기 싫어서 리뷰 길게 썼습니다.
공부할 땐 공부 빼고 다 재미있거든요.",['https://phinf.pstatic.net/checkout/20200908_59/1599557652355nWkH9_JPEG/review-attachment-15c9eda1-2124-48ca-8e8f-5938f2d9ea3b.jpeg?type=f287']
2,"솔직하게 만족하시는 분들 리뷰봤습니다. 자.... 저도 이전에 사용했습니다. 그리고 다시 구매한 이유는 소음 때문에 저 소음 키보드 사용코자 구입했습니다. 일단 전에도 느꼈지만 동시키 제대로 사용한다는 분들...... 저 두번째인데 처음은 내껏만 이랬지만 동시키 입력 상태 그리 좋지 않습니다.
사무실 용으로 추천합니다. 키보드 구입 목적이 다르기에 그럴수 있다고 해도 광고와 리뷰와 달리 배그 같은 게임에 동시키 씹히는 경우 심하니 사용하라고 말을 못하겠습니다. 연결후 30분 테스트 한후 한쪽에 고이 모셔놨습니다.
그렇다고 게임 이외에 성능을 논한다면 요즘 이 가격에 이정도 성능 하는 일반 키보드 많습니다. 그래도 로지텍이란 믿음에 뭔가는 다르겠지 하시겠지만 일단 사무용으로는 추천합니다.",[]
5,"로지텍 기본 무선키보드 쓰면서 아주 만족했는데 연결이 너무 끊어져서 유선으로 샀어요.
비싸더라도 기계식 키보드 살까하다가
질리거나 불편하면 어쩌나싶어서 샀는데
제일 기본모델인데도 너무너무 만족해요.
사무실이 엄청 조용한 편인데 키스킨 하면 소음도 적고
가벼우면서도 ..",['https://phinf.pstatic.net/checkout/20201113_83/1605249558439zGpEK_JPEG/review-attachment-62e2f075-ef90-400c-8397-0fd29f8237e4.jpeg?type=f287']
4,"배송 빠르고 안전하게 잘 도착하는건 기본.
최근까지 기계식 쓰다가 너무 시끄러운듯 하여 다시 멤브레인으로 갈까하여 이래저래 가성비 따지다가 선택하게 되었음.
아마 오랜기간 멤브레인 방식에 적응되어 있어서.. 뭔가...익숙함.
키감 같은것들이. 요즘 기계식들은 너무 반짝거리게 해놓은것도 많고 겉을 꾸민 것들이 많음. 죄다 거품이란 말이지..
하여 결론을 말해보면 딱 멤브레인 고 느낌임. 굳이 단점을 꼽자면...키스킨이...하루만에...찢어졌다는거? ;;; 키스킨까지 양질의 제품을 써달라는건 좀 무리긴 하지. (아..타이핑을 좀 세게 하는 편이긴 함.)",['https://phinf.pstatic.net/checkout/20200531_168/1590886968073EFLBb_JPEG/KakaoTalk_20200531_095733998.jpg?type=f287']
5,"업무용으로 늘 이거만 씁니다 이직했는데 필요한거 뭐냐고 물어봤을때 로지텍 키보드라고 말할 정도에요 ㅋㅋ 손에 땀이 안나서 스킨 없는 키보드는 미끄러워서 잘 못쓰고 쎄게 시끄럽게 두들기는거 싫어하는 편이라 부드럽게 터치해도 잘 입력되고 좋아요, 또 키가 너무 납작한것도 오타 잘나서 싫은데 키 높이도 딱 적당합니다, 이만한게 없어요",['https://phinf.pstatic.net/checkout/20200814_44/1597376165241j1lLg_JPEG/review-attachment-bd1496f7-17e6-49b3-9990-1a69f3d366f2.jpeg?type=f287']
5,택포 1만원 내외 가격 중에서는 상당한 가성비인 것 같습니다. 근데 저 같은 경우에는 키감을 중요시하는데 이건 딱 무난해서 살짝 아쉽네요. 하지만 이 가격대에 이만한 키감도 상당히 드물어서 그런 대로 쓸만한 것 같습니다. 사무용으로 제격인 것 같아요.,['https://phinf.pstatic.net/checkout/20201115_206/1605409380761Ns8pQ_JPEG/review-attachment-44722631-0eb0-4368-991c-7eb2a5d4acfe.jpeg?type=f287']
5,"기계식쓰다가 손가락이 피로해서 구입해봤는데
만족합니다 배송도 뽁뽁이로 잘 둘러져서 잘 왔습니다
상품후기에 보니 로고가 k120 new가 아니라고 써놓은분이 있던데 잘못알고 계시는 것 같아 제가 남깁니다 로지텍 현재의 이 로고로 바뀐지 좀 됐어요 바뀐 로지텍 로고에 k120이 완전 new 버전 맞습니다","['https://shopping-phinf.pstatic.net/20191118_25/b19590d1-4ec2-4527-8408-8593fc95f40c.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20191118_15/0eca6ad3-0d16-4959-a094-f8cbff2fd8d2.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20191118_24/9866085f-bfec-442c-9dc2-bbe37e9f059e.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20191118_11/f3f6c7f5-aa5d-4eba-ab18-059e5ed97342.jpg?type=f287']"
5,"저렴한 가격에 빠른 배송 만족스럽습니다. 키보드 테스트 결과 모든 키가 잘 작동됐습니다. 키스킨도 특별한 문제 없이 잘 맞고요. 다만 로지텍 키보드는 esc키 위치가 '(~)키 바로 위가 아니라 살짝 오른쪽에 있고, backspace키가 ?(|)키 공간까지 좌측으로 확장되고 ?(|)키는 엔터키 쪽으로 내려와 있는 등 살짝 키배치가 다르니까 이 점에 주의하시는게 좋겠습니다.추천드립니다.",[]
5,저렴한 기계식 게이밍 키보드 샀다가 많이 쓰는 키 고장나서 그냥 다이소 오천원짜리 샀는데 그건 또 키 검댕이 손에 묻어나오는 막장 제품이라 이번에 아예 제값하는 가격 있는 키보드를 사든가 브랜드있는 가성비 키보드를 사든가 생각하다 이걸 골랐는데 일단 다이소 키보드에 비해선 멀쩡한게 오니까 만족중입니다. 특히 커버 준게 너무 좋아요. 부드럽게 잘 쓰는 중입니다.,[]
