star_point,comment,photo
5,"넘모기여움 ㅜㅜ 컴팩트한 사이즈에 가볍고 귀엽습니다! 기존에 쓰던 키보드가 엄청 커서 책상이 좁아가지구, 아무래도 작은게 필요하겠다 싶어서 샀는데 딱 좋아요. 근데 키스킨이 살짝 구겨진채로 왔는데 키보드에 깔아도 그대로 구겨져있어요ㅜㅜ","['https://phinf.pstatic.net/checkout/20200327_170/1585312319199J0b9D_JPEG/C2E8D08F-A82C-4B5D-A9B0-0482897F912F.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200327_80/15853123196633rdTv_JPEG/FD430007-0D8E-464A-9616-9FC1928F9658.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200327_124/1585312319689a1fiU_JPEG/CB36B9AF-4C5C-40CB-952D-C0C5654E68F8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200327_218/1585312320336W5LoM_JPEG/71C444EA-334E-45AF-9D05-8FD57DCA4A28.jpeg?type=f287']"
5,"키보드가 작다고 하는 리뷰가 많아서 1주일간 주문을 할지 말지 고민을 많이 했어요. 그러다가 결국 주문을 했는데 정말 만족스럽습니다. 13인치 노트북을 쓰는데 불편한점 없이 똑같습니다. 키보드 느낌으 누를 때마다 쑥쑥 들어가서 타이핑하는 느낌 아주 잘나고요, 키스킨을 깔았을때랑 그렇지 않았을 때의 느낌 차가 큽니다. 소리의 유무도 달라지구요. 첨에는 키스킨이 적응이 안되서 뺐다꼈다 했는데 하루정도 지나니까 익숙해 지네용 잭 연결도 잘되고 아주 만족입니당","['https://phinf.pstatic.net/checkout/20200404_198/15859828476686SvRc_JPEG/%C5%B0%BA%B8%B5%E5.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200404_12/1585982885208p1ohK_JPEG/%C5%B0%BA%B8%B5%E52.jpg?type=f287']"
4,"공간활용에 아주좋습니다 k380,480에비해 펑션키도 고정이아니라 다행입니다. 특히 노래 넘기기는 유튜브 재생목록에도 사용가능해서 좋습니다. 다만 마감이안좋아서 가끔 키보드가 덜컥거리면 뒤틀어서 평평하게 맞춰줘야합니다...",['https://phinf.pstatic.net/checkout/20201025_160/1603617171587858TE_JPEG/review-attachment-015ae3d4-6665-4572-b14e-ca1f51c6862a.jpeg?type=f287']
5,"배송도 빠르고 상품도 너무 맘에 들어요~
와~ 어제 늦은 오후에 시킨거 같은데 벌써 왔어요. 24시간도 안걸린거같은. ㅎㅎㅎ
워낙 사고싶던 제품이라 오자마자 바로 열어서 지금 이 키보드로 글쓰고 있는데요~ 키스킨도 같이 주셔서 부드럽고 편하네요~작고 디자인도 귀여고~ 작은 키보드가 필요해서 샀는데 마음에 듭니다~ 고장나지 않고 오래오래 사용할수 있으면 좋겠어요., ㅎㅎㅎ
판매자님 감사합니다~^^",['https://phinf.pstatic.net/checkout/20200924_5/1600932603193qrJz9_JPEG/review-attachment-7103af5c-79d1-42c9-aa2e-9d2f123b4a6a.jpeg?type=f287']
4,"예쁩니다. 카카오프렌즈 어피치 무선 키보드와 마우스를 세트로 구매했습니다. 핑크핑크하고 너무 예쁩니다.키보드와 마우스를 돈주고는 처음 사봅니다. 노트북 쓰거나 서비스로 받은 제품들만 사용하다가 마우스가 고장나 둘러보다가 키보드와 세트로 사봤습니다.두 개를 같이 놓았을 뿐인데 방 전체가 화사해진 느낌입니다.둘 다 작동잘되고 성능에는 아무 문제가 없네요. 단, 키보드에 대한 첫인상은 ...상자를 뜯고 비닐을 벗기고 처음 열어본 키보드는 비싸보이거나 뭔가 고급진 느낌은 없네요. 이 가격대가 원래 키보드 값 치고는 저렴한편인가요?첨부한 사진처럼 키보드의 키가 조립장난감 뜯고 남은 자국처럼 조잡합니다. 좀 여러 개가 그러네요. 새거라서 더욱 신경이 쓰입니다. 물론 쓰다보면 티끌만큼도 기억안하겠지만요.그램노트북 사용중인데 그램 키보드는 뭔가 부드럽운 느낌인데 반해 어피치키보드는 조금 거친 느낌이랄까, 그래도 학교 컴퓨터실에 있는 저렴한 느낌의 키보드보다는 좋네요.나름 만족하고 잘 쓸게요~~암튼 이쁩니다.","['https://phinf.pstatic.net/checkout/20180830_220/1535636650727OSU8l_JPEG/PRREW_1499071312199144166.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20180830_276/1535636664894nyAMv_JPEG/PRREW_6095510016119850607.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20180830_163/1535636674094YJ29T_JPEG/PRREW_2743595686906753098.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20180830_47/1535636682254tRENp_JPEG/PRREW_6863137651681510507.jpeg?type=f287']"
3,"포장은 본품박스에 완충포장 전혀없이 비닐에 담겨서 옵니다. 박스 모서리 쭈그러짐. 키보드 아끼는 분들은 박스도 보관할텐데 이점 참고..
키에 플라스틱 마감이 제대로 이뤄지지 않아 한동안 T버튼을 누르면 거기 걸려서 안나오는 현상. 커터로 잘라서 해결.
리시버 내부 보면 반도체 플라스틱카드 접지부분 둔한 가위로 잘랐는지 이빨깨문마냥 엉성하게 커트되어있음. 플라스틱부분이라 인식은 지장없음
다른건 그렇다치고 포장에 완충제 없는건 정말 별로네요.",['https://shopping-phinf.pstatic.net/20190926_12/5f778986-54a5-4411-8e29-68260766eb51.jpg?type=f287']
4,"노트북 내려다보면서 목과 어깨가 아픈 느낌이라 노트북을 거치대에 올리고 따로 쓸 키보드를 찾고 있었는데요. 미니미니하고 가볍고 좋네요. 실물이 좀 장난감 같은 느낌도 없지 않지만 고급진 걸 바라고 산 건 아니라서 ㅎㅎㅎ 귀여워서 만족합니다. 자판 배열이나 키감은 보통이고, 계속 노트북 자판을 이용해와서 그런 지 작은 게 불편하지는 않습니다. 키판 영역만 보면 12인치 노트북과 비슷한 것 같아요. 물건이 잘못 와서 한 번 교환하는 번거로움이 있었는데, 바로 잘 대응해주셨고, 다만 CJ택배로 다시 오느라 그랬는 지 좀 오래 걸렸어요 ㅋㅋ 그리고 재발송 시 포스트잇 누락된 건 아마 모르고 계실 것 같은데, 어차피 필요한 거 아니라서 괜찮구요. 키보드 잘 쓸게요~","['https://phinf.pstatic.net/checkout/20181220_102/1545282541043Ol2d4_JPEG/S__30203907.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181220_267/1545282541164BSOkr_JPEG/S__30203908.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181220_224/1545282541324XolYH_JPEG/S__30203909.jpg?type=f287']"
5,키보드가 수평이 안맞습니다ㅜㅜ 키보드 뒷편엔 미끄럼방지가 하단에만 부착되어있는데 미끄럼방지가 안됩니다! 미니사이즈 usb연결키보드를 찾다가 로지텍이라 샀는데요. 약간 실망이네요... 다만 키보드가 맘에 안드는것이지 쇼핑몰은 당일 배송처리에 키스킨까지 증정해줘서 5점남깁니다!,[]
1,"무선키보드 3번째 구매하는데
다음 부터는 로지텍 불매 하겠 습니다
수신기 분실율을 높이기 위해서 인지
키보드본체에 수납 기능을 없에 더군요
혹시나 해서 사진과 같이 뜯어 보았 습니다
기술적으로 수납 공간의확보가 어려운지 해서
그러나 공간은 넓었고 수신기를 별도로도 판매하는 것을 보고
로지텍의 기업정신이 실망 스럽게 느껴져
수신기 분실하게 되면 버릴 생각으로
참고 이번만 쓰려고 합니다",['https://phinf.pstatic.net/checkout/20190915_73/1568516933120r8Sc7_JPEG/20190913_194240.jpg?type=f287']
3,생각보다는 살짝 무게감이 느껴지네요 사은품으로 온 키스킨은 말 그대로 사은품일뿐이니 큰 기대 안했는데 재질도 괜찮고 키캡에 쫙쫙 달라붙어서 안걸리적 거리고 좋네요 다만 USB 리시버를 수납할 공간이 없다는게 치명적인 단점이에요 당연히 있을꺼라 생각했는데...... 건망증 있거나 물건 자주 잃어버리시는 분들에게는 비추천 입니다 스마트한 슬립모드 기능이 있다지만 그래도 on/off 버튼이 있으면 어떨까 하는 생각도 들구요 배터리가 부족할때 표시되는 기능이 없다는 것도 좀...... 나름 로지텍인데 살짝 사소한 부분에서 실망스럽네요,[]
