star_point,comment,photo
4,"흰색, 한글각인, OS유니파잉, 거치대 일체형, 작은 크기 등이 받는 분의 조건이었고,
출시는 좀 됐지만, 니즈에 맞아 선택했으며, 용도에 적합하고 디자인에 만족합니다

[외관]
오프화이트색 유광재질 상부, 회색 무광 하부, 라운드사각형 흰색 키캡으로 깔끔하고, 오염에도 강할 것 같은 투톤배색입니다.
크기나 무게가 생각보다 컸고, 가벼운 이동용보다 데스크 거치 멀티기기 대응 용도에 적당합니다.
[키]
서걱통통한 키감이 장난감같고, 멤브레인방식에 키스트록도 생각보다 있는데, 타건시 펜타그래프식 K380보다 피로감이 덜했습니다?!
타건음은 무소음과 거리가 멀어, 재질부터 달각달각.. 아무리 타법을 달리한다해도 학교수업, 도서관, 독서실용으론 적절치않고, 공카 정도되야 쓸 수 있을거 같습니다.
처음 약간 뻑뻑한 느낌이 있었는데, 하루 사용후 조금 자연스러워졌습니다.
로지텍제품군의 키보드 배열이나 기본 단축키에 익숙하지 않다면, 배열이 손에 익을때까지, 단축키를 외울때까지, 많이 불편할겁니다.
키캡의 인쇄상태가 오른쪽 alt, ctrl키의 번진듯한 흐릿함은 좀 불만입니다.
[기타]
후면 미끄럼방지 고무패킹은 타이핑이나 태블릿 세로거치시에도 밀리지 않는 안정감을 줍니다.
거치대는 각도조절이 불가능하며, 10.5인치 이하 기기는 커버가있어도 대부분 가로거치 가능합니다. 하지만 패드프로 11은 안됩니다. 그 이상은 당연히..
키보드 자체 틸팅이 안되는 점은 아쉽고,
전원 스위치가 측면이 아닌 밑면에 있는데, 왼손을 살짝 밑에넣고 더듬어 스위치를 밀어주면 됩니다.
[연결]
아이폰, 안드로이드폰, 아이패드, 안드로이드탭, 윈도우노트북 등과 페어링시 OS 혼용에도 무리없이 페어링 가능했습니다.
티비나 플스 크롬 연결도 했구요.
다만 페어링시 해당기기의 OS선택을 수동으로 3초씩 눌러줘야해서 k380보다 불편했고, 이런기기 조작에 익숙지 않은 분들께는 좀 더 크게 느껴질 수 있습니다.

[수령후 감상]
마침 세일로 구입한 아마존 fireHD10 2019 흰둥이와 거의 동시에 도착해서
초저가 ①전자도서관 이북뷰어 ②웹서핑/쇼핑 ③라디오 ④유튜브/넷플 미디어뷰어 ⑤티비/메신저/타자머신.. 흰찰떡이 되버렸습니다

코로나 시기, 거실한쪽을 홈카페로 꾸미신 어머니 선물로 딱
가성비 선물로 제격입니다.","['https://phinf.pstatic.net/checkout/20200910_174/1599737578129zJyLo_JPEG/review-attachment-e5d72a51-d114-472a-9f31-eeeaec735b60.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200910_143/1599737561809PL6nN_JPEG/review-attachment-64ae3c70-7d28-4c67-95c6-dd3c3b9b9b8f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200910_2/1599737587345Vxaw6_JPEG/review-attachment-6c675c77-5333-4967-a018-d7cdc911a618.jpeg?type=f287']"
5,"타자소리는 소음이 좀 있습니다. 일반 대스크탑용 키보드랑 비슷해요. 도서관 같이 조용한 곳에서는 못쓴다고 생각하면 됩니다.
크기도 크고 두께도 두껍습니다. 단행본 책이랑 비교사진 있어요. 가끔은 휴대할 수 있어도 정기적으로 매일같이 휴대하기에는 힘들 것 같습니다. 물론 재량이겠지만 휴대용 재품은 아니라고 보여요.
고정돤 장소에 두고 쓰기에는 나쁘지 않습니다만, 이마저도 책상이 좁은 분께는 추천하지 않겠습니다.

그럼에도 불구하고 아이패드에서 한글 씹힘 증상도 없고, 기기간 전환도 나름 빠르게 잘 되는 편이어서, 고정된 장소에서 선 없이 편리하게 일반 키보드 대용으로 쓰고 싶은 분께는 추천합니다.
아이패드프로 12.9인치 ESR케이스 끼우고 세워집니다. 정품 스마트폴리오도 되겠죠.
아이폰 8플러스 기준으로 아무 기능 없는 케이스 끼우고 홈에 끼워집니다.


요약:
- 매일 휴대하기는 완전비추(아예 다른 제품을 알아봐야 함. )
- 도서관 완전 비추
- 고정된 장소 사용 추천","['https://phinf.pstatic.net/checkout/20200430_52/1588221035345byeAU_JPEG/7E489614-57C3-4A74-941F-2C5BF0130413.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200430_139/1588221036060ggFci_JPEG/9C5644EE-09ED-4021-81FB-B62D16B764DC.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200430_277/1588221036278wdGEA_JPEG/0C588831-FDB9-4153-8C12-BD8A3F3B76F0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200430_262/1588221036562BoRKm_JPEG/8BEFEAFB-6D7E-4B61-B7ED-5C2E19337BBE.jpeg?type=f287']"
2,"제가 기계식 키보드만 써와서 그런지 썩 그렇게 좋진 않네요 그렇다기엔 노트북 키보드도 아주 잘 쓰고 있었고...
일단 타이핑, 사무용으로 그렇게 적절하지 않은 것 같아요
특히나 도서관 같은 조용한곳에서 쓰기에는 더더욱 이죠
적절하지 않다고 판단 기준은 미리 참고하자면 저는 프로그래머 이자 대학생입니다 아이패드 프로 4 12.9인치를 씁니다.

중요 단점 포인트

1. 아이패드 프로 4세대를 거치대에 꽂으면 케이스 끼지 않은 기준 거의 45도로 휜다
2. 근데 쓰다보면은 뒤로 넘어간다 ((??))
3. 심지어 가로로는 꽂히지도 않는 크기다
4. 나는 키보드를 가볍게 누르는데 가볍게 누르면 안눌리고 조금은 세게 눌러야 하는데 그만큼 높아야하는 반발력도 높지않아서 키감이 별로다

이게 중요한점이 분명 로지텍 공식 글에도 제 아이패드가 호환이 된다고 써 있었음을 확인하고 구매했음에 불구하고 앞에 난 홈은 거의 쓸모없게 되었네요 그거때문에 일부러 480 산것이기도 했는데
사실 가로모드까지는 기대하지 않았어요 근데 세로모드를 하니까 이거... 홈에 꽂아놨는데 계속 아이패드가 홈에서 빠져나오네요
그냥 380 쓰거나 더 투자해서 다음에 앤프로2 키보드 사려고 합니다
그래도 마냥 단점만 있는건 아니에요

장점 포인트

1. 무겁고, 지지하는 고무가 넓고 튼튼해서 흔들리지 않는다
2. 확실히 튼튼한 느낌이 있다

사실 저한테는 어느쪽도 별로 신경쓰지 않을 생각이었지만 타건쪽이 가장 중요한데 그게 좋지 않았어요 기존 키보드처럼 가볍게 누르시는 분들은 손이 쉽게 피로해지거나 익숙하지 않을거에요

요약 : 소음, 일부 기기의 호환성, 타건이 좋지 않지만",['https://phinf.pstatic.net/checkout/20201016_158/1602823270311ejf8O_JPEG/review-attachment-b00f440e-51ab-480e-9dd3-8ffe64130a55.jpeg?type=f287']
5,"배송은 하루만에 정말빠르게 왔고 포장상태도 양호했습니다
별도의 설명서는 들어있지 않고 키보드 상단부에 스티커로 붙혀져있는 페어링방법이 전부였는데 사용하는데는 크게 지장없었습니다

핸드폰, 탭, 컴퓨터 이렇게 세대를 등록해서 사용중인데 왼쪽의 버튼을 이용해서 변경시 페어링이 매우 빠르게 이루어져서 만족중입니다

정식수입품이라 한글자판인점도 좋고 거치대는 공간이 넉넉해서 탭과 핸드폰 두개를 거치하는정도는 넉넉하게 남네요

다만 휴대하기에는 조금 힘들것같긴한데 전체적인 가격과

완전추천이요!!!","['https://phinf.pstatic.net/checkout/20200520_189/1589954787343EeEnU_JPEG/DSC06228.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200520_250/1589954787371PhVRw_JPEG/DSC06232.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200520_296/1589954787388YiMR8_JPEG/DSC06245.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200520_100/1589954787434V47MV_JPEG/DSC06248.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200520_31/15899547874497kyNJ_JPEG/DSC06249.JPG?type=f287']"
5,"거치대 사면서 키보드도 같이 샀는데 만족합니다!
먼저 다이얼 돌리면 자동 연결되는 기능이 가장 편리해요😊 fn+숫자 누를 때보다 삶의 질이 올라가는 느낌입니다
태블릿 끼우는 것도 전 (케이스 있는) 에어를 써서 그런지 높이도 잘 맞고 좋더라고요 아이패드 에어랑 아이폰 xr 같이 세로로 세워놓으면 쓰기도 편리해요
다만 키감은..음... 좀 아쉽군요 플라스틱 누르는 느낌? 소리도 꽤 나고요. 집에서 사용하는 거니까 크게 상관은 없긴 한데 기분좋게 눌리는 타입은 아닌 것 같아요. 표현하자면 부드럽게 눌리는게 아니라 일정 힘 이상을 주었을 때 갑작스럽게 눌리는 느낌? 그래서 힘도 좀 들어가고요 암튼 전반적으로 만족합니다
배터리 사용하는 것도 편리해서 좋아요! 충전하는게 은근히 귀찮은데.. 2년동안 쓸 수 있다니 만족스럽네용 글고 배터리도 안에 들어있는 채로 배송오니 굳이 마련하실 필요는 없는 것 같아요 aaa 쓰는 것 같네용","['https://phinf.pstatic.net/checkout/20200920_71/1600588447109n6Jeh_JPEG/review-attachment-9e666ac9-914b-4d5d-9acc-7791218cb064.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200920_58/16005888194434234m_JPEG/review-attachment-a80b8df2-760b-465a-94eb-f0aaf7887f36.jpeg?type=f287']"
4,"주문 전에 다른 제품들 리뷰도 보고 k480도 블로그부터 스토어팜까지 수십개의 리뷰를 보고 주문한거라 기대감이 컸는데요. 기대 이하입니다.

단축키나 기능적인 부분에서 생각보다 실용적이진 않아요. 이건 이 제품의 문제라기보다 블루투스 키보드의 한계일 수도 있어요.

블로그 작성용으로 사용하려고 했는데 사진과 사진 사이를 한번에 넘어가는 기능이 없다던지,

지울때 빨리 지워지지 않는다던지,
'ㅋ'를 하나하나쳐야한다던지,
커서 이동이 느리다던지,
스크롤 내리는게 어떨땐 되고 어떨땐 안된다던지,
뒤로가기가 안되는 것 등이에요.

근데 이게 제일 불편해요.
심지어 뒤로가기 버튼이 있는데 누르면 홈으로 갑니다. 블로그 리뷰를 찾아보니 안드로이드는 된다고 하네요.

핸드폰으로 블루투스 키보드를 쓰는게 처음이기도 하고 오늘 반나절 정도만 사용해봐서 그런지 생각보다.. 키보드로 할 수 있는게 많이 없고 핸드폰 터치를 많이 해야하네요.

마음을 비우고 PC카톡용으로 사용하기에도 터치해야할 것들이 꽤 많구요.

소리는 적당해서 저한테는 소음이라고 느껴지진 않고 (도서관에선 사용 불가할듯) 터치감도 제가 쓰고 있는 유선키보드보다 좋네요.

제품과 배송은 문제없고 빠릅니다.
가장 큰 장점으로는 터치감(촉감)과 디자인인데 화이트라 그런지 애플같은 느낌이 있네요.

하지만 그렇다고 해도 아이폰인 분들은 진심 비추예요.
중요한 기능 중 하나인 뒤로가기가 되지 않으니 키보드 사용하다가 계속 흐름이 끊기는 느낌?
그냥 핸드폰 사용이 편할 정도예요.

휴대용으로 들고 다니기엔 힘들듯해요.
비교해보니 집에 있는 데스크탑 키보드보다 무겁네요.

핸드폰 거치하는 부분도 처음엔 안정적인 줄 알았는데 침대처럼 약간 흔들림이 있으면 핸드폰이 떨어지곤 해요.

반나절 사용 중에 네번 정도 떨어졌네요. 무조건 수평이고 움직임 없는 곳에서 사용해야 안전할 듯해요. 침대 위 등 흔들리는 곳이라면 떨어질 수도 있으니 뒤에 뭘 받쳐놓는 것도 좋을 것 같네요.

저는 블루투스 키보드 제품 자체에 대한 배경지식 없이, 애플 자체의 블루투스 호환 기능에 대한 배경지식 없이 단지 기대만을 가지고 사용했기에 직관적이면서도 답답한(뭘 모르는 아이의) 리뷰가 될 수도 있습니다.

그리고 이 외에 멀티페어링, 다양하게 쓸 수 있는 겸용, 튼튼한 내구성 등 나열할만한 장점들도 많은데요.

이건 사용하면서 누구나 충분히 느낄 수 있는 부분이기에 자세히 적진 않겠지만 장점도 충분히 존재하는 제품이라고 생각합니다.",['https://phinf.pstatic.net/checkout/20200627_143/1593263943977FDqeN_JPEG/KakaoTalk_20200627_171101274.jpg?type=f287']
3,"제품이 요즘 대세 크기엔 작아요.
아이패드 프로 12.9인치는 세로만 거치가 가능합니다. 가로는 제품 규격보다 커서 거치조차 안됩니다.
세로로 거치해도 거치대를 약 90%정도 차지해서 스마트 폰도 거치시키질 못합니다.
가로로 지금보다 3인치 정도는 더 키워줘야. 지금 쓰는 기기들과 폭이 맞습니다. 구리고 거치대 폭이 너무 넓어서 요즘 나오는 얇은 기기들은 너무 누워버립니다. 빨리 개선품이 나와서 기존 정품 사용자들 보상판매 해줬으면 좋겠습니다.
아니면 10.1 인치 TAP과 6인치 정도의 스마트폰이면 선전사진처럼 동시 사용가능합니다.
제가 사용하는 기기들 사이즈를 측정했다면 절대 안샀을 보조 기기네요. 키터치감이나 편의성등은 아주 좋습니다.","['https://phinf.pstatic.net/checkout/20200902_150/1599045998194eHAB0_JPEG/review-attachment-ca7d40f9-a96b-4b84-a69f-07607c9711cd.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_72/15990459993734dSAX_JPEG/review-attachment-4778d0cb-0d0c-4272-931d-71399d26e69f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_280/15990459993225rQCW_JPEG/review-attachment-0f3233f5-78a3-43da-9812-99ebadf50fdb.jpeg?type=f287']"
4,"우선 크기가 생각보다 크다고 느껴졌어요. K380을 사용하다가 이 제품을 보니 더 크게 느껴졌나봐요. 그리고 키감이 K380과 많이 다르더라구요. 이건 종류를 잘 알아보지 않은 제 불찰입니다. 이 제품은 학교 컴퓨터 키보드 느낌에 소리도 더 커요.(키 종류는 몰라서...ㅎㅎ) 처음에 사용할 때 확실히 손가락에 힘이 더 들어가더라구요. 하지만 적응하면 괜찮습니다~^^
디자인은 깔끔한 화이트라서 넘 좋아요. 블루투스 연결도 잘 되고 그냥 보고 있어도 뭔가 기분이 좋아지는? ㅋㅋ 디자인때문인가봅니다. 거치대는 아이패드 프로 11인치를 세로로 세우면 많이 불안하고, 살짝만 건드려도 바로 뒤로 넘어가요. 그래서 가로로 놓고 사용해야 안심이 돼요. 핸드폰 거치는 전혀 문제 없습니다~
그래도 거치대 있고 없고에 간혹 불편함을 느낄 때가 많았는데 잘 사용할 수 있을 것 같습니다.","['https://phinf.pstatic.net/checkout/20200928_115/1601262686663rDjB9_JPEG/review-attachment-ad64d0fb-d729-446f-8af8-a59dc4d94ba8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200928_284/1601262697155NOIy4_JPEG/review-attachment-9eed51fa-c2e3-4010-a31b-4a6227523365.jpeg?type=f287']"
5,"아이패드 프로 10.5 사용자입니다.
아이패드 살때 애플키보드 20만원 주고 같이 샀는데 1년 좀 넘게 쓰다 접촉불량으로 고장나더군요
그렇게 몇개월 터치로 타자치다가 화나가지고 검색검색하다 로지텍을 알게되어 사게되었습니다.
지금 4일째 쓰고있는데, 이제 두번다시 애플 악세사리 안살겁니다. 망할놈들

장점으로는 거치대를 따로 들고다닐 필요가 없다는 것, 그리고 인식이 굉장히 잘된다는것, 타자도 잘쳐진다는것, 키먹힘 거의 없다는것이 있습니다.
그리고 케이스 끼워도 거치대에 잘 들어갑니다. 근데 아이폰 5s는 케이스낄시 안들어갑니다.

단점으로는 . 카페에서도 옆자리에 사람 있으면 조심히 쳐야될 정도로 .
그리고 거치대가 포함돼 있는만큼 부피도 커서, 책가방을 매고 다니는 사람이 아닐시에 .
그래서 저는 집에서만 사용하는 중이고, 돌아 댕길때에는 그냥 터치 키보드 사용합니다.

결론은 , 한 장소에서만 사용할 사람만 사십시오.",['https://phinf.pstatic.net/checkout/20200827_39/1598522395620uypiF_JPEG/review-attachment-23fb0d26-51b3-4c57-864b-5ed0c2d8c50f.jpeg?type=f287']
1,"1. 무게감이 있어서 가지고 다니기 불편합니다.
(엄청 커요)
2. 한글 인쇄가 없어요.
(당연히 한글 전환키도 없어요. shif+space 로 전환해야 하나 불편해요)
3. caps lock led가 없는 것도 불편해요.

* 처음 받을때 부터 너무 오염되서 남의 쓰던 것을 반품한 상태로 저에게 주신것 같아서 몸시 화가 났습니다.
- 스마트폰 거치하는 부분의 검은색 붉은색 오염.
- 우측에 테이프로 붙였던 것 같은 자국 끈적 거림. 지워지지도 않음
- 스피이스바의 엠버는 닭고 닭아 반질반딜 다 코팅이 지워졌네요.

아무리 봐도 이건 신제품이 없어서 사장님 쓰던걸 보내주셨나봐요...","['https://phinf.pstatic.net/checkout/20200304_111/15833073648205egM2_JPEG/20200304_163517.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200304_105/1583307371487rdnum_JPEG/20200304_163524.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200304_218/1583307379641edWo2_JPEG/20200304_163530.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200304_109/1583307386721defDj_JPEG/20200304_163535.jpg?type=f287']"
