star_point,comment,photo
5,"로지텍이라는 오랜 브랜드 파워가 그대로 녹아 있습니다. 아주 만듬새가 깔끔하고 미니멀한 디자인이 맘에 듭니다. 기계식 키보드는 정말 오랜만에 다시 써보는데, 타건이 경쾌합니다. 적축이라서 딸깍 걸리는 반발감이 없는게 조금 아쉽긴 하지만, 모든 키가 일정한 누름저항력으로 경쾌하게 타이핑 되는 것도 괜찮은 기분입니다. 청축이나 갈축의 다른 옵션이 없어 선택의 폭이 없는 걸 빼고는 모든 부분 좋습니다. 다만 타이핑 소음이 생각보다 큽니다. 잘쓸게요.",['https://shopping-phinf.pstatic.net/20201127_1/c6c9d660-834c-4156-9974-a992986675a3.jpg?type=f287']
4,"생각보다 컴팩트하고 마감 및 타건감이 좋습니다.
다만 앞선 분 리뷰처럼 타건 소음이 좀 있는지라, 사무실에서 리포팅 용으로 쓰기엔 약간 부담스러울 정도의 소리입니다. 아울러 키 캡 높이를 감안 시 키보드 각도 조절이 미흡한 측면이 있습니다.",['https://phinf.pstatic.net/checkout/20201126_256/1606391686849c3XiY_JPEG/review-attachment-2b80004e-64ad-4799-84db-042998755bcd.jpeg?type=f287']
5,"믿고쓰는 로지텍 ㅋㅋ 화이트 살까하다가 마우스랑 어울리게 그래파이트색상으로 구매했습니다. 소음은 약간 있지만 집에서 쓸거라 상관없구요~
타건감 좋습니다. 기존에 g pro쓰다 처분했는데 이건 깔끔해서 너무 좋네요","['https://phinf.pstatic.net/checkout/20201128_198/1606532576154gMqTX_JPEG/review-attachment-bd061c4c-6e4a-48b8-9f44-2df0404d47a0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201128_93/1606532576054O4d6t_JPEG/review-attachment-70809f10-c974-41b9-ac8d-5a49b2ab5e6e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201128_198/1606532576251Js9hb_JPEG/review-attachment-53aeb6bd-4316-4be0-8de1-8a968791610f.jpeg?type=f287']"
5,로지텍 기계식 키보드 신제품이라기에 사봤는데 약간 비싼감은 있지만 키감이 너무 마음에 들어요 키캡각인만 빼면 디자인적으로도 괜찮고 타건시에 딸각딸각 거리는 소리도 좋습니다,"['https://shopping-phinf.pstatic.net/20201128_3/95309f36-7841-4e59-8ab1-e9daf673373e.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201128_1/b3ff8452-5b9b-4809-b833-4e3ea5556438.jpg?type=f287']"
5,"기계식 키보드 tkl제품 구매하려 대기중이엿는데 믿고 쓰는 로지텍에서 신제품 출시하자마자!! 생각도 안하고 바로 주문햇내요
사용해 보니키감이나 심플고급진
디자인도 좋습니다. 최고내요","['https://phinf.pstatic.net/checkout/20201128_295/1606570841293z0PHP_JPEG/review-attachment-c0b5aefd-789c-40d7-ad2c-871b25495458.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201128_90/1606570841406JKR2n_JPEG/review-attachment-5de77897-d26a-4527-bb61-ff5e7c0be815.jpeg?type=f287']"
5,터치감도 좋고 디자인이 우선 컴팩트합니다. 너무 작지도 크지도 않는 사이즈네요,"['https://phinf.pstatic.net/checkout/20201128_237/1606541141016uR8dW_JPEG/review-attachment-548e5f82-a68b-4448-aa68-1e7be092d1fc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201128_106/1606541141210fWXOd_JPEG/review-attachment-80d6743e-6f56-44ca-b351-fa425286c2a7.jpeg?type=f287']"
4,본격적으로 써봐야겠지만 키감은 좋습니다. 기존에 썼던 적축보다 타건음이 커서 사무실에서 쓰기에는 좀 적절하지 않을 듯해요.,['https://phinf.pstatic.net/checkout/20201125_98/1606273726266bKzrO_JPEG/review-attachment-90728f7e-0f10-478d-b474-6cb5da3dd184.jpeg?type=f287']
5,"오피스팩도 너무 맘에 들구요, 개인취향에 따라 다르겠지만, 무겁지 않은 타건감이 저는 너무 좋네요.",['https://phinf.pstatic.net/checkout/20201128_154/16065531628448asP7_JPEG/review-attachment-3b186c9b-b765-4a36-ab3f-87a01515094b.jpeg?type=f287']
5,디자인 감성 성능 모두 최고에요 진짜로,['https://phinf.pstatic.net/checkout/20201130_178/1606713193068vhDGe_JPEG/review-attachment-b80f0385-18a2-4a78-8ee4-503603b77528.jpeg?type=f287']
5,"빠른배송 굿~
타건감 좋네요.",['https://shopping-phinf.pstatic.net/20201128_3/f7375913-36dc-4a88-8e1c-a04a32c3fc58.jpg?type=f287']
5,빠르고 좋습니다...,['https://phinf.pstatic.net/checkout/20201127_83/1606460179164gGFUJ_JPEG/review-attachment-c8360992-8ce9-4a4f-a3c4-d548c7dd3b0b.jpeg?type=f287']
5,배송 빠르고 키보드 완전 마음에 듭니다 G304 마우스랑 흰색 세트가 되었습니다. 키감도 좋고 반응속도도 빠릅니다. 로지텍은 항상 실망시키지를 않습니다. 최고입니다.,[]
5,"타건감좋고 디자인도맘에듭니다.
선물로 구매해서 전달해줬는데
지인도 상당히 만족하네요",[]
5,배송이 빠르고 뭔가 다른 물건들을 만이 줘서 좋습니다.,[]
5,로지텍 키보드는 진리 입니다,[]
