star_point,comment,photo
5,"너무 좋네요
이런쪽에 관심이 없어서
그냥 있는거 사용해오다가
유선 선정리가 너무 안되어서
무선 알아보다 구매한건데
정말 기대이상이에요
컴팩트하고
기존에 쓰던거보다 손목도 편해요
불들어오는것도
타이핑느낌도 쫀쫀하고 착착 감기네요
휴대폰이랑 호환되는 점도 너무 좋아요
휴대폰은 작아서 오타도 많고 쓰기 힘들었는데
굿굿
쓸데없이 계속 타자치고 싶네요 ㅋㅋ","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_11_08_0/68a8eebb-2194-11eb-988f-246e963a4708_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201108_189/16048206538639GtIH_JPEG/review-attachment-16b3f8e1-022c-4c0d-a4df-16e35eff0adf.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201108_273/1604820654276okeaP_JPEG/review-attachment-99fa71bb-2e63-489a-8a9f-754dc43dfc84.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201108_72/1604820654309pLGcH_JPEG/review-attachment-f0010d9b-3d5b-4874-85c2-974284f07cc5.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201108_231/1604820654629weS4S_JPEG/review-attachment-58f80a30-3ef4-45fa-bdac-ac32ed439aff.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201108_68/16048206543985j1mu_JPEG/review-attachment-4b96aeba-2816-4de9-a79c-7971dec733b7.jpeg?type=f287']"
5,"기존에 로지텍 키보드 라인업중에 제일 고가인 크래프트 제품을 나름 만족하면서 사용하고 있었는데 사무실에 사용하려고 MX KEYS 키보드와 MX마스터3 마우스를 구입해봤습니다.
배송 받자마자 언박싱 하고 바로 사용 해보았습니다.
우선 배송은 상당히 빠른편이고, 결제하자마자 당일 발송 해주시는것 같습니다.

[키보드]

키감
그래프트 제품과 마찬가지로 팬타그래프 방식으로 특유의 경쾌하면서 적은 소음으로 로지텍에서 강조하는것처럼 사무실용 끝판왕이라고 봐도 무방 합니다.
키감은 기존에 사용했던 크래프트 제품과 거의 흡사하고 거의 동일 하다고 보면 될듯 합니다. 하지만 키감은 취향이라 직접 한번 사용해보시고 결정하시길...저는 개인적으로 만족스럽게 사용합니다.

무게감
개인적으로 것이 바로 제품 자체의 무게감이였는데
이번 MX KEYS도 마찬가지로 . 타자 치면서 키보드가 뒤로 밀리거나 이동하는 상황이 상당히 짜증나면서 거슬리는데, 전작과 마찬가지로 이번 MX KEYS 제품도 .

높이
그래프트 제품과 마찬가지로 이번 MX KEYS 키보드도 높이 조절이 안되고 고정형 입니다. 이 부분은 사용자에 따라 단점이 될수가 있다고 생각하는데 저는 개인적으로 키보드를 꽤 높이 기울여 사용하는 타입이라 이 부분이 불편할 것 같았지만 의외로 사용하면서 익숙해져서 불편한 점은 크게 느끼지 못하였고 익숙해지면 오히려 손목이 편한 것을 느낄수 있었습니다.

사용성
사무실용 PC와 노트북을 2대로 사용하는 저로써는 이번 로지텍 에서 개발한 로지텍 FLOW 기능을 한번 써보고 싶어서 이 제품들을 구입한 이유 입니다.
PC와 노트북을 별도의 설정 변경 없이 마우스 커서를 PC에서 노트북으로 이동하면 키보드도 바로 연동되어서 사용 가능한 것이 이번 제품의 가장 큰 장점이라고 생각합니다. 심지어 복사&붙여넣기도 가능합니다. 혹시 로지텍 FLOW 기능을 아직 사용 안하신분들 계시다면 한번 써보세요. 완전 신세계 입니다.
USB 수신기 수납합은 기기 내에 별도로 없습니다. 잊어버리지 않게 따로 잘 챙겨놓으시길...

디자인
암말하지말고 닥추, 크래프트보다는 좀 덜하긴 하지만 로지텍 특유의 미니멀한 느낌과 올 메탈 일체형 바디와 색감 개 간지! 사무실 키보드 끝판왕 인정합니다.

[마우스]
휠느낌
드르득 하는 느낌이 미세하게 느껴지긴 하지만 한번에 미끌리는 느낌입니다.
휠락 버튼으로 풀면 무한 스트롤 휠이 엄청 빠른속도와 양으로 이동 가능합니다.
딱딱 구분되는 느낌을 선호하시는분들에게는 호불호가 갈릴 듯 싶네요.

크기 & 무게
손이 작은편 이라 클로그립은 안되고, 팜그립으로 사용하고 있는데 손이 엄청 크신분들이 아니고서는 클로그립은 안되는 사이즈 입니다. 좀 큰편 입니다. 하지만 팜그립으로도 잘 쓰고 있습니다. !
개인적으로 무게감 있는 마우스를 선호하기 때문에 딱 좋은 무게 입니다. 노트북용 작은 마우스 같은 무게감을 원하시는 분들은 비추 합니다.

사용성
다른분 리뷰 보니 센서가 끈기는 현상이 가끔 있다고 하시는데 여태 사용하면서
저는 끈김현상은 한번도 없었습니다. 뽑기를 잘해서 그런지 모르겠지만, 로지텍 FLOW 기능을 사용하면서도 버벅이거나 끈김은 없었습니다.
제품 자체 성능보다는 노트북이나, PC성능으로 인해 버벅 일수도 있다고 생각되네요. 사이드 휠, 버튼은 전작보다 위치나 크기가 사용성이 훨씬 좋아졌습니다.
전작에 사이트 버튼 위치는 최악이라...개선이 됐다니 다행입니다.
키보드와 마찬가지로 USB 수신기 수납합은 기기 내에 별도로 없습니다. 블루투스로 사용하면 USB 수신기는 안쓰게 되니 잊어버리지 않게 따로 잘 챙겨놓으시길...

디자인
색상과 .
블랙 느낌 보다는 진한 그레이 색상의 무광 느낌,
하지만 무광 특유의 매트함 때문에 계속 사용하면서 먼지나, 오염이 살짝 걱정되는 부분입니다. 손에 땀이 많거나 유분이 많으신 분들은 마우스 자주 닦아 주셔야 할 정도입니다.","['https://phinf.pstatic.net/checkout/20201009_206/1602220134647GmAb6_JPEG/review-attachment-a562c65e-1ae8-409e-ae6a-d2d820810b54.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201009_83/1602220141926qo5By_JPEG/review-attachment-fc7ef7fd-3e48-495e-958c-ac8336f773a7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201009_54/1602220588478vBuYa_JPEG/review-attachment-b1d5154a-b199-42b4-8c32-b480a80724a7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201009_268/16022205960103crb8_JPEG/review-attachment-a0a22dc4-4142-4936-8bd1-3bad361de949.jpeg?type=f287']"
5,"빠른배송하고 역시 정품이라거 그런지 깔끔한 포장이 너무나 맘에 듭니다. 믿쓰 로지텍
묵직하고 안정감에 제 트랙패드랑 깔맞춤입니다 너무좋아요!

1. 맥북프로 16인치와 비교했을때 키감비교
= MX keys가 상대적으로 조용하고 중간에 움푹파여있는 각인 덕분에 더 쫀쫀(?) 합니다.

2. 풀사이즈 키보드****
= 에펙러인데 (모션그래픽 디자이너) 풀사이즈 키보드가 항상 필요했습니다 ㅠㅠ 키프레엠 한칸한칸 움직이는데 너무 힘들었는데 키하나로 착착 됩니다.

3. 키 설정 내맘대로!!!!!
####주목###
제일 중요합니다. Logitec options 깔아서 텐키 위에 스크린캡쳐 오른쪽에 키 하나로 Finder 메인 프로젝트 폴더 열기 설정을 Options에서 해놓는게 가장가장가장 편합니다 리얼 리얼 편합니다

고로 잘샀고 돈값합니다!! MX라인은 확실히 애플 느낌이네요 믿고쓰는 제품 느낌

**키스킨은 타사 제품이라 아쉽습니다 ㅠㅠ","['https://phinf.pstatic.net/checkout/20201118_246/1605709691142UeRNQ_JPEG/review-attachment-526baf86-129d-4d7b-944e-c1389c876575.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201118_88/1605709691525oOIBv_JPEG/review-attachment-a691eec0-e293-4441-ba7f-212cad4118e1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201118_106/1605709691492lHQt1_JPEG/review-attachment-32457dd3-7e3f-426b-a9dd-7f6ee88bea3f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201118_80/1605709691468R2qLa_JPEG/review-attachment-d6cdbaaa-b105-449a-afac-eeb072b70b41.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201118_228/1605709711545McCXF_JPEG/review-attachment-cd4b6fbd-b343-44c0-a6e2-99bbe3f591a4.jpeg?type=f287']"
5,"😀배송
수도권인데 일요일 주문해서 화요일 낮에 받았습니다. 빠르네요.
😀포장
포장이 부실하다는 리뷰가 많아 걱정했는데 키보드 자체 패키지 상자를 잘 받쳐주는 튼튼한 상자안에 넣어 보내주셔서 좋았습니다.
자체 패키지도 단단한 상자안에 키보드는 유산지로 한번 더 쌓여있어 안전히 온 것 같습니다.
😀구성
상자 커버 안쪽에 간단한 설명으로 설치도 간단히 했고 키보드와 그 밑에 있는 작은 상자에 동글과 케이블도 잘 왔네요. 설명서인줄알았더니 보증서와 마우스 홍보용 카드 ㅋㅋ 가 들어있습니다.
😀사용감
키보드도 쫀쫀하니 확실히 튼튼해보입니다. 맥북 내장 키보드에 비해 경쾌하고 누르는 느낌이 강합니다. 기계식 키보드보다 캡이 낮아 고민했는데 가볍고 좋네요. 더 사용해봐야겠지만 아주 만족스럽습니다~!","['https://phinf.pstatic.net/checkout/20200908_47/1599569647126k5M3F_JPEG/review-attachment-98f771a4-eeaf-4718-8158-6847f1ce1367.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_189/1599569647133nG7gz_JPEG/review-attachment-7ff39470-2c5e-4ace-8e76-c8c8a3d6c6e2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_254/1599569647341N2t7B_JPEG/review-attachment-bc88465d-2c71-4163-99fb-a845ef89282a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_291/1599569647180MJH3Q_JPEG/review-attachment-96235b09-453b-4b8c-86bd-0d768a46519c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200908_135/1599569647044vpSra_JPEG/review-attachment-b7014f83-3561-4463-91dc-c80c09c2b0f0.jpeg?type=f287']"
2,"꼼꼼히 포장 해주셨네요. 키 배열은 사무에 최적화 되어 있고 윈도우, 맥 환경 모두 호환되는 키 배열이네요. 이점 아주 마음에 듭니다. 오목 라운드 키캡은 피로감을 줄여 주는 느낌이구요. 디자인은 아주 정숙하고 세련되어 보입니다. 프로페셔널 비즈니스 맨 느낌입니다. 묵직한 무게는 연속 키인을 해도 안정적 타이핑감을 제공하네요. 백라이트 끄고 써도 괜찮네요. 5개월까지 가진 않겠지만 번겁로지는 않을 것 같군요. ㅎㅎ","['https://shopping-phinf.pstatic.net/20200913_6/f72c1556-385f-4db4-92f2-79f93511db91.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200913_10/d26cb4d4-6c4d-4431-b2a0-46c0c493c0d5.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200913_18/03e871c2-8585-4dee-840c-da329fb79b9a.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200913_16/2b3e144d-c4bb-40a8-836d-657063730ed1.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200913_26/4106ba40-5108-4ab5-9236-67d6648a8569.jpg?type=f287']"
5,"회사에서 사내망과 인터넷망이 분리되어있어서 멀티페어링되는 제품 찾다가 구매하게 되었어요!
기존에 k380 키보드랑 키감이 비슷하다고 해서 믿고 샀는데, 저소음에 쫀득한 키감이 사무실에서 쓰기에 안성 맞춤입니다!

그리고 메탈 소재의 매트한 디자인은 완죤 취향 저격이에요!

컴퓨터는 동글이 꼽고, 아이패드와 아이폰은 블루투스로 잡아서 사용해봤는데,
전환하는 키 위치도 적당해서 완전 만족 하면서 사용 중입니다 !!!

블루투스 키보드는 자판 구성이 일반형이랑 다른 경우가 많아서 적응하는데 시간이 꽤 걸리던데,
MX KEYS는 계산기 버튼도 있어서 진짜 유용해요!!!

완전 강추하는 제품 입니다!!

P.S 이번에 플렉스 하는 김에 MX MASTER도 함께 구매했는데, 진짜 너무너무 이뻐요 !!","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_24_0/a32ef11c-fe51-11ea-971d-48df37ae3fca_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200924_73/1600943795393NCJPT_JPEG/review-attachment-84948c94-830f-4f35-bd9a-f6c93e4775aa.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200924_126/1600943796085wkCFw_JPEG/review-attachment-0d0da7a9-bd79-4346-95dc-0992f11868a5.jpeg?type=f287']"
5,"이것을 살지, 모니터를 살 지 고민했는데, 아직도 고민중입니다. ㅠㅠ 근데 그만큼 이 키보드가 좋아요

애플의 맥북키보드를 2012년에 처음 만졌을 때가 생각납니다. 그 때 신세계였는데, 이 키보드는 그것보다도 쫀득한 느낌이 나서 더 좋습니다.

거기다가 무게감도 있어서 안정적이고, 겉에 알루미늄 합금 소재의 어떤 쇠로 되어 있어 오랫동안 사용할 수 있을 것 같습니다.

그리고 이지스위치! 절대 사용 안할 것 같다고 생각했지만, 막상 핸드폰이랑 컴퓨터에 설정을 해놓으니 사용하게 됩니다. 지금 이 글도 핸드폰 타자가 아닌 핸드폰에다가 키보드로 작성하고 있습니다.

키보드 백라이트의 경우 키면 10일, 끄면 6개월을 간다고 해서, 한영타자를 외운 저로써는 굳이 안 키고 사용하고 있습니다. 하지만 손을 가까이 가져다대면 레이다 인식으로 자동으로 불빛이 켜지는 것이 신기하기는 하네요. 어두운 환경에서 일하시는 분들은 켜놓으시면 멋있을 것 같습니다. 하지만 전 배터리를 충전하기 귀찮아서 스킵하도록 하겠습니다. ^^

한글키가 있는 것이 좀 아쉽습니다. 영어만 써져 있었다면 조금 더 깔끔할 수 있지 않았나, 영문각인버전으로 따로 판매했으면 좋겠습니다. 하지만 뭐 한국에서 한영각인 키보드를 사는 것 가지고 뭐라 할 수는 없죠.

각도를 따로 조절할 수 없는 점도 살짝 아쉽습니다. 그런데 이 각도가 제일 안정적인 것 같아요.

그리고 이 가격대면... 손목 패드는 당연히 증정해야 하는 것 아닐까요? 2만 5천원을 더 주라니.. 너무하다.. ㅠㅠ 근데 그건 미국에서도 그러니까 많은 말은 안할게요

펜타그램 키 치고는 이렇게 편하면서도 안정적이고, 소리가 잘 안나는 키보드는, 사실 같은 계열의 Logitech Ergo, Logitech Craft 말고는 없습니다. 그리고 그 제품들은 20만원 상당이죠. 저도 샵에서 사용만 해보고 사지는 못한 그 키보드들...

유튜브에서 리뷰도 많이 있으니까 꼭 필요하신 분들만 사세요~ 개인적으로 돈 값은 하는 것 같습니다만, 모든 사람들이 이 키보드를 써도 만족할 것이냐 하면 그건 아닌 것 같습니다. 아무래도 그만큼 가격이 더 나가서;; 그리고 미국에서 99불이라는데 한국에서는 130,000원보다 더 나간다는게 사실 좀... 좀 그렇네요...

아무쪼록 다른 후기들과 유튜브 후기들 많이 참고하시고 구매 결정 하시기 바랍니다~ 게임하시는 분들은 비추! 문서작업용으로 구매하실 분들에게는 강추!

P.S. USB Type C 좋아요... 너무 좋아요.. 계속 제품군에 C타입 추가해주세요...!!","['https://phinf.pstatic.net/checkout/20200728_217/1595899389273jGoua_JPEG/review-attachment-e3441ba0-df94-4a55-af0b-5abf1e7972e9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200728_260/1595899410303bboDR_JPEG/review-attachment-60e33e42-0ac1-4d33-8c7e-bbd0f2bdf196.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200728_120/1595899429806Jsyjn_JPEG/review-attachment-06a5a168-2869-4bb6-97fc-393721e08cb8.jpeg?type=f287']"
5,줄수 있다면 별점 무한으로 드리고 싶네요 아무래도 비싼 키보드다보니 택배로 받을때 파손이될까 걱정이 되더라고요 그래서 품질은 둘째치고 포장에 신경써주는 쇼핑몰을 찾아보았습니다 그런데 다른쇼핑몰 후기들은 뽁뽁이를 안 넣어 박스가 찌그러지거나 충격으로 인한것인지는 모르겠지만 제품 불량인 후기들이 꽤 보이더라고요 그렇게 열심히 검색한 결과 유일하게 뽁뽁이 넣어주는 쇼핑몰을 찾아 바로 주문하게 됬습니다. 딱 봐도 하나하나 신경 써주신 느낌이 듭니다 만약 다음 에도 구매할 기회가 생기면 꼭 여기서 구매하겠습니다. 다른 분들도 여기서 꼭 사시길 추천드려요,"['https://phinf.pstatic.net/checkout/20200826_68/1598436090282ky5ak_JPEG/review-attachment-ecc1b7ff-3aaf-44d6-b27a-06d0ded65baf.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200826_182/1598436217208jT0AB_JPEG/review-attachment-fa6e10bf-6d73-4949-b56a-109cf0cf327e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200826_162/15984364093222YJuR_JPEG/review-attachment-18b1b985-a713-476f-bf92-b4f9c586a3ea.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200826_101/1598436581770Uypb5_JPEG/review-attachment-924b5fb3-95b9-4270-b76f-9b506e52f6dc.jpeg?type=f287']"
5,"가격이 만만치 않아서 고민하다 샀는데 잘산것 같아요. 부드러운 터치감과 조용하게 놀러집니다. 알루미늄 케이스라 무게감도 상당합니다.
국내정품이면서 꼼꼼하게 보장되어 왔어요.
같이 구매한 키스킨도 잘 맞구요. 먼지가 끼는걸 잘 방지해 줄수있겠네요","['https://phinf.pstatic.net/checkout/20200922_253/1600753443822BUJSn_JPEG/review-attachment-4ffc9970-09f3-45df-b969-d0c7c5e4aade.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200922_274/1600753444184n0nvl_JPEG/review-attachment-a43e7e12-d66c-4099-b09e-5d06c0f18982.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200922_109/160075344483574wb1_JPEG/review-attachment-3a8b39d6-04ba-4797-9015-fd2ae8a324b6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200922_182/1600753445337jX9s2_JPEG/review-attachment-2faaee61-dd5b-4aba-b307-149dbe257e59.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200922_112/1600753445622umm5i_JPEG/review-attachment-028280c9-3c5d-4278-85e3-598265faad81.jpeg?type=f287']"
5,"너무 괜찮아요
진짜 만족👍👍
키감 맘에 들구요
메탈 바디여서 무게감이 어느정도 있어서 안정적이에요
좌우 무게 밸런스도 잘 맞고 맘에 쏙 듭니다
더 비싼 기계식 블루투스 키보드도 써봤는데 이게 훨씬 낫네요
내가 원하는 대로 fn키 커스텀 하는것도 이렇게 편할수가 없어요
사시면 절대
저도 블루투스 다 찾아보고 결국 여기까지 온거거든요
하나 아쉬운 점을 말씀드리면 포장은 비닐 한장이에요
덕분에 안에 종이 박스는 모서리가 다 조금씩 찌그러져있구요 본체에는 아무런 이상이 없었지만 이런 부분은 좀 신경써주세요
페어링하는 시간은 아이패드에서 노트북으로 가는거는 유니파잉 수신기라서 그런지 1초도 안걸리구요
노트북에서 아이패드로 가는 거는 3~4초 정도 걸려요
이정도면 빠른 편입니다
더 비싼 기계식 블루투스 키보드도 써봤지만 이것보다 느리게 전환되더라구요
쨋든
마지막으로
그라파이트 색상이 실제로 보면 고급스러워요",['https://shopping-phinf.pstatic.net/20201107_12/0c3c1bf5-13f3-4d7e-8c73-59fd10edde46.jpg?type=f287']
