star_point,comment,photo
5,"배송 빠르게 잘 받았습니다~ 며칠전까지 파는 곳이 한 곳도 없어서 단종된 줄 알았는데 물량 수급이 됐는지 다시 판매하네요 :)
회사에서 맥북 쓰고 있는데 맥북 기본 키보드로 사용하려니 자세가 너무 불편해져서 맥용 키보드 알아보다가 맥 전용 키보드는 따로 나오는 제품이 다양하지도 않고 무선은 더더욱 제품이 한정적이라 다들 썩 맘에 들지가 않더군요.
무선 지원에 맥북 키보드랑 완벽하게 동일한 레이아웃을 제공하는 키보드는 이 제품 뿐인 것 같아 가격이 좀 쎄지만 이 키보드로 구입했습니다.
로지텍 브랜드면 PC 주변기기의 명가이기도 하고 MX 시리즈는 로지텍의 사무용 기기 최고 사양 제품이라 가격이 좀 쎈 부분은 납득이 됐습니다.
서론이 좀 길긴 했지만, 받고 나서 개봉 해 보니 . MX Keys for Mac은 그냥 MX Keys와는 다르게 색상이 맥북과 비슷한 컬러인 것도 하나의 포인트라 할 수 있겠네요~ 전반적으로 가격은 좀 비싸지만 충분히 제 값을 하는 만족스러운 제품 같습니다 :)","['https://phinf.pstatic.net/checkout/20201027_300/1603804806858rtSue_JPEG/review-attachment-89410108-5652-4889-b82e-c52a443d96a8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201027_94/1603804807093Vl2Yl_JPEG/review-attachment-9c84384f-5fef-40f3-97a2-b075bf55dc20.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201027_279/1603804809268JKWkh_JPEG/review-attachment-a95784af-4dd7-497e-ac57-23869f580665.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201027_121/1603804809492hlanH_JPEG/review-attachment-bcd137c4-db1d-4fd7-b3ac-13eb4fd3729d.jpeg?type=f287']"
5,"원래 mx keys 보통 버전을 구매하려했는데 맥용이 따로 있다는걸 알고 맥용으로 구매했습니다. 보니 키 레이아웃이 다르더라구요. 처음에 연결하는법을 잘 모른채로 막 사용을 해보려다 안돼서 고장난건가 했는데 지금은 잘 연결해서 사용하고 있습니다.

키가 깊게 들어가는 스타일이 아니어서 호불호는 갈리지만 키감이 매우 마음에 드네요. 움푹파인 키들도 매우 좋구요.

얇은 두께로 휴대성이 좋으나 금속재질 바디로 인해 무게는 조금 있습니다. 물론 그만큼 견고한 느낌입니다.

현재 맥북, 아이패드, 아이폰 3개를 연결해서 쓰는데 .","['https://phinf.pstatic.net/checkout/20201015_4/16027273164619mWxp_JPEG/review-attachment-930a63e9-a0e3-41cf-a9bf-72198d8b42ca.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201015_11/1602727316593daDRY_JPEG/review-attachment-8d8c61e2-2d4a-4b3e-b12d-f8b5d8d41088.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201015_234/1602727316620LiPCg_JPEG/review-attachment-8ac17f3a-a206-4aab-be78-f472b3fdcd5b.jpeg?type=f287']"
5,"요새 다시 회사 재택이 시작되는 바람에
집에 있는 사무 환경 강화를 핑계로 MX for Mac 키보드를 하나 구입했습니다. ㅎㅎ
(사무실에서는 로지텍 k780 쓰고 있습니다.)

저는 기존에 각종 기계식 키보드와 무접점 키보드 (키크론, 해피해킹, 리얼포스) 등 많이 사용해 왔고,
소위 끝판왕 키보드들도 써봤습니다.

허나 맥북에 정착하면서 맥북 특유의 나비식 키보드 및 매직 키보드를 접하면서
오히려 기계식, 무접점 키보드 같이 먼가 움푹 누르는 키감이 상당히 불편해 졌습니다.

엠플레인 키보드와 애플 키보드 왔다갔다 하나가 정착한게 로지텍 키보드 입니다.
그 중 이번에 산 MX for Mac 키감은 딱 k810가 비슷합니다. (사진 속 작은 키보드. 키감으로 최고의 키보드. 현재 단종)
키감이 상당히 쫀득쫀득 한게 특징이고, 키가 움푹 들어가지 않아서 피로감도 없습니다.
게다가 업무에 적합한 . :)

진작에 샀어야 하는데,
그 와중에 이번엔 다른 키보드 사볼까? 고민했던게 시간 낭비 였네요...
이 키보드가 끝판왕 입니다.

잘 쓰겠습니다. :)","['https://phinf.pstatic.net/checkout/20200902_194/1599026537976xLf6f_JPEG/review-attachment-f7516afd-5e53-4440-9bcc-a1181a107fb6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_54/1599026546186o4bDL_JPEG/review-attachment-65591fe1-11fa-4d37-aea0-39ca11f1271a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_110/1599026546380ykyMy_JPEG/review-attachment-32386e30-1fe4-4577-8518-c01181a3082c.jpeg?type=f287']"
4,"제품이야 말할 나위도 없이 최고인데요, 배송의 상태가 조금 아쉽기는 합니다 .이미 뜯은 흔적이 여실히 남아있는 박스에 뽁뽁이만 둘러 재포장이라서... 뭐 박스낭비 줄이는 것은 좋지만 찜찜한 기분이 드는 건 사실이네요 그 외에 제품미개봉 씰링은 잘 붙어있더군요.

다만 맥전용 제품임에도 불구하고 초기 설정할 때에 mac OS와의 버전 충돌 문제 등등, 아직 개선이 필요한 부분이 있었어서, Logitec Options에 연결 하는데까지 시간을 좀 잡아 먹었습니다.

배송 늦은건은 미리 자세히 안내주셔서 별로 개의치 않았어요.","['https://phinf.pstatic.net/checkout/20200919_240/1600521779472rMxJU_JPEG/review-attachment-235ebe92-2870-4d3e-916f-673780d783c9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200919_224/1600521779471rxAqC_JPEG/review-attachment-f7af4aa6-90b6-443b-aeef-901e8c4ced93.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200919_5/1600521779412AX2Ah_JPEG/review-attachment-3ff37bc0-d8ed-43cc-9cd9-abcbde0cb094.jpeg?type=f287']"
5,"기존에 사용하던 매직키보드랑 비교 샷입니다~ 1세대 사용중이었는데 너무 오래 사용하기도 했고, mx keys 나왔을때부터 눈여겨보고 있던터라 mac 버전 나왔다하니 구매하게 되었네요. 키감은 쫀쫀한게 여타 펜타그래프랑 비교불가이기는 한데(나비식 맥북프로 키보드랑 비교는 정말..), 살짝 키압이 있는터라 기계식 키보드를 병행해서 쓰는 사람들은 좀 호불호가 있지 않을까 싶습니다. 키압이 낮은 적축키보드도 같이 사용하고 있는데, mx keys가 더 키압이 높을려고 하니깐요. 하지만 그 외에는 맘듬새도 너무 좋고 이동성이 떨어질수는 있겠지만 묵직한 무게감 덕북에 타이핑시 키보드가 흔들리는 느낌이 전혀없어서 안정감있는 느낌이 너무 좋았어요. 풀사이즈키에 텐키까지있는거라 크기는 좀커서 사실 휴대용은 아니죠 ㅎㅎ 특히 사소하지만 마음에 드는건 잠금버튼!! 물론 단축키로도 잘 사용하고 있지만,우측 상단의 자물쇠 버튼만 눌러도 맥북이 화면잠금으로 전환되는게 은근히 편하네요. 타이핑 하면서 오타율 테스트도 해봤는데 매직키보드나 기계식키보드보다도 적어서 당분간 메인 키보드로 사용될 것 같네요.",[]
5,"MX MASTER 3 for mac 구매 후
결국 키보드 까지 구매했습니다.

역시 매우 마음에 드네요. 매직키보드와 비슷한 느낌입니다.
웹서핑/사무용으로 최고인거 같습니다.
LED는 아주이쁩니다. 배터리때문에 매일 켜놓을지는 모르겠네요. ㅎㅎㅎ

맥북/윈도우노트북/아이폰/아이패드 (최대3개) 와따가따 이거 정말 물건이네요 ㅎㅎ
마우스보다 연결이 더 쉽습니다~~~~
영문제품도 판매하면 좋을 거 같습니다.
에스라이즈님 팜레스트도 같이 판매하면 좋을거 같습니다. 배송비포함.
에스라이즈/로지텍님 영문판도 판매해주시면 좋을거 같습니다.
로지텍님 텐키리스도 출시해면 좋을거 같습니다.","['https://phinf.pstatic.net/checkout/20200901_299/1598951316372WuXsX_JPEG/review-attachment-6f10c42f-dd3a-402e-8fbf-fd752166390e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200901_56/1598951417864uTIdT_JPEG/review-attachment-add3f620-6485-424d-902c-c8eda9e60c2d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200901_209/1598951418008EwFPW_JPEG/review-attachment-f7ed1601-6109-4a85-b03b-aded3fb13551.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200901_163/15989514180005QxAY_JPEG/review-attachment-b1242ac3-1df2-4475-a7d9-8ad717aaec95.jpeg?type=f287']"
5,애플키보드를 사려다가 로지텍에서 맥용으로 MX Keys 제품이 나와서 구매했는데 가격은 애플에 비해 저렴하고 백라이트나 여러기기에서의 사용성 등 기능은 더 뛰어납니다. 생각보다 묵직하지만 책상에 올려주고 사용하는 제품이니 크게 불편함은 없구요. 키감이나 전체적인 마감등도 만족스럽습니다. 색상도 스페이스그레이 제품들과 잘 어울려요,"['https://phinf.pstatic.net/checkout/20200818_281/1597708343430W289h_JPEG/review-attachment-83c02620-09b0-400b-963e-56015a70b48b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200818_212/1597708343479aYAW2_JPEG/review-attachment-d0ba01ed-2af4-41de-8457-581f5332cf60.jpeg?type=f287']"
5,"원래도 로지텍 블루투스 키보드 사용하고 있기는 했는데 (k380인가) MX master 마우스를 구매하고나니 키보드도 세트로 맞춰줘야할 것 같더라구요 그래서 고민하다가 매장가서 눌러도 봤는데 키감이 너무 좋더라구요 냉큼 구매해버렸습니다 ..세트로 같이 있으니 간지도 2배네요

물론 mac용이여서 윈도우에서 사용하기에는 조금 어색한 감이 없지않아 있기는 한데...? 익숙해지면 괜찮긴합니다 alt자리나 한영키 자리..?가 헷갈리긴 하지만...맥용으로 나왓는데 윈도우에서도 쓸 수 있다니 감사해야죠 뭐 ㅋㅋ

일단 타자치는 맛이 납니다 ㅋㅋ 최고.",['https://phinf.pstatic.net/checkout/20201019_40/1603107151230d0mDf_PNG/review-attachment-8881939b-a044-4353-856e-db8ab0b5a47b.png?type=f287']
5,배송이 그리 빠르지 않았다는 점을 제외하고는 마음에 듭니다 키보드를 치는 순간 쫀득하다는 키감이 뭔지 알것 같았어요 펜타그래프 키도 맥의 스페이스 그레이 색상인것도 마음에 들고요 키보드 체인지가 엄청 빨라요 정말 마음에 드는 점이에요 윈도우용으로 살까하다가 맥도 쓰기에 샀는데 아직 키 설정이 익숙하지 않아서 그렇지 키감이나 대체적으로 만족이에요 키보드는 유니파잉인데 마우스는 유니파잉이 아니어서.... 블투안되는 컴터에서는 사용이 안되네요 잘 참고하세요,['https://phinf.pstatic.net/checkout/20200820_184/1597896560544boqbh_JPEG/review-attachment-1a5d916a-d8d5-425b-95d3-62e07407439e.jpeg?type=f287']
5,"비싸지만 비싼값하네요
맥 윈도우 아이패드에서 전부 연결 잘 되고
색상도 스그색상이라 맥북하고 너무 잘 어울려요
그리고 기분 탓인지 모르겠지만
백라이트가 기존 mx keys제품보다 좀더 어둡고
키보드가 쫀득쫀득한 느낌입니다
키보드 캡 자체가 다른 느낌??
전체적으로 너무 만족합니다
최근 지른 전자기기중에","['https://phinf.pstatic.net/checkout/20200812_67/1597215987275LFADe_JPEG/review-attachment-e5222e2f-c97c-4fe8-8fa4-19b5ddfceb1f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200812_252/1597215989680kKlDt_JPEG/review-attachment-223fe4a4-f72c-410b-a839-7a857f70e1ec.jpeg?type=f287']"
