star_point,comment,photo
3,"'제품' 과 '판매'로 상품평을 남겨보자 합니다.1. 제품만 보았을 때해당 제품은 리시버를 포함하고있으며, 호환성 좋은 bluetooth가 아닌, 리시버를 연결해서 쓰는 무선방식입니다.스마트폰, 태블릿pc에 연결 할 때 하드웨어적 애로사항이 생긴다는거죠.실제 로지텍 정식 사이트에서도 K400 Plus 제품에 Bluetooth 라고 표시하지 않고 Logitech 2.4Ghz 무선 기술로 표시해 두었습니다.(K480 의 경우 '무선 Bluetooth 3.0' 으로 표시)리시버가 블루투스와 같은 2.4Ghz 주파수를 사용할 뿐이지 리시버를 연결해야 하는 불편함이 있으니 추천하지 않으며,이 가격이면 같은 로지텍 K480을 추천 드립니다.뿐만 아니라 애매한 키배열, 자주 눌리는 터치패드로 (터치패드 비활성 기능 없음), 만약 타자를 많이 쳐야 한다면 사지 않으시길 바랍니다. 그래도 터치패드가 달린것이 필요하다면 고려해 볼 만 합니다.(K400 스펙표시 : https://support.logi.com/hc/ko/articles/360023464113)(K480 스펙표시 : https://support.logi.com/hc/ko/articles/360024701533)2. 판매 관점에서제품 설명 사진이 매우 부족함.세장 딸랑 있는게 무슨 자신감인가 싶어 구매했으나 진짜로 저 사진처럼 온다는게 진실.심지어 우측상단 Logitech 로고가 어색하게 생겨먹어서 여러 언박싱 영상들을 비교 + 과거 비슷한 경험으로 미루어보아정품은 맞으나 제조일자나 제조국 차이로 로고가 바뀌는경우가 있던것을 고려, 이는 그러려니 하고 넘김.문제는 제대로된 박스가 없이 배송온다는 것.어떤 리뷰글, 영상을 봐도 꼴랑 흰박스에 에어캡포장은 여기가 유일무이함. (난 무슨 리퍼브 상품인줄 알았잖)하다못해 제품의 보증서, 옵션일 수도있지만 다른곳은 포함돼 있던 건전지도 미포함.이 가격에 구입할 합리적 이유를 찾지 못함.정식 소프트웨어랑 호환 되는거 봐선 정품은 맞고 기능도 정상 작동하니진짜 터치패드 없으면 죽어도 안된다 하시는분은여기 말고 제품보증서, 설명서 주는 판매처에서 사시길 바랍니다.저런 문서는 기본이니까요.",[]
4,"홈PC용으로 마이크로소프트와 이 제품 둘 중 고민하다가 구입했습니다.

가격대비 마감이나 품질이 썩 좋은 편은 아닙니다.
4만원이 넘는 제품에 마감상태나 플라스틱 재질이 많이 좀 아쉽네요.
키감은 당연하겠지만 펜타그래프 방식이니 참고 하시고요. (키감은 일반 노트북이랑 거의 비슷)

터치패드 감도가 썩 좋은 편은 아닙니다.
음... 그냥 일체형으로 편하게 쓴다는데 의미를 두는게 맞을 것 같습니다.",['https://phinf.pstatic.net/checkout/20200530_125/1590797951979snwNR_JPEG/8B42844A-661F-4D42-833E-2B4657DCF28D.jpeg?type=f287']
5,이너맥스 키보드를 오래사용해오다 보니 자판의 키들이 잘 안먹히기시작해서 새로 키보드를 구입하려 검색해봤습니다.고장난 이너맥스키보드는 트랙볼 형식이라 트랙볼형식의 키보드들을살펴보니 제품수도 몇 안되고 대부분제품이 트랙볼 작동에 문제가많다는 이용후기를 보고서 터치패드방식의 키보드를 알아봤습니다.로지텍k400 r을 다른 컴퓨터에서 사용중이었기에 로지텍제품들을 살펴봤습니다.보니 k400플러스제품이 눈에 보였습니다.k400 r의 개선된 제품으로 보여서바로 구매했습니다.배송은 주문 다음날 도착했습니다.사은품으로 온 미니선풍기와 볼펜도 외견상괜찮아 보입니다.볼펜심은 독일제라 필기하기 좋네요.수령한 로지텍k400플러스를 사용해보니 무선 인식상태는 아주 좋습니다.좌판배열이나 키감등은 k400 r을 사용중이라 큰 불편은 못 느끼겠네요.한가지 k400 r과 다른 점은 prtsc기능키입니다.k400시리즈는 delet키가 prtsc기능키 역할을 동시에 하는데 k400플러스에서는 back키가 prtsc기능키역할을 한다는게 다른 차이점입니다.prtsc키 찾느라 로지텍홈페이지나 검색사이트에서 1시간은 헤맨 것 같습니다.결론적으로 좋은제품 잘산것 같네요.,"['https://shopping-phinf.pstatic.net/20190827_17/8d8b8c8a-a8f1-429b-a043-9fb0a21d3a5e.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190827_12/cd9c7445-38a8-4b3f-9585-e9bf20ab489b.jpg?type=f287']"
5,타 사이트는 영문키로만 팔던데 한영키 파는 곳은 여기가 유일합니다! 키보드 치곤 가격이 조금 있는편이지만 터치패드로 마우스 대용으로 사용할 수 있는 점이 좋고 로지텍 키감 좋잖아요^^ ~ 가벼운 키감이 넘 좋습니다! 연결도 빠르게 잘 되고 맘에들어요! 배송도 하루만에 왔네요! 담당자님이 상담도 잘 해주셔서 잘 구입했습니다! 감사합니다~!,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_01_07_0/25212038-30f5-11ea-8ec2-505dac8c385b_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200107_155/1578363897126nzNJ1_JPEG/2020-01-07-11-21-58-852.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200107_195/1578363904782LyxFq_JPEG/2020-01-07-11-22-33-883.jpg?type=f287']"
1,무슨 신나 같은 걸로 무언가를 찌는듯한 자국이 두군데나 있습니다.귀찮아서 그냥 사용하려고 하는데 다른 분들은 참고하시라고 들 남깁니다.제품 개봉 전에 봉인 스티커 확인하세요.전 빨리 개봉하겠다는 마음에 봉인스티커 여부를 확인하지 못했네요.,[]
2,"LG 스마트 TV에서 YouTube 검색할 때 쓰려고 구입했는데...
불행히도 YouTube 앱에서는 자판 입력이 인식 안됩니다.
커서 이동이나 실행/일시정지 등의 키는 잘 동작하는데...
YouTube 앱의 문제인듯 합니다.
반품하기도 애매하고 엄청 후회됩니다.
혹시 스마트 TV에서 YouTube용으로 구입을 고려하신 분들은 거의 모든 키보드가 다 자판인식이 안되는 점을 생각하셔야 할 듯...",[]
5,닌텐도 스위치에 쓰려고 주문했구요. 가격대가 로지텍이라는 걸 감안하더라도 좀 비싼 감은 있습니다만 PC에 연결하면 터치패드도 잘 되서 마우스도 따로 필요없고 키감도 이런 형태의 미니키보드라는 걸 감안하면 괜찮은 것 같습니다.,[]
5,"집에서 노트북이랑 TV랑 연결해서 쓰려고 샀어요. 멀리서 키보드랑 마우스 따로 쓰는게 많이 불편했는데 정말 편하네요. 화면 전환, 앱 전환, 브라우져에서 검색, 음량 조절, 재생/정지 등 기능키가 아예 따로 있어서 정말 편해요. 딱 필요한 기능들이 다 들어있네요. 사이즈도 너무 크지도 작지도 않고 작당하네요. 그리고 사은품이 정말 한가득 왔네요. 잘 쓰겠습니다.","['https://shopping-phinf.pstatic.net/20190728_7/172c52f0-9580-4834-9813-4532181b5bd9.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190728_8/47ee903a-2b72-4877-ae6f-18dc85e46881.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190728_10/eb4b1b72-c891-404c-91ea-aeddb5f02025.jpg?type=f287']"
5,"마이크로소프트의 올인원 미디어 키보드와 고민하다 결정했는데요배송은 본 박스에 에어롤 감겨서 왔고, 파손없이 잘 받았습니다책상에서 간단히 작업하고 책상도 넓게 쓰려 구매했는데 저 나름은 만족입니다침대에서도 멀리 화면을 두고 영상을 보기도 편하네요11.6인치 노트북보다 키배열이 더 촘촘해보이지만.. 심하게 오타낼 일은 없었습니다","['https://shopping-phinf.pstatic.net/20190627_22/549a02fc-05e9-4f99-94a7-2cc88953dd43.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_1/89c87a9b-5b58-4eac-8ca1-39d2f9014b40.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_22/d987a6d2-466e-4531-81ae-04118d90ee66.jpg?type=f287']"
5,TV에 연결해서 사용하려고 구매했습니다.처음에는 키보드 생각을 안하고 리모콘으로 인터넷 검색하고 여기 저기 찾아 다녔는데참으로 힘들고 짜증도 나서 TV 기능을 다 써보지도 못하고ㅠㅠ그냥 옛날 TV 처럼 시청 용도로만 사용하다가뭐 좋은 방법이 없나 싶어 고민하다가 무선 키보드를 알게 되서 폭풍 검색을 하던중 로지텍 K400 PLUS 정품 무선 터치 키보드가 눈에 들어 오더라구요ㅎㅎ디자인도 좋고 사이즈도 적당한거 같고...더구나 평도 좋더라구요막상 제품을 받아 보니 더 이쁘고 가볍고 ㅎㅎ일단 연결이 잘되는지 싶어서 바로 TV와 연결해 보니헐...아무 세팅 없이 바로 TV와 키보드가 연결~완전 신세계였습니다...왜 진작 무선 키보드를 안샀나 싶네요...무엇보다 마우스 역할을 하는 터치 패드...맘에 쏙드네요ㅎㅎ'로지텍 K400 PLUS 정품 무선 터치 키보드' 완전 적극 추천합니다...,['https://shopping-phinf.pstatic.net/20191024_26/7e14f70e-28ec-451a-9b9d-1327cefaba31.jpg?type=f287']
5,HTPC용으로 처음 사용한 제품이 트랙볼 달린 키보드(제니x)를 사용하다 도저히 사용하기 힘들어 로지텍 디노보미니를 사용했습니다.세월이 흘러 교체하고자 알아보던 중 폭풍 검색으로 k400 플러스를 알게되어 여기까지 왔네요.디노보 미니 절반가도 안되는 제품이지만 성능은 그에 못지않습니다. 편하고 정확하고 내구성도 아주 튼튼해 보이는게 너무 마음에 듭니다. 주변분들에게도 소개해 주고 싶습니다.덤으로 사은품도 정말 빵빵하게 주네요^^,['https://shopping-phinf.pstatic.net/20190903_15/f405e915-feac-45ef-9e08-7d41a2a1e9ee.jpg?type=f287']
