star_point,comment,photo
5,"삼성 노트북과 태블릿과 애플 아이폰에 멀티로 연결하여 사용하고 있습니다. 전환도 되게 잘되고 입력도 잘 됩니다. 자판에 하자는 없구요 좋습니당 도착해서 한 5일? 정도 사용했는데 좋아요. 약간 노트북 키보드보다 살짝 시끄럽고 덜컹덜컹하는 느낌이에요. 근데 저는 노트북 키도드가 되게 답답했어서 이 키보드에 굉장히 만족하고 있습니다. 그리고 제가 손가락이 작아서 그런지 모르겠지만 오타 거의 안나서 ... 다른 분들 리뷰 보니까 오타가 되게 많이 나게 잘못 만들어졌다고 해서 고민을 많이 했는데 오타 잘 안나서 만족하고 쓰고 있어요. 아쉬운 건 모든 블루투스 키보드가 그러겠지만, 자판을 한번에 오래 많이 쓰다보면 입력이 눈에 띄게 딜레이 되는데, 그냥 계속 쓰고 잇으면 어느새 다 입력되어 있어서 크게 신경쓰이지 않아요. 그럼 한달 써보고 다시 리뷰쓰러올게요~~ 사진은 키보드 키가 뭐뭐 있는지 구역별로 나눠서 찍었어요. 구매하실 때 참고하시면 좋을 듯 해요. 예를 들어 스페이스 바 길이나 기본 펑션키 종류 같은 것들이요!","['https://phinf.pstatic.net/checkout/20200426_48/1587876819586hCGj3_JPEG/32964AD3-58FA-4655-A524-70AF2440AF1A.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200426_246/1587876819797LqNX4_JPEG/8093EE89-02D9-45F1-8F00-489BDA7D840D.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200426_230/1587876819796v84UR_JPEG/7447F988-5C99-40C2-B9F7-FF4CE1ADFD73.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200426_248/1587876820080J8lTG_JPEG/8A6DE488-9A2E-4964-B023-EBA88B5DE961.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200426_148/1587876820235ClQiP_JPEG/7E0600AE-F329-4928-9830-E30F1151B402.jpeg?type=f287']"
5,이번에 맥북을 구입하면서 윈도우와함께 사용할수있는 키보드를 찾던중 같은 회원님의 권유로 구입을 했습니다. 수령하고나서 실제로 사용해보니 멤브레인임에도 펜타그래프 같은 자판과 터치감을 느꼈습니다. 너트부에서는 쓰레기 취급을 하던 분도 계셨지만 가격을 생각하면 더구나 로지텍임것을 감안하면 이만한 키보드도 없는듯 합니다. 1.개인적으로 충전식보다는 건전지교체식을 더 선호하는 편이라 그점에 있어서는 불만은 없네요.2.키보드 터치감도 소리가 별로 나질 않아 가정용으로도 부족함이 없을듯 합니다. 3.자판의 크기가 커서 저같은 초보들도 부담없이 쓸수있게 되어 있네요.,"['https://shopping-phinf.pstatic.net/20200716_8/ab6e51ce-7429-4328-be45-0fa578082b5b.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200716_3/5c024c69-7641-4b63-b762-6d20dd94157b.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200716_8/2f6ae4b2-b9cf-4da0-9d57-20126c374f6e.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200716_1/471efab2-7b60-4674-8c05-d550d9a0c9c1.jpg?type=f287']"
3,"구매는 확정이지만 일단 주문시 몰랐던 사항은 영문자판이라는 것이다. 물론 한글이 자판에 써 있지 않더라도 한글문서 작업하는데는 지장없지만 그래도
처음에 볼 때 적응하기가 쉽지않고, 앞으로도 그럴 것 같다. 그리고 배송도
총알배송이라더만 4일걸려서 도착했다. 그리고 아래 리뷰에서 보듯이 키감이 매우 좋지 않지만 이가격에 블루투스 3대로 할 수 있는 것만도 가성비 좋다.
기기간 연결속도는 느리지만 작업하는데 지장은 없다. 신속하게 기기변환해서 타이핑 할 일이 없기 때문이다. 전체적인 총평은 , 영문자판이라 앞으로 적응될런지 걱정이다.","['https://phinf.pstatic.net/checkout/20201019_205/16031012956063SiFE_JPEG/review-attachment-fa08e6fe-f214-4a79-abea-7420944dc1cd.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201019_280/1603101295392Pp2MI_JPEG/review-attachment-dcf9edd5-9f0e-4afc-b012-70ca35a25df6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201019_131/1603101295434Ieg25_JPEG/review-attachment-71dc15a9-5594-4032-889f-35153a996bfd.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201019_177/1603101295770NgyBp_JPEG/review-attachment-17df8ecb-d9b2-48d2-9fab-580722f81b04.jpeg?type=f287']"
5,일단 배송이 너어무너어무 빨라서 좋았습니다. 또 기대 이상으로 무난한 키감과 같이 들어있는 거치대가 갤탭s lite까지 커버가 가능해서 지지력도 너무 좋은 것 같습니다. 내용물은 아주 간단하고 노트북/핸드폰/태블릿 연결 아주 잘됩니다. 또 다른 곳에서 주문하면 주로 키보드에 영어로만 되어있는 경우가 있는데 정식 판매처라 그런지 한영 전부 적혀있어서 사용하기 아주 만족스럽습니다. 다만 아쉬운 점이 있다면 수신기를 보관할만한 곳이 마련되어있지 않다는 점이지만 이부분을 제외하면 정말 가성비 최고입니다!,"['https://phinf.pstatic.net/checkout/20200611_24/1591872882214ALQvN_JPEG/20200611_192342.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_300/1591872900319c8H3o_JPEG/20200611_192418.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_147/1591872950069BwY9L_JPEG/20200611_192456.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_132/1591872984309l7bi9_JPEG/20200611_192543.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200611_244/1591873004537brtvY_JPEG/20200611_192709.jpg?type=f287']"
5,전에 컴퓨터에 딸려있던 무선키보드보다 조금 커서 그런지 오타가 계속 생기는데 적응되면 괜찮겠죠..ㅎ 터치감?느낌은 되게 부드럽고 좋아요. 단점은.. 문서작업을 자주하는데 F 단축키 쓰려면 항상 fn키를 눌러야한다는거예요.. 사용방법을 몰라서 그런가ㅜ 자꾸 햇갈려요ㅜㅜ 하지만 이쁘고 좋아요! 블루투스로는 안해봤지만 나중에 패드랑도 할 수 있으니까 기대돼요. 잘 샀어요~,"['https://phinf.pstatic.net/checkout/20200302_281/1583116380912yvpNe_JPEG/1583116368430-0.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200302_276/1583116388304auzdX_JPEG/1583116368430-1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200302_32/1583116392771Ru7Qv_JPEG/1583116368430-2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200302_19/1583116397876j8xBF_JPEG/1583116368430-3.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200302_293/1583116402708vwrBh_JPEG/1583116368430-4.jpg?type=f287']"
3,"""다""체를 쓰겠습니다. 이해바랍니다.

장점.
1.여러가지 화려한 기능이 많다.(블투, 동글이 둘다 가능)
2. 소음이 그리 크지 않다. 스페이스 바의 소리가 특이하게 다른 키보다는 크다.
3. 많은 사람들이 그러하듯, 동글과 블투 한번에 되고 숫자키보드가 있는 풀사이즈 키보드 치고는 가격이 저렴하다.
(이 부분때문에 본인도 구매... 가성비란게 뭔지..) > 이 기능 다 찾으려면 이 가격의 두배 이상은 줘야 하는데
키보드에 8~10만원을 쓰기가 싫었다..

단점.
1.이 기능(블투, 동글이)을 써보니, 다른 분들 말씀하신대로 동글이와의 연결은 무지 빠르다. 거의 느낄 수 없는 연결 속도..
하지만 다시 동글 > 블투로 넘어갈때 그 2~3초의 기다림이 별거 아닌거 같지만 은근 짜증남..

2. 키감이.. 쌉구리다.
오타가 많이 나고, 뭔가 멤브레인인거 같은데 이 쌉구린 키감하며, 오타가 많이 난다. 빨리 치려고 하면 안되고
정확이 눌려줘야 하며, 키 자체의 반발력이 커서 그런지 조금 힘을 줘서 눌러야 한다.
근데 키보드에 키감이 안좋은데.. 참.. 없는거 같다.
키감만으로는 예전에 내가 마우스, 키보드 셋트로 구매해도 3만원이 안되었던, k270 인가? 그게 훨 낫다..
지금은 후회 중이지만, 가격이 싸기 때문에, 뭐 나~~~중에 그냥 키보드 제대로 된거
하나 사야겠다.
타이핑을 계속 쳐야 하시는 분들은 비추임.. 그냥 한방에 이중으로 들지않고 좋은걸로 가시길 바람..",[]
5,"드디어 저의 업무용 무선 키보드 찾았습니다!!

K480, K580, K345 ---> K375s
K480 : 숫자키 없어서 불편
K580 : 숫자키 있으나 넘버락키 매우 매우 매우*10000 불편
K345 : 만족했으나, 멀티페어링 2개만 됨. 커피쏟아서 고장남ㅠㅠ
K375s : , 기본에 충실한 키보드. 업무용으로 최상입니다!! 가격도 착하고... 생활방수까지..!! (커피 쏟아서 하나 고장낸 1인으로..생활방수기능은 정말.. ㅋㅋ 그래도 키스킨은 하려구요..)

PC, 업무폰, 개인폰 - 3대 연결해서 쓰는데, 멀티페어링 엄청 잘 되고, 심플.간결.직관적이어서 좋습니다. 이미 3대를 보낸 사람으로써, 설명서 불필요 ㅎㅎㅎ

. 적응하느라 조금 걸리겠지만, 가격착하고, 기본기 충실한 제품이예요. 왜 이제야 찾았을까.. 널 찾으려고 이 언니가 얼마나 많은 애들을 보낸줄 아니? *^^* 업무효율 약 2배는 올라감. 기분은 3배 올라감!! ㅎㅎ

좋은 제품 저렴하게 감사합니다~~","['https://phinf.pstatic.net/checkout/20201123_295/1606094503553LYWST_JPEG/review-attachment-937a6a2a-7024-48c9-a136-3859d8a911a8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201123_120/1606097028921Avvp6_JPEG/review-attachment-837b2f6e-aa27-4fc5-b7f8-9138ef67230d.jpeg?type=f287']"
5,"신제품 출시해서 가격이 예전보다 저렴해진건지 모르겠지만 조금 저렴해진거처럼 느껴졌고 무엇보다 멀티페어링 되어서 정말 좋습니다. 게다가 블루투스 지원 안 하는 제품에는 IR 리시버 사용해서 사용 할 수 있다는게 장점인것 같습니다.
휴대폰과 노트북과 번갈아가면서 페어링 하는것도 쉽고 재연결도 에러 없이 잘 됩니다.
키감은 사람마다 다르지만 부드러웠습니다.
소음은 확실히 보통 쓰는 맴브레인 제품보다 조용한것 같습니다.
킥스탠드가 있어서 각도 조절이 가능합니다.
Mac 과 아이폰 아이패드에서는 써본적이 없지만 안드로이드랑 PC 윈도우 운영체제에서는 잘 됩니다.","['https://shopping-phinf.pstatic.net/20190830_7/299701b1-15b2-46a6-9cec-f681e8ba2171.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190830_3/59c5ac3f-b35c-4e58-b382-416614f41e70.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190830_24/78616933-f407-4fce-93ac-c077fa0e36ca.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190830_19/4111ecde-6387-4d7d-81bb-c693e13de179.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190830_0/e8df4938-5ec7-4e46-82db-ff70818b5436.jpg?type=f287']"
5,"전반적으로 키감도 좋고 다 만족 합니다. 정말 가성비 좋습니다. +_+저는 데스크탑, 노트북, 핸드폰 3가지 연결하려고 샀는데 전환하는 반응속도도 빠르다고 느꼈습니다. 완전 좋습니다! ㅋㅋㅋ 다만.. 2 % 아쉬운 점은.. 키보드에 붙이라고 별도 구매한 한글 자판용 스티커.. 없는게 낫습니다.추가 스티커 구매는 정말 추천하지 않습니다. 괜한 돈주고 샀다는 생각도 들고 괜히 붙였다는 생각이 듭니다.. 절대 사지 마세요;; 정말 정교하게 키 사이에 단 0.01 um의 오차 없이 붙일 자신 있으신 분과...'난 지저분해도 있는게 좋아!~ 신경 안써도 됨!' 이라고 생각 하시는 분만 붙이세요..근데 솔직히 우리 이젠 이런거 필요없잖아요? ㅠ- ㅠ 전.. 그래도 추가 구매해서 주고 산거니.. 괜찮겠지? 하고.. 혹시나 하고 붙였다가 폭망했습니다..구매 하실때 참고하시라고 작성 합니다. 자판 스티커 빼고는 모두 완전 만족입니다. 사업 번창 하세요!!",[]
5,"제 구매조건에 딱 맞는 제품이었습니다.

- 로지텍 무선 (함께 살 마우스와 리시버 하나로 쓰기 위해)
- 방향키 텐키 포함 풀사이즈일 것
- 그러면서도 전체 크기는 크지 않을 것.

거기에 부합하는 게 딱 2제품인데요. 많이 쓰는 K270과 이제품입니다.
물론 이제품이 더 비싸지만 k270보다 만듦새도 좋고, 집니다. 게다가 이제품은 블루투스도 됩니다.
로지텍 현재 판매하는 제품 중 고가인 Keys 를 제외하고는 키보드만 사라면 이제품이 거의 유일할 듯 하네요. 나머지는 다 텐키리스라서...

자세히 보니 M590마우스와 리시버가 같은 제품입니다.
이걸 두개 세트로 판매하면 참 좋을텐데 말이죠. 로지텍 세트에는 없습니다.

가격과 성능, 디자인이 적절한 포지션인 제품 같습니다.

P.S : 키감에 실망하셨다는 분도 계서서,
키감은 약간 높은 프로파일... 딱 멤브레인의 키감입니다.
K260이 K375보다 살짝 프로파일이 낮습니다.
그래서 저항감이 좀 적어 키감이 쪼끔 좋지만 제 느낌엔 도긴개긴이구요...
일반 사무용이나 가정용으로는 쓸 만한 정도입니다.
너무 많은 걸 기대하시면 안되요 ^^;
업무용으로는 높은프로파일 펜타그래프가 딱인데, 그러면 MX KEYS 사야 됩니다. 아님 게임라인 유선으로 가야 됩니다.

아, 저도 하마터면 리시버 버릴뻔 했습니다. 박스 확인하세요.",[]
