star_point,comment,photo
5,"마우스를 차콜색으로 선물을 받은 터라, 키보드도 색깔을 맞추자는 생각에 키보드도 같은 컬러로 주문했습니다. 일요일날 저녁에 주문했는데 월요일날 바로 배송 시작했고 , 화요일날 오전에 받았습니다! 배송은 총 2일 정말 빨리 왔어요(지방거주자) , 자판은 굉장히 부드럽고 소음도 적은 편이였어요! (독서실에서는 조금 거슬릴 수도 있을 것 같긴 한데 , 카페형식룸에서는 상관 없을 것 같습니다)
블루투스는 아직 패드가 안와서 폰에 해봤는데, 너무 잘 되더라구요, 저는 이정도면 만족합니다. 가격은 예전에 비해 많이 오르긴 했지만 시대가 시대인 만큼 , 이 정도 퀄리티에 간단한 일하기에는 휴대용도 좋고 , 다른 분들이 무게감이 생각보다 있다고 하기에 걱정했는데 저는 msi 게임형 노트북 + 배터리 (평균 3kg) 정도 들고 다니며 생활하다 보니 , 이 정도 키보드는 문제 없이 들고 다닐 것 같네요 ㅎㅎ
지인들도 보더니 같이 사고 싶다고 해서 더 주문하려고 합니다 :) ! 또 주문 하겠습니다","['https://phinf.pstatic.net/checkout/20201117_253/1605607478796XCQ3f_JPEG/review-attachment-e7357eac-fe9a-4e9d-b404-cd8840969947.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201117_163/16056074792007f7pW_JPEG/review-attachment-855df081-64f5-47ca-aa6d-60eb6908d1a3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201117_5/1605607479492LLp02_JPEG/review-attachment-66e76125-e6fc-4149-8600-9594a2a7eaeb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201117_217/16056074794858MpK0_JPEG/review-attachment-c085529f-ffc6-40fd-a497-d2128e306115.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201117_34/1605607480674TeR8n_JPEG/review-attachment-e8a3fefc-d11a-4cc1-97a3-ebdc3dc29c6f.jpeg?type=f287']"
5,"이번에 아이패드를 사면서 이 키보드가 가성비 갑이라고 해서 구매하게 됐습니다. 원래 조금 더 사용하다가 구매하려고 했는데, 카카오톡 할 때나 뭐 입력할 때 아무래도 화면 터치에는 한계가 있더라고요.

배송도 완전 빠르고, 제품도 이상없이 잘 왔어요. 아이패드랑 휴대전화랑 연결해서 사용해보고 있는데 정말 잘 됩니다.

키보드 위치는 다 외워져있기도 하고, 영문 자판이 예뻐서 일부러 병행수입 쪽으로 찾아봤어요ㅎㅎ 너무 예쁩니다.

건전지가 없다고 해서 준비해놨는데, 다른 데서 봤었나 봐요. 건전지도 같이 포함돼있어서 바로 사용해볼 수 있어서 좋습니다.

무겁다는 분들도 있는데, 원래 이것저것 잘 싸들고 다니기도 했고 그램도 가볍지만 계속 들고 다니면 무겁듯이... 저는 만족스러운 무게네요.

손이 짧고 통통한 편인데 입력하는데 불편함 없고, 다만 일반 키보드랑 조금 달라서 번갈아가면서 쓸 때는 헷갈릴 수도 있겠네요.","['https://phinf.pstatic.net/checkout/20200825_18/1598348894495Rl1qs_JPEG/review-attachment-76825be6-73c6-44f4-9cf9-948d5438aa89.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_152/15983488949115owhH_JPEG/review-attachment-3a479957-559d-4f9c-86e6-8ca529be4fb3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_212/1598348894965XREav_JPEG/review-attachment-6d10d4b2-4787-4eb8-be35-c6e5e3791d1c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_215/1598348894907xbdA3_JPEG/review-attachment-ca85b184-6e89-409b-bc57-f78add34b137.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_108/1598348895601rNvc0_JPEG/review-attachment-22626f75-fc42-45ee-8994-cdf4a9cb69a7.jpeg?type=f287']"
4,"택배로 보내주는 포장이 꼭 싸구려 악세서리 같이 제품박스에 비닐 포장으로 오네요. 개봉해보니 한쪽 귀퉁이가 찌그러져 있었는데 그래도 내부에 뭐 별 문제 있으려나 하고 조심스레 개봉했는데 찌그러진 상자 쪽의 키 두개가 빠져 있더라구요. 살짝 기분이 상했지만 빠진거면 직접 잘 끼워 맞춰서 쓰면 되겠지 하고 조립해보려는데 두 키 사이의 상판도 깨져 있어서 어쩔수 없이 교환 신청 했습니다. ㅠ.ㅠ 교환 되어 오는 동안 아까운 제 시간은 허비되네요. 교환품은 외부 포장 박스를 이용해서 배송해주더라구요. 진작 이렇게 배송해주시면 좋았을 것을.....그래서 별하나 뺍니다.
제품이야 워낙 소문난 제품이라 별로 할 말이 없네요. 크기에 비해 묵직하고 안정감 있어 좋습니다. 노트북과 태블릿에 연결해서 휴대용으로 잘 사용해봐야 겠네요.","['https://phinf.pstatic.net/checkout/20200918_66/1600399684795R2USz_JPEG/review-attachment-89bdbaeb-d57a-4f97-8193-c03c5529cd85.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200918_269/16003996851739jyOA_JPEG/review-attachment-de067d34-d64b-4d46-85a6-79e2750977e5.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200918_141/16003996852599WguX_JPEG/review-attachment-03ba469c-79ae-47cb-8968-6c9a04496a69.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200918_237/1600399684878Afocc_JPEG/review-attachment-6c787a96-0ac7-46f1-acfc-05ca125241e2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200918_213/16003996853605mT0k_JPEG/review-attachment-e9b18976-d96e-4c86-b274-622028769176.jpeg?type=f287']"
4,"스마트폰으로 타이핑하는 게 너무나 고역이라서 이번에 맘먹고 블루투스 키보드를 구매했습니다.

원래는 풀타입 키보드인 K375S를 구매하고 싶었습니다만,
특히 숫자키 관련해서 악평이 너무 자자한지라...ㅠ.ㅠ

제품을 받아 보니 충분히 산뜻하면서 고급스러운 디자인에
휴대성을 고려해 (다만 생각보다는 무거움),
역시나 생략된 키들이 너무 많아서 불편하긴 하네요.
PgDn/Up 버튼 Home이나 End 버튼들이 없어서..^_^;;

키감은 이만하면 제 기준엔 괜찮은 것 같구요.
어디서 보니까 '민'자를 타이핑할 때 '미-ㄴ' 이런 식으로 된다는 얘기도 있던데 제가 받은 제품은 그런 문제는 안 보이네요.
아직까지 타이핑할 때 키 누락되는 증상은 나타나지 않았습니다.

3개의 장치에 등록해서 사용할 수 있는 점도 좋더군요.
제 경우 스마트폰과 PC에 각각 연결을 해봤는데요,
스마트폰의 경우야 말할 것도 없고 PC에 연결했을 때도 침대에 앉아서 TV로 영화 볼 때 HTPC 키보드와 비슷하게 .

다만 원래는 블랙 컬러를 구매하고 싶었습니다만,
이번 할인 행사는 네이비 컬러 제품만 진행되는 바람에..
같이 구매한 M350 페블 블랙 마우스와 짝을 맞추지 못한 점은 못내 아쉽네요 ㅋㅋ","['https://shopping-phinf.pstatic.net/20201105_8/bc52557f-c005-4211-8ff9-e07663d0289a.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201105_28/63a09f8b-2a24-4056-9f58-4eb3ee8a1294.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201105_23/e5c93484-e343-4288-a78a-8852e5c72227.jpg?type=f287']"
5,배송은 이틀정도 걸렸습니다. 색깔도 예쁘고 작동도 잘하고 남자치고 손은 좀 작은데 타자치는데 전혀 무리가 없을정도고 일반 데스크톱 키보드에 비해서 타자속도가 별로 느려지지도 않습니다. 굉장히 조용해서 도서관에서도 사용가능하며 백색소음기가 있는 독서실에서 사용해도 괜찮습니다. Lg그램 갤럭시탭 갤럭시폰 모두 접속 잘되고 호환성과 활용도 좋습니다. 타건감도 써본 블루투스 키보드 중 제일 좋네요. 왜 다들 추천하는지 알것 같습니다. 휴대성도 좋은데 들고다니려면 케이스나 파우치를 구매해야겠어요,"['https://phinf.pstatic.net/checkout/20201119_174/1605786733889JyY2n_JPEG/review-attachment-93c72ba0-4a8f-4170-a7e2-9e26e0363d61.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201119_91/16057867411049wkLC_JPEG/review-attachment-9d97713f-0846-48f0-b2d7-4bf425410398.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201119_159/1605786751246q1Gp2_JPEG/review-attachment-288017d2-2c2d-4dd7-a2fd-02179cf9d887.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201119_147/1605786781233mBfTD_JPEG/review-attachment-bea3b6d6-0656-4ca6-af51-38227c8658df.jpeg?type=f287']"
5,"일단 이 리뷰는 해당 자판기로 입력 중입니다. 생각보다 끊김이 없고 오타입력도 적습니다. 자판기 크기도 아주 만족스럽구요. 더 써봐야 알겠지만 지금으로서는 아주 만족합니다. 다만 조금 불만족스러웠던 것은 배송이었습니다. 총알배송 해주신 것에는 아주 감사드리지만 충격 완충제 같은 것이 하나도 없어서 그 부분이 많이 아쉬웠습니다. 1회용 비닐을 가급적 쓰지 않는게 가장 좋겠지만 그래도 이렇게 나름 돈이 들어가는 전자기기인데 어느정도는 배송시 완충제에 대해 고민을 해보셔야 할 듯 합니다. 정 안되면 신문지라도 구겨서 넣던지.. 그랬다면 그래도 덜 기분 나빴을 것 같네요.

일단 한 달여 써보고 후기 또 남겨보겠습니다. 현재로선 아주 만족!","['https://phinf.pstatic.net/checkout/20200825_5/1598344136117ODoWS_JPEG/review-attachment-998c8a31-57de-4d7f-9af4-68b8423dc6b5.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_185/1598344136495V4ttb_JPEG/review-attachment-8a4ea680-448a-4eda-a5e7-6b15bd5e4b39.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_194/1598344136335bC9Kk_JPEG/review-attachment-f3032f23-641b-47c0-b6ce-41e2b6ee9071.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_103/15983441361919X3Ie_JPEG/review-attachment-6d866bae-84e9-488f-bd57-a0816fcb7516.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_205/1598344136150A6Qr1_JPEG/review-attachment-07e36085-86a5-4d49-8211-f352c5053bef.jpeg?type=f287']"
4,갤럭시탭6LITE 제품을 구입해서 쓰다보니 간단히 문서를 작성하는 일이 있어서 블루투스 키보드 제품을 찾다가 구입했습니다. 다른 제품도 구입을 고려했지만 아무래도 로지텍 제품이 믿음이 있어서 구입했습니다. 실제로 받아보니 디자인도 이쁘고 약간 무게감이 있지만 대신에 키감이 좋습니다. 연결제품 등록도 쉽고 페어링도 쉬어서 추천합니다. 특히 가격도 할인을 받아서 다른 사이트보다 저렴하게 구입해서 좋습니다.,"['https://shopping-phinf.pstatic.net/20201106_4/487ddbf6-8d04-4622-a940-38c965eb2a23.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201106_28/c0498469-603b-4c84-852e-30ee0987f1b3.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201106_0/2a786fd1-4466-4ac8-b78a-84d69a440f83.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201106_5/8788f459-2bdc-45a6-bd09-d957244d1ee1.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20201106_11/29f8a2b7-9942-4966-b2ca-ee4fab23bc4b.jpg?type=f287']"
5,배송이 빨리왔네요..! 아이패드를 이번에 처음 사용해보는데 굳이 블루투스 키보드가 필요할까 생각했었지만 제 생각이 경기도 오산이었네요.. 역시 장비는 많을수록 편리한 것.. 로지텍이 제일 유명하고 후기 찾아보니 많이들 사용하던데 여기가 화이트재고 남아있어서 냉큼 고민도 없이 구매했네요! 아이패드 8세대 쓰고 있는데 크기도 적당하고 화이트라서 깔끔하니 넘 예뻐요~. 타자도 잘 쳐지고 반응 속도도 𖤐 무리 없이 써져요! 블루투스 연결도 빨리 됩니다!! 핸드폰으로 블로그 쓰는게 손목이랑 손가락이 아파서 샀어요..고민하는건 그냥 늦게사는것 뿐이니 다들 키보드 한개쯤 집에 두셔요 호호호,"['https://phinf.pstatic.net/checkout/20201111_30/1605026577188VD6sg_JPEG/review-attachment-758c9873-5c0f-4fab-9bda-7180f450eec7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201111_215/1605026578703lHi8R_JPEG/review-attachment-e4f9d6e1-e216-4f09-af21-ea9430776b89.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201111_24/1605026578765F93E2_JPEG/review-attachment-e39bd164-7d2f-4694-98ac-1b82e6b86623.jpeg?type=f287']"
5,"사이즈가 생각했던것보다는 크고 두께도 있었어요. 정말 휴대용 생각하시는 분들은 접이식 키보드 추천드리고싶네요. 근데 무게도 가볍고 타이핑 소리가 정말 작아서 좋아요. 위에 생각한 단점정도는 충분히 커버가능한 장점이라고 생각합니다. 패드 사서 써야하나 생각했는데 전혀 그럴 필요 없구요, 들고다니실거라면 파우치 따로 구매하시는게 좋을 것 같아요. 무엇보다 멀티로 연결되는기능 정말 편리하네요.
덧붙여, 핸드폰 연결해서 사용하는데 반응이 조금 느린감이 없지않아 있어요. 컴퓨터는 괜찮은데...민감하신 분들은 자세히 알아보시구 구매하세요.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_07_24_0/2423b9ef-ccfb-11ea-8068-a0369ff94f34_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200724_119/1595518940425KTCoU_JPEG/review-attachment-014d90b4-123e-41bf-9715-30bf27ffcef8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200724_65/1595518947951C0e5N_JPEG/review-attachment-6412c72e-b33a-42eb-aa2f-9bc969af81dc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200724_44/1595518954240FVS5w_JPEG/review-attachment-bd2fc1c3-ace3-4c8e-af40-b252b8a9af1f.jpeg?type=f287']"
5,"아이패드를 2년 넘게 쓰다가 처음으로 아이패드용 블루투스 키보드를 장만하려고 많이 찾아보다가 로지텍으로 샀는데 역시 사람들이 많이 쓰는 이유가 있네요ㅎ_ㅎ
포장도 안전하게 왔고 키보드 안에까지 깔끔하게 포장되어있어서 기분 좋았어요ㅠ!
애플 매직키보드보다는 확실히 무게감이 있긴하지만 맥 키보드와 커맨드와 옵션 키도 같은 자리에 있어서 편하게 쓸 수 있습니당!
블루투스 페어링 속도도 3-5초 내로 빨리 되고 엄청 편하고 타격감도 좋아요 싼거랑 고민하지 마시고 그냥 이거 사세여ㅋ","['https://phinf.pstatic.net/checkout/20201105_204/1604518615597NtJej_JPEG/review-attachment-ac4108a8-21f8-4c5e-9ee9-8647094a861e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201105_52/1604518615789hJ33n_JPEG/review-attachment-fa2b315c-ebf2-4211-a566-fe86dc8a3c78.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201105_137/1604518626636X5Cay_JPEG/review-attachment-8911aae3-30d6-450d-b043-3aed0f824444.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201105_118/1604518626605hEP9Q_JPEG/review-attachment-f15a7dae-cf3d-43bb-80f4-05dca5b78d76.jpeg?type=f287']"
