star_point,comment,photo
5,"제품 만족도는 아주 높습니다.
멤브레인만 써왔기 때문에 이질감이 느껴지는 기계식이 오히려 어려운데 적축이라 이질감이 덜하고 일단 화이트 이쁘네요
재질이 때가 탈까 살짝 두려운데 1달 후기에 적도록 하겠습니다.

배송포장 아주 맘에 듭니다. 대충 박스만 틱 하고 보내는 것이 아니라 잘 포장하고 거기에 내부 포장도 아주 잘 되어 있습니다.

배송도 생각보다 빨리 왔네요
요즘 배송도 난리인데 수요일 도착예정이었는데 화요일 도착했습니다.

3만원 중반에서 여러 키보드를 알아봤는데 산 거를 후회하지 않네요

한 달 후기에서는 실사용 후기와 받았을때의 별점(5)와 비교하겠습니다.

별점 최고점수는 4 였는데 전체적으로 5점으로 시작합니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_03_24_0/0b98af3e-6d9d-11ea-a02c-0000000049a8_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_03_24_0/15492741-6d9d-11ea-a02c-0000000049a8_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200324_288/158503303994888w0F_JPEG/KakaoTalk_20200324_155006672.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200324_34/1585033040402QkwBm_JPEG/KakaoTalk_20200324_155006360.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200324_193/1585033040034wVF4W_JPEG/KakaoTalk_20200324_155005995.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200324_296/1585033039964ng9EG_JPEG/KakaoTalk_20200324_155005532.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200324_172/1585033040009HdwD6_JPEG/KakaoTalk_20200324_155004551.jpg?type=f287']"
5,"가성비로는 적당합니다
기대이상 기대이하도 아닙니다
이
가격대에 기계식 적축으론 좋습니다
전날 낮12시 주문
다음날 바로 도착 매우좋았습니다
뽁뽁이와 그 안은 내장재가 있어서 다행이
빡스가 찌그러져서 왔지만 좋네요

단점 하나 뽑으라고 하면
키가 조금 흔들리는거? 그점 신경 안쓰시는 분들이면 무조껀 추천드립니다","['https://phinf.pstatic.net/checkout/20200729_157/1596011207521epKWp_JPEG/review-attachment-f1a60f15-6eec-4e8b-a176-4cb60d3433c0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200729_286/1596011220312RSDHQ_JPEG/review-attachment-4b4e47d8-a06c-4d86-bbaf-40444c250a1b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200729_289/1596011224483KGHfp_JPEG/review-attachment-881e32c5-5931-42a6-b51b-c43bf390225e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200729_158/1596011225789zyvjx_JPEG/review-attachment-b971adb6-a89c-4cdd-89a1-12c08d3d48aa.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200729_95/1596011234221rfgKw_JPEG/review-attachment-ee0fc780-39fd-4a86-b494-60be59db81b0.jpeg?type=f287']"
5,가격 대비 굉장히 훌륭한 퀄리티입니다!집에서 리줌 마우스를 쓰고 있었는데 이번에 사무용으로 구매해봤습니다. 소음도 적절하고 키감도 좋아서 정말 만족하고 있네요. 또 이정도 가격에 부속품으로 먼저털이용 붓이랑 키캡분리해주는 것도 있으니 정말 감탄했습니다. 주변 사람들한테 적극 추천하겠습니다!,"['https://phinf.pstatic.net/checkout/20200731_198/1596171168393R1jWV_JPEG/review-attachment-0ce7f662-dd84-4b37-840e-01f567f13565.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200731_81/1596171168414sI9iO_JPEG/review-attachment-92ae8487-5434-4202-b523-5e4a648367f8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200731_263/1596171168457egozC_JPEG/review-attachment-e7dc55ad-6054-402c-8b40-f272744989ae.jpeg?type=f287']"
5,"화이트 적축으로 구매했습니다.
통울림도 적고 타건 소음도 적어서 너무너무 좋네요
rgb광량도 좋은 편이고 키보드 자체도 예쁩니다
뒤에는 키캡리무버도 꽂을 수 있어서 키캡놀이를 좋아하는 저에겐 딱이네요
좋은제품 감사합니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_12_0/b0141102-ac69-11ea-b233-48df37ae3fca_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200612_192/15919380286459z74h_JPEG/20200612_135557.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200612_10/15919380292201ab3g_JPEG/20200612_135604.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200612_228/1591938031435nFr2X_JPEG/20200612_135613.jpg?type=f287']"
4,"이미지업로드 실패로 다시 리뷰 작성하게 되네요. 어휴...힘들어 .png로 올립시다. 위와 같이..전 1일 3리줌이 되어버렸습니다.(리줌마우스, 리줌키보드, 리줌장패드) 장점 배송 깔끔하게 뽁뽁이 2겹 포장 아주 칭찬합니다. good 리줌 키보드 pc연결 시 세레모니 LED에 눈길이 갑니다. 제가 구매한 레드 적축은 조용하고 키캄도 살짝 쫀득한게 좋네요. (이전 키보드랑 너무 느낌이 달라서 지금 쉬프트가 어색합니다. ㅎㅎ) 방수방진이 된다고 하는데 아직 실험은 하지 않았습니다. 될거라 믿습니다. 구매 이유 중에 이점이 크게 작용되었습니다. 이전 리줌 마우스 약 7년간 사용하여서 어느정도 내구성을 믿기에 믿고 구매확정합니다. 단점 살짝 아쉬운 손목거치대(이전 키보드에서는 손목을 기댈공간이 있었는데 이제품은 그러지 못하는게 조금 아쉽네요. 손목을 띄운상태에서 타이핑하시는 습관을 가지시는 분이면 불편함을 없을듯합니다. ) 넘버락, 스크롤락, 캡스락 표시 등이 컴퓨터의자에 앉은상태에서 안보입니다.(키보드 높이 조절하면 살짝보입니다.) 키보드 키 최하단 라인에 흰색 적축라인이 보이는 점이 살짝 아쉽네요.(저 45도 대각선 아래로 시선이 가기에 어쩔수 없이 보이네요. 총평 아는동생의 말 처럼 왼쪽(키보드) 팔팔한 20대 오른쪽(마우스)양로원 할아버지처럼 오래 오래 튼튼하게 사용했으면 좋겠습니다.",[]
4,"좋으네요.
굳이 단점을 꼽자면 순간적으로 손가락에 들어가는 힘에 의해서 시간차가 비슷하게(느껴질때) 입력될 때 종종 자음과 모음이 거꾸로 입력됩니다.
(그만큼 인식이 빠름, 적축 특징) 소리는 적당합니다. 다른축 소리는 너무 시끄러워서 나중에 광축을 써보고 싶네요.
흰색인데 한달 사용기는 때도 별로 안 탑니다.
아 굳이 단점 한 가지 더 있네요.
너무 부드러워서 다른 자판쓰면 생각보다 안눌려서 불편합니다...네 가벼움에 적응되는 건 금방인데 무거운 건 자판이 안눌리는 느낌이 드네요ㅋㅋ
좋습니다.

2달 반정도 사용후기 지금 뽑기 실패인지...중복눌림과 안눌림 현상 입력 순차 오류가 나고 있어서 AS문의중입니다.


만족도가 확 줄어듭니다. as문의 후 추가 후기 달겠습니다.

------------------------------------------------
as 문의 후 후기
리줌 as 대응 빠른 편입니다. 다만 전화 했을 때 음성 안내나 컬러링이 없어서 당황스럽긴 합니다.
무상 as에 1:1 택배 비용은 아쉬운 점입니다만 처리도 빠르고 택배도 금방금방 가고 옵니다.

as 후 추가 문제가 발생 했을 때의 고객의 컴플레인에 적절한 대응을 보여주었습니다.

물건에 대한 as 대응도 인상적이었습니다.

리줌 제품 추천 할 만 하네요.",['https://phinf.pstatic.net/checkout.phinf/20200427_166/1587964364719uSRYI_JPEG/1587964354138.jpg?type=f287']
5,"일요일 주문 / 월,화요일 지나서 수요일까지 발송이안되길래
연락드렸더니 깜빡했다고 그제서야 발송 / 수요일 발송된게
금요일이 되도록 도착을안함 / 판매자님께 확인요청했더니
택배를 잃어버렸다함/ 재발송요청 / 토요일 키보드도착 /
상자 뜯으니 색상 잘못옴 / 어차피 교환해야되니 주말내내 포장해놓고
쓰지도못함 / 월요일 판매자님 죄송하다고 교환처리 해주겠다함
왔던 그대로 포장해서 보내달라함 / 화요일 정상적으로 제품도착
주문하고 제대로오기까지 9일걸림..
나만 유독 특이한 케이스에 걸려서 이렇게 오래걸린거라 생각함
대부분 보통 하루이틀이면 키보드 받을건데.. 제품 자체는 만족스러우나
배송부분은 택배사의 실수도있었지만 판매자님의 실수가 더 크다고봄
(배송 깜빡하고 늦게보낸거 , 색상 잘못보낸거 )
죄송하다고 장패드 하나 보내주신거같은데 다시 가져가심..
한달뒤 한달사용리뷰도 작성하겠음",['https://phinf.pstatic.net/checkout/20201028_203/1603844252012zlYY8_JPEG/review-attachment-c57f389a-e6c0-42f9-b32f-8da7d68b5125.jpeg?type=f287']
5,노트북에 연결해서 잘 사용하고 있습니다. 포장 정말 꼼꼼해서 좋았습니다. 청축 키보드를 전부터 사고 싶었는데 보자마자 이제품이 마음에 들어서 구매했습니다^^ LED 정말 잘 들어오구요. 화이트라 무지개 빛이 잘 어우러져서 빛나는게 보기 좋습니다. 키보드 소리 탱글감도 빠지지않고 정말 마음에 듭니다.,['https://phinf.pstatic.net/checkout/20201117_128/1605577315238iAJHN_JPEG/review-attachment-ad911eb4-85dc-49ea-b995-48cde7d2ea3d.jpeg?type=f287']
5,"키보드를 바꿔야 할 때가 되서 키보드를 보고 있다가 디자인이 이뻐서 샀는데 진짜 성능도 아주 좋고 배송도 빠르고 진짜 다 만족합니다 진짜 오래오래 잘 쓰겠습니다!!! 재구입 할 의사가 100% 있을 정도로 진짜 엄청 좋습니다!!!
제품은 RK202 적축 화이트로 샀습니다!!","['https://phinf.pstatic.net/checkout/20200730_47/1596089368666QXwSj_JPEG/review-attachment-7d8fadce-9a45-43bd-b984-5add57a7ebef.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200730_210/1596089368764eUVcV_JPEG/review-attachment-aaf7cb49-b8a9-46a0-8320-cc3677e73948.jpeg?type=f287']"
3,"키보드 가격은 잘 몰라서... 가격대비 좋은 게 아닌가 싶기는 한데 정확히는 모르겠습니다. 다만, 'E' 키의 LED가 산 지 반나절만에 보니까(처음부터 그랬는지 모르지만) 거의 어두워지고 깜빡깜빡 하더니 산 지 하루 지나니까 꺼져버렸네요. 키보드의 LED에 큰 의미를 두지는 않기 때문에 귀찮게 교환까지 하고 싶지는 않고, 그냥 그렇다고요. 아무튼 그렇게 찝찝해서 별점을 많이 줄 수는 없고, 그 외에는 괜찮습니다.",[]
