star_point,comment,photo
3,"좁은 공간에서 사용해야 해서 주문하게 되었습니다. 사무용으로는 강력하게 추천드릴 수는 없지만 나중에 FN키가 능숙해진다면 쓸만한 키보드입니다. 블루투스라는 장점은 있지만 키감이 훌륭하진 못합니다. 특히 백 스페이스에서는요. 그리고 인식도 아주 좋은 것 같진 않습니다. 블루투스 보다는 수신기가 인식이 좋은 것 같아요.
아 그리고 마이크로닉스 사이트에 가셔서 소프트웨어 업데이트 하는 거 있습니다. 그거 없으면 FN키를 5초간 눌러야 모드가 바뀌고 있으면 누르자 마자 변경되니 참고하세요.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_12_23_0/b73697e6-2593-11ea-8257-48df37269ee2_07.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191223_231/1577112151059A7XX5_JPEG/KakaoTalk_20191223_234150604.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191223_144/1577112151115oSEA9_JPEG/KakaoTalk_20191223_234150604_01.jpg?type=f287']"
5,"불편하다는 평이나 안좋은 평들이많이 한참을 고민해보고 구매했습니다.
저는 너무 이쁘고 사이즈도 작고 품질도 좋습니다..
미니인만큼 불편한데요..설명서 여러번 읽어보면서 하루이틀 한참을 연습했습니다. 그러니 정말 편해지구요...물결표시 입력도 정말 문제긴한데 안드로이드 사용시 안드로이트 키보드나 윈도우 터치 자판 등 같이 응용해서 쓰면 문제는 없어집니다. 미니 키보드이고..최고 이쁘고 품질은 좋은데..빠른 전문 작업용으로는 좀 무리가 있고..그냥 품질좋고 이쁜 키보드 사용하려는 분들께는 강추...불편한건 연습계속 하면 어느정도 해결됩니다..전 한 일주일정도 잘 쓰고 있는 편입니다..무조건 이뻐서 전 이것 써야겠습니다. 빠른배송 감사합니다.",[]
3,"작은 사이즈의 키보드를 좋아하는데 다른건 몰라도 물결무늬 안되는부분이 많이 아쉽고, 방향키는 펑션이나 다른 버튼을 동시에 눌러서 동작시키는 형태 였으면 어쩔까하는 아쉬움이 남습니다.모드 변경을 하고 방향키를 조작하고 다시 모드 변경해서 돌아와야하는건 정말 불편하네요",[]
5,"빠르게 잘 받았습니다.
물건도 튼튼하고 다른 적축에 비해서 소리도 적습니다. 누르는 느낌도 좋습니다.
아쉬운 점은 제가 방향키를 많이 쓰는 편인데, 방향키를 쓰려면 펑션키로 3초간 눌러 모드를 바꿔야 해서 이게 좀 답답하네요.
원래대로 돌아오려면 또 3초간 눌러줘야 해서 총 6초를 써야하네요.
이것 빼고 정말 좋은 키보드 입니다.
지금 이 리뷰를 k61 키보드로 작성하고 있습니다.
정말 만족스럽습니다.

Ps. 제가 물음표를 잘 안 써서 그냥 방향키 모드로 쓰다가 가끔 물음표로 바꿔주면서 쓰고있습니다.",['https://phinf.pstatic.net/checkout/20191004_25/157020073251541vQn_JPEG/000492C0-4E22-4BB0-B833-777DFE9E9AB8.jpeg?type=f287']
5,"남자친구가 찾아보고 추천해줘서 샀는데 사용할때 만족스러워요 근데 아직 컴퓨터ㅔ 무선으로 연결이 안되서, 남자친구고 오면 봐준다고 했는데 동글이가 잇어야 되는건지 아닌건지 모르겟네요ㅜㅜ 얼른 집에서도 무선으로 사용하고 싶어요",[]
3,"카일 적축이라 확실히 다른 오테뮤 스위치의 키보드보다는 키감이 좋습니다. 단 물결, 어퍼스트로피 (~ `) 특수문자가 없어 Fn키를 이용해도 사용할수 없는 부분은 제게는 큰 단점 같습니다. 구매전 확인을 했어야 했는데... ㅜ.ㅠ 혹시나 구입을 고려중이시면 물결키가 없는 부분을 생각하시고 구입하시는게 도움이 될 것 같아요.",['https://phinf.pstatic.net/checkout/20190712_158/1562918997213QKxtf_JPEG/20190712_170549_HDR.jpg?type=f287']
4,키감도 좋고 rgb표현이잘됩니다.물론 화려않게 사용하는게 좋아합니다만.다만 펑션키사용이 좀 불편하네요.기능키 사용시 펑션키로 변경이 너무 시간소요가 길어 불편한게 단점이네요.키하나 사용할때마다 5초씩. 해제할때 5초.. 소요되니 답답한..2초정도가 적당치 않나요?,[]
5,마음에 들어요! 한가지 아쉬운점은 FN+기능키 입력했을때 3~5초간 눌러야 기능이 바뀐다는 점을 설명서에 안적혀있어서 엄청 헤맸습니다. 이 점을 명시해주셨으면 좋았을거같아요.. 참고로 홈페이지에서 눌렀을때 바로 바뀌게 해주는 펌웨어 다운받으실 수 있습니다!,['https://phinf.pstatic.net/checkout/20190918_134/1568739149429LELXm_JPEG/20190918_014835.jpg?type=f287']
4,"저는 49000원에 구매했어요. 5만원대에는 미니배열 키보드중에 최강이라고 단언할 수 있습니다. 블루투스, 진짜rgb 좋은축 긴 배터리, 유무선 겸용으로 최강이지만 7만원? 음 다른거 구매하시는게 좋습니다. rgb만 없는 똑같은 공장 제품 중국에서 4만원 대인데 7만원은 너무 비합리적이고 다른거 고려하시는게 낫습니다",[]
4,화이트 키보드 이쁩니다 단점은 같은 패키지에 동봉 되어 있던 파우치에 넣었더니 키보드에 오염 됩니다. 화이트 키보드 사시는 분들은 파우치에 그냥 보관 하시면 안될것 같고 키보드가 61키 이다 보니 다른 외부 키로 변환 할때 fn키를 누를때 너무 오래 누르고 있어야 합니다. 하지만 보자마자 너무 이쁘고 led도 선택할수 있는 사항이 많아 너무 좋네요 그리고 키 감도 좋구요,[]
