star_point,comment,photo
5,"1. 디자인
화려하다. LED 제대로 느껴보고 싶으신 분에게 권해드려요
전 눈이 부실 정도라, 밝기를 낮추었습니다. 알루미늄 상판이 유려하게 커브가 들어가 있어, 시원한 느낌
실물로 보면 사진보다 이쁜

2. 키감
카일박스 백축의 맛을 살리려면 개인적으로 PBT 키캡이 아닌 ABS인거 같다. 확실히 쫀득한 맛이 살아난다.",['https://phinf.pstatic.net/checkout/20200115_188/15790241711564JN53_JPEG/20200115_013406.jpg?type=f287']
5,우선 갈축이기에 소리가 많이 적어서 좋다. 물론 달칵달칵 하는 느낌을 선호하는 사람이라면 추천하지 않지만 (가 성 비)적인 갈축 키보드를 찾는다면 이 제품이 가장 좋을거 같다. 아쉬운 점은 LED때문에 무의식적으로 타자를 치면서 방해가 된다는 점 ???,[]
1,"백축, 적축 두개 구매 후기입니다. 이 가격대라고 믿기지 않을 최악의 마감. 키캡 한두개도 아니고 상당수가 상단, 우측에 찍힘, 플라스틱이 튀어나온 사출자국 있습니다. 키캡의 하얀부분, 검은 부분 둘 다 있는 경우도 있네요. 최저가 멤브레인 키보드나 2만원대 기계식 키보드를 사도 이보다 키캡 마감은 좋아요;; 장점은 디자인 예쁜거 하나. 키감은 이 가격대 키보드들과 다를 바 없는 가벼운 키감. 마감때문에 기분 잡치네요. 보이지 않는 부분을 신경 안쓴게 아닙니다. 잘 보이는 부분입니다.",[]
1,"백축, 적축 두개 구매 후기입니다. 이 가격대라고 믿기지 않을 최악의 키캡 마감. 키캡 한두개도 아니고 상당수가 상단, 우측에 찍힘, 튀어나온 사출자국 있습니다. 키캡의 하얀부분, 검은 부분 둘 다 있는 경우도 있습니다. 최저가 멤브레인 키보드나 2만원대 기계식 키보드를 사도 이보다 키캡 마감은 좋아요;; 장점은 디자인 예쁜거 하나. 키감은 이 가격대 키보드들과 다를 바 없는 가벼운 키감. 마감때문에 기분 잡치네요. 보이지 않는 부분을 신경 안쓴게 아닙니다. 잘 보이는 부분입니다.",[]
5,"배송 빠르고 상품 하자 없이 잘 왔습니다.
동생이 기계식 키보드 가지고 있어서
키보드의 그 소리!! 탁! 탁! 탁! 탁! 그 소리에
저도 가지고 싶어서 주문했어요!!
너무 마음에 들어요!!! 겜방에 온 것 같아!!!
라이팅 너무 이뻐!! 마음에 들어요!!! 너무 좋아!!",[]
3,배송 빠르고 키감 좋습니다. 정말 다 좋은데 외관은 말씀 드려야겠네요. 일단 각인된 부분. 손가락이 민감하신분들은 좀 까슬까슬한 느낌이 마음에 안드실수도 있겠네요. 그리고 사진 보면 톡톡 튀어나온 부분 보이시죠? 공정의 문제인지.. 뭐 저 부분은 사출로 찍어내는 이상 무슨짓을 하더래도 자국은 남습니다. 그래도 마무리를 잘 해줬으면 티도 잘 안나고 완벽했을텐데 말이죠. 아직은 공정의 보완이 필요한 부분이겠죠? 디자인도 예쁘고 사용하는데에는 지장 없으니 그냥 사용합니다.,[]
4,"LED 들어오는 게 이쁩니다. 저는 주변기기가 흰색이라 깔맞춤하려고 화이트로 구매하였는데 검빨이 더 이쁜 것 같네요. 일반 기계식키보드 청소하는 게 귀찮아서 일부러 이 제품처럼 축이 외부로 드러나 있는 제품으로 구매하였습니다. 이걸 무슨 스타일이라고 하든데..암튼 방수도 되니 청소할 때 안심이네요. 키감은 원래 KBT 청축 썼었는데 키압이 낮아진 느낌이고, 그 때문에 때리는 맛이 줄어들어 조금은 아쉽습니다. 그래서 별점은 4개!",[]
5,회사 키보드가 자꾸 망가져서 홧김에 질렀는데 축도 좋고 기능도 마음에 듭니다. 기능 각인도 생각보다 아기자기하구요....키간이 약간 익숙하지는 않지만 금방 적응될것 같습니다. 불편함이 있는 정도의 갭은 아니구요 키가 여러개 없어서 조금은 걱정했는데 대응되는키가 다 있어서 다행입니다. 한자키가 없는 키보드는 처음써봐서 다른키로 되는지는 처음 알았네요...배송도 빨랐고 기능도 성능도 마음에 듭니다. 할인해서 가격도 저렴하게 샀구요 넘나 마음에 듭니다.,[]
4,디자인 예쁘고 키캡 퀄도 꽤 좋아요 타건감도 맘에 듭니다. LED도 잘 들어오고요 그런데 아직 개선된 카일박스 스위치가 아니라서 키캡놀이를 못하는 게 단점이에요 다른 여벌 키캡보다 훨씬 덜 낑기는 거 보면 기본 키캡 자체가 (이 키보드에 사용된) 미개선 카일박스 스위치에 맞게 제작된 것 같아요 그러니 키캡놀이 안하고 기본 키캡 쓰실 분은 카일박스 스위치 키캡 파손 이슈 신경 안쓰셔도 될 듯합니다,[]
4,"카일박스축이 불량률이 비교적 높은 건지 제가 운이 없었던건지 모르겠지만 지금까지
기계식 키보드를 6개를 사용해왔는데 이런 키불량 현상은 처음 겪어보네요
결국 사용하다 교환하기 귀찮기도 하고 사용하는덴 큰 지장은 없어서 지인을 줬습니다
좀 아쉬운건 전체 키잠금 기능도 있고 제품도 깔끔하고 이쁘지만 이왕이면
키캡을 LED투과가 안되는 염료승화 키캡 말고 LED기능을 살릴 수 있는
다른 PBT 키캡에 축도 교환 가능하게 나왔다면 하는 아쉬움이 남네요",[]
