star_point,comment,photo
4,"1. 디자인
앞서 리뷰 했던 Manic K735 제품도 디자인이 상당히 이쁜데 깔끔한 블랙 상판에 투톤 PBT 키캡은 실물이 깡패 입니다.

2. 키감
카일박스 백축은 ABS 키캡이 좀 더 잘 어울리는 것 같습니다.
확실히 특유의 쪽득하고 통통 튀는 매력이 사라졌습니다. 좀 더 정숙해 졌는데 카일 박스 특유의 개성을 잃어버렸서요.
이건 마치 카일 광축 클릭을 리마스터 한 느낌이랄까요?

, ㅋ

3. 총평
퀵 스왑 가능한 키보드 였다면, 키캡에 맞는 스위치로 교체 해서 사용하면 되는데, 그 부분이 아쉬웠습니다.
때문에 가격 때문에 고민하시는 분이 많을 듯 합니다.
할인 / 이벤트 되시면 구매해 보세요.",['https://phinf.pstatic.net/checkout/20200115_41/1579072597665g1s3r_JPEG/20200115_005848.jpg?type=f287']
2,",,,,,,,,, 기존 카일적축보다 카일박스적축이 더 부드러운 느낌입니다. 키캡은 기대하지 마세요. 예뻐서 샀는데 별로...하지만 반응이 빠른편이어서 이부분은 만족합니다.근데 윈도우에 드라이버 깔리는 거 보니까 소프트웨어도 그렇고 다 중국whiftec제품이었네요. 중국제품을 마이크로닉스 로고만 붙여서 판매한 꼴이네요.중국산 키보드는 백도어 문제가 있어서 민감한데 완전히 속았네요",[]
5,빠른배송과 합리적인 금액에 구매하여 감사드립니다,"['https://phinf.pstatic.net/checkout/20201121_2/1605939679899pnizv_JPEG/review-attachment-d3fa6145-0c7a-4307-9bd6-d7d2a80bf832.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201121_40/1605939702428KAf5O_JPEG/review-attachment-06285382-67dd-4811-a2bd-33e3349f565e.jpeg?type=f287']"
5,"원가 7만원짜리 키보드를 3만원대에 살 수 있다는 자체가 놀랍고, 무엇보다 경쾌한 소리가 납니다. 글자에 단색 led는 아쉽지만 사이드에 rgb가 있으니 전 그걸로 만족합니다.","['https://phinf.pstatic.net/checkout/20201009_188/1602236250023iJHH8_JPEG/review-attachment-06f5cc0b-0d25-44e6-bba8-11382408e99e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201009_185/1602236272501568WP_JPEG/review-attachment-09dd7c96-b631-47da-acb4-04db663238a9.jpeg?type=f287']"
5,역시 기댜이상으로 좋습니다,['https://phinf.pstatic.net/checkout/20201127_130/16064554747280wJ3N_JPEG/review-attachment-d8f81da8-8aad-4c6d-b1ca-941021e11c0f.jpeg?type=f287']
5,타자감좋고 굉장히이쁘네요,['https://phinf.pstatic.net/checkout/20201117_15/1605584052243hQbN2_JPEG/review-attachment-a0ff29b0-2924-4f5e-9525-072a99d6c760.jpeg?type=f287']
3,"가격이 있기때문에 키감이 좋은편은 아닙니다
다만 led는 예쁘네요",['https://phinf.pstatic.net/checkout/20201105_116/1604577652675ozj7k_JPEG/review-attachment-81cbec95-72c7-4931-98e6-cf40a15a0c2e.jpeg?type=f287']
5,타건감도 무난하고 디자인도 괜찮아서 잘 사용하는 중입니다^^,['https://phinf.pstatic.net/checkout/20201103_179/1604395431762EnaGk_JPEG/review-attachment-4db44cfb-c272-4f3a-b997-d462dc66abf6.jpeg?type=f287']
5,기계식 처음 쓰는데 가성비 좋은 것 같아요,['https://phinf.pstatic.net/checkout/20201104_170/1604483276486fXtIk_JPEG/review-attachment-219d18a2-10db-43ff-9817-3d6a62010d0a.jpeg?type=f287']
5,"최상의 키보는 입니다 너무 만족합니다.
COX 꺼 쓰던 저로써는... 이건 통울림에도 신경 굉장히 쓴것같네요

키감도 너무좋고 만족 300% 입니다 번창하세요!
이미 키보드 이쁘다 어디꺼야 소리 수도없이 듣네요 ㅋㅋ",['https://phinf.pstatic.net/checkout/20200917_138/1600316228040YdxaY_JPEG/review-attachment-72005cb8-52db-43c5-a340-4672efe554ba.jpeg?type=f287']
