star_point,comment,photo
5,"구매한제품은 청축이며 가격대비 좋은상품입니다
1. 타건감
준수합니다 가격생각하고 동급 타회사 제품대비 잘 나왔다고 생각합니다
2. 소음
스테빌라이저 : 철심소리 존재합니다. 간이 윤활해주면 사라집니다.
키 스프링소리 : 있습니다. 퀵스왑도 아닌데다 저가형이라 윤활하려고 뜯는것도 수고스러워 하기는 꺼려집니다.
통울림 : 비키타입인데도 적긴한데 존재는합니다. 신기하네요
3. Led
최대광량이 약합니다 그런데도 투과율이 좋은키캡도아니라 모양만 있는기분입니다.
사이드 led는 고정rgb입니다. 바뀌지않아요. 또 상판에 가려져서 정작타건시는 안보입니다. 옆에서봐야 보이는데 광량을 높여 언더 글로우로 하던가 상판을 깍아내던가 해야할것 같습니다.
4. 키캡
흔한 ABS 이중사출키캡입니다. 그것도 탁한. 폰트는 개인 취향영역이긴한데 숫자0이나 영문O 심지어B까지 반갈죽 당한건 마이너스요인 이긴합니다. 그리고 FN관련키 그림은 단순 프린트인거 같은데(용어를 모름) 조만간 보지못할것 같구요.
* 종합
2세대인데 타건감빼곤 특장점이 없는 평범한키보드인거같습니다 상위 라인인 x300은 좀 다를까요? 맥x틸 키보드가 엄청 생각나는 키보드인데 딱 거기서 키가 자체개발이고 퀵스왑이 안되는데 더싸다! 하면이제품이다... 생각되는 느낌입니다. 내구성이나 기판등은 바로알수없는 부분이라 잘모르겠구요. 그래도 듣보잡 회사보단 마닉이니까 AS는 받을수는 있겠다 정도에 가격도 매우저렴하고 키보드에 돈투자가 꺼려지는 분들에겐 되게 괜찮은 선택지가 될것같습니다.",[]
5,"사춘기 아들을 함박 웃게 만드는 마약 키보드네요. 저는 잘 몰랐던 청축 갈축 적축의 차이도 이미 알고 있던데 게임 좋아하는 아들넘에게 최고의 선물이 되었네요. 게임 더하라고 사주는게 아니라 즐겁게 게임 즐기고 공부도 열심히 하라는 뜻이다고 하니 끄덕끄덕 합니다. 한번 또 믿어 보지요... 비싼가격에 넘어다 보기도 힘들었는데 이런 가격에 이런 가성비는 또 없을 것 같네요. 스피커 받을려고 제것도 하나 사서 사무실에 가져 갔는데 눈길...아니 귓길을 받게 하네요. 일 열심히 하는 척 소리 내면서 하는것 아니냐구요..ㅎ...
개인 차이가 있을 있겠지만 굳이 불편한, 아니 적응이 필요한 점이 있다면 얕은 깊이에서 타이핑을 인식하기에 오타율이 살짝높아 질 수 있다는 것과 한자키가 오른쪽 모서리에 있어 익숙하지가 않네요. 아뭏든 엄지척! 추천 드리는 상품입니다.",[]
5,"배송 아주빠르게 도착했고 갈축 적축 두가지 구입했습니다. 둘 다 제가 쓰려고 구매했구요
기존에 청축 키보드를 썼던 터라 비교하보려고 이번엔 전축 갈축 두가지를 구매해보았습니다. 오자마자
갈축으로 연결해서 써봤는데 연결이 매우 간편하고 연결하자마자 들어오는 저 오색찬란한 불빛이 너무 예뻐요 검정이라 때도 잘 안탈것같고 나중에
키보드 커버 사서 씌워서 쓸 예정입니다.
두가지나 샀으니 오래쓸것같네여. 타자칠때

타자도 잘쳐지고 타자칠때마다 불빛이 영롱해서
너무 예쁩니다 불꺼놓으면 약간 무드등 역할도
하는것이 너무 감성돋고 예뻐요.
집안에 분위기까지 함께 바뀐 느낌이예요
나중에 마우스도 구매할까 싶습니다
잘받았고 잘쓰겠습니다 ^^",[]
5,"기존에 앱코 k840 사용중이었는데 조약돌키보드라 오타가 자꾸 나서 기변하게 되었습니다.마침 두개사면 사운드바 증정 행사도 있길래 같이 친구와 함께 샀죠.일단 제가 구입한 제품은 적축이라서 기존에 쓰던 갈축이랑 비교해서 소음이 크게 차이가 없네요.그런줄 알았음 그냥 갈축으로 구매할 것 그랬습니다. 조금 아쉽네요.다른 버튼은 그냥그냥 무난한데 백스페이스, 엔터키에서 텅텅하는 울림소리가 유독 크네요.같은 키보드 다른 버튼의 느낌이랄까...그점이 가장 아쉽습니다.그점을 제외하고는 이 가격이면 충분히 입문용으로 훌륭해 보입니다.친구 청축을 나중에 한번 써보고 비교한번 해봐야겠네요.",[]
3,멤브레인만 싸봤다거나. 청축같은 시끄러운 키보드만 써봤다면 꼭 적축을 써보시길 바랍니다. 가족에게도 게임 같이하는 온라인 친구들에게도 청축은 너무 시끄럽습니다. 적축으로 빨리 입문 하시고 소음을줄이는 노력을 해보시기.바랍니다. 이전에 쓰던게 멤브레인이라서 상당히 조용했는데x280의 경우에 그보다는 시끄럽지만 가격을 생각하면기계식 적축 치고는 입문용으로 아주 좋은 제품입니다.키보드 전체 통울림은 없고 키 개별로 누를때에는 스프링 팅팅 튀는 소리가 약간씩 납니다만 그때마다 저렴한 가격을 생각하면 용서가 되는 소음입니다. 과하지 않고 기본만 딱 하는 rgb led의 경우는 눈아프게 요란하지 않아서켜놓고 써도 될만 합니다.,[]
5,"갓성비 키보드라고 입니다. 커세어k70, 레이저블랙위도우엘리트, 콕스ck87, ck01, 앱코8200 등등 여러 키보드를 사용해봤습니다. 기본적으로 스테빌이나 통울림 철심소리가 이전에 사용했던 제품만큼 잡혀있는건 아닙니다. 하지만 가격을 생각하면... 갓성비입니다. 상세한 후기를 써보겠습니다. RGB는 밝지않아서 밝은조명 아래에선 잘 보이지않네요. 적축은 커세어 적축 키보드와 비교했을때 적축느낌은 아닌것 같습니다. 좀더 소리도 크고 키압도 있습니다. 청축에 비해서는 상당이 정숙합니다. 백스페이스나 스페이스의 철심소리는 약간 있지만 가격을 생각하면 용서가 되네요. 단점은 여러가지있지만 가격이 전부 커버한다고 생각합니다. 3만원 이하 키보드중에선 잘만든 제품입니다.",[]
4,처음으로 마이크로닉스 키보드를 사봤습니다인터넷에서의 우려와 달리 생각보다 정말 괜찮은 제품이라는 생각이 듭니다.1주일을 조금 넘게 써봤는데씹힘이나 고스트 현상은 아직까지는 없습니다물론 적어도 1달이상은 써봐야 알수있지만 지금까지는 괜찮은 키보드라는 생각이 듭니다.키보드 색이 고정되어 있는 부분이 조금 아쉽지만 어쩔때 가만히 보면 정말 이쁩니다 ㅎㅎ그리고 적축이 이런느낌인지는 모르겠는데제가 이전에 갈축을 쓰다 이걸로 바꾸니 확실히 적축이 손에 무리는 덜가고 덜시끄럽습니다.저렴한 가격에 적축을 사용하시고 싶으신 분들에게 추천드립니다.생각보다 정말 괜찮은 제품입니다.,[]
4,"결론은 2만원으로는 가성비가 있어 구매 할만하다.요번에 5년 사용한 델노트북 키보드 타이핑오류로 인터넷쇼핑구매로 일단 편안하게 4일 사용 중임!!! 전체적으로 마감은 깔끔하게 되었고, 특히 키캡 투과식이라 마음에 들었다. 키감은 각자 좀 틀리지만 기계식갈축으로는 보통평타이고, 키음은 주관적으로 약20% 적은느낌 그리고 쫀득함은 부족한 것이 어쩔 수가 없는 단점이다.*더 비싼거 더 좋은거 많다 더 많은 비용으로 사면 2만원에 이정도면 왠만해선 잘 산것이다. 맨브래인에 버서나시길...",[]
5,"가성비 키보드라고 입니다. 커세어k70, 레이저블랙위도우엘리트, 콕스ck87, ck01, 앱코8200 등등 여러 키보드를 사용해봤습니다. 기본적으로 스테빌이나 통울림 철심소리가 이전에 사용했던 제품만큼 잡혀있는건 아닙니다. 하지만 가격을 생각하면... 갓성비입니다. 상세한 후기를 써보겠습니다. RGB는 밝지않아서 밝은조명 아래에선 잘 보이지않네요. 백스페이스나 스페이스의 철심소리는 약간 있지만 가격을 생각하면 용서가 되네요. 적축보단 청축이 철심소리를 훨신 더 잘 커버합니다. 게이밍용으로는 청축이 좋을거같습니다. 단점은 여러가지있지만 가격이 전부 커버한다고 생각합니다. 3만원 이하 키보드중에선 잘만든 제품입니다.",[]
5,예전에 쓰던 듣보잡 기계식 키보드가 이제는 키도 잘 안먹고 시끄러워서 버리고 다시 구매하기로 했습니다. 갈축을 샀는데 키감이 꽤나 괜찮네요. led 도 마음에 듭니다. 은은하니 나쁘진 않은데 단색도 있었으면 괜찮았을것 같습니다. 단색이 없는건 조금 아쉽네요. 하지만 마감면에 있어선 깔끔하고 좋습니다. 마이크로닉스 키보드는 아직 써본적이 없어서 이번에 구매해봤는데 너무 만족합니다. 다른 제품도 구매해서 써보고싶네요.,[]
