star_point,comment,photo
5,"영상을 통해서 간단히 티간을 참고하시면 좋을 것 같습니다. 적축을 엄청 오랜만에 사용을 해봐서 예전에 사용 해보았던 축들과 비교가 불가능하지만 확실히 체감상으로 느낌이 좀 다릅니다. 체리 적축을 사용해 본지 꽤 오래되긴 했지만 그 때 당시의 키감보다 조금 더 가볍고 서걱서걱한 느낌인 것 같습니다. 오래전 감각과 비교하는거라 다른 사용자분들 체감에는 많이 다를 수 있으니 참고만 해주시면 될 것 같습니다.

저의 경우는 워낙 키압이 높은 것을 좋아하는 키압 성애자인지라 빠르게 타건을 하게 되면 오타가 나게 되는 것은 어쩔 수 없나봅니다 ㅠㅠ..... 전체적인 타건감은 나쁘지 않았습니다.

LED의 경우 모드가 여러가지가 있는데 영상에서 다 담아내지 않았지만 일반 기계식 키보드들 처럼 하나의 버튼을 이용해서 계속 모드를 바꾸는 것이 아닌 각 LED1,2,3,4,5 버튼마다 설정이 다 다르게 흘러갑니다. 각 LED 버튼마다 4~5개 씩의 모드를 가지고 있습니다. 일반적인 게이밍 키보드에 있는 LED 모드들은 다 들어있다고 보시면 되겠습니다.

마이크로닉스 자체축인 마닉 축을 한번 보았습니다. 스위치를 감싸는 부분이 둥글게 되어있고, LED 방향의 경우는 역방향으로 되어있습니다. 키캡 놀이를 하시려고 하는 분들은 참고하시면 되겠습니다.

처음으로 사용해보는 마이크로닉스 제품군 키보드인데 마이크로닉스 제품들도 무난히 사용하기에 좋을 것 같습니다. 특히 자체적으로 제작된 마닉축을 사용한 제품은 비교적 제품도 저렴하게 나온 편이여서 저렴한 가격에 기계식키보드를 입문하시는 분들에게는 나쁘지 않은 선택이 될 것 같습니다. 아쉬운 점을 뽑자면 스위치 교체형으로 나오지 않았다는 점이 조금 아쉽다. X60이나 X70의 경우는 교체형에 RGB인데 특히 X60의 경우는 X30과 가격차이가 얼마 나지 않는다는 점에서는 팀킬이 아닌가 싶기도 합니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_11_15_0/61fe98ec-0773-11ea-9069-48df37269ee2_05.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191115_16/1573800255910rTjh8_JPEG/%C5%A9%B1%E2%BA%AF%C8%AFDSC_1102.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191115_82/1573800255976CTAok_JPEG/%C5%A9%B1%E2%BA%AF%C8%AFDSC_1103.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191115_230/1573800256225HVlWQ_JPEG/%C5%A9%B1%E2%BA%AF%C8%AFDSC_1106.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191115_245/15738002560898pjSQ_JPEG/%C5%A9%B1%E2%BA%AF%C8%AFDSC_1104.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191115_189/15738002564784hNgN_JPEG/%C5%A9%B1%E2%BA%AF%C8%AFDSC_1108.JPG?type=f287']"
5,"3만원도 되지 않는 가격치고 굉장히 품질이 뛰어납니다. 전반적인 만듦새와 마감이 훌륭합니다. 통울림이 약간 있지만 장패드를 깔면 완화되고, 키감 자체도 평균 정도의 정갈함을 보여줍니다. 높은 KPS를 요하는 리듬게임에서 사용하기에는 키압이 살짝 높긴 하지만 일상적인 타이핑에서 부담이 될 정도는 전혀 아닙니다.

LED 색상이 고정인 것은 아쉽습니다. 차라리 화이트 단색이었으면 더욱 심플한 멋이 도드라졌을 듯 싶네요. 다른 마닉 시리즈도 만족하리라 생각합니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_04_28_0/9c3f462f-8951-11ea-87e5-a0369ff95ec0_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200428_151/1588079524057T9daT_JPEG/IMG_20200317_172643.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200428_291/1588079524219kx94v_JPEG/IMG_20200428_130957.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200428_125/1588079524254B1Mnb_JPEG/IMG_20200428_130856.jpg?type=f287']"
4,"굉장히 빠른 배송
저렴한 가격
청축 / 적축 / 갈축 다양한 선택의 폭
축 별 가격의 차이가 없음
안정적인 포장, 완충

유일한 단점 : 다른 제품들에게 당한 팀킬

1만원 차이로
마닉축 축교환 + 푸딩키캡
또는
X48 4세대 광축 + 크리스탈 키캡
구매가 가능하기 때문에
충분히 가성비로 보였던 X30의 가성비가 좀 떨어진 듯한 느낌입니다
레인보우 백라이트만 아니었어도....(호불호)","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_11_15_0/832b1e5c-07a9-11ea-9a53-48df37269fd0_07.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191115_259/1573823427475hM8Tg_JPEG/20191115_210440.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191115_253/1573823470675KgG5w_JPEG/20191114_195315.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191115_58/1573823485812GdfKn_JPEG/20191114_195359.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191115_224/15738234907245WGNy_JPEG/20191114_195526.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191115_295/1573823498108E0QuD_JPEG/20191114_195752.jpg?type=f287']"
3,"신규 출시했다고 할인하길래 선물용으로 구매했습니다.

저렴하다보니 스테빌 소리나 통울림 심하구요.
기본 키캡이 너무 헐거워 잘빠지고, 스위치 키감도 애매합니다.

하지만 이가격에 기계식 키보드에 RGB까지 되는 완전 저가형 키보드 찾으시는 분들에게 딱일듯합니다.","['https://phinf.pstatic.net/checkout/20200128_108/1580203706210j6bEj_JPEG/20200122_164840.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200128_39/1580203719546foFQv_JPEG/20200122_164926.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200128_200/1580203731350X4iem_JPEG/20200122_165100.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200128_260/1580203740109pOhXr_JPEG/20200122_165116.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200128_291/1580203749150msKCv_JPEG/20200122_165134.jpg?type=f287']"
5,"마닉키보드X30은 가격대비 성능의 만족도가 너무좋습니다.
레인보우LED기능으로 화려한 이펙트는 물론
타건감이 타사키보드대비 상당히 경쾌하고 가겹습니다.
오랬동안 사용해도 손에 대한 피로감이 덜하네요.
또한 동시입력이 가능해 게임을 할때도 승리로 이끌수 있는 기능과
강한 내구성으로 오랫동안 고장없이 사용이 가능한 제품입니다.
에 쓸수 있어서 너무 좋네요.","['https://phinf.pstatic.net/checkout/20191103_14/1572781538793WKs62_JPEG/IMG_7376.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191103_24/15727815252387sQxD_JPEG/20191102_224305.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191103_297/15727815293143VxKp_JPEG/IMG_7371.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191103_242/1572781535885tF3JL_JPEG/IMG_7373.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191103_268/1572781567499Xqv7L_JPEG/IMG_7404.JPG?type=f287']"
5,"마이크로닉스 MANIC X30 갈축 기계식키보드 입니다.
우선 마이크로닉스가 자체적으로 개발한 스위치인 마닉 스위치가 탑재되어 있고 화려한 7컬러의 레인보우 LED와 다양한 커스텀마이징등이 있어서 좋습니다. LED효과도 그렇고 키보드 타건감도 맘에 들었습니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_11_23_0/ca4a0f7f-0dee-11ea-90fc-48df37269ee2_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191123_208/1574512953814Jn7gp_JPEG/DSC08314.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191123_61/1574512953817dUlch_JPEG/DSC08326.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191123_300/1574512953802uQGRU_JPEG/DSC08322.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191123_296/1574512953824qViQS_JPEG/DSC08408.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191123_121/1574512953956Tynt7_JPEG/DSC08388.jpg?type=f287']"
5,세로방향으로 적용된 레인보우led 효과가 아름답고 빠른 입력속도와 부드러운 타건감인 적축 적용에 마이크로닉스가 직접 개발에 참여함 6천만회 키수명을 지닌 MANIC 스위치가 적용되어 내구성이 기대가 되는 게이밍키보드 제품이었습니다.,"['https://phinf.pstatic.net/checkout/20191104_18/1572877319023eBL0a_JPEG/z07b.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191104_103/1572877196997yKipp_JPEG/z00b.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191104_115/1572877226376gBaPI_JPEG/z03b.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191104_293/1572877504513QiTLb_JPEG/z15b.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191104_47/1572877245007MVPvr_JPEG/z04b.jpg?type=f287']"
5,고민 좀 하다가 결국 적축으로 구매했어요~이 제품 추천 많이 받았었는데 쓰던게 있어서 구매 미뤄왔었는데....진작 살껄 ㅎ 아예 키보드 자체가 엄청 고퀄리티에요! 일단 led 조명이 진짜 예쁘구요 ㅠ 잘은 모르지만 마닉축(?)이라 그런지 뭔가 튼튼하고 내구성 좋은 느낌입니다! 키보드 누를때 하나하나가 엄청 힘있는 느낌! 오래 쓸 수 있을 것 같아요 무엇보다 디자인도 엄청 세련되어서 질리지도 않을 것 같구...진작 사서 신세계 맛볼껄 그랬어요 왕추천이요 ㅎ,[]
5,"요즘 재택근무를 하게되어 저번에 사무실어세 사용하던 키보드로 바꾸게되었어요.
평소에도 게임도 자주하고, 타이핑 치는일이 많은데 생각보다 너무 마음에 드네요.
타자감이 너무 좋고, 확실이 빠르기도 합니다.
기계식 키보드중에 디자인도 깔끔하고 괜히 컴퓨터앞에 더 앉아있게되네요~
가성비 대비 좋은 제품인 거 같아요. 잘쓰고 추천도 많이 하겠습니다^^",[]
5,"블랙이라 깔끔한데 led가 무지개 컬러라 너무 예뻐요
밝기조정도 가능하니까 눈아플 염려도 없고요
타자치는 느낌과 소리가 좋아서 게임할때 말고도 문서작업할때 자주 이용해요
키보드 여러가지 쓰면서 입력이 늦거나 타자감이 안느껴져서 오타나는 경우도 많았는데 이제 그런일은 없을것같아서 만족합니다",[]
