star_point,comment,photo
5,"포장 진짜 뜯기 힘들정도로 꼼꼼하게 안전포장 해주셔서 감사합니다 제품이상없고 말씀드린데로 화이트색상 보내주셔서 이것또한 감사드리구요
오자마자 키보드 켜보고 해봤는데 정말 이쁘긴 이쁘고 타자감도 가격때비해 괜찮네요
사실 리뷰많은 다른곳 판매자분께 주문했는데
일방적으로 얘기도 안해주시고 입고지연으로 사전에
얘기없이 구매취소 해버렸거든요
안좋은 기분 싹 날라갔네요~ 든든한 포장 원하시는분
여기서 구입하시면 됩니다","['https://phinf.pstatic.net/checkout/20201008_266/1602140908151VGHg5_JPEG/review-attachment-9bb2c65a-4d32-4bbf-81f7-e19435f9797e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201008_164/1602140919545oFmej_JPEG/review-attachment-f7c78c51-3409-44f2-96e6-e0cdc59f9d1e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201008_192/1602140929221NxgNV_JPEG/review-attachment-02abdaab-569b-43f2-92a1-f21041268c4f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201008_46/1602140937125O2ik6_JPEG/review-attachment-5c969ba8-ac94-4192-83e2-a8d5ca5ccca6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201008_19/1602140945080ST5Je_JPEG/review-attachment-2a9a30d5-49fc-44e5-8a35-e8bfe82fd0a9.jpeg?type=f287']"
5,"사무실에서 책상에 앉아 타이핑을 주로 하는 저에게 있어서 키보드란 정말 중요한 무기입니다. 키보드가 손에 익지 않아서 오타가 나거나, 타이핑이 부드럽게 되지 않으면 정말 스트레스 받죠.
당연히 좋은 키보드를 사용하고 싶지만... 좋은 기계식키보드의 가격은 상당히 부담스러운 것이 사실입니다.
그런데 마닉키보드.. 가격은 저렴하면서도 정말 만족도가 높습니다.
방수도 되고, 4세대 무접점 방식의 광축 키보드.. 그런데 가격이 진짜 저렴하죠.
저는 20만원짜리 청축 키보드를 기존에 사용하고 있었는데... 솔직히 키감이 마닉키보드가 더 좋습니다.
그만큼 실제 키감을 비롯하여, 여러가지 부가 기능까지 정말 만족도 최강의 키보드입니다.
기계식 키보드를 입문하기 원하시는 분이라면 .","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_11_19_0/5be8ebb1-0aae-11ea-bbff-505dacfba98a_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191119_238/1574155442124lE5aB_JPEG/IMG_20191119_202245_816.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191119_213/157415544243742pQl_JPEG/IMG_20191119_202245_771.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191119_125/1574155442496rtSkV_JPEG/IMG_20191119_202245_772.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191119_156/1574155442924LOF8p_JPEG/t_MG_7911.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191119_159/15741554429971YFYH_JPEG/IMG_20191119_202245_814.jpg?type=f287']"
5,"키보드가 IPX7 이라니~!
커피를 사랑하는 덜렁이에게 딱이네요
이젠 키보드도 물로 세척해서 사용해야 할듯 ㅎㅎ
원래 사무실에서 소음때문에 적축 사용했는데 요녁석은 갈축이나 청축처럼 키감이 좋아서 오타 방지에 더 좋을듯 합니다. 그러면서도 소음은 확실히 많이 줄어드네요
광축의 빠른 입력 속도와 무한 동시 입력, 거기에 1억회의 키수명이라니 놀라지 않을 수 없네요
넉넉한 길이의 패브릭 단자와 금도금 포트, 노이즈 필터까지 세심하게 설계되었어요
그리고 게이밍 키보드만의 재미 ~! 무려 13가지의 LED 라이팅 모드
완전 현란합니다. 게임의 재미를 쑥쑥~~~

더 자세한 리뷰는 blog.naver.com/ttochi119","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_11_18_0/22f4a3f9-09da-11ea-90d8-48df37269fd0_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191118_260/1574064293936qcTz3_JPEG/IMG_9809.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191118_78/1574064293451hI1WG_JPEG/IMG_9803.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191118_94/1574064293630Sxu7D_JPEG/IMG_9804.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191118_194/15740642938262ziiB_JPEG/IMG_9805.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191118_221/1574064295051tNQ0n_JPEG/IMG_9834.jpg?type=f287']"
5,"MANIC X40 기계식키보드를 사용하면서 상당히 좋은 제품이라는 느낌을 많이 받았어요일반적인 가성비 기계식키보드의 경우에는 가벼운감이 있지만, 무게가 어느정도있어서 게이밍이나 작업시에키보드를 험하게 다루더라도, 어느정도 중심을 잡아주면서 안정된 타감을 보여주었으며,광축이라는 청축보다 좀 더 경쾌하고 좀 더 압이 높은 제품을 채택해서 타이핑의 질도 높인걸 볼 수 있었어요LED부분도 너무 밝거나 어둡지 않은, 은은한편에 속해서 눈이 편하게하게 사용이 가능했어요하지만 가장 큰 아쉬운점이라면, Fn(펑션키)와 멀티미디어키의 사용방법에 대한 사용설명서 부재가 가장 아쉬운점이었고,심지어 인터페이스 표시창의 마지막 4번째는 잠금장치(윈도우)로 보이지만, 이 부분에 대해서도 설명이 되어있지 않았어요기계식키보드를 사용해본 사람 또는 펑션키를 자주 이용하는 사람의 경우에는 대략적으로 사용법을 알 수 있지만,가성비기계식키보드라고 한다면 가장 먼저 찾는 사람들은 보급형을 찾는 처음사용자들이 많을 것 같아요보급형, 가성비 키보드인만큼 처음사용자의 시선에서 바라보는 구성품을 갖추면 더 좋을 것 같아요","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_05_07_0/221e22d2-7022-11e9-a2ed-48df37269fd0_07.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190507_99/1557162731715qrsTA_JPEG/1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190507_74/1557162731948KRcOS_JPEG/16.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190507_103/1557162732161meWjN_JPEG/39.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190507_140/1557162732378Alm7l_JPEG/40.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190507_67/1557162732558CEaYr_JPEG/41.jpg?type=f287']"
5,완전방수 키보드 추천 마이크로닉스 MANIC X40 4세대 광축 키보드는 풀 배열 키보드의 표준 디자인을 가지고 있습니다. IPX7 등급의 완전방수를 지원하는 키보드 인데요. 제품 침수시 무상 AS를 지원합니다. 완전 방수나 방수를 지원하는제품들이 침수 시 사용자 과실로 무상 AS 에서 제외되는 경우가 많은데 #완전방수키보드추천 #마이크로닉스 #MANIC_X40 #4세대_광축 키보드는 AS가 확실하네요. 키보드가 오염되더라도 안심하고 물로 세척이 가능합니다.키보드 사용시 LED 등이 커서 가시성도 좋았고 케이블은 페브릭 소재로 만들어졌으며 USB 커넥터는 금도금이되어 있습니다. 완전방수 키보드 추천 마이크로닉스 MANIC X40 4세대 광축 키보드는 기계식 스위치가 아닌 광축 스위치 이지만기본적으로 클릭 스위치라서 기계식 스위치와는 다른 느낌의 타건감을 제공하는데요. 기계식 촉감에 가장 가까운최신형 지시엔 4세대 광축 키보드 입니다. 교체형 스위치를 채택하여 내구성 걱정은 거의 없을 듯 하네요.안티고스트를 지원하는 키보드이므로 무한 동시 입력이 가능한데요. 스위치를 정방향으로 장착하여 체리 프로파일도문제가 없습니다. 완전방수 키보드 추천 마이크로닉스 MANIC X40 4세대 광축 키보드를 PC에 연결하여 보았어요. 여러 모드의 LED 튜닝효과를 지원합니다. 완전방수 키보드 추천 마이크로닉스 MANIC X40 4세대 광축의 가장 큰 장점은 역시 완전방수라는점이고 침수시 무상 AS가 가능한 점입니다.. 또한 4세대 광축 스위치를 내장하여 기계식 청축과 비슷하지만 다른 느낌의경쾌한 키감을 제공합니다. 키보드가 오염되었다면 물을 뿌려서 깨끗하게 청소할 수 있는 점은 정말 편리할 것 같습니다. ABS 키캡이 조금 아쉬운 부분이고 LED 색상도 개인적으로는 마음에 들어서 좋은 #완전방수키보드추천 드려 보네요.,"['https://phinf.pstatic.net/checkout/20190511_222/1557544885203r6BG3_JPEG/20190511_112336_HDR.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190511_271/1557544884858DD5RX_JPEG/20190511_112240_HDR.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190511_52/1557544885097MehCi_JPEG/20190511_112313_HDR.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190511_294/1557544884975P3xVY_JPEG/20190511_112254_HDR.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190511_58/1557544885321wSk7V_JPEG/20190511_112451_HDR.jpg?type=f287']"
5,"사용중이던 청축 체리 키보드와 비교하면 기계식 키보드의 키감도 느낄 수 있으면서 소음이 적어 평소 밤에 게임을 즐겨하는 직장인으로써는 매우 만족스럽습니다.

특히 좋아하는 LED 라이트효과가 다양해서 그날 기분에 따라 변경해서 사용하면 게임을 조금 더 재밌게 즐길 수 있어요.

방수 기능은 아직 물을 부어보진 못했지만 과거 우유를 쏟았던 경험이 있는 만큼이나 걱정없이 키보드를 사용할 수 있는 이유가 되었네요.","['https://phinf.pstatic.net/checkout/20191117_163/1573993022915edtxD_JPEG/%B9%E6%BC%F6_%B0%D4%C0%CC%B9%D6_%C5%B0%BA%B8%B5%E5_%287%29.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191117_157/1573993023585zsLjw_JPEG/%B9%E6%BC%F6_%B0%D4%C0%CC%B9%D6_%C5%B0%BA%B8%B5%E5_%2815%29.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191117_208/1573993023038bqKfW_JPEG/%B9%E6%BC%F6_%B0%D4%C0%CC%B9%D6_%C5%B0%BA%B8%B5%E5_%2814%29.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191117_95/1573993023448q4VGr_JPEG/%B9%E6%BC%F6_%B0%D4%C0%CC%B9%D6_%C5%B0%BA%B8%B5%E5_%2820%29.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191117_228/1573993023909rka0x_JPEG/%B9%E6%BC%F6_%B0%D4%C0%CC%B9%D6_%C5%B0%BA%B8%B5%E5_%2822%29.JPG?type=f287']"
5,"넘 좋아유! 예뻐서 쓸때마다 기분 좋아여 >_<
저번엔 불 나오게 찍었으니 이번엔 꺼져있을때를 찍어볼게요! 먼지 쌓일까봐 첨에 씌워져있던 뚜껑(?) 덮어놔요
그리고 후기 이벤트로 받은 손목 받침대도 넘나 좋습니다~! 친구들 놀러왔을때 자랑했더니 다 예쁘다고 했어욤
솔직히 키감? 이런건 잘 몰라서 전문적으로는 말은 못하지만 ㅎㅎ 전 부드럽고 타자칠때마다 타각타각 소리나는게 넘나 좋았습니당 취향저격~!
다만 한가지 아쉬운건 흰 키보드인데 연결선이 두꺼운 까만색이라 쫌 아쉽네욤,,","['https://phinf.pstatic.net/checkout/20201008_133/16020842984659DvuR_JPEG/review-attachment-63b3531a-25e1-44e2-a197-840cc1dd6e92.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201008_153/16020842868976rpBA_JPEG/review-attachment-525c0667-7f92-4f60-bedc-b59218cbb1cb.jpeg?type=f287']"
5,"마이크로닉스 MANIC X40 4세대 광측 기계식 키보드입니다. 타이핑이 매우 부드럽고, 생각보다 소음이 크지 않습니다. 무엇보다도 게이밍 키보드에 최적화되어서인지 자장 많이 사용되는 키보드에 색상을 화이트로 해서 눈에 잘 띕니다. 어차피 적응하면 키보드를 보면서 조작하는 것은 아니겠지만 적응하기 쉽겠습니다. PC방에서 많이 사용한다고 하던데 완벽방수등급에 예비부품도 4개가 함께 포장되어 있어서 고장 발생시 바로 수리가 가능하니 그럴만도 하다는 생각이 듭니다. 게이밍 키보드라서 생각보다 무게가 무겁다고 느껴지지만 데스크탑용으로 사용하기 때문에 아무 부담이 없습니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_11_04_0/ab7d6f75-ff03-11e9-85f0-48df37269fd0_05.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191104_154/1572872602433j6Hoj_JPEG/IMG_3003.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191104_227/1572872646315AYs4P_JPEG/IMG_3026.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20191104_257/15728726468810p1xa_JPEG/IMG_3029.JPG?type=f287']"
5,"지인 추천 받아 구매했어요 ㅎㅎ 역시나 예상대로 넘나릐 예쁘네욥
컴알못이라 뭐 설치하고 해야하나 싶었는데 걍 노트북에 usb 꽂으면 되더라구영
근데 좀 아쉬운게 간단한 설명서가 있으면 좋겠어요 ㅠㅠ 키 색깔 바꾸고 이러는거 몰라서 다시 사이트 들어와서 찾아봤어요~~ 넘 예쁘고 만족합니닷!!!","['https://phinf.pstatic.net/checkout/20200904_294/1599152849234pzrNr_JPEG/review-attachment-d7ecd4c1-5d63-464c-ad72-922f120c4cbb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200904_89/1599152859270W6oTs_JPEG/review-attachment-3776ff53-80f4-401a-b129-998c9a53ad4e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200904_176/15991528694542pWk0_JPEG/review-attachment-2e74fae3-85bf-4d9f-a47a-85fafa52d8a6.jpeg?type=f287']"
5,"디자인 너무 예쁘고 감도 너무 좋아요.
매일 사무실 썩은 키보드 쓰다가 마이크로닉스X40 쓰니까 너무 편하네요~
색상도 화이트 샀는데 너무 마음에 듭니다.
특히 LED 불빛들어오는거 짱이에용!!

p.s 여분의 부속도 주시고 선묶을 수 있게 케이블 같은것도 있엇 좋아요","['https://phinf.pstatic.net/checkout/20200226_75/1582696894331RwWib_JPEG/KakaoTalk_20200226_145904323.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200226_272/1582696894330ekYbq_JPEG/KakaoTalk_20200226_145903243.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200226_160/1582696894342TLShh_JPEG/KakaoTalk_20200226_145903840.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200226_17/1582696894324JtzcX_JPEG/KakaoTalk_20200226_145905069.jpg?type=f287']"
