star_point,comment,photo
4,"그냥 화이트는 밋밋할 것 같아서 키캡있는 제품으로 구매했는데 보통 키보드랑 다른 느낌이라 좋네요
선 색깔이 검은색인 점은 마음에 안 들었는데 모니터가 검은색이라 나름 괜찮았습니다
찰칵거리는 소리가 처음엔 생각보다 시끄럽다고 느꼈는데 쓰다보니 손에 착착 감기는 느낌이 좋습니다

+포장상태는 최악이었어요..
뽁뽁이가 겨우 밑에부분 조금 돼 있어서 안쪽이 텅텅 비어서 상자 겉부분 찢어지고 난리였습니다
공식 지점이란 점을 믿고 사는 거였는데 그냥 다른 곳에서 살걸 그랬네요","['https://phinf.pstatic.net/checkout/20200810_25/1597000528005mLW1E_JPEG/review-attachment-c5e1b8cd-6871-4dc1-9aa8-d7af8495a83e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200810_168/1597000810146hna4V_JPEG/review-attachment-fd10a407-e8bb-4b94-972c-859b87b29851.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200810_18/1597000810417Ht6wJ_JPEG/review-attachment-40d7407d-c4a1-416c-bd0f-9bfd00f697ff.jpeg?type=f287']"
5,"기계식 키보드에 빠져서 여러가지 찾다가 고른건데 너무너무 예쁘네요 ㅜㅜ♥︎ 키도 쫀득쫀득하고 소리도 좋아요 (스페이스바나 조금 큰 키들은 찰칵거리면서 소리가 조금 다르긴 해요)

일반 키보드는 타이핑하면 약간 미끄럽다고 해야하나 그런데 이건 크리스탈 키캡이라 착착 붙어요ㅋㅋㅋ 조명도 너무 예쁘고 일할 맛이 납니다!!

다만 조금 아쉬운 점은 키보드가 화이트다 보니 전선도 흰색이면 더 좋을 것 같구 키보드 뒷면에 전선을 꽂아서 왼쪽이나 오른쪽으로 뺄 수도 있으면 좋을 것 같아요!","['https://phinf.pstatic.net/checkout/20200723_70/15954608404705zrai_JPEG/review-attachment-93b63df0-ec5b-4f91-b9f2-0598097d706a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200723_90/1595460855984KnkUR_JPEG/review-attachment-bd6e264c-8448-408d-88be-232094faf1c4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200723_204/1595460863361cCz0M_JPEG/review-attachment-3b896ee2-8b05-494d-95e1-a7723bac78e9.jpeg?type=f287']"
5,평범한 키캡이 아니라 크리스탈 키캡을 사용하여 개성과 디자인을 잡았고 완전 방수 기능을 탑재하여 생활속에서 발생할 수 있는 음료수 흘림 등의 사고에 완벽하게 대응이 가능하다는 점이 일단 마음에 들었습니다.게다가 자가수리를 내세우는 키보드들은 대부분 여분 스위치만 주고 스위치 리무버를 생략하는 짓(?)을 많이하는데 마이크로닉스 X48 게이밍 키보드는 키캡리무버와 스위치 리무버를 제공하고 있고요.다양한 멀티미디어 기능에 13가지에 달하는 LED 패턴으로 디자인과 기능을 모두 잡은 제품이라 생각합니다.,"['https://phinf.pstatic.net/checkout/20190509_176/1557367747723Qqh79_JPEG/DSC04509.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20190509_105/1557367748044mB4cG_JPEG/DSC04510.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20190509_32/155736774837624ysz_JPEG/DSC04504.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20190509_279/15573677486532VSKO_JPEG/DSC04511.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20190509_284/1557367749051qlkTE_JPEG/DSC04529.JPG?type=f287']"
5,"우선 포장이 안전하게 온게 좋았고
시끄러운걸 별로 안좋아하는 저에게 적당한 소음이었어요.
스프링 소리도 잘 안들리고 제가 원하던 크리스탈 키캡이어서 더 마음이 가는거 같아요.
조금 아쉬운건 N부분에 뭐라고해야되지 코팅(?)이 아주조금 눈꼽만큼 벗겨진에 아쉬웠어요. led가 키보드 위에 그 여튼 음.. 그랬어요.
led는 화이트 화이트 이다보니 레인보우를 해도 촌스럽지 않았고 예뻤던거 같아요.
아 그리고 그 여분의 축?이 4개나 오더라구요 키알못인 저에게는 좋았던거 같아요","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_03_15_0/a7e2bf92-6630-11ea-a077-505dac8c3607_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200315_107/1584216966793qfps4_JPEG/20200315_051007.jpg?type=f287']"
5,"너무예뻐요ㅠㅠㅠ청축보다 덜 시끄럽고 소리 딱 적당해요. 통울림 소리도 없는편인거같아요 전에 쓰던 앱코랑 가격차이 별로 안나는데 마이크로닉스가 훨씬 낫네요 키씹힘도 없고 통울림소리도 안나고,, 진작에 살걸 그랬어요ㅠㅠ 키감도 좋고 뭣보다...디자인 넘넘 예뻐요... 실물이 더예뻐요ㅠㅠ화이트 쵝오...","['https://phinf.pstatic.net/checkout/20200602_34/1591091797405rstBk_JPEG/4393EC98-46EA-4A18-81C1-0DF74A0458D3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200602_234/15910917985265eGqV_JPEG/278C38E5-7351-4CC7-9328-F74A2F406C1D.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200602_228/1591091796576K4aIJ_JPEG/260C3A3A-B875-4986-B4B1-29412BB5AF29.jpeg?type=f287']"
5,"바탕은 레드에 키캡은 코랄빛나는 핑크예요 라이트도 흰색이라서 깔끔하고 생각보다 라이트한 키감인데 그렇다고 심심하지 않게 누르는 재미가 있어요ㅎㅎ
일단 너무 예뻐서 계속 누르고 싶어요
엘이디도 흰색이라 부담스럽지 않고 조절도 간편해요 개인적으로 레인보우보다 흰 엘이디가 예쁜 거 같아요
행여나 손에서 미끌어질까봐 조금 걱정했는데 그렇지도 않고 손에 잘붙네요ㅠㅠ 만족스러워요!! 게임할 맛 나요ㅋㅋㅋ","['https://phinf.pstatic.net/checkout/20200205_104/1580892773045pxw1x_JPEG/20200205_164206.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200205_190/15808927803345U3aR_JPEG/20200205_164218.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200205_206/1580892786164mMrEC_JPEG/20200205_164333.jpg?type=f287']"
5,IPX7 방수등급과 광축스위치를 사용했다는 것만으로도 맘에 들었지만 실제 게임을 해보니 키감도 좋고 크리스탈키캡을 통해 이쁘기까지 해서 더욱 좋네요.집에서 게임을 많이하는 유저나 PC방에서 사용하면 최고의 게이밍 기어가 될것 같습니다.가격은 5만 원대라서 가성비도 괜찮은 것 같습니다. https://tv.naver.com/v/8344972,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_05_13_0/d41687c4-74f0-11e9-8259-48df37269ee2_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190513_163/155769125149947dGL_JPEG/01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190513_202/1557691252497aOQS5_JPEG/34.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190513_158/1557691252955CWvtw_JPEG/35.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190513_22/1557691253236oub4D_JPEG/37.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190513_54/1557691253552shrmw_JPEG/38.jpg?type=f287']"
5,빨간색 좋아해서 검색하다가 사진상 너무 예뻐보여서 구매했어요! 하루만에 배송받고 바로 연결했는데 너무 예뻐요!! 연결하고 빛받으니까 키캡이 고급져보여요ㅋㅋ 화이트색상이 포인트로 있으니까 촌스럽지도 않아요! 터치감도 좋습니당!! 방수라니까 걱정없이 음료 드린킹하면서 즐겜할수있겠네요!! 많이 파세요!,"['https://phinf.pstatic.net/checkout/20200417_253/1587114388754Qnpyb_JPEG/014E67E6-AC95-42DD-B191-443231B018E4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200417_60/1587114388898vyEpC_JPEG/646C8300-AA16-4DD4-9FE1-0C9EAE8EF9F1.jpeg?type=f287']"
5,동네피시방에서 크리스탈 키캡 제품을 써보고 매료되어 같은 제품찾던도중 제가 애용하는 마이크로닉스 사에서 나온 키보드보고 주저않고 바로 구매했습니다 써보니 왜 평점이 높은지 알겠네요ㅎㅎ 가장큰 강점이 제기준에선 LED조절과 물청소 가능여부아닐까 싶어요 !! 타건감도너무 제게 꼭맞아서 진짜 잘샀다는 생각이들어 내심 뿌듯했습니다 잘사용할게요 ~~,['https://phinf.pstatic.net/checkout/20200320_268/1584660983387IadgF_JPEG/KakaoTalk_20200320_083019703.jpg?type=f287']
4,살까말까 고민하던 찰나에 x48을 피시방에서 보게 되었고 맘에 들어서 찾아봤는데 가격 행사까지 해서 결국 제 첫 기계식 키보드가 되었네요키감도 좋고 무엇보다 디자인이 너무 예뻐서 볼때마다 행복하네요그리고 크리스탈 키캡이 씌워져있어서 촉감이 부드럽다고 해야 하나.. 미끄럽다고 해야 하나 여튼 좋아요 추천,[]
