star_point,comment,photo
5,"[배송/포장]
휴가기간 제외 발송 2일만에 왔습니다. 포장상태 양호. 파손 없음.

[디자인]
화이트/화이트 선택. 펑션,특수키들은 빨간 키캡으로 포인트를 준게 의외로 멋지고 이쁨. 쓰고있는 장패드 테두리가 빨간색이라 깔맞춤도 괜찮아서 만족. 전체적인 레이아웃은 그냥 무난하고, 백라이트는 가장자리에 위치한 키쪽은 광량이 다소 부족함. 다만 개별LED식이 아닌 이상 이 정도 가격대 키보드에서 가장자리 빛이 약한 건 수긍해야 되는게 현실. 그럼에도 불구하고 흰/적 조합이라 그런지 예상보다 백라이트가 많이 이쁨.

[실사용기]
PBT키캡 키보드는 대부분 고가인데, 본 모델은 완전방수기능까지 있으면서 PBT키캡을 사용함. 그리고 가격은 10만원 훨씬 안짝. 이 정도면 +/- 2만원대 범위내에서 최고의 모델이 아닐까 싶음. 특히 이전에 쓰던 PC재질 캡과는 확실히 덜 미끄러워서 타이핑 용이한게 가장 마음에 듦.
광축은 처음 써보는데 너무 시끄럽지도 않고 너무 서걱거리는 느낌도 아니라 개인적으로 . 본 모델은 체리식스테빌라이저가 없는걸로 아는데, 스페이스바 키감이나 안정도는 딱히 신경쓰이지 않는 정도.
전체적으로 거의 , 키보드 자체의 내구성과 키캡표면 소모가 얼마나 빨리되는지가 관건이라 생각됨. 이 가격대에서는 무조건 1티어 키보드인듯.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_06_0/60513eed-d7ae-11ea-a472-48df379cc9e4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200806_183/1596694912790FOr8v_JPEG/review-attachment-f705f3f9-d110-4719-9f3e-d5f77ec844e7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200806_299/1596694912596nUdot_JPEG/review-attachment-4f66a1ec-49ef-405d-bf7e-57f6d09bc664.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200806_240/1596694912823VPBQn_JPEG/review-attachment-9acdc9b6-070b-44ea-b80f-550719e7486d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200806_23/1596694912695us8RX_JPEG/review-attachment-03e96763-21a1-49df-aae6-a44520491ad8.jpeg?type=f287']"
5,"12년만에 컴퓨터를 맞추는데 키보드도 없어서
어떤걸로 살가 고민 하다가 큰맘 먹고 비싼가격이지만
마이크로닉스 X50으로 결정했네요^^
본사 휴가가 겹쳐서 택배는 2틀만에 받았지만
주말에 컴퓨터 조립후 쓰기위해
지장없이 키보드가와주어서 다행 입니다.
키보드는 비싼 가격 만큼 매우 만족 하고
컴퓨터 고장날 때까지 키보드도 고장안나고
오래쓰고 싶네요^^","['https://phinf.pstatic.net/checkout/20200808_183/1596839358286xmabq_JPEG/review-attachment-e8fe1d9a-c2dc-42e6-ae2a-434a67a81430.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_270/1596844851446OlRqQ_JPEG/review-attachment-2c5fc8b0-b839-4913-b352-394bf6b9bdc2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_200/1596844881502hCkgO_JPEG/review-attachment-a6e2b20c-5b06-4a11-89de-01c47fbdd810.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_35/1596844895280YsHph_JPEG/review-attachment-af960a48-ec80-475d-8e78-5131f7d3bddc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_129/1596844917004qus1H_JPEG/review-attachment-22acc6ae-e5e6-4857-8c38-b4890ccc8c23.jpeg?type=f287']"
5,"기존 제닉스청축 타이탄 마크vll 키보드 4년정도 사용하다가 저소음 방수키보드 찾다가 구매했습니다.
우선 장점
1.생각보다 색이 너무이쁩니다. 개인적으로는 흰색 단일로만 쓰고싶었는데 울며겨자먹기로 구매햇는데 빨강이 매우맘에들어요

2.키감은 좀더 가볍고 좋아요 손가락에 부담도 덜옵니다.키감이 생각보다좋아서 깜짝놀랫습니다.


개인적으로 구매후 단점은
1.패널라이트가 단일색상으로는 쓸수없는게 조금 아쉬워요. 한가지색으로만쓰고싶은데 온갖 무지개들이 난무해서 꺼놓고 쓰게됩니다.ㅠㅠ
2. 생각보다 조용하지않다는것. 기존 청축 게이밍키보드 사용하다가 이거로 바꿧는데 생각보다 소리에 차이가없습니다. 다만 . 생가해보니 기계식키보드사놓고 조용한걸 찾는것도 넌센스긴하쥐만 청축보다 거슬리는소리는 아닙니다.!

구매하실떄 참고되셨음 좋겟어요!",['https://phinf.pstatic.net/checkout/20201007_193/1602055714735VyC6o_JPEG/review-attachment-7e90cd1b-87f9-4695-ae2b-49895fabfdbc.jpeg?type=f287']
5,"좋은 상품 판매해주셔서 감사합니다.
자세한 부분들에 대한 리뷰를 각 사진별 설명에 추가해놨습니다.))
포장도 잘 되어있었고,
배송도 무척 빨랐습니다.
제품 만들어주시는 분들부터 판매와 배송까지
모든 분들께 감사드리며,
좋은 하루 되시길 바라겠습니다 ))","['https://phinf.pstatic.net/checkout/20200727_97/1595848452927dJOpE_JPEG/review-attachment-5c39617a-92b1-4046-87ef-000a3aacd2c1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_87/1595848451186djje9_JPEG/review-attachment-01409bbf-a864-4f15-8799-6a9c3619c539.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_75/1595848453928sx43K_JPEG/review-attachment-0c45832e-614f-496a-a70d-9c8bedb3e2f2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_119/1595848453237IEuL7_JPEG/review-attachment-c444416c-1a23-497d-af65-cb6a78276447.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200727_288/1595848453355iVmCM_JPEG/review-attachment-635450ff-bb9a-45e1-a000-bbb9d85afa77.jpeg?type=f287']"
5,"2년 전 쯤에 기계식 키보드가 가격이 많이 싸졌을 때
앱코 해커스K690을 저렴하게 구입해서 잘 사용했습니다
그런데 어느날 갑자기 자꾸 비번이 틀리다는 겁니다
이상해서 메모장을 열고 비번을 쳐보니 쉬프트키가 안 먹히더군요

이리저리 검색해보고 싼제품을 살까 하다가 마닉 X50이 눈에
띄더군요
댓글 달린 거도 보고 고민도 많이 했지만 돈 좀 더주고 맘 편히
쓰자는 생각으로 지르게 됐습니다

다른 건 괜찮은데 파란색 LED의 시인성은 좀 떨어지더군요
밝기를 최대로 해도 그렇더군요
좀 더 밝게 설정됐으면 좋겠습니다

키압은 전에 쓰던 K690보다 부드럽구요

통울림이 있다고 하는데 제가 막귀인지는 모르겠지만
크게 신경쓰이지는 않습니다

좋은 제품 만들어주셔서 감사합니다",['https://phinf.pstatic.net/checkout/20200823_238/1598160708146GbmTE_JPEG/review-attachment-9322c20e-7587-466e-8bb4-509fcb3a5ef2.jpeg?type=f287']
4,"청축 이라고 해서 탄력 있는 키 감을 기대 했는데 생각보다 부드러워 살짝 당황 스러웠습니다. 하지만 생각 해보니 장시간 타이핑 해야 하는 작업에는 키 반발력이 크면 좀 피곤할꺼 같기도 하네요. 이러저러한 경우 모두를 생각 했을 때 적당한 키감과 청량한 클릭음은 감성과 실용성 한 중간을 매우 잘 마크한 제품임에 틀림 없는 듯 합니다.

레인보우 키 LED도 일반적인 가로가 아닌 세로로 배치 해서 개성 있어 보이고 완전 방수 설계로 액체류의 오염에 강하며 키 캡도 PBT이중 사출 캡이라 마모로 인한 번들거림이나 문자 각인 지워짐 없이 오래도록 사용 할 수 있도록 한 점도 맘에 드네요.

하지만 패키지에 동봉 된 매뉴얼 설명과 달리 키 조명 옵션 변경은 Fn+F9 으로만 변경되고 Fn+End키를 누르면 Fn키 락이 걸려 여타 다른 부가기능 작동이 정지 되는 등의 기능으로 매뉴얼을 보고 제품 기능을 파악 하는것에 애를 먹었네요 또 스위치 불량시 교환 할 수 있도록 동봉된 여분의 스위치와 스위치, 키 캡 리무버의 자세한 사용방법 설명이 아예 전무해 유저의 자체적인 문제 해결 제시에도 다소 소홀한 듯 보여집니다.",['https://phinf.pstatic.net/checkout/20191127_182/1574852693758FWtA7_JPEG/%C5%B0%BA%B8%B5%E5.jpg?type=f287']
5,"이제품 구매 후 사용해보니 아주 좋네요
제가 키보드 마우스 덕후라 집에 허세어 k7럭스랑 킹스톤 하이퍼엑스 지스킬km780 있는데(msi gk80은 와이프한테 걸려서 중고나라...) 비교해도 손색없습니다 지시엔키감 나름의 쫀뜩함과 pbt 장점이 아주 좋네요
대표적으로 광축,방수,pbt키캡,가격이 이 제품 가장큰 장점같네요 내구성은 오랜시간 써봐야겠지만 장점이 많은 키보드네요

이번에 마닉 키보드 쓰면서 pbt키캡 첨 써보는데 정말 좋네요 기존 키보드 키갈이 할 생각이 들 정도로...
웃긴건 기존 보유한 키보드중 pbt는 한개도 없네요 가격은 죄다 십만원 후반대인데..
암튼 이제품 강추입니다!!","['https://phinf.pstatic.net/checkout/20200430_152/1588215957340FiK0a_JPEG/KakaoTalk_20200330_122533610_02.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200430_78/15882159575059okR9_JPEG/KakaoTalk_20200330_122533610_01.jpg?type=f287']"
5,"게이밍 키보드 필요해서 검색 엄청 하다가 한미마이크로닉스 게이밍키보드를 찾게됐어요
리뷰보고 구입했는데 역시나 만족스러워요 끊김현상없이
키보드 잘 돌아가고 게이밍이라그런지 게임도 잘되는 느낌
터치감이라해야하나 그립감이라해야하나 정말 뛰어납니다.
디자인도 깔끔하고 항상 싸구려 키보드만 쓰다가 이번엔 그래도
한번 구입하면 최소 5년이상은 관리못해도 쓰니까
몇만원 더 보태서 좋은거사자 하고 구입했는데
100%만족합니다 배송도 엄청 빨랐어요.","['https://phinf.pstatic.net/checkout/20200925_229/1600998396137MDu05_JPEG/review-attachment-36ac87dd-a403-4503-97d5-29fe030e1582.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200925_271/16009983961367pdrs_JPEG/review-attachment-b94b2f21-7ef4-441d-9d08-dbde46782bf0.jpeg?type=f287']"
5,요즘 피시방을 못가니까 주로 집에서 게임을 하는데 앞으로도 한동안은 집에서만 해야 할 것 같아서 현재 사용하고 있는 컴퓨터 제품들을 좀 더 게임하기에 최적화된 제품으로 바꾸고 싶어 고민하다가 일단 키보드부터 구매를 해봤어요 가격도 저렴한 편이고 설명을 읽어보니 성능도 괜찮은 것 같아서 가성비 좋은 제품인 것 같아 구매했는데 너무 만족이네요 타자감도 굉장히 좋고 피시방에 있는 게이밍 키보드 못지 않게 좋은 제품인 것 같네요 빠른 배송 감사드려요~,[]
5,제품 잘 받았습니다. 뽁뽁이가 많이 싸여서 와서 좋네요. 실제 느낌은 상세페이지랑 비슷하다고 보시면 되고 소리가 그렇게 시끄럽지 않아서 좋아요~ 키 느낌도 괜찮고요. 아직까진 완전 만족입니다. 엘이디도 이쁘게 잘 들어오네요~ 사진 참고하셔요 네이비 스카이블루 진짜 이쁩니다 ㅎㅎ,"['https://phinf.pstatic.net/checkout/20200131_185/1580463101636tKRpy_JPEG/1.1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200131_92/1580463105094tjgpq_JPEG/2.2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200131_87/1580463109138FBXIO_JPEG/3.3.jpg?type=f287']"
