star_point,comment,photo
5,"LED가 환상적이네요... 아이들 크리스마스 선물 싸게 먹힐것 같습니다 감사합니다...
두개샀는데 두제품모두 하자도 없고 키안눌리는것도 없고 배송도 빨리왔구요
키감도 좋고 통울림 심하지 않습니다.
전문가 처럼 쓰는게 아니다 보니 이가격대에 이정도면 잘산것 같습니다.
그리고 클릭형이다보니 조금 시끄럽습니다ㅎㅎ 가정에서 쓰실거면 리니어형으로 사십시오~~
감사합니다.","['https://phinf.pstatic.net/checkout/20191219_247/157673642017674kNw_JPEG/20191219_151354.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191219_186/1576736425776t3rT6_JPEG/20191219_151624.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191219_281/157673642601978GtI_JPEG/20191219_151600.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191219_155/1576736427226ixTp0_JPEG/20191219_151551.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191219_253/1576736427442fXPJ1_JPEG/20191219_151606.jpg?type=f287']"
4,"마닉축이 좋아서 구입했습니다.상판이 알루미늄이라서 통울림이 심할줄 알았는데 의외입니다.통울림에 대해서 크게 신경쓰지 않긴 하지만 의외의 정숙함에 감탄했습니다.키감도 좋고요. 하지만 키캡이 하자입니다.받자마자 몇몇 키를 반복해서 치다보니 키캡이 빠지더군요.그래서 확인해보니 키보드의 절반이 넘는 키캡이 다 연타시에 헐거워지면서 빠지는 현상이 있었습니다.다행히도 키캡은 전체다 교환 받았습니다.이제 PBT키캡 제품을 출시 할때가 된거 같은데, 너무 화려하지 않지만 포인트되는 디자인으로 출시하면 좋을듯 싶습니다.마닉 화이팅입니다.",[]
1,"배송은 빠르나 성능은 별로입니다. 육안으로 컬러는 이쁜데, 일반 사무용이면 모르겠지만, 조금만 빠르게 치면 키 씹힘(1)과 간섭현상(2)이 일어나서 게임용으로는 별로입니다. - (1) : 타자를 빠르게 치면 하나씩 안눌림 ex) 안눌린다. -> 아눌린다/안ㄴ루린다 등...(지금 엄청 빠르게 몇번 눌러보고 쓴거) - (2) : 리듬게임처럼 빠르게 눌러야 하는 게임을 할 시 짧으면 0.3초~ 길면 2초정도 키가 안눌리는 현상 발생 제것만 그런건지 아니면 전체적으로 그런건지 모르겠는데 게임용으로 사는건 다시 한번 생각해보시길 바랍니다.",[]
5,"적극 추천합니다. 타 쇼핑몰에서 마닉 x60을 구매 후, 수집용으로 하나 더 구매했습니다.타 브랜드의 축과 키보드를 수집하는데,LED가 타 브랜드보다 훨씬 우수합니다.(부드러운 프레임, 피로감 없는 RGB) 타 브랜드는 흰색의 경우 RGB를 이상하게 혼합하여 눈에 무지개 빛 잔상이 남는데, 마닉 X60은 잔상도 남지 않고 눈이 편안합니다.(저 뿐만 아니라 다른 사람도 느끼는 차이) 타건감은 취향의 영역이지만,메이저 축 브랜드와 크게 다르지 않고 상큼한 요소만을 모아놓은 느낌입니다.마닉 적축 : 체리 적축 + 아주 약간의 기분 좋은 사각거림 추가마닉 청축: 오테뮤 청축 - 체리 청축의 사이 (상큼한 클릭음)(주관의 영역이니 참고 바랍니다) 푸딩 키캡은 일반 사용자는 만족하여 사용하실 것 같습니다.키캡놀이 하는 경우는 마닉 X60의 커스터마이징 프린트와사출 자국으로 크게 추천드리진 않습니다만,커스텀 키캡을 쓴다면 훌륭한 LED와 함께 최고의 조합이 될 것 같습니다 무엇보다 아이린과 잘 어울리네요 :)","['https://phinf.pstatic.net/checkout/20180825_99/1535175862051vAT2i_JPEG/IMG_20180825_143901.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180825_177/1535175862191VlfvA_JPEG/IMG_20180825_143757.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180825_113/1535175862301R9wqs_JPEG/IMG_20180825_144106.jpg?type=f287']"
4,"저렴한 가격에 화려한 RGB 백라이트와 축교환을 를 를 누리고 싶다면 추천 가격대비 참 괜찮은 제품입니다. 게이밍 기어 스러우면서도 오버하지 않은 깔끔함이 돋보이구요, RGB 백라이트의 화려함 역시 매우 좋네요. 축교환도 상대적으로 고급 소켓을 사용하고 있어 쉽고 간편합니다. 키감은 여태까지 만져본 축들 중에서 가장 가운데에 위치하는 것 같네요. 나쁘지 않습니다. 내구성이나 구성품은 많이 아쉽긴 하네요. 키보드 본체가 그다지 튼튼하지 않은 편이라 샷건은 절대 치면 안되구요, 구성품의 경우 딴건 모르겠는데 키캡/스위치 리무버가 빠져서 많이 당황스럽더군요 아주 안들어있는 건 아니고 이벤트로 주는 박스에 들어있던데 이벤트가 끝나면 빼먹지 않고 키보드 박스에 넣어주셨으면 좋겠습니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyerucc1/2018/07/30/575//caf9c17b77e85f4cfeba33d0afa0a56b2c96_ugcvideo_270P_01_16x9_logo.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180730_236/1532912118316mJrK5_JPEG/1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180730_270/1532912118575n5Sov_JPEG/2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180730_37/1532912118762QNvc0_JPEG/3.jpg?type=f287']"
5,"코로나19 이슈에도 배송이 빨랐고 포장 상태도 좋았습니다사소한 문의로 유선으로 연락 드렸었는데, 바쁘신 중에도 너무 친절하게 응대 해주셔서 더 만족스러웠습니다그전까지 멤브레인 방식만 사용해오다가 기계식을 처음으로 입문한 저의 사용 소감은 다음과 같습니다1. 생각보다는 소음이 크지 않아 불편함은 없습니다2. 눌리는 느낌이 확실해서 오타가 적어진 느낌입니다3. LED가 영롱하고 모드가 다양하며 광량과 속도 조절이 가능했습니다추천 드립니다",[]
4,"음 생각만큼 가성비가 좋지는 않네요. 사실 푸딩키캡인거 하나 보고 산 제품이라 크게 기대는 하지 않았지만, 아쉬운점이 좀 많네요. 우선 가장 우선순위였던 키캡의 마감이나 재질이 그리 좋지 못합니다. 손끝에 닿는 부분은 PBT 재질이라고 하셨는데 ABS 키캡인 점이 좀 실망스럽습니다. 기존의 키보드들이 다 PBT 키캡이라 손가락에 땀이 차도 미끈 거리거나 끈적거림이 없는데, 이 키보드는 ABS 키캡의 느낌 그대로네요. PBT 키캡의 부들부들한 느낌을 기대하셨다면 매우 실망하실겁니다. LED의 경우 밝기가 그리 밝은 편은 아니지만 효과는 괜찮은 편입니다. 통울림과 스테빌 소음이 매우 심각해서 순정 으로 사용하시기엔 스트레스 받으실거 같고, 최소한 흡음재 작업이라도 하셔야 쓸만한 키보드가 됩니다. 적축의 경우 서걱임이 좀 심한편인데 슬라이더, 스프링 윤활까지 하고 나니 굉장히 만족스럽습니다. 청축의 경우 키압이 생각보다 낮은편이었고 소음은 조금 큰 편이라고 생각되네요. 제가 적갈,무접점만 사용해서 그럴수도 있을겁니다. 마닉축은 사용해보니 생각보다 괜찮은 축이고, 윤활 효과가 꽤 큰 것 같습니다. 순정상태로 사용할 목적보다는 스위치 풀윤활까지 생각하시는 분들에게는 괜찮은 키보드라고 생각합니다. 한글 각인된 푸딩키캡도 얻을겸 구입하시는 분이라면 차라리 PBT 푸딩 키캡 따로 판매 하는 것을 구매하시길 추천드립니다. ABS 푸딩키캡이라고 생각하시면 될거 같습니다.",[]
5,배송은 다음날에 와서 좋았는데 키입력이 조금씩 밀려서 타자칠때나 게임할때나 키가 좀 씹히더군요 ... 그래서 두번째 교환 받았는데 이건 왼쪽(QWER ASDF)과 오른쪽의 키압 불균형이 심해 저는 제대로 못 쓸 키보드였습니다. 근데 솔직히 두번째같은 경우는 AS가 좀 힘들거 같았는데 해주더군요. (축도 같은걸로 몇십개 보내주시네요) 이 점에 감동 먹어서 리뷰를 쓰게 되네요 앞으로 마이크로닉스 제품을 종종 애용해야겠습니다,[]
5,진짜 예쁘고 키캡불량이 있었지만 아주 빠르게 새 키캡을 보내주셔서 정말 감사했습니다. 이렇게 서비스 좋은곳도 별로 없는것 같네요. 키보드는 키보드대로 정말 예쁩니다. 다만 통울림이 좀 심한데 아마 흡음재는 들어있지 않은것 같아요. 이점은 약간 아쉽습니다만 푸딩키캡이 상당히 비싼 제품이라는걸 감안했을때 이 키보드는 가성비로서는 최고라고 볼수 있겠어요,['https://phinf.pstatic.net/checkout/20190619_83/1560942253879wIxYr_JPEG/11111.jpg?type=f287']
5,"1. 일단 정말 예쁩니다. 가격도 좋습니다.타이핑 느낌에 있어서 리얼포스나 해피해킹이나 이런 것 생각하시면 좀 곤란합니다만, 그래도 이 가격에 이 정도 물건은 제법 괜찮은 축에 속합니다. 특히 현재 이벤트 기간이라 청축도 함께 끼워줍니다. 청축도 나쁘진 않습니다만, 덱 같은 것이랑은 비교를 안 하시는 게 좋습니다. 저도 민감하지 않은 막손이라 이 정도면 충분히 만족하다고 생각합니다. 개인적으로는 고가형 펜터그래프나 멤브레인보다는 이쪽이 나을 것이라 생각합니다. 당연히 휴대성은 엉망입니다. ㅎㅎ2. 축 노출 방식입니다. 뭐, 축을 교환하여야 하니 당연하겠습니다만, 청소 곤란하다는 사실은 알아 두셔야 할 텐데... 키보드 덮개가 없습니다. 먼지 왕창 확정입니다. ㅡ_ㅡ;;; 축 노출된 기계식 키보드는 조금만 관리 잘 못 해줘도 되게 지저분해 집니다. 옛날에 애플 G5 키보드 쓰신 분이시라면, 그 악몽을 잘 아실 겁니다. 그래도 푸딩 키캡이 알록달록 예쁘게...다른 키보드 덮개도 안 맞습니다. 키보드가 조금 넓어요. ㅠ_ㅠ키보드 덮개만 있었어도... ㅠ_ㅠ3. 이게... 제가 가장 만족치 못한 부분인데... 뭐, 가격이 가격이라 당연한 얘기겠지만, 푸딩 키캡에서 손 끝이 닿는 부분이 ABS입니다. PBT는 안쪽이에요. 그러니까 조금만 타이핑을 치시면 번들거릴 게 예상된다는 얘깁니다. ABS 느낌을 매우 안 좋아하는 저로서는 눈물을 머금을 상황입니다. 뭐, 그래도 그냥 써야겠네요. (덱 사에서 푸딩 키캡을 출시할 예정입니다만 한글 각인이 되어있지 않습니다. 참고하시고요.... 현재까지는 한글 각인 있는 푸딩 키캡은 이게 유일한 선택지인 것 같습니다.)이 정도만 제외한다면, 적축이나 청축이나 그다지 나빠 보이지는 않습니다. ㅎㅎ하나 사면 적축 청축 다 주니 이것도 기회라 생각하시고, 한 번 질러보시는 것도 나쁘진 않을 것 같습니다.^^기계식 입문자나 LED가 예쁘게 하면 무엇이든지 다 용서된다고 하시는 분은 추천드릴만 합니다.^^(. 진짜 볼 만 한데... ㅎㅎ)",['https://shopping-phinf.pstatic.net/20180812_28/6066836b-7254-4309-a057-54bfb99b50df.jpg?type=f287']
5,저는 패드랑 마닉x60 같이 구매했네요. 일단 마이크로닉스의 파워나 케이스 기타 제품들 믿고 쓰셔서 만족하시는분들은 써보시기 바랍니다. FPS게임+코딩 용도라서 상당히 많은 타자를 치는데 바로 만족할 정도입니다. 사용2일차에 접어드는데 딱히 에러사항이라는건 없네요. 그리고 포장 짱짱맨입니다. 과한(?) 3중4중 완충제 포장으로 뜯기 힘들었던건 안비밀...,"['https://phinf.pstatic.net/checkout/20181116_218/1542333567455uXGtW_JPEG/KakaoTalk_20181116_105520176.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20181116_22/1542333567573q0VSE_JPEG/KakaoTalk_20181116_105520479.jpg?type=f287']"
