star_point,comment,photo
5,"그냥 이 제품을 설명하는 가장 쉬운 단어는 '가성비' 입니다. 극강의 가성비라고 부르고 싶어질 정도로 착한 제품입니다. 물론 기계식 키보드의 마니아 층에서는 딱히 찾을까 싶은 느낌이 없지 않아 있지만. 2만원 이하의 기계식 키보드에서 충분한 마감과 적당한 키감은 입문자들을 위해서는 꾀나 매력적인 제품이 아닐까 생각됩니다. 솔직히 2만원 이하로 기계식 키보드를 입문하고 싶은 분들이 있다면 따로 비교하지 않고 이 제품을 추천할 정도로 입문용으로 훌륭한 제품으로 보입니다. 사실 이런 가격에서 정성을 다한 구성이라고 해야되나요? 조금 가격을 잘못 책정한게 아닌가 싶을 정도의 착각을 불러옵니다. 내 손에 2만원이 있고 키보드를 사야된다면, 뒤도 돌아보지 않고 마이크로닉스 MANIC ZERO 기계식 키보드를 사겠습니다.",[]
4,"예상 외로 너무 빨리 와서 놀랐습니다. 택배기사분들 정말 수고가 많으십니다... 적축은 처음 써봅니다만 입문용으로 괜찮은 것 같습니다. 다만 키보드 높이가 꽤 높아 장시간 쉬지 않고 두드리면 손목에 피로가 쌓일 수 있으며, 매우 가벼워서 하단에 부착된 미끄럼 방지 패드에 무관하게 고정이 잘 안 되기도 합니다. 또 영문만 이중사출이라 나아아중에는 한글이 없어지는 일이 일어날지도 모르지만... 2만원짜리라는 시점에서 보면 상당히 가성비가 좋습니다. 디자인은 무난하지만 LED는 이쁘장하니 디자인 신경쓰는 사람한테도 괜찮을 겁니다.",[]
5,"아들 키보드로 주문했어요~멤브레인키보드가 오래 되어서 바꿔 줬는데 저렴하게 쓸만한것 같아요 ~적축이라 많이 시끄럽지 않고 좋아요 ~스테빌라이저는 철심소리 많이 나서 윤활을 좀 했더니 괜찮은것 같아요
가격대비 만족한다네요 ㅎ",['https://phinf.pstatic.net/checkout/20201015_243/1602745142720gXFSc_JPEG/review-attachment-af834e96-477e-4e4f-8468-55b26ee4a3a3.jpeg?type=f287']
5,"최근에 DJ맥스 리스펙트 세일 이후 광축(클릭) 사용해서 너무 키보드 소리가 커서 적축 하나 장만했습니다.
믿고 쓰는 마이크로닉스가 저렴하게 내놓은 키보드인데 여기 위메프가 다른 사이트보다 조금 비싸도 감안하고 구매했습니다.

참고로 마제식 스테빌라이저입니다. 키캡은 표준키캡으로 보이기 때문에 변경 가능할 것으로 보입니다.

앞으로도 좋은 제품 많이 내주시길 기대합니다.",[]
4,멤브레인 키보드만 쓰다가 이번에 큰맘 먹고 기계식 키보드를 구입했습니다. 청축은 너무 시끄러울거 같아서 적축을 샀는데 타건감이 확실히 다르네요. 근데 이 키보드가 원래 그런건지 엔터키가 다른 키보다 밑으로 들어가 있는데다가 왼쪽으로 기울어져 있더라구요. 키를 빼서 다시 장착해도 그렇네요. 오른쪽 시프트키랑 비교하면서 눌러보니 시프트키는 밑에 스프링이 있어서 타건감이 왼쪽 시프트키랑 완전 달랐습니다. 엔터키는 다른 분들도 그런지 궁금하네요,[]
5,일단 가성비가 좋았어요시끄럽지않고 적당한 타격감은 좋네요아쉬운점 키보드가 생각보다 높아서 살짝 손목이 아픔한글각인이 레이져각인이 아니라 백라이트에 안나옴 영어만보임또 백라이트가 형형색색이라 좀 정신사나워요 단색으로 못바꾸는게?아쉽지만 가격을생각하면 만족스러워요스페이스바가 살짝 부실한것같아요,[]
5,가격대비에 성능 괜찮아보입니다 led도 괜찮고(다양성은 떨어지지만)내구도는 좀더 봐야겠습니다.제가 해커k660청축 키보드가 소음이 심해서 이제품을 구매했는데 소음이 별로 없어서 마음에 듭니다추가수정키먹힘이 조금 있는거 같습니다만약 당신이 fps유저라면 사시는걸 비추천합니다,[]
5,기계식 키보드 처음 써봅니다거의 로지텍 맴브레인만쓰다가처음 기계식을 주문해봤고 소리가너무 부담스러울까봐적축으로 주문했습니다. 키 높이가 맴브레인보다 훨 높아 적응하기 쉽지 않지만키 감이나 색감으로봤을때 좋네요 새로운 느낌입니다LED변환도 어렵지 않고 거칠게 눌리면서 들리는 소리 또한 좋은 느낌을 줍니다.,[]
5,"상품은 좋은데, 배송이 좀 아쉽네요 (제품박스에 에어캡으로 돌돌 말아 왔네요. 덕분에 모서리 약간 찌그러짐) 마스크 줄도 포함 안되어 있구요 (선착순이라서 그런가...) 여튼 잘 사용하겠습니다! 마우스 장패드 꼭 보내주세요!!!",[]
5,좋은가격에 특가로 구매하게되어 좋네요 근데 지금CJ택배가 배송에 딜레이가되어 출고된지 3일후에 도착했네요키감등도 가격대비 만족합니다 하지만 키캡분리 집게라던가 여유분에 리커버리용 스페어를 같이 동봉되었으면 하는 아쉬움이있네요 제고소진 때문인지 마스크 목걸이도 안온거같네요 아쉽습니다. 장패드는 꼭 받겠습니다!!!,[]
4,기계식 키보드는 처음 쓰는거라 다른 키보드와 비교불과합니다만 확실히 멤브레인 키보드 쓰다 써보니 키감이 매우 좋네요. 디자인은 너무 단순해서 좀 허접해보일 수 있으나 미니멀합니다. 게임용이 아닌 문서작업용이라 이 가격에 기계식청축 키보드 입문용으로 만족합니다.,[]
5,배송 빠릅니다. 어제 도착 했네요. 사무실에서 사용하려고 적축으로 구매하였습니다. 비키 스타일에 RGB 불빛도 예쁘네요. 매번 청축만 쓰다가 적축으로 구매했는데 청축보다는 확실이 조용해서 마음에 들고 무엇보다 중요한건 가격이 모든 것을 용서해 줍니다.,[]
5,본인은 앱코 노뿌 무접점을 쓰다가 청축이 마려워져서 하나 마련함. 일단 가격이 깡패라는 말로 모든 단점을 카바함. 거기다가 키보드가 되게 가벼움 깜짝 놀랐음. led도 생각보다 괜찮음 깜짝 놀랐음. 키감 또한 생각보다 괜찮음 깜짝 놀랐음. 단점 : 스테빌 철심소리 감안하셈.,[]
5,배송도 빠르고 가격도 착하고. 작동도 잘됩니다. 번창하세요,['https://phinf.pstatic.net/checkout/20201124_37/1606190589663Bs3yz_GIF/review-attachment-7575d1c4-4dca-4622-b433-5fa77bd19e89.gif?type=f287']
4,키보드 선이 짧은거 제외하고 배송빠르고 좋습니다.,['https://phinf.pstatic.net/checkout/20201122_201/16059708018006rymm_JPEG/review-attachment-29bd4eef-9c97-4ebe-bb29-a18aad9e3f5e.jpeg?type=f287']
4,게임용으로 샀는데 가성비 좋아요,['https://phinf.pstatic.net/checkout/20201110_222/1605003103515Sc1Jv_JPEG/review-attachment-749e6a0e-5b16-4a79-8cad-a3d516bc84c2.jpeg?type=f287']
5,"가성비 갑
마감 보통
기타 부족한 부분들은 가격으로 모두 용서됩니다
입문용으로 추천합니다.",['https://phinf.pstatic.net/checkout/20201111_263/16050749963677kGhz_JPEG/review-attachment-a36f4b45-46d1-4856-97f3-4f1c72b350d1.jpeg?type=f287']
1,키가 잘안눌려요. 동시키 입력도안되고 불량품인지 원래이런건지 .키가 안눌려서 오타가 너무많이나네요,['https://phinf.pstatic.net/checkout/20201113_83/1605223768453q70F0_JPEG/review-attachment-a2a9e17a-07bb-4e45-b50f-8d107e6c0104.jpeg?type=f287']
5,배송도 빠르며 제품도 완전 맘에 듭니다. 갓성비 제품 ^^,['https://phinf.pstatic.net/checkout/20201028_33/1603877340727DK15i_JPEG/review-attachment-5ef83b41-7ff9-4d38-b1ba-7db3014a4e11.jpeg?type=f287']
2,"제가 한성컴퓨터꺼 적축 4년쓰고 고장나서 바꾼건데,,, 키감이 좀 못해요... 탭키가 어딘가 걸리는 느낌이 들고 스프링튕겨지는 소리가 많이 들려요... 가격대비로 봤을때는 그냥 그냥 정도인거 같아요 배송은 빨라 왔어요",[]
3,가격에 비해 괜찮네요. 다만 통울림이 좀 심합니다,[]
4,싼 맛에 충분이 쓸 수 있는 키보드. 그러나 가격대가 그런지라 축마다 압력이 약간씩 다르다는 걸 사용중에 느낌. 기계식 키보드 치고는 굉장히 가벼운것도 장점...?,[]
5,무게도 적당하고 키압력도 좋고 소리도 괜찮고가성비 하난 최고라고 생각됨 세컨드로 갖고 있기 딱 좋음,[]
1,적축을 시켰는데 다른 키는 멀쩡하지만 ㅋ이랑 왼쪽 화살표에서만 약한 청축같은 클릭음이 나네요 열어보니 적축은 맞는데 소리가 나요,[]
4,"마우스는 정말 좋았습니다.

키보드는 이쁘기는 한데..역시 밀림 현상이 좀 있네여 ㅠㅠ
그래두 가격대비 잘쓰겠습니다.",[]
5,우선 저렴하게 구매해서 기대가 크지 않았는데 기계식 키보드로서 키감도 괜찮고 조용히 쓰기 좋다는 생각이네요 led도 있고. 다만 저렴한 만큼 플라스틱 재질이 싼티가 많이나요. 적축 사무실용으로 사용 예정,[]
5,기계식 키보드를 처음 쓰는데 타이핑하는 재미가 있네요,[]
5,2만원짜리라서 그냥 그저 그러겠지 하고 생각했는데 생각보다 키감도 맘에 들고 소리도 맘에 듭니다 적축 키보드가 이정도 가격까지 내려올줄은 몰랐네요 ㅎㅎ 잘쓰겠습니다!,[]
4,"가격대비 상당히 괜찬습니다.
딱히 씹히는키는 없고 그래도 저가형이다보니 통울림은 어쩔수없네요.",[]
5,배송비포함 2만원 초반대에 이런 성능의 기계식 키보드라니 정말 가성비 좋습니다 led도 예쁘네요,[]
5,매우만족 합니다 키감좋습니다,[]
5,빠른배송 만족합니다 ㅎㅎ,[]
3,어머니 댁에 보내드려서 아직 사용못해봤어요.,[]
5,잘쓰고있어요 굿굿굿,[]
5,ㅡㅡ줗아요 ~~~,[]
5,좋아요 역시 굿굿굿,[]
5,가격 대비 퀄리티 좋으네요..LED 변경 모드가 있어 새로운 기분으로 잘 사용 할것 같아요. 배송도 빠르고 좋았어요.,[]
5,저렴한 가격에 입문용 기계식 키보드로 딱!!생각보다 소음도 크지 않아서 사무실에서도 사용 가능 하네요~,[]
5,혹시 이글을 보시면 장패드좀 보내 줄수 있나요 부모님 선물 드려서 리뷰를 못하내요,[]
5,선물용으로 샀는데 가성비 좋은 것 같아요,[]
5,배송도 빠르고 가성비 최고예요. 키감도 적당하고 LED 밝기도 적당하네요. 추천합니다.,[]
5,메브레인키보드를 쓰다가 마닉에서 청축을 구입해보았어요. 기계식은 처음 써보지만 타격감이라고 해야하나 맘에 듭니다. led가 이쁘게 들어와 좋습니다.,[]
5,배송도 빠르고 제품도 가격대비 너무 훌륭해요~ 마이크로닉스 MANIC ZERO 키보드 가성비로 구매하신다면 강추!!!,[]
5,저렴한 가격에 기계식 키보드를 살 수 있다니 생각도 못했네요~배송도 빨라요~,[]
5,2만원대 치고는 마감이나 타건감이 괜찮습니다.스페어로 하나 냅둔다고 적축으로 하나 샀는데 이럴꺼면 청축도 어떨지 궁금하긴 하네요좋은가격으로 잘쓰겠습니다.,[]
5,급하게 필요해서 구매했는데 배송도 빠르고 상품도 잘 왔어요. 감사합니당.,[]
5,낮은가격으로 적축에 입문가능.LED이쁘고 만듬새도 괜찮습니다.,[]
5,"배송도 빠르고 상품도 안전하게 잘 왔어요!
매우 만족합니다!",[]
3,사용설명서를 한번은 보셔야 합니다..그냥 꼬자서 사용중인데 몬지 모르게 자꼬 키보드 단축키가 됩니다,[]
5,기계식은 처음 써보는데 잘쓰겠습니다.ㅋ,[]
5,가격대비 훌륭해요 배송도 빠릅니다.,[]
5,가가격대비 성능 좋구요 매우 저렴하게 구입해서 너무 좋네요 led모드 변경으로 멋진 키보드를 볼수 있네요 예전엔 너무 비싸 구매 하려할때 많이 망서렸는데 너무 좋네요 구매 하기 ㄹ잘한것 같습니다 적극 추천합니다 ㅎㅎ,[]
5,가성비 짱이에요!! 전에 쓰던건 좀 시끄러웠는데 이건 좀 조용하고 맘에 듭니다!배송도 완전 빨리왔어요~ 다시한번 가성비 짱짱! 많이 파시길 바랄게요! ㅎㅎ,[]
5,따각따각따각 치는맛 있네요 ㅋ 근데 밤에 쓰기엔 좀 요란할듯ㅋㅋ 불빛도 알록달록하니 좋습니다~,[]
5,일단 배송이 빨리왔어요.사무실용으로 구입한거라 적축으로 구입했는데 타건감도 좋고 조용하네요~ LED불빛은 선명한 편이고 기본기가 탄탄하게 잡힌 가성비 키보드인것 같네요!,[]
5,빠른 배송 감사합니다~ 너무 키감이 좋네요~~ led도 이쁘고 좋은 제품 싸게 공급해주셔서 감사합니다.,[]
5,진짜 가성비 끝판왕 기계식 키보드입니다.청축인데 짹짹거림이 좋네요.그런데 컴퓨터를 꺼도 키보드 불이 들어와 있는데 이거 어떻게 제거하죠?ㅎㅎ,[]
5,배송도 빠르고 좋아요기계식 키보드 처음인데 입문용으로 좋습니다,[]
5,불빛이 번쩍이는게 훌륭합니다가성비 상타!,[]
5,잘받았습니다. 가성비완전 끝판왕-!!,[]
5,1234567890,[]
5,최고 ~ 예요 배송도 빠르 네요 다른 제품도 여기서 구매 할께요,[]
5,빠르게 잘 받았습니다. 만족스럽습니다,[]
