star_point,comment,photo
5,"새제품으로 왔습니다. 봉인라벨 잘 붙어있고 비닐포장도 잘 되어있습니다. 박스 손상 흔적도 없고 제품 자체도 깨끗합니다.
그리고 건전지 포함되어서 옵니다. 배려가 기가 막힙니다.

키보드가 생각보다 큽니다. 대략 30cm 정도 되는 것 같습니다. 휴대용으로는 조금 큰 것 같고 스마트 tv 용이나 집에서 노트북 거치하고 사용할 경우에 적합할 것 같습니다. 저는 노트북에 연결해서 사무용으로 쓰려고 샀는데 큼직해서 오히려 타이핑 하기에 굉장히 편하네요. 따로 적응 안해도 오타 거의 안납니다.
타건 느낌 좋습니다. 되게 폭신폭신하고 . 장기간 타이핑이 자주 있는 것이 아니라면 사무용으로도 적합해보입니다.
. 특히 볼륨 조절이 굉장히 수월해서 좋아요. 키패드 위에 있는 폴더 키? 도 유용합니다.

단점으로는 마우스패트 클릭 버튼이.. 처음 쓸때는 뭐랄까... 좀 이상합니다. 보통 클릭버튼처럼 딸깍 딸깍 하는게 아니라 키보드가 유격이 안맞아서 흔들리는 것처럼 덜컥 덜컥하는 소리가 나요.
펑션키를 자주 사용한다면 조금 불편할 것 같네요. 저는 뭘 닫을때 alt f4를 많이 쓰는데, 이 키보드에서는 펑션 키를 사용하려면 오른쪽에 Fn키를 같이 눌러야 합니다. fn 없이 f4를 누르면 절전 모드라서 프로그램 닫으려다 노트북 재워버린게 벌써 세번째네요...

암튼 소소한 단점은 있지만 전반적으로 매우 만족하는 제품입니다.","['https://phinf.pstatic.net/checkout/20201028_224/1603862802153ghTFK_JPEG/review-attachment-814d0847-ae1e-4fc9-8e32-863d34a58e31.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201028_233/1603862802215C56f5_JPEG/review-attachment-31c67da6-490d-4d64-8c97-342b458cbdfc.jpeg?type=f287']"
5,배송 빠르게 잘 받았습니다. 스마트티비에서 인터넷검색을 리모콘으로 하다보니 너무 힘들어서 키보드 마우스가 필요해서 거실용으로 쓸만한 제품 찾다가 가격 적당하고 터치패드 일체형이라 구매했어요. 한영전환이 잘되는 앱이 있고 제한되는 앱도 있어서 완전 쾌적한 건 아니지만 브라우징 할 때는 도움이 돼서 좋은 것 같습니다. 리시버를 티비 뒷면에 꽂다보니 감도가 좀 아쉽지만 연장선 하나 사서 노출시키거나 좀 가까이서 쓰면 괜찮습니다. 배터리도 동봉되어 있어서 바로 사용 가능해요.,"['https://phinf.pstatic.net/checkout/20200921_146/1600617244599Id2Aa_JPEG/review-attachment-d3a23038-ae28-4a33-8cd3-7c8e7c38148e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200921_14/1600617266538UFGru_JPEG/review-attachment-cdcb7dd8-7225-4a18-a3cc-e4a13e8c2a1d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200921_40/16006172912859vvGS_JPEG/review-attachment-9025922b-d068-40d9-b40b-5118992c5b47.jpeg?type=f287']"
5,마감 품질도 다른 무선키보드보다 좋구요. 2.4무선이라 블루투스보다 연결이 안정적입니다. 터치패드 감도도 괜찮아서 LG그램 노트북과 비교시 사용성이 비슷할 정도로 편리합니다. 숫자패드는 없지만 대신 터치패드가 필요하신분께 강추합니다.,"['https://phinf.pstatic.net/checkout/20200915_187/160015512856849i4B_JPEG/review-attachment-62f3270a-81bc-4cb1-98aa-40a22fe68915.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200915_160/1600155128540O0RDS_JPEG/review-attachment-fd7c428b-5faf-41ae-9cdf-3abec84d60d5.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200915_174/1600155128686N2bEk_JPEG/review-attachment-17ca2cce-0707-4e63-940a-f72e4c3eed75.jpeg?type=f287']"
4,기존에 사용하던 무선키보드가 내장 배터리라 좋다고 비싸게 주고샀는데 배터리수명 다하니 교체할방법도 as도 안되 유선처럼 쓰면서 속썩이다 그냥 버렸네요ㅠ 오래쓰기엔 건전지가 최고인듯 다만 좀 마감이 많이 아쉬워요ㅠ 때묻은것 같은 마감과 헐렁거리는 터치감... 윈도쓰니 기능이 좋아서 별점네개ㅎ,"['https://phinf.pstatic.net/checkout/20200714_224/1594719005455oIRwJ_JPEG/review-attachment-062f8224-ddf4-4ab4-ace2-8d2acbff9cd2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200714_265/1594719013179aqqVj_JPEG/review-attachment-561f9e06-b93d-4fc8-9055-c16026dcec3c.jpeg?type=f287']"
4,"듀라셀 건전지가 동봉되어 있습니다.
설명서에 없는 기능으로는
1) FN키 + Caps락 : 펑션키(F1~F12)의 기본 작동을 전환시켜줍니다.
2) FN키 + 스페이스바 : 프린트스크린 키가 작동
그외 특이사항이라면 터치패드가 2점터치라서 3점이나 4점터치는 사용이 불가합니다.
윈도우OS 용으로 MS키보드마우스 센터라는 프로그램을 쓰면 터치패드 스크롤 반전이나 터치패드 상단의 3개 버튼의 동작을 변경할 수 있습니다.
그리고 삼성덱스에서 정상작동 됩니다.",['https://phinf.pstatic.net/checkout/20200915_186/1600167563262aGqWb_JPEG/review-attachment-28439544-7fda-45f1-b1ae-567707768d25.jpg?type=f287']
3,"더 비싸고 기능 더 많은 신상품들 살까하다가 그냥 싼거 샀는데 조금 후회됩니다.
스마트 tv에 쓰려고 산건데 크게 편하지 않네요 볼륨버튼이 먹통인게 제일 아쉽구요
한번에 한 기기씩만 연결돼기 때문에 다른 스마트폰이나 탭에 연결하려면 다시 블루투스 다 잡아줘야돼서 좀 불편합니다
다 알고 불편함 감수하고 저렴한거 골라서 샀기 때문에 크게 불만은 없습니다
기기 자체는 괜찮아요",['https://phinf.pstatic.net/checkout/20200716_50/1594826601980f3JQY_JPEG/review-attachment-8116c386-4a8a-42cc-85fc-4eb3bec0962c.jpeg?type=f287']
5,티비에 수신기 꽂아서 리모콘 대신 검색어 입력하는 용도로 쓰고 있어요. 웹브라우저에선 잘 되고 티비 메뉴마다 조금씩 다르네요. 영문만 되기도 하고 아예 입력 안되는 메뉴도 있네요. 머 그래도 리모콘으로 네이버 검색하는 것 보단 편하게 잘 쓰고 있습니다.,['https://phinf.pstatic.net/checkout/20201029_103/1603903578486aFyQl_JPEG/review-attachment-59ecb4e9-707e-4e4d-8132-bf56e3367c41.jpeg?type=f287']
4,"양옆 길이가 조금 짧아서 어색한 건 있지만 키감도 좋고 작동도 잘되네요! 그리고 옆에 터치패드 있는 것도 재밌고요ㅎㅎ
게임할 때 타자치려고 샀는데 게임용으로 딱 좋은 것 같아요!
가성비 굿이라 만족합니다^^
별은 택배 기사님이 물건을 던지고 가셔서ㅠㅠ
그래서 하나 뺐습니다.
집에 있는데 뭐가 대문으로 날아와서 쿵 부딪히는 소리가 들리더라고요.
파손주의 스티커를 붙혀주시거나,
배송 업체에 주의 좀 주셨으면 좋겠어요ㅠ",['https://phinf.pstatic.net/checkout/20200917_46/1600333169838xUHba_JPEG/review-attachment-6e9b06ef-85fa-4071-9218-7c71e2094d57.jpeg?type=f287']
4,"삼성 스마트TV용으로 사용하기 위해 구입하였습니다. 결정적인 단점부터 말하자면 ( 제품의 불량이 아닙니다. 삼성TV와의 호환성 문제입니다) 좌측에 배열되어 있는 볼륨조절키와 음소거 키는 삼성 스마트TV와의 연결에서 작동하지 않습니다. 리모컨 대신 쓰려고 했는데 볼륨조절키가 먹지 않는다는 건 좀 충격입니다. 이건 키보드의 문제가 아니고 삼성tv와의 호환성 문제입니다. 삼성서비스센터에 문의하니 대부분의 무선키보드는 연결에 이상이 없으나 각 키보드들의 특수키들의 호환성까지는 확인하지 않는다 그래서 시중에 있는 어느 무선키보드도 100퍼센트 호환을 장담할 수 있는 제품이 없다 삼성 자체에서 스마트TV용 무선키보드를 생산했었으나 단종되었고 해당제품도 2015년 이전 제작된 TV만 호환되고 그 이후 제품들과는 호환이 안된다 라고 하네요. 즉 삼성스마트TV에 연결하여 쓰실 분들은 특수키가 안먹힌다는 점 알고 구입하시면 되겠습니다.그리고 이 제품에서 삼성tv연결시 볼륨조절기능을 쓰려면 fn 누르고 f8,f9,f10을 누르면 각각 음소거,볼륨-,볼륨+로 작동합니다. 삼성tv의 OS에서 볼륨키를 F8,9,10으로 세팅해놨다고 하네요. 그런데 마소 올인원키보드는 펑션키를 사용하려면 반드시 fn키를 누르고 f1~12까지 눌러야 하기 때문에 굉장히 불편합니다. fn키를 누르지 않고 f1~12를 바로 사용할 수 있는 소프트웨어적인 키맵핑 프로그램이 반드시 필요합니다. 로지텍 제품은 이게 되거든요.제품의 장점은 키 간격이 조금씩 벌어져 있어 오타발생률이 조금 낮아지며 그렇게 완전 싼마이제품으로는 보이지는 않는다는 점입니다. 터치패드도 로지텍제품에 비하여 넓은 점도 장점입니다.단점으로는 키보드를 열심히 치다보면 타자가 씹혀서 초성중성종성이 다 따로 쳐지는 경우가 자주 발생합니다. 어쩔 때는 괜찮다가 어쩔 때는 안괜찮다가 하는 걸 보면 동글 수신률에 문제가 있지 않나 생각됩니다. 수신거리 10m라고 하긴 하는데 그건 연결이 가능한 최대거리를 말하는 것 같고 원활히 쓰려면 usb연장선으로 동글을 당겨서 키보드 바로 앞에 갖다놓고 써야 할 겁니다. 장애물이 없는 1.5m거리에서도 해당 증상은 자주 발생합니다.또다른 단점으로 터치패드의 조작감은 별로이고 이건 이정도 가격대에서 기대하는 게 무리입니다.이 제품은 메인으로 사용하기에 너무 때문에 들고 다니거나 호환되는 tv에 연결하여 쓰는 것이 가장 좋을 것 같습니다.",[]
5,"정말 제가 원하던 딱 그 키보드입니다~~
혹시나 안드로이드와 물려서 쓰실 분들은 걱정 안하셔도 될 것 같아요.
너무나 잘 작동 합니다~~
참고로 저는 덱스환경에서 사용하려고 구매했는데 너무나 잘 작동합니다~~
오른쪽 왼쪽 창 분활할때 쓰는 단축키가... 안먹기는 하는데
그대신 새로운 단축키들이 활욜가능하네요~
굿굿!",['https://phinf.pstatic.net/checkout/20200519_166/1589884604988zVcEN_JPEG/20200519_193348.jpg?type=f287']
