star_point,comment,photo
5,선물용으로 구매했습니다. 믿고쓰는 마소 키보드.. 말이 필요 없죠 마소제품 특유의 유광 디자인이 나중에 때 낄 수 있어서 지속적으로 관리해줘야하는게 귀찮긴 한데 그래도 유광해놓고 싼티 안나는 게 의외로 드무니까 ... 그리고 원래 키보드 마우스는 주기적으로 닦아줘야죠. 선물 받은 애인님도 만족스러워하셔서 좋습니다!,['https://phinf.pstatic.net/checkout/20201001_284/1601540826282Fukuc_JPEG/review-attachment-5a57b2db-9474-4d5e-a4a9-a672a4dd3756.jpeg?type=f287']
5,블루투스 키보드를 구매하려고 이것저것 살펴보면서 고민하고 있었는데 마이크로소프트 제품이라고해서 믿고 구매했습니다. 생각했던것보다 훨씬 커서 처음에는 놀랐지만 사용감은 괜찮은것같아요. 가성비가 좋은 제품인것같습니다.,['https://shopping-phinf.pstatic.net/20201004_24/87af815f-7ee1-4a45-b836-926aa30a8c24.jpg?type=f287']
5,"키감좋고 계산기랑 음량버튼 완전 잘 사용하고 있어요
근데 좀 불만인게 esc버튼을 포함해서 맨 윗줄 버튼이 너무 작아요
계산기랑 음량버튼은 보고 누르니까 별 불편한게 없는데 esc버튼은 작없하는중에 습관적으로 누르다보니 기존 키보드 누르듯이 하게 되는데 잘 안눌릴때가 많네요.
그리고 스페이스바가 너무 작아요.
작업하다가 나도 모르게 한/영키 아니면 alt키를 누루고 있어요.
이건 습관들면 괜찮아 질거같긴한데 esc는 잘 눌리게 뭐라도 붙여야겠어요",['https://phinf.pstatic.net/checkout/20200403_150/1585876228428hIsJO_JPEG/KakaoTalk_20200403_100952146.jpg?type=f287']
1,"제가 더 꼼꼼히 알아보고 구매했어야했나 싶어요..
업무 특성상 esc키랑 F1~F12 키 활용이 높은데
키 사이즈가 너무 작고 약간 들어가있어서 잘 안눌립니다...... 너무 불편해요.... 정말 아쉽지만 다른 제품 구매해서 사용하려 합니다 ㅠㅠ 스킨까지 구매했는데 너무 아쉬워요.. 그 외 키들은 만족해요 저 키 잘 사용하지 않는 분이라면 구매하셔도 좋을 것 같아요",[]
5,"정말좋은 키보드입니다. 로지택 제품을 쓰다 1개월만에 ㄱ 이 입력이 잘안되기에 마소 제품으로 바꾸고, 키보드 소리가 적고 매우 부드러우며 인체공학적으로 만들어져 타이핑이 매우 부드럽고 좋으며, 어느곳 하나 부족함이 없습니다. 정말 추천드립니다. 이 마이크로 소프트 키보드를 만나기 전에 무선 키보드 3개를 써보았는데, 그 어떤 제품도 마소 키보드를 따라가지 못하더군요 믿으셔도 될것입니다. 2만원대 키보드에서 최고의 품질입니다.",[]
4,"손목보호대는 3M, 마우스는 로지텍, 키보드는...마소가 최고네요 ㅋㅋ 로지텍 키보드는 이제 못쓰겠어요! 너무 고장 잘나요! 마소가 짱드세요~! 다만... ESC 버튼이 작다는 것과 버튼 배열이 빽빽해서 적응하는데 약간 시간 걸린다는 점은 유의하셔야 할 거 같네요. 배송은 베스트입니다. 판매자님 감사해요~",['https://phinf.pstatic.net/checkout/20190612_134/1560323767520soKGe_JPEG/KakaoTalk_20190612_161523620.jpg?type=f287']
5,"키보드가 필요해서 폭풍검색하다 구입했는데, 가격도 저렴하고 as 기간도 좋아서 구입했어요! 길쭉한 택배박스에 키보드 상자째로 넣어서 배송오는데, 약 한달 이상 사용해본 결과, 고장도 없고 마음에 듭니다! 심지어 저랑 같이 구매한 언니는 사물함에서 떨어뜨렸는데도 고장이 나지 않았어요. 가끔 소음이 조금 있다고도 하시는데, 저는 대만족입니다!",[]
4,좋아요~ 키보드는 일할때 계속 사용하는 제품이다 보니 사용감이 나쁘면 일도 잘 안되더라구요 직접 만져보고 구매 할 수 있는곳이 많지 않아고민하던 찰나 우연히 구입하게 된 마이크로 소프트 제품을 사용해보고 좋아서 구매하게 되었습니다 사용하는건 키보드 마우스 세트 제품이고지금은 키보드만 필요 했던 상황이라 비슷한 디자인으로 보여지는 이제품을 구매 하였습니다 제가 사용 하는것보다는 뻑뻑해요 새 제품이라 그런것 같기도 해서 더 사용해봐야 할 것 같아요 디자인은 깔끔해서 좋아요,[]
5,가격대비 최고 키보드네요,"['https://phinf.pstatic.net/checkout/20200911_213/1599776870217ocFrS_JPEG/review-attachment-9267bd9e-1418-4cf1-8fa9-e2dd66eecb13.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200911_137/1599776878828rfitR_JPEG/review-attachment-2267b164-5b91-4086-a6c6-458473b67439.jpeg?type=f287']"
5,선이 너저분하지않아서좋고 바로연결되네요,['https://phinf.pstatic.net/checkout/20201122_136/16060098592847sdxL_JPEG/review-attachment-46e37353-3d84-4e56-b801-8f01832a97a4.jpeg?type=f287']
