star_point,comment,photo
5,"컴퓨터를 바꾸면서 게이밍 키보드를 찾아보다가 디자인이 너무 맘에 들어서 구매하게 되었습니다.
RGB LED로 구성되어 단색이 아닌 매우 키보드가 아름다우며 키보드 측면까지 LED가 있어 다른 키보드와 차별점이 있습니다.
키감 역시 기존의 청축 적축 키보드 키감이 부드럽고 타이핑이 편안하였습니다. 방수 기능도 있고 탈부착도 가능하다 하니 오랜기간 사용하기에도 걱정 없을 것 같습니다.
다른 분들이 키보드를 구매한다면 적극적으로 이 키보드를 추천할 것입니다. 아주 좋아요.","['https://shopping-phinf.pstatic.net/20191204_27/3ff00ec7-ba83-4a72-b7b6-5538afbbbbf4.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20191204_27/1058163b-de24-4733-952e-3cb898bd4355.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20191204_17/d7628246-2450-4b9f-8a1a-e90595ad9755.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20191204_2/65d111f9-6d01-4ec8-8638-1ea0f8b4b869.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20191204_17/9721df52-9423-40e5-aecd-95eeb232d64e.jpg?type=f287']"
5,"기존에 시끄러운 청축을 쓰던 개발자임당. 부재중일때 회사 동료들이 제 대신 택배를 받아서 언박싱해줬는데, 다들 흑축이 생소한지 키감이 별로다, 너무 무겁다 그래서 걱정반 기대반으로 오늘 사용해봤습니다. 근데 저는 너무 만족합니다! 말그대로 쫀득쪽득한 키감! 리니어 타입이라 걸리는 느낌 없이 쫀득하게 타이핑 됩니다. 소음도 적구요. 무접점, 청축 이렇게 써봤는데, 흑축이 넘 궁금해서 우선 가성비로 사봤는데 생각보다 넘 맘에 들어서 당분간 잘 쓸 것 같습니다! 디자인도 사진상으로는 좀 구렸는데, 실물이 훨~씬 낫네요. 그리고 배송 칭찬! 주문 당일 바로 출발해서 넘 좋았습니다.",['https://phinf.pstatic.net/checkout/20200703_237/1593756190036Y6dq3_JPEG/review-attachment-7af4785e-18c8-45d6-b932-13df2e6dfff4.jpeg?type=f287']
2,"적축 재고가 없어서 다른걸로 보냈어요
디자인만 조금 다를뿐 비슷해서 받았어요 몸체랑 키캡이랑 닿을때 약간 쇠울림있어요 청축만 쓰다가 적축쓰니까 체감상 조용하긴해요 배송은 엄청느리고 상자도 구겨져왔고 합배송이면서 배송비 따로 받은거 좀 그럼","['https://phinf.pstatic.net/checkout/20201019_58/1603109762689RWUOe_JPEG/review-attachment-87eeb985-149a-4a59-b852-41b0b619545d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201019_142/16031097775853wug7_JPEG/review-attachment-31ed99ad-62c9-4fc6-abad-86bca0d47997.jpeg?type=f287']"
5,상품은 사자마자 바로 발송됐는데 장마때문에 배송이 늦어져서 조금 늦게 받았어요. 홍수떔에 여기저기 피해가 많은데 모쪼록 조심하시고 많은 피해 없으셨으면 합니다. 예전에 샀다가 남편이랑 같이 쓸려고 재구매한 상품입니다. 청축 터치감이나 불 들어오는것도 예쁘고 가격대비 굉장히 마음에 들었던거라 이번에 또 샀어요. 남편도 마음에 들어했던 제품이구요. 잘 쓰겠습니다. 고장나거나 하면 또 재구매할 마음도 있어요.,[]
1,"첫배송 물건도 잘못와서 다시 배송받구 컴퓨터 조립후 게임하며 쓰는데 딱 일주일만에 키보드 입력오류 생겼네요ㅋㅋㅋ 게임하면서 무빙치는데 버벅거리거나 아예 입력 안되는 빈도가 잦아지구요. 그 시간이 무려 일주일ㅋ;;
싼게 비지떡이라는 말이 있죠? 키보드 마우스 소모품이구 가성비로 생각해서 산것도 맞는데 제품개봉후 일주일은 너무하네요.
다른 좋은 리뷰 사이에서 너무 안좋게만 쓰는것 같지만 모든 제품이 완벽하진 않으며 저 같은 사례도 있다라는 정도만 알아두시구. 저 같은 경우는 운이 나빠 일주일이지만 다른 리뷰 처럼 제대로된 제품 받을경우 가성비로 사서 쓰기에는 적당하다라는 생각이 드네요",[]
5,"저가형 기계식키보드중에 완성도가 꽤 높은편이고 마감도 좋습니다 특히 상판디자인이 마음에 드네요 다만 왼쪽 쉬프트와 오른쪽 키패드 숫자 0 버튼에서 스프링소리가 살짝나네요 오른쪽쉬프트랑 스페이스바는 괜찮습니다
타건감도 무난한편이고 원래 쓰던 적축키보드보다 조용하고 정갈한 소리가나네요",['https://phinf.pstatic.net/checkout/20200718_126/1595066069292tl5GS_JPEG/review-attachment-b58e08ee-4d66-42b5-9d3d-5b3c43274e53.jpeg?type=f287']
5,토요일에 오길바랐는데 ㅠ..ㅠ 택배사에서 묶임 ㅎㅎ 3시결제하니 당일배송하셨더라구여. 청축만써서 소리적은 리니어로 왔는데 키감이 눌리다마는 느낌 키감을 느끼고싶으시면 리니어비추 포장.배송빠르고 키보드 8월이후 개선된 모델로와서 별다섯개 추천입니다. 전 9월 생산분으로받음 사진등록이안되뮤..추천합니다,[]
5,"pc방에서 몇번 써보고 좋은것 같아서 앱코 Hacker K660 레드 클릭으로 주문해서 오늘 받아봤습니다.
배송은 월요일 배송시작해서 화요일 도착했어요.
봉투안에 박스에 담겨서 배송되었고 박스에 기본 제품설명이 적혀있습니다.
구성품은 위사진에 보이는 키보드, 키커버, 키캡리무버, 청소브러시, 매뉴얼로 구성돼있고,
키보드 높낮이도 조절이 가능합니다.
키보드에 LED 기능도 설정할수 있는데 설명서에 나와있어서 적용하면 될것같습니다.
키감은 딸깍거리는 느낌이 좋은 청축과 비슷한 느낌이고 소음이 조금있지만 크게 방해가 될 정도는 아니어서 괜찮습니다.
게임할 때 딱 맞는 키보드 같아요.
제가 써본 기계식 키보드중 가장 가격에 비해 성능 및 제품질 좋은 가성비가 좋은 키보드 같아서 정말 만족스럽습니다.
게임 좋아하는 분들께 추천ㄴ드려요^^","['https://shopping-phinf.pstatic.net/20190711_24/53ff25f5-920f-48b0-9d71-87c416c62add.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190711_7/82cdd6b6-38d1-4237-8c2c-1663361e19df.jpg?type=f287']"
5,"사용설명서 보며 LED키 조절 방법 숙지하면 여러 모드 불빛으로 재밌게 사용 가능하네요.키 눌림도 좋고, 소리도 좔좔좔~경쾌하니 듣기 좋고 문 밖에선 살짝 들리지만 옆방엔 안들려요.
원하는 키만 LED 켜두는 모드 편해요.파도치는 효과가 가장 맘에 듭니다.축제네요.불꽃놀이처럼 .
아쉬운점은 LED전구가 키 위쪽으로 고정되어 있어 키버튼 아래쪽 글씨는 안보여요.사용하는데 지장은 없습니다~소확행으로 추천합니당~",[]
5,원래 사려던 키보드가 품절되어서 죄송하다고 사장님이 장패드 까지 주셨어요 감사합니다키보드가 입문용 답지 않게 반응 속도도 고가의 키보드에서 전혀 손색이 없어요 갓성비 입니다 ㅋㅋ 특히 사장님 매너가 너무 좋네요 구매 추천합니다,['https://phinf.pstatic.net/checkout/20200421_161/1587439815044rkFIi_JPEG/1587439791153.jpg?type=f287']
