star_point,comment,photo
3,"키보드는 전체적으로 너무 마음에 들어요! 저번주 월요일에 시켰는데, 상품이 파손이 되어 있어서 교환 신청을 해서 오늘 와서 리뷰를 씁니다! 친절하게 교환도 해주셨고 미안하다는 마음으로 장패드까지 주셨습니다(물론 제가 말한거지만 ㅎ) 여튼 제품은 좋아요~",['https://phinf.pstatic.net/checkout/20200902_88/1599055393317qa9FG_JPEG/review-attachment-514ca828-ae1d-4532-b732-cd0fe08b9fb2.jpeg?type=f287']
4,"마우스랑 같이 샀고 기계식 키보드 자체를 처음 사용합니다.
적축 키보드를 샀고 청축에 비해 당연히 소리가 적습니다.
LED가 조금 어두운것 빼고는 쓰는데 전혀 지장이 없습니다만. 혹시 마우스랑 같이 쓰실 때는 USB 포트가 두껍게 디자인 되어 있어 서로 겹칠 수 있습니다.
누르는 키감도 너무 무겁지 않고 나쁘지 않은 선택이었던 것 같습니다.
처음 기계식 키보드를 써보시는 분들이라면 가성비가 나쁘지 않고 청 적 흑 갈 축을 다 체험해 볼 수 있어서 괜찮은 것 같습니다.",[]
3,"17일(목)주문했는데 21일(월)에 물건받았네요 추석 배송이 많았는지 진짜 오래걸렸네요 기존에 맥스틸 키보드가 갑자기 고장나서 새거 구입하네요 청축 기계식이라 자판 누를때 손끝에 느낌이 좋구 소리도 좋아요 묵직하니 책상에서 밀리지도 않고 게임하기에 최고의 키보드입니다 마우스,키보드 맥스틸 제품만 쓰고 있서요 강추합니다",[]
2,"G610K 재고가 없어서 G100K로 보내주신다고 전화로 연락주셔서 동의하고 받았습니다. 유선상으로 설명주실때는 가격,외관, 기능 완전히 동일한 제품이고 유통사가 달라서 모델명이 다르다고 설명주셔서 오케이 했는데 추후에 검색해보니 그 말이 100% 사실은 아니었네요.

이미 개봉해서 잘 사용하고 있어서 판매자분 서비스에는 별 다섯개지만,

살펴보니 저뿐만아니라 다른 구매자에게도 계속 G610K 와 G100K가 동일하다고 대체상품으로 보내시는것 같은데 이 부분은 조금 문제가 있어 보입니다.",[]
5,입문용 기계식 키보드 이주 좋습니다 갈축이 최곱니다 청축은 시끄러워서 사용하지 않습니다만 갈축은 조용하면서도 키감이 살아잇습니다 그리고 키캡이 아니라 청축흑축갈축적축 스위치가 옵니다 허허허허？S 아주 좋아요 초기버전을 사용하고 다시 개선판을 샀습니다. 맥스틸은 AS도 좋습니다 지금도 이 키보드로 리뷰를 쓰고 있습니다. 게임하면서 좋고 문서작업 및 개발코딩을 하니 좋습니다.,[]
4,"꼼꼼한 포장과 빠른 배송 분당까지 하루만에 받았습니다. 주문전 네이버 톡톡 질문에 친절하게 상담 해주시고, G610K로 주문했는데 G100K로 와서 당황해서 전화 드렸더니 응대를 너무도 잘해주셔서 그냥 사용하기로 했습니다. 사장님 마인드가 너무 좋으시네요.

한가지 아쉬운 점은 옵션에 G601K 품절이라고 표시하고 G100K 를 추가하신 다음 G100K에 대한 간략한 설명만 넣으시면 사이트 전체를 크게 고치지 않으셔도 소비자가 혼동하지 않을까 싶습니다. 수고하세요.",['https://phinf.pstatic.net/checkout/20200411_200/1586596896402X4BnV_JPEG/IMG_20200411_182052.jpg?type=f287']
1,보통 이런 제품 미개봉 스티커가 붙어있기마련인데...스티커가 뜯겨진 제품을 보내셨네요.구매자는 이해하기 어려운 대목입니다.리퍼 제품을 신품으로 둔갑시켜서 보내는것일까요구리구리하고 찝찝합니다. 별도의 안내는 없었습니다.해명해주세요 반품 귀찮을테니 해볼테면 해봐라 입니까?,[]
5,"정말 많이 감아주셔서 제품은 외관상 이상없었고 컴퓨터 연결해서 테스트 해보니 키인식 잘 됩니다!LED 밝기를 최대로 했는데 생각보다 많이 밝은건 아니고 방에 불 끄고 보니 나름 괜찮았습니다.본인은 로지텍 기계식 키보드 G710+ 체리 적축 사용중인데 겜방에서 맥스틸 키보드 경험해보고,서브 키보드로 오테뮤에 비키 스타일의 키보드 처음으로 사용해보는데 나름 괜찮고 신선하네요~앞으로도 사업 더욱 번창하시고 아직까지 이상은 없는데 더 좋은 제품 부탁드립니다!! *^^*",['https://shopping-phinf.pstatic.net/20190923_18/ac92f765-f612-47b5-a8ca-7a0b759b98cd.jpg?type=f287']
1,"작년에 맥스틸 키보드 G100k를 사서 지금도 만족하고 시용하고 있어서 이번에 사무실에서 사용하려고 구입을 하였습니다.
상품평에 기대어 적축이라 조용하고 키감은 기존 청축이나 갈축과 비슷하다는 말에 구매 하였는데...
키감이 좀 딱딱? 한 편이고 전혀 조용하지도 않네요....
그냥 갈축을 살걸 그랬습니다.
혹시라도 조용할 것이라고 기대를 하는 분은 구매를 않하시는게 좋으실 듯 하고요...
또한 키감도 별로이니 비추입니다.",[]
5,"어제 점심에 주문했는데 오늘 오전에 받았어요~
배송 정말 빠르고 제품도 안전하게 잘 포장되어 있습니다~
소리가 참 조용하고 좋네요
적축인지라 아무래도 타건감은 살짝 떨어집니다
생긴것도 이쁘고 만족만족 대만족입니다
안눌려지는 키도 없고 제품도 정상제품으로 잘받은거 같아요
구매를 고민하고 계신분들게 강추 드립니다~",['https://phinf.pstatic.net/checkout/20191102_248/15726665446029z2wY_JPEG/KakaoTalk_20191102_124656254.jpg?type=f287']
