star_point,comment,photo
4,"우선 요즘 오테뮤가 허리띠 졸라매고 일한다는게 느껴진다. 2년전에 오테뮤 적축을 처음 써보고 그때는 키감이나 키의 내구성이나 뭐하나 나의 마음을 완벽히 충족 시켜주는 느낌이 아니었다. 키캡은 마감이 엉망 진창이었고, 키는 한번 누를때 마다 갈축이 아닌가 의심가는 수준의 소음이 났다. 그 후 여러 키보드를 써보며 카일축, ttc축, 오테뮤축, 체리축 키보드들을 여러개 써보고 돌고 돌아 유튜브보고 추천키보드로 구매를 해봤는데 정말 오테뮤 키보드인데도 많이 변했다는걸 느꼈다. 우선 키감이 굉장히 부드럽고 매끄러워졌다. 또 맥스틸만 다른건진 모르겠는데 키캡이 체감상 다른키보드와 다른거같다. 또 키 서걱임이 약간 체리보단 쌔지만 서걱임이 딱 맘에 드는 정도이다.


물론 아쉬운점은 가격대가 가격대다 보니까 광량, 빛이 약하다. 적어도 한글 영문 이중사출 투과 키캡으로 했으면 한글도 led 투과가 잘 되야 된다고 생각하는데 한글은 어떤건 led가 거의 안보일정도이다. 체리축 키보드를 쓸때 덱키보드는 3단계만 해도 불키고도 빛이 보일정도로 빛이 쎘고, 레오폴드도 빛이 들어오는 키는 딱 3개 있었지만 그 3개도 켜지면 굉장히 잘보였고, 커세어 키보드를 쓸때는 덱만큼 눈이 아플정도로 키운적이 없어서 잘은 모르겠지만 확실히 빛이 잘보였다. 하지만 확실히 싼 키보드라 불 끄고 쓸때 뺴고는 led는 거의 없는 취급 하는게 낫겠다.


또 아쉬운점은 우선 금도금이 되어있고 usb 3.0 포트에 연결해서 쓰는데도 가끔 비밀번호 같은것을 빠르게 치면 키보드가 쫓아오지 못하고 한두단어정도 누락된다. 즉, . 또 적축이라 살살 눌러서인지는 모르겠지만 키가 가끔 씹힌다.


물론 이런 아쉬운점들로도 별점을 1개밖에 깎지 못할정도로 개인적으로 만족한 키보드이다. 모든걸 고려해보면 정말 가격이 믿기지 않는 양질의 키보드이다. 요즘 모든게 경쟁사회로 돌아가는 와중에 이런 취미생활도 경쟁붙어서 싼값에 좋은걸 쓸수 있다는것이 정말 기쁘다. 앞으로도 점점 발전하길!




요약
1. 키의 서걱임은 적당해짐.
2. led는 강하지 않다. 방에 불이 켜져있으면 눈에 살짝 보이는정도, 불을 꺼도 크게 강하지 않음.
3. id나 비밀번호 같은것을 칠때 주의해야함.",['https://phinf.pstatic.net/checkout/20190923_251/1569168148616vbRWu_JPEG/20190923_010008.jpg?type=f287']
4,"택배를 받았을 때 엄청 정성 들여 포장해주신 게 눈에 보여서 좋았어요. 심금을 울리는 화려한 통울림이 있습니다. 리뷰어분들 말을 듣기론 통울림이 다른 제품들에 비해 상당히 적다고 했는데.. 다른 제품들은 대체 얼마나 크다는 건지.... 기대했던 바가 커서 그런지 누를수록 공허한 통울림이 귓전에 아른거리네요. 하지만 괜찮습니다. 저는 밀폐형 헤드셋을 반드시 착용하거든요. ㅎㅎ 설명서 보고 LED를 입맛대로 조절해보면서 사용해보았는데 이것이 참 마음에 드는 부분입니다. 타입별로 색 지정이 가능한 것이 특히 마음에 드네요. 쵝오b.

PS. 축 교체시 축이 생각보다 단단하게 고정되어 있으니 조심해야 할 거 같아요. 부러질까봐 괜히 몸과 마음에 힘이 듭니다.. 조용한 실내에서 사용하다 보니 은근 소음이 심하게 들리네요. 다음엔 적축을 주문해봐야겠습니다…. ㅎㅎ 좋은 제품 팔아주셔서 감사드려요.","['https://phinf.pstatic.net/checkout/20191116_168/15739088818781hvSM_JPEG/KakaoTalk_20191116_213655570.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191116_63/15739088866481BH7p_JPEG/KakaoTalk_20191116_213655257.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191116_82/15739088886882gTjU_JPEG/KakaoTalk_20191116_213654889.jpg?type=f287']"
4,"무소음 적축 찾아보다 너무 비싸서, 가성비 적축으로 평이 좋아 구매하게 되었습니다.
우선 무소음은 아닌 만큼 키가 눌리는 딸깍 하는 소음은 없었지만 스프링 튕기는 소리가 꽤 크게 들리고 빠르게 타건을 하다 보면 스위치가 눌리는 소음만 없을 뿐, 생각보다 큰 소리가 납니다. 스페이스바나 백스페이스 등 스태빌라이저? 가 들어가는 부분에서 유독 크게 느껴지더군요.
그럼에도 적축 특유의 쫀득한 키감, 빠르거나 강하게 입력하지 않을 경우 소리가 전혀 나지 않게 타이핑 하는것도 가능하다는 게 매력인 것 같습니다. 적축 키보드 입문용으로 상당히 괜찮은 제품인 것 같습니다.
RGB 백라이트는 엄청 뛰어난 수준은 아니지만 어느정도 봐 줄 만 합니다.",[]
5,"생각 보다 너무 좋아요 밝기도 좋고요
기계식 키보드는 처음 써보는데 너무 좋아요
불량은 안왔고 불 바꾸기도 편해요
소리는 청축 샀는데 다른 여분으르 더 있드라고요
갈색깔 꽃다가 핀 휘었어요ㅜㅠ
그거 말고는 정말 좋아요
아 맞다 포장은 절말 잘되어 있어요 뽁뽁이로 둘러싸여 있어요",['https://phinf.pstatic.net/checkout/20201118_216/1605708168809xhkT2_JPEG/review-attachment-3bc6654f-dedd-4bfd-ba03-643d1fa9e6e2.jpeg?type=f287']
5,키보드 마우스는 저가형부터 하이엔드까지 로지텍만 20년 넘게 써왔는데 이번에 맥스틸 제품 처음 사봅니다. 비싼거 써봐야 몇년도 안되서 더블입력 현상 생기고 로지텍은 AS도 망이라서 그냥 소모품이라 생각하고 저렴한거 써야겠다 싶어 선택했네요. 그중에 맥스틸 마우스가 괜찮다고해서 보다가 키보드도 그냥 같은 회사걸로 구입했고 받아보니 가격대비 아주 만족합니다. 축교환 가능모델이라 고장나도 자가 수리도 쉽고 가격도 저렴해서 적당히 쓰다 바꿔도 부담없고 좋을것 같네요. 보통 키보드 몇년씩 쓰고 기계식은 이게 두번째 써보는건데 동봉된 축 바꿔서 써보니 적축도 괜찮으나 저한테는 갈축이 제일 잘 맞는것 같네요. LED는 개인적으로 잘 안써서 별 할 얘기는 없지만 다양한 모드로 잘 작동됩니다. 이전에 10만원 20만원대 키보드 샀던게 아까울 정도로 가격 저렴하고 만족합니다.,[]
4,"일단 키보드는 RGB도 예쁘고
광량도 좋습니다
또 타건감이 정말 좋습니다
다만 shift 키와 엔터키의 스테빌라이저가 좋지 않아 키가 조금 흔들리고
위쪽 키캡의 폰트가 조금 많이 별로입니다
하지만 반대로 스페이스바는 정말 흔들림이 없고 그 점들만 빼면 타건감도 좋은 그런 키보드인 것 같습니다",['https://phinf.pstatic.net/checkout/20200901_124/159896616643463nAu_JPEG/review-attachment-33cbd113-54e7-43b2-8e76-4df3b4fb12d0.jpeg?type=f287']
4,빠르게 잘 받았습니다. 제품받아보고 놀랬네요 포장이 제품박스에 뽁뽁이만 감아서옴.. 포장비 따로 안되있어서 어떻게 올까했는데 이렇게 올줄이야.. 제품에 별이상없어 보이긴 합니다만 취급주의라도 써주지시... 포장빼고는 제품은 괜찮네요기계식키보드의 소리를 좋아하지 않아서 적축으로 했는데 선택 잘 한듯 싶어요 원래 쓰던거보다 스페이스바가 길어서쓰기에 좀 어색하긴 하지만~led가 여러개로 바꿀수 있어서 좋네요 기분따라 바꿔쓰고 있어요싼가격에 잘 샀네요,"['https://shopping-phinf.pstatic.net/20190922_23/55d3b1d6-16a0-4374-a625-c06784d10d38.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190922_12/9e9ca92d-a72c-41b3-9033-5ba8e32cfc38.jpg?type=f287']"
5,원래 이전 버전 청축쓰다가 청축이 너무 시끄럽고 클릭 특유의 딸깍눌리는 느낌이 너무 강해서 이번에는 넌클릭 갈축으로 주문했고 특유의 달깍달깍거리는 키감이 제 맘에 쏙 들었습니다. LED효과도 맘에 들고 특히 오타가 많은 편이라 윈도우키 눌리는 실수가 많았는데 윈도우 잠금키가 진짜 편합니다 가디언이랑 키캡사서 커마 진행하니까 일단 너무 이쁘네요,[]
5,"청축 특유의 소음을 별로 좋아하지 않아서 적축으로 알아보던중 나름 가성비가 뛰어난 맥스틸 제품으로 구매했습니다.맥스틸 마우스를 써봤던지라 나름 믿고 구매하였으며 이틀정도 사용해보니 타이핑시 청축보다는 확실히 소음이 적게나며 약간 사각사각 거리는 소리와 기계식 특유의 터치감이 느껴지는게 괜찮은거 같아요테스트해본 게임은 롤이랑 배그, 콜옵 입니다",[]
5,"제닉스 타이탄 키보드를 5년정도 사용하다가 게임하는데 단축키 R, T 버튼이 잘 동작을 안해서 새로 키보드를 사려고마보, 앱코, 몬스타기어, 웨이코스, cox, 맥스틸 적축 or 리니어제품으로 4~5만원대 키보드 중에 고민하다가 결정하게 되었는데.가장 결정적인 요인은 상판 스틸재질의 키보드가 겨울철에약간의 정전기와 차가운 느낌으로 손이 시려운 느낌이 싫어서보호커버도 이쁘게 장착되고 손시려움과 정정기 방지가되서결국 이 제품으로 결정하게 되었습니다.유튜브나 키보드관련 사용후기도 몇일간 검색하면서가성비 가격대 전체적으로 비교추천도 괜찮았으며오늘 받아서 사용해봐도 개인적으로 매우 만족해서간만에 돈아깝지 않은 제품을 구매한 것 같아좋습니다.",['https://phinf.pstatic.net/checkout/20190327_7/1553678062716IBijc_JPEG/001.jpg?type=f287']
