star_point,comment,photo
4,"국내 배송이니 빠르다 느리다 말안해도 될듯하고요
4만원대 키보드에서 RGB 갬성 충만에 카일축 풀키 키보드 가성비 좋습니다 다만 팜레스트는 폭이 짧아 편하다는 느낌은 못받습니다. 손앞에만 살짝 닿아 손목을 받혀주지는 못합다. 상세내용에는 안보였는데 기판에 흡음제가 기본 들어있습니다 다만 쫌 부족하시다 싶음 튜닝하셔도 될듯합니다 통울림은 그리 심하지 않는 수준입니다 다만 오른쪽라인의 스테빌라이져에서는 철심소리가 쫌 있네요 따로 윤활작업 추천드립니다 윈도우 10에서는 윈도우언어옵션에서 101 한영&한자키변경하셔야해요 [F N]+w 누르면 wasd랑 화살표방향이 서로 바뀝니다 유의하세요, 조립 작업 누가하셨는지...흡음작업 할려고 키캡 따다보니 자판 방향키 상하 가 바껴서 끼워져있더군요.. 응? 일부러 이렇게 만든건가 혼자 한참 고민했습니다 . 누가봐도 위,아래,좌,우 방향키 키캡인데 작업하시는분이 너무 대충하시는듯합니다. 요즘 배열 다 알고 있다하지만 인서트, 딜리트같은 키캡이 바껴있다면 멋모로 사용할수있는 사람들도 분명있다고 봅니다 하물며 그런 어려운 키도 아니고 방향키인데 작업자의 미숙탓인지 큐씨 없이 진행되는것인지 사소하지만 마감처리 같은 부분의 검수가 아닌 기본적인 검수부분이라. 검수의 문제로 상판에 찍힘이 보이기는 하네요. 문제점에 대해서는 실사용에 하자가 있는 부분들은 아니지만 기본적인 부분에서 아쉬움이 존재합니다.
장점 -
가격대비 우수한 퀄리티, 오테뮤가 아닌 카일스위치, RGB로 갱성충만, 무한동시입력, 흡음제있음, 페브릭케이블과 노이즈방지필터, 높이조절 단자의 지지력
단점-
팜레스트의 아쉬움, 철심소리(윤활추천), 키캡의 위치 불일치로 키보드 생산작업과 검수과정의 신뢰성 의심,

단점들에 대해서는 윤활처리와 추가 흡음처리등 개선가능한 부분들과 실사용에 하자가 있는 부분들은 아닌지라 재구매 의사가 충분한 제품입니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_05_0/6a99f3c5-a675-11ea-b233-48df37ae3fca_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200605_141/1591283016305HMOfv_JPEG/20200604_165401.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200605_197/1591283858822vmgV3_JPEG/20200605_001521.jpg?type=f287']"
5,"사진으로 보는것보다 실물이 훨씬 예쁘네요.
블랙으로 하나 사용하고있는데
예뻐서 흰색으로 다시 구입했어요.
약간 키보드 적응이 안되서 어색하긴 하네요.
이쁜걸로 만족합니다.
키가 하나씩 오타나는것처럼 안쳐지는 느낌?
빠르게 치면 오타나는것 처럼 글씨가
이렇게 오ㅏㅏ는것 처ㅓ 써ㅕ요. < 라고 쳐져요.
이상이 있는건지 제가 잘못하는건지 그걸 잘 모르겠네요.
전에 쓰던 몬스타는 안그런데 이것만 그래요.
살짝 답답함.","['https://phinf.pstatic.net/checkout/20200220_58/1582195722457eEXh4_JPEG/KakaoTalk_20200220_194341108_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200220_65/1582195722506R2kqp_JPEG/KakaoTalk_20200220_194341108_05.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200220_288/1582195722549rn0t1_JPEG/KakaoTalk_20200220_194341108_07.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200220_187/1582195722494xAX3p_JPEG/KakaoTalk_20200220_194341108_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200220_76/1582195722522O3M0j_JPEG/KakaoTalk_20200220_194341108_06.jpg?type=f287']"
5,"배송이 빠르네요!! 무엇보다 rgb가 이쁘고 종류수도 많아요!! 전 둥근 키캡도 구매했는데 키캡 바꾸고나니 rgb도 더 잘 보이고 감성도 1 올라서 좋네요!!
근데 일반 네모난 키캡에 프린팅되어서 나오는 정보들이 둥근키에는 없어서 아쉽지만 이부분은 감성으로 충분히 커버 가능합니다ㅋㅋㅋ
아!!! 그리고 가장 중요한 부분!!
이 키보드는 옆면에도 LED가 들어옵니다
감성+2 추가!!","['https://phinf.pstatic.net/checkout/20201113_101/1605271873174D58IJ_JPEG/review-attachment-461bfa16-f481-4bea-8ce7-e3a51715ccf3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201113_280/16052718906302DXlV_JPEG/review-attachment-645e6263-873a-4b64-acf7-a6926a788f1c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201113_137/1605271898259eWrFR_JPEG/review-attachment-d2486e29-915b-4629-8c0f-dbe07d85fa70.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201113_277/1605272224910P9AEK_JPEG/review-attachment-62197067-3ff8-4af9-8dcf-23e456aecfcb.jpeg?type=f287']"
4,"통울림은 어느정도 예상했지만 갈축이라 타건소리가 조용하니까 더 잘들리는 느낌이에요..ㅠ
그래도 이정도면 적응하고 쓸만한 것 같고 뭣보다 led때문에 다 용서됩니다 비키스타일은 처음 쓰는데 너무 예쁘고 밝기도 밝아서 투과도 잘되고 너무 예뻐요
키캡은 마감이나 전체적인 퀄리티가 그렇게 좋진 않은것같구 사진은 다른 키캡으로 바꾼거에요
전체적으로 이가격에 이정도 퀄리티 너무 만족스러워요 잘 쓸 것 같아요 다른브랜드랑 엄청 고민 많이하다가 주문한건데
한가지 아쉬운건 usb선이 블랙인거랑 덮개 없는거ㅎㅎ 금액 더올려도 되니까 덮개랑 같이 제공되면 좋겠네요
나중에 또 구매할 의향 있습니다","['https://phinf.pstatic.net/checkout/20200514_182/15894458691671vs6Q_JPEG/KakaoTalk_20200514_174344259.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200514_133/15894458691888JPsd_JPEG/KakaoTalk_20200514_174343263.jpg?type=f287']"
5,"몬스타기어 제품만 두번째입니다.

첫번째는 광축, 이번에는 사무실용 적축입니다.



타건감도 매우 좋으며 RGB도 이상없이 훌륭합니다.

사용자가 '나는 커스텀 키보드만큼 통울림도 아예없는 그런 키보드를 사용할거야, 무조건 최고스펙을 가질거야'

라는 마인드가 아니라면 드립니다.

평소 게이밍, 문서작업 등에는 전혀 지장없는 꽤 훌륭한 퍼포먼스를 보여줍니다.

청축만 쓰다가 적축을 구매하였고 지금 후기도 배송받은 제품으로 작성중입니다.

200% 만족합니다^^","['https://phinf.pstatic.net/checkout/20200723_27/1595463033357QwR2z_JPEG/review-attachment-83a34bf1-a2dc-4c01-90eb-b6f5224554fa.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200723_286/1595463033736Rx0BX_JPEG/review-attachment-0809e913-76ce-4904-bf87-7d2336242299.jpeg?type=f287']"
5,"청축이랑 적축쓰다 갈축은 처음인데, 청축클릭감에 적축소리 같네요. 그리고 ARGB라 색도 다양하게 나오는게 좋네요. 저는 단색이 좋아서 단색으로만 쓰고있습니다. 전체적으로 깔쌈하니 이쁘고 다만 전에쓰던 키보드보다 밝기가 좀 더 낮다? 정도네요. 그렇게 밝기가 약하다는뜻은 아니구요. 그리고 패키징에 손목받침대로 기본으로 들어가있어 편합니다. 이 가격대에 이정도 퀄리티면 나쁘지않다 생각합니다!",['https://phinf.pstatic.net/checkout/20201007_164/1602070006762AKbzb_JPEG/review-attachment-3059dc70-f4a8-4232-9a10-55f7055fca70.jpeg?type=f287']
2,"게이밍 용으로 구입하여 사용했습니다

처음 왔을 때는 키입력도 잘 됐고 만족도도 높았습니다

하지만 한달이 조금 지난 시점부터 일부 방향키와
Alt 키가 간헐적으로 먹히지 않아 AS를 보냈지만
현상 확인이 안된다하여 유상으로 축 교환했습니다

축 교환 후 해당 키는 문제가 해결됐지만 AS 후
한달이 지난 현재는 주로 사용했던 shift와 A키가
간헐적으로 먹히지 않습니다

자체적으로 축 교환하려면 축을 따로 구해야하는데
룽화 축이다보니 국내에서 구하기도 어렵고
제품 구입 시 체험용으로 제공되는 여분 축도 없어
일반 사용자들은 제품 고장 시 선택사항이 없이
AS를 보내야합니다

비싼 제품이 아니라서 품질을 따지기는 애매하지만
잔고장이 이렇게 많이 나는 제품이라면 재구매는 어려울 것 같네요",[]
1,"요약 : 재포장 판매 의심됨, 가격대비 최하 품질흑축 제품들 중 가장 저렴해서 구매했는데 역시...최저가 제품임에도 다른 축들보다 비싸지만 제품 품질은 다른 축들 최저가 제품급.단점)손목받침대에 누가 써서 생긴 떼가 두군데 있습니다. 잠시 쓴것도 아니고 오래써야 생길만한 정도;통울림 : 상당히 심함.마감 : 사이드쪽 마감이 안 좋네요 거칠거칠.탈부착 가능한 손목받침대 부분에 금이 가있다, 부착시 틈이 생기는데 틈의 좁고 넓은 부분이 있다.장점)한글도 이중사출흑축의 스프링 반발력이 너무 세지 않고 적당함.흑축제품들 중 최저가.높이조절대 고무부분 잘 만듦.","['https://phinf.pstatic.net/checkout/20190722_206/1563795455774Ji0KR_JPEG/20190717_182855.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190722_199/1563795312874WdnC0_JPEG/20190717_165555.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190722_197/15637954557329khcR_JPEG/20190717_182905.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190722_161/1563795904060dDJ0N_JPEG/20190717_174532.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190722_11/1563795904132zyDwf_JPEG/20190717_174131.jpg?type=f287']"
5,후아노 스위치라는 처음 들어보는 스위치라서 걱정하였으나 윤활이 되어서 그런지 타 저가형 키보드와 달리 통울림이 심하지 않아서 좋았습니다. 다만 네이버 상품 설명에서 longhua카일에서 huano로 수정해주시면 좋을 것 같습니다. 카일축과는 엄연히 다른 축이기 때문에 구매에 있어서 혼란스러웠습니다..,['https://phinf.pstatic.net/checkout/20201120_175/1605882748400Rmgil_JPEG/review-attachment-10810dee-1773-4cdc-a9e3-b83d2ab47215.jpeg?type=f287']
5,키보드에 커피를 엎어버리는 바람에 고장나서 바꾸려고 찾아보다가 디자인도 예쁘고 색감이라든가 불빛이라든가 너무 이뻐서 혹!해서 구입을 했습니다. 첨엔 흑우짓을 했구나 싶었는데.. 막상 받아서 보니깐 너무 예쁘기도 하고 일단 글을 쓸떄의 타격감이 부드러워서 좋습니다! 전에 쓰던거는 뻑뻑한 키들이 몇개 있어서 손가락이 저릴때가 있었는데 그런게 없어서 좋았구요. 그리고 소리든가 타격음이 착착착 하는게 좋아서 기뻣습니다. 솔직히 빛이 신경이 쓰일까봐 좀 그랬는데 괜찮았고 어두워도 키보드가 잘 보여서 오타가 나거나 게임중에 실수를 하는 일도 없어서 좋았습니다. 전에 쓰던건 약간 노트북 같이 키가 분리되는 형태가 아니라 하나의 기판형태처럼 다닥다닥 붙어있어서 손톱이 긴(연장해서 엄청김) 저한테는 상당히 불편한 제품이었는데 이건 두개의 키가 한꺼번에 눌릴 일도 없어서 좋네욧 ㅋㅋ,[]
