star_point,comment,photo
4,"파스텔 색까지 가능한 RGB 효과라던가 MX계열 스위치를 교체 할 수 있는점 그리고 케이블 분리까지 되는 키보드가 60.000원 이라는 점은 최고의 장점 같습니다.아쉬운 점은 C타입 연결 단자가 밖에 100% 노출되어 있어서 충격에 취약합니다.손으로 살짝만 흔들어도 덜렁덜렁 흔들립니다.그리고 상판 하우징 측면이 얇아 빛이 투과되서 저렴한 제품 티가납니다. 그리고 기본으로 선택하는 키캡... 전 E타입 화이트 닌자 측각 키캡인데 이게 정말 PBT 이중사출 키캡이란 말인가요? 겉보기에만 고급스러워 보이는 사진빨만 잘 받는 키캡이네요.심지어 컨트롤 키캡은 스크레치가 나서 왔네요.
두께는 말도 안되게 얇고 3분의1 정도가 측면 각인을 손으로 만저보면 표면 처리가 깔끔하지 않아서 까칠합니다.무엇보다 내구성이 걱정될 수준이네요. 도색이 너무 약하고 발림 또한 얇게 되어 있네요. 그래도 폰트는 이쁩니다. 레이저 각인이라서 작은 글쓰랑 그림이 ...LED 때문에 더이뻐 ㅡ.ㅡ 그래서 .
윤활 안하면 스테빌 판스프링 소리 납니다, 구리스 4900원이니 같이 구매해서 뒷면까지 윤활하세요.그럼 잡힙니다.통울림은 카일적축인데도... 이정도면 없는 수준입니다. 보강판이 잘잡혀 있네요.개인적으로 평소에는 소리가 안나는 맵브레인 바닥키보드를 좋아하는데...내구성은 모르겠고 사용느낌이나 성능만 보면 제 게임 최애템 레오폴드 왜 사나 싶을 정도의 키보드 타이핑 감성은 나옵니다.거진 절반 가격에;;;RGB는 덤이고요...유튜브 보고 한번 사봤는데 괜찮네요. 스위치축만 사서 교체해서 쓰면 ㄱ이득?
P.S 사진보시고 컨트롤 키캡은 교체해 주세요.아 그리고 흡음재 안왔습니다. 같이 보내주세요.","['https://phinf.pstatic.net/checkout/20200603_249/1591115793118hTyy3_JPEG/1.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200603_84/1591115800273k1zfo_JPEG/2.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200603_143/1591115807091K4zP7_JPEG/3.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200603_22/1591115830840GOGau_JPEG/5.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200603_151/1591115838656OkxHr_JPEG/6.jpg?type=f287']"
5,"우선 배송이 왔을때 박스가 아니고 비닐에 에어캡이 돌돌 말려와서 걱정을 많이 했는대 제품에는 하자가 없어서 다행입니다! 하우징이 플라스틱 제품이라 싸보이지않을까 했는데 전혀 싸보이지 않고 오히려 고급스러워 보였습니다! 다만 마감에 좀 신경 써주시면 좋겠습니다..

악명높은 스테빌 라이져 작업 하려고 보니까 스테빌에 기본적인 윤활이 되어있더라구요! 저는 저정도로 안잡힐걸 예상하고 완전 분리하고 작업을하니까 소테빌 철심소리가 잡혔습니다! 혹시그래도 안잡힐까 하고 체리식 스테빌 구매 했는데 자신있다 하시는 분들은 기본 스테빌 윤활만 잘하시면 굳이 체리식 따로 구매하실 필요 없을거같아요..

흡음재 작업을 하려고 보니까 기판 가운데로 스펀지 같은게 보여서 설마하고 봤는데 기본 흡음재가 들어가있어서 얼마나 칭찬하고 싶었는지.. 몬스타기어가 구매자들 의견을 많이 반영해서 조금이라도 더 좋은 제품을 만들려는게 느껴졌습니다! 어쨌든 저는 기본 흡음재랑 욕심내서 5T 두께 비접착 흡음재를 추가로 총 2장을 깔았습니다! 다른 유튜버들이 흡음작업는거 대충 여러번 보고 했는데 막상 해보니 2장의 흡음재를 까니까 두꺼운지 결합하는데 계속 기판이 휘는것 같아서 오랜시간동안 애먹었네요.. 하고 나니 통울림은 절대 없습니다!

구매하기전 부터 톡톡문의로 계속 문의 드렸는데도 늦어도 다답변해주셨습니다!

초보자분들이 닌자 87 스테빌 흡음작업 할 때 다른 유튜버들 영상보다 몬스타 기어 유튜브에 보시면 방법을 아주 상세하기 알려주십니다..!
(저는 오랜시간 걸려서 혼자하고 방법 보니까 왜 안보고 했을까 하고 짜증나더라구욬ㅋㅋㅋ)

푸딩 키캡이라 그런지는 모르겠는데 led 광량이 밝아요 불키고 찍은 사진입니다! 무필터 원본카메라.

저는 다 하고 나니까 10만원 중후반대 고가 제품 부럽지 않더라구요 매니아 층은 아니지만 !!","['https://phinf.pstatic.net/checkout/20200904_298/1599204136383LwGqD_JPEG/review-attachment-b24cac35-9747-4ade-a6e0-18067b6c497f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200904_133/1599202962723sDFyQ_JPEG/review-attachment-c52e2994-f780-4e6b-bfee-17a36ea5974f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200904_55/1599202965538vjFR2_JPEG/review-attachment-890773b5-3547-4f6f-85cb-830416ffc1f4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200904_151/15992029661849k8DP_JPEG/review-attachment-acaac389-763a-40a6-aef0-b6164007d92b.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200904_275/15992029716097Qt4O_JPEG/review-attachment-24c75a0b-2a25-4c84-8615-f4d1efe48bbc.jpeg?type=f287']"
5,"1. 제품 리뷰
- 구입한지는 꽤 되었는데, 이제서야 써보는 리뷰
- 측각키캡 덕후라 왠만한 측각 키캡은 다 모으는 중인데 혹 해서 구입 높은 가격 때문에 꽤 고민했는데, 개인적으로는 대 만족
- 이런 어두운 톤의 측각 키캡은 잘 없기 때문에 유용하게 사용할 듯.

- 닌자87은 여러번 구입하지만, 확실히 카일박스 (순정) 스위치와 만났을 때 정갈함이 배가 되는 느낌이다.

2. 키감
- 닌자87과 결합한 카일박스 갈축은 리니어 ?! 라고 생각이들 정도로 상당히 부드럽고 키압도 상당히 낮다. 아마도 PBT OEM 키캡의 영향이 꽤 크다고 생각이 됨, 그렇다고 해도 스테빌라이져도 잘 잡혀 있고,
일반 사용자의 입자에서는 충분히 만족하면서 사용하기에 좋은 제품
그리고 가격이 비싼 한정판 키캡은 LED 투과는 못 시키지만 키감에서 충분한 만족도를 준다.

3. 총평.
- 가성비로 주문한 기본 구성도 상당히 만족스럽지만,
키캡 교체가 신의 한수라고 느껴질 정도로 카일박스가 찰떡 궁합이다.
이래서 주변인들이 키캡에 목을 메는 구나 하는 생각이 들었다.
키캡 하나 바뀌었을 뿐인데, 전혀 다른 키보드 처럼 생각이 든다.","['https://phinf.pstatic.net/checkout/20200329_18/15854783750933OB0Y_JPEG/20200306_205408.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200329_122/1585478375004C7htH_JPEG/20200306_205502.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200329_268/158547837496774Op7_JPEG/20200306_205603.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200329_282/1585478374947ukBem_JPEG/20200306_205612.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200329_45/1585478374948Q5hWf_JPEG/20200306_205609.jpg?type=f287']"
4,"커스텀 키보드를 처음 사봤는데요
키감과 가격 모두 만족함니다
다만 키캡의 품질이 좀 떨어지는 편입니다
abs임에도 불구하고 대체적으로 좋은 품질의
키캡티였으나 마지막 사진처럼 검은색 얼룩이 지워져있고 지워지지않는 키캡이 4개정도 있었습니다.
일단은 구매확정 누르긴 했으나 이 키캡만 교환이 되는지 모르겠습니다. 또, 스테빌라이져도 악명이 자자하여 큰기대는 하지 않았는데 역시나는 역시나였습니다.
철심소리가 2만원짜리 키보드보다 더 많이 납니다.
윤활후에도 꽤 많이나 스테빌은 필히 교체가 필요할것 같습니다.","['https://phinf.pstatic.net/checkout/20200825_79/1598354981624wt8uq_JPEG/review-attachment-b3380997-ee27-4893-baf3-b2b91dbc3367.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_128/1598354981781dpxj4_JPEG/review-attachment-a21c6647-4251-4004-8b1b-d72d3c251b0c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_95/1598354982568xAmK9_JPEG/review-attachment-4d95bdcf-1084-4761-b73d-88a43c0167b1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_264/1598354985259quTC7_JPEG/review-attachment-4eab6958-9c12-46ec-9d99-0eebad8f79ce.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_195/1598354985874Al8Kw_JPEG/review-attachment-e26d6a96-d7d9-4d95-96da-664141e8ea57.jpeg?type=f287']"
5,"우선 결론.. 대만족!!!

몬스타기어에 대한 첫 만남은 2년전 몬스타 데빌스킬 닌자 MK700 백축 키보드 부터였네요. 백축의 시원스러운 찰칵거리는 키감에 매우 만족하며 지금까지 주력 키보드로 사용했습니다.

최근 텐키리스 적축 키보드에 관심이 가서 다양한 제품을 국내외 다 뒤져보며 검색하다 만족스러운 제품을 못찾고 있었는데.. 문득 사용중인 몬스타기어가 떠올라 이제품을 검색하고 구매했습니다.

스위치도 직접 끼워보고 풀윤활도 하고 키캡도 끼워 보고자 조립옵션 없이 주문을 했고 어려움 없이 금방 조립할 수 있었습니다. 첫 스위치 몇개 꽂을때는 덜덜덜 떨었는데.. 이내 레고 조립하듯 쉽게 꽂았네요 ^^

조립후 스위치 한개가 불량이였는데 여분의 스위치를 몇개 더 넣어주셔서 문제없이 교체했네요. 굿굿!!!!

흡음재를 추가로 구매했는데 이미 흡읍재가 들어가 있고 하우징 분리를 하려니 조금 막막해서 흡음재 보강은 포기했습니다. 저처럼 조립옵션없이 구매하실 분들은 참고 하시길..

풀윤활을 해서 그런지 키감 너무 부드럽고 오른쪽 쉬프트키가 살짝 스테빌 소리가 들리는 걸 제외하고 대체적으로 만족스러운 키감입니다.
(오른쪽 쉬프트키는 다시 뜯어보고 방법을 찾을 생각입니다..)

키캡은 측각 블랙화이트 영문 PBT 키캡을 골랐는데 이전 키보드가 ABS 키캡이라 칠이 벗겨지는 걸 보고 고민없이 PBT로 선택했습니다. 가격차이 없이 선택할 수 있어서 좋았네요.

RGB 효과와 전용 소프트웨어도 대단히 만족스럽습니다.
이만한 가성비의 만족스러운 키보드가 있을지 모르겠습니다.

조금더 욕심을 내보자면 동일 하우징에 체리 저적 스위치 선택 가능 모델이 나온다면 좋을 것 같아요.","['https://phinf.pstatic.net/checkout/20200415_9/1586923797895aewfv_JPEG/20200414_225103.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200415_58/1586923797852wuXcT_JPEG/20200414_204619.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200415_183/1586923797850sPR7t_JPEG/20200414_225049.jpg?type=f287']"
5,"1. 배송 및 포장
- 주문 하고 바로 다음날 배송 출발이 되어 놀랬다.
- 조립이라 시간이 좀 걸릴 줄 알았는데, 이 점에 큰 점수를 주고 싶다.
- 포장 상태도 아주 양호
- 제품 박스에 봉인 씰도 잘 붙어 있다.

2. 키감 및 성능
- 플라스틱 하우징임에도 상당히 통소리가 잘 잡혀 있다. 그래서 카일박스 적축의 정갈함을 잘 느낄 수 있다. 무엇보다 스테빌이 제대로 잡혀 있어서 놀랬다. 이 가격대에 기성 품들은 스테빌은 자가 윤활이 필수고 유격이 존재 하는데, 이 제품은 순정 상태임에도 아주 깔끔하다.
필요하면 조금만 윤활해 주자!

3. 총평
키캡 퀄리티도 괜찮고, 제품의 색상도 소비자의 선택의 폭이 넓게 다양한 옵션이 존재, 가격대도 아주 합리적이라 고민하고 있었던 분들에게 질러도 된다고 말해 주고 싶습니다.
기성품으로 나온 동급 제품 중에서는 견줄 제품이 거의 없다. 조립 옵션 까지 제외하면 아주 착한 가격
단점은 내장 박스 포장이 살짝 빈약한편

-","['https://phinf.pstatic.net/checkout/20200227_39/1582735852894weAdR_JPEG/20200225_220039.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200227_165/1582735852775N8yyh_JPEG/20200225_220124.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200227_151/1582735852733ytlFf_JPEG/20200225_220137.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200227_299/1582735852711MtelX_JPEG/20200225_220406.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200227_23/1582735852531NO4Yo_JPEG/20200225_223337.jpg?type=f287']"
5,"일단 키보드 선택폭이 넓어서 키보드 이것저것 바꾸고싶어도 잘 모르는 사람들한테 좋네요.받은후 하자나 불량없는거 확인후 아무것도 건드리지 않고 바로 배그 몇판 때려봤습니다. 흑축 처음써보는데 평소에 키보드 쌔게 눌러쓰는편이라 적응하는데 큰문제는 없었습니다. 다만 힘이 잘 안들어가지만 계속 눌러야하는 LShift같은 키는 40분째부터 손가락이 아퍼오더라구요. 때문에 저는 나중에 부분부분 다른축으로 바꿔줄생각입니다.개인적으로는 멤브레인 + 기계식 키보드 섞은듯한 소리같은데 조용하면서도 기계식느낌이 나서 만족스러워요. 물론 멤브레인쪽으로 따지면 엄청 시끄러운편입니다.아 근데 키캡을 까칠한 pfs? 그걸로 주문한것같은데 느낌이 엄청 부들부들하네요.. 뭔가 따로 코팅한건지 느낌이 독특합니다. 생각하지만 그렇다고 또 틈잡을만한 정도도 아니라 생각됩니다.통울림 살짝 있는것같은데 사람에따라, 또 치는 환경에따라 느껴질수도 안느껴질수도 있는정도라 개인이 불편하면 따로 커스텀하시면 될듯해요.키보드 근접샷 찍은거는 분명 같은폰트, 같은 광량인데도 불구하고 색차이에 따라 빛이 많이 차이나보여서 찍었습니다. 그리고 찍고보니 윈도우 아이콘이 약간 불투명하게 보이네요. 참고하시면 좋을듯해요. 제일 낮은밝기로 설정하고 찍었습니다.요약하면- 커스텀 쉽고 처음 선택 폭부터 넓다. + 가격대가 심하게 높은편이 아님- 화려하고 다양한 색상의 led & 프로그램으로 더욱 다양한 커스텀- 가격대비 엄청 좋은 마감, 소재등은 아니지만 그렇다고 심하게 틈잡을곳도 없음 (물론 개인취향 반영)- 키보드 관심은 많아 이것저것 하고싶지만 처음 스타트가 어려운분들을 위한 키보드- 개인적으로 무게가 좀더 무겁거나, 혹은 밑에 고무가 훨신 덜밀리는 재질이면 좋겠다. 게임하다보니 조금씩 계속 밀림.-위에 플라스틱 키커버가 좀더 두꺼우면 좋겠다. 너무 계란판 뚜껑같이 얇은재질이다. 컴퓨터 앞에서 라면먹을때 필수인데..개인적으로는 구매하기까지 이런저런 고민이 많았는데 새로나온 제품이라 그런지 정보가 많이없어 최대한 적어보았습니다. 전문적이지는 않지만 도움됬으면 좋겠네요.","['https://phinf.pstatic.net/checkout/20190809_1/1565277615030d8T2K_JPEG/20190808_200011.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190809_150/15652776152902kHxq_JPEG/20190808_203803.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190809_139/1565277615184vN4iP_JPEG/20190808_204114.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190809_145/1565277615286U0Cwi_JPEG/20190808_204328.jpg?type=f287']"
5,"1. 제품 리븊
- 생각보다 키캡이 이뻐서 놀람
- RGB와도 생각보다 잘 어울림

2. 키감
- 구매후 거의 한달이 다 되어서 쓰고 있는 리뷰, 저압을 좋아해서 카일박스 적축을 주로 사용하는데 QType 키캡과 만나서 확실히 정갈함이 배가 되는 느낌.

3. 총평
- 특유의 종특만 없다면 주력으로 사용하고 싶은 스위치 키감을 중요하고 생각한다면 조금 가격이 올라가더라도 비싼 PBT 키캡 추천.
- 특히나 리니어 계열이라면 개인적으로 밀도가 더 높은 PBT와의 조합이 최고라고 생각

키캡만 따로 팔아도 잘 팔린 것 같음.","['https://phinf.pstatic.net/checkout/20200329_20/1585478999211FQuKj_JPEG/20200306_211206.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200329_5/1585478999170TuBA7_JPEG/20200306_211537.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200329_67/1585478999110G1jFD_JPEG/20200306_211559.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200329_157/1585478999156X83jG_JPEG/20200306_211555.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200329_98/1585478999087oLkWt_JPEG/20200306_211708.jpg?type=f287']"
5,"키캡도 풀사이즈라 좋았고, 전용 소프트웨어도 있어서 편했습니다.
유튜브나 후기에서 스테빌이 최악이라고 하던데
욕이 하도 많아서 이제는 잘 하는건지 스테빌 윤활이 꽤 잘 돼있더라구요.
아 스페이스는 윤활 거의 없었습니다.
다른 유튜버가 설명할때 밝은쪽은 하우징에 싼티가 많이 나고 뭐 이상한게 묻어있다고 했었는데, 하우징에는 없었고, 키캡에 조금 있었지만 물티슈로 닦아주니까 깨끗해졌습니다.
개인적으로 케이블이 조금 짧다는 점이랑 보호커버? 플라스틱으로 된 보호커버가 일회용같은데 오래쓰게 만들어주셨으면 좋겠습니다.","['https://phinf.pstatic.net/checkout/20200903_163/1599143810330i0vRW_JPEG/review-attachment-21820600-9573-44c5-b8b2-0734001c40ac.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200903_72/1599143810692dx7jt_JPEG/review-attachment-b08a99a7-4de6-44be-9df9-d61027aa6df8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200903_122/1599143810731I3AEi_JPEG/review-attachment-65052bee-0839-4f89-8ca7-9dc11a94dc93.jpeg?type=f287']"
4,"진짜 실물이 진짜진짜 예뻐요 너무 예뻐서 만족도 2만프로였습니다.
제가 이 제품 구입하면서 고민했던 건 두가지였습니다. 저같은 고민 하시는 분들 혹시 있으면 참고하세요!

1. 스태빌이 별로라는 사람이 있던데 많이 신경쓰이면 어떡하지?
이건 막상와보니까 저는 괜찮았습니다. 백축 제품 처음 쓰는데 키감도 진짜 너무 좋구요. 스태빌 걱정하시는 분은 이정도면 나쁘지 않다고 말씀드립니다

2. 화이트를 사야하나 다른 색을 사야하나?
원래 화이트를 좋아하고 화이트가 깔끔하게 예쁘긴하지만 LED 안켜진 사진은 좀 너무 흰색인 느낌(?)이라서 이것 때문에 진짜 고민을 많이 했습니다..
근데 막상 받아보니까 진짜 실물갑이라서 LED 없어도 예쁩니다. 걱정말고 사세욥 ㅎㅎ 나중에 때탈까봐 그게 걱정이지만..그건 미래의 내가 잘 관리하는 걸로 하죠... 화이트도 대만족입니다.

별하나 뺀 건 만원이나 주고 조립 추가했는데 키 하나가 안눌리더라구요...
순간 아 교환하기 귀찮은데..하고 제품 설명 잘보니까 저같은 분들 종종 계셨나봐요 그 동영상대로 빼보니까 스위치가 제대로 안들어가 있길래 휘어진 핀 제대로 해서 넣으니까 잘 됩니다.

마무리: 예쁘고 가격도 괜찮은 제품 찾으시면 강추합니다!",['https://phinf.pstatic.net/checkout/20200907_39/1599472390640weYbT_JPEG/review-attachment-8d6bf056-71ab-4ee9-beae-662c3c8dba34.jpeg?type=f287']
