star_point,comment,photo
5,"배송이 주말이 껴서 하루 정도 더 걸리긴 했지만
받고보니 역시 좋아요~!
조용하고, 디자인도 예쁘고, 타건감도 좋아서 쓰기에 더 좋은듯!
가격대가 있는 기계식 키보드는 처음 써보는데
그래서 만족스럽게 더 잘 쓸 수 있을 것 같아요~
저도 추천이 많아서 구입했는데, 써보니 저 역시도 추천합니다!
조용한 기계식 키보드 찾으신다면 바밀로로 구입하세요~","['https://phinf.pstatic.net/checkout/20200616_205/1592287382258SsGiy_JPEG/KakaoTalk_20200616_150034587.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200616_240/1592287382262fQrqM_JPEG/KakaoTalk_20200616_150034587_01.jpg?type=f287']"
5,"구입매장에 방문수령했습니다. 물건을 봤는데 투박한 무지박스로 포장되어 있어서아니 제품은 이렇게 화려하게 뽑았으면서포장은 이렇게 무성의 할 수가! 라고 생각했는데집에와서 뜯어보니 내부에는 본 박스가 따로 있었습니다. 뚜껑 분리형 박스가 아니라 오픈 면이 자석으로 되어서모서리별로 접혀있는 그런 식의 상자입니다. 이미지에 올라온 사진에 보면3개의 기본 락 버튼들에 조그맣게 LED투광을 시키는작은 표식이 있는 키들로 씌워져 있지만제품을 받아보니 기본 장착된 키들은 표식없는 완전 불투명기본 키가 장착되어 있어서 여벌로 포함되어 있는키캡으로 교체해야 합니다. 제 생각엔 교체는 거의 필수같네요. 키보드 전체적으로 LED가 들어오는지라LED패턴 모드에 따라 락 키들이 켜져있는지 꺼져있는지 은근 곧바로 확인이불가할 수 있다고 봅니다.저소음적축의 키감은 다른 타건샵에서 레오폴드 키보드를 통해 처음으로 접해봤는데, 레폴보다는 좀 더 무게감이 덜 하고 쫀득한? 폭신한? 암튼 그런 느낌도 덜 했습니다.",[]
5,"진짜 이뻐요! 많이 파시고 대박나세요! 사진이 조금 흐릿하긴 하지만 정말 실물이 훨씬 예쁜 제품입니다.라이팅 밝기 조절도 되고 모드도 여러가지로 선택할 수 있어서 정말 좋아요 ㅠㅠㅠ 기존에 있던 키보드의 소리가 너무 거슬려서 저소음 제품을 찾다가 기왕이면 예쁘기도 했으면 좋겠단 마음에 찾다가 발견한 게 이 키보드인데 처음엔 가격이 너무 만만치 않고 후기도 별로 없어서 고민했지만, 정말 값어치 하는 제품이라는 생각이 들어요. 방에 키보드 놓인 거 볼 때마다 흐뭇하구요. 밤에 불빛 들어오는 것도 너무 예뻐서 두근거려요ㅠㅠ또 적축 갈축 청축 이런 거 잘 몰랐던 터라, 종류별로 다 사서 써 볼 수도 없고 고민이 많았는데평소에 딱 이랬으면 좋겠다고 상상한 그 키감이라 너무 행복합니다. 진짜 이거 너무 너무 예쁘니까 많이 많이 사세요.","['https://phinf.pstatic.net/checkout/20180225_145/1519503580895wbjcN_JPEG/KakaoTalk_20180225_051503966.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180225_157/15195035810391B7RR_JPEG/KakaoTalk_20180225_051504471.jpg?type=f287']"
4,잘 받았습니다 기본 구성으로 민무늬 스페이스바 키캡이 있는데 사진에선 빠졌네요 1 사진상에서는 안보이지만 판에 약간 나뭇결 무늬가 있는게 마음에 듭니다2 백라이트도 핑크색으로 예쁩니다3 키캡 높이가 다른 기계식 키보드에 비해 약간 낮아서 피로가 덜해요4 저소음이라 아예 소리가 안난다는 건 아니고 약간 사각거리는 소리가 들려요 만족합니다,['https://phinf.pstatic.net/checkout/20180909_134/1536478869184MAyLA_JPEG/83814.jpg?type=f287']
5,진짜 너무 조용하고 좋아요. 잘못주문해서 텐키리스 먼저 사용중이었는데너무 좋네요..근데 텐키리스랑은 다르게 연결단자 부분이 제일 오른쪽으로 해서 있네요.색달라서 좋았어요. 제품은 너무 이쁘고 타건도 괜찮고 좋아요. 근데 적축이라 그런가 눌리는 느낌도 그렇고 눌러놓고 가끔 눌렀나 하고 키보드를 한번 쳐다보게 되는..!! 배송은 3일정도 걸렸어요!,[]
5,넘넘이뻐요 스페이스바때문에 산건데 걍 스페이스바 키캡만 따로 사도 됐을거같긴함 ㅎㅎ;;그래도 이쁘니까 만족 타건감도 생각외로 괜찮고 특히 갈축쓰다가 쓰니까 확실히 소리가 엄청 작음멤브레인키보드랑 비슷한듯?(멤브레인 안쓴지 좀 돼서 확실하진 않음 더 작은거 같기도 하고),[]
5,하루만에 배송해주셨어요. 포장도 잘해주시고 제품도 좋고 만족합니다. 번창하세요~~^^,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_06_05_0/8adec402-a6f3-11ea-bad7-a0369ff952f4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200605_120/1591337486046CDwPc_JPEG/B68E07E9-7973-4B60-9BCE-5CFF76EACD88.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200605_8/1591337487160ON3Fo_JPEG/9703F4AD-1F9F-452A-A5A7-B3238DFC8BB6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200605_275/15913374845874g9pX_JPEG/6BCF24B8-E9D7-441E-8014-FA32FE85A574.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200605_213/1591337486852XJ3OW_JPEG/10A63810-4FBA-44ED-9E80-F2893C4CB6EE.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200605_72/1591337485690Yw4cR_JPEG/2D900602-71B4-43C9-A1BD-D5D455F00AF1.jpeg?type=f287']"
4,"빵아 빵아 빵아! 빵아 : 귀여움. 포장 : 엑설런트.
가격 : 오마이갓. 품질 : 써프라이징. 나 : 음메.

https://m.blog.naver.com/kim007162/221949541887","['https://phinf.pstatic.net/checkout/20200507_261/1588782907848H2qLR_JPEG/20200506_114721.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200507_25/1588782922361zcMoH_JPEG/20200506_114122.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200507_239/1588782929358S88UB_JPEG/20200506_113432.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200507_230/15887829362356kVxN_JPEG/20200506_113636.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200507_274/1588782944822hF9sz_JPEG/20200506_113641.jpg?type=f287']"
5,사용감이 너무좋아요 너무 예쁘네요,['https://phinf.pstatic.net/checkout/20201023_224/1603459030562cjvdY_JPEG/review-attachment-8ddaf48d-5ba6-45a1-b1b7-e058c0aeebb5.jpeg?type=f287']
5,"역시바밀로
만족합니다",['https://phinf.pstatic.net/checkout/20201022_250/1603345944204tX4il_JPEG/review-attachment-036031ad-0a4a-45b6-a215-225530cecf5b.jpeg?type=f287']
5,가격때문에 엄청 망설였으나 망설인 시간이 아까울 정도로 좋습니다. 기존에 청축을 썼었어서 거의 무소음 같이 들려요. 그리고 디자인도 너무 예뻐요,['https://phinf.pstatic.net/checkout/20200902_151/1599032628797qHEcy_JPEG/review-attachment-48307ce6-96b9-4604-91c6-94aee139869e.jpeg?type=f287']
