star_point,comment,photo
5,"아이패드에 연결해 사용하고 있습니다. 무게가 가볍고 크기가 작아 휴대성이 좋아요. 가장 중요하게 여긴 포인트여서 만족하고 있습니다. 파우치도 포함되어 있어서 잘 갖고 다니고 있어요.
키보드 자체크기가 작지만 기본자판을 치는 것은 무리가 없어요. 다만 엔터, 쉬프트, 백스페이스키 등이 작고 배치가 달라 익숙해지려면 조금 걸릴 것 같습니다. 블루투스 인식속도도 나쁘지않아요.
접었을때 연결부가 조금 불안하긴 해요. 양쪽에 고정하는 게 있지만 접힌 상태에서 상/하판이 조금 움직여지기 때문에 주의할 필요가 있을 듯 합니다.","['https://phinf.pstatic.net/checkout/20200214_281/1581674003429PiNDU_JPEG/20200207_125840.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200214_185/1581674018629jupI0_JPEG/20200207_125954.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200214_7/1581674032177physh_JPEG/20200207_130017.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200214_260/1581674046244l0SAk_JPEG/20200207_140042.jpg?type=f287']"
5,"버송은 거의 하루만에 왔고 포장도 뽁뽁이로 꼼꼼하게 포장되어 왔습니다.
사진 보시면 알겠지만 정말 콤펙트한 사이즈예요ㅋㅋ
(비교하시라고 마우스랑 볼편도 놓고 같이 찍어봤어요)
작아서 불편하다는 분들이 꽤 계신것 같은데 전 여자손치고 큰 편인데도 많이 불편하진 않았어요. 가볍게 피아노치듯 치니까 그럭저럭 타격감은 괜찮아요.
어차피 휴대용 목적이 1순위였는데 콤펙트하고 거치대까지 달려 있으면서 깔끔한 디자인에 커버까지 있으니 넘 만족스러워요^^ !!ㅎ","['https://phinf.pstatic.net/checkout/20200115_144/1579072298046cxq0L_JPEG/20200115_160344.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200115_226/15790723041812MhrC_JPEG/20200115_160328.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200115_253/1579072308800AK286_JPEG/20200115_160311.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200115_87/1579072314150oczuo_JPEG/20200115_160256.jpg?type=f287']"
5,가지고 있는 가죽 태블릿 파우치에 같이 들어갈만한 크기의 키보드를 찾았는데 딱이에요. 작다고 조잡하지 않고 품질이 괜찮아요. 남자들이 쓰기에는 폭이 너무 좁을 것 같아요. 제가 쓰기에는 괜찮았습니다. 거치대 기능 있는것도 쓸만하네요.,"['https://phinf.pstatic.net/checkout/20200518_161/1589776063789lJgfL_JPEG/2020-04-22-16-43-57-514.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200518_57/15897760637657MM0K_JPEG/2020-04-22-16-55-00-180.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200518_268/1589776063709hzEIB_JPEG/2020-04-22-16-55-18-192.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200518_140/1589776063830cgIfU_JPEG/2020-04-22-16-55-25-220.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200518_203/1589776063870asBms_JPEG/2020-05-18-11-42-31-816.jpg?type=f287']"
5,"가볍고 작아서 휴대성이 좋아요.
자주 사용하는 편은 아니긴 한데, 처음 배터리 충전한 이후 아직까지 재충전하지 않고 계속 쓰고 있어요.

아이패드에 사용중입니다. 아이패드가 키보드에 비해 크다보니 거치대는 사용해보지 못 했습니다.
일반자판은 괜찮은데 숫자나 엔터, 백스페이스가 작다보니 여전히 잘못 누르는 경우가 있어요. 사용하다보니 몇가지 문제가 있긴 합니다.
1. 스페이스를 누를때 가끔 인식이 안돼 띄어쓰기가 되지 않아 글자들이 다 붙음.
2. 스페이스키를 누를 때 가끔 연속공백이나 온점(.)이 여러번 입력됨.
3. 연속해서 한/영 전환을 할때 인식이 안되어 전환이 안되거나 이모티콘 키보드로 변경된 후 전환키가 들어먹지 않음. (Fn+alt로 가상키보드창을 열어 한글로 전환해줌)
4. 일부 앱에서 글자 입력에 딜레이가 있고 입력시 첫글자깨짐. 근데 아이패드 앱들이 원래도 글자가 잘 깨져서 앱문제일수도 있음.

이런 문제에도 불구하고 제법 편하게 쓰고 있어 매우 .","['https://phinf.pstatic.net/checkout/20200320_47/1584704394654wPjxT_JPEG/20200320_203807.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200320_292/1584704406530JBJ6K_JPEG/20200320_203821.jpg?type=f287']"
4,"처음에 첫번째 기기로 연결할때 아이패드는 연결이 안되고 아이폰만 연결이 돼서 문의를 드렸었는데 아이폰 연결 해제하고 다시 연결을 하려니까 첫번째 기기 페어링 신호가 배터리 부족으로 뜨고 신호가 이상하길래 충전 후 시도해봤는데 그래도 페어링 파란색 신호가 안뜨고 이상해서 두번째 기기 연결로 블루투스 연결을 시도했더니 아이패드 연결에 성공했어요. 그냥 첫번째 기기 페어링에 문제가 있는 것 같아요. 변경하고 싶었는데 일단 키보드 사용이 급하고 타자 치는데에는 문제 없어서 변경 안하고 쓰려고 해요. 어차피 기기 연결도 많이 할 거 아니라서...잘 쓰겠습니다~

휴대용으로 정말 좋아요. 다만 손이 크신 분들은 사용에 불편함이 클 것 같네요. 저는 여자 보통 손인데 두께가 두꺼운 편이라 살짝 불편한데 점점 익숙해지고 있어요! 근데 숫자 버튼이 너무 작아서 불편한건 익숙해지는데 오래걸릴 것 같네요! 한달사용리뷰때 후기 더 말씀드릴게요~",['https://phinf.pstatic.net/checkout/20200317_107/1584416774758gSKxl_JPEG/A3A4F4B7-AA40-4EB8-8E34-BE4E22CAA933.jpeg?type=f287']
4,"크기가 정말 생각보다 작았는데 그만큼 휴대성이 뛰어날 것 같아 기대가 됩니다.
스마트폰 가로세로 모두 거치대 사용 가능하구요, 페어링 잘 되서 따서 OS설정 안했더니 한/영 변환등이 안됐습니다. 꼭 OS설정 하고 이용하시길-!
앞선 후기들처럼 오른편 키패드들이 너비가 작아 잘 안 눌러지긴 하던데(온점) 스페이스바 두 번 누르는 걸로 온점 만들면 큰 문제 없는거 같아요~ 👍👍",['https://phinf.pstatic.net/checkout/20201024_204/1603499708672cwSIz_JPEG/review-attachment-6d153ea4-8c92-4a0c-90d5-352bb518a37f.jpeg?type=f287']
4,지금 구매한 키보드로 리뷰 올리고 있습니다. 우선 빠른 배송과 꼼꼼하 포장되어 왔습니다. 제품 마감 퀄리티는 좋고 크기가 굉장히 작고 가벼워 휴대하기 좋습니다. 타자감도 이 크기에 이정도면 만족스런편입니다. 다만 펼쳐서 사용중에 바닥이 알루미늄이라 미끄럽고 거치대 밑 부분에 고무가 있긴 하지만 양쪽 고무의 높이가 달라 한쪽은 미끄러지지 않는데 다른쪽은 미끄러져서 불균형이 됩니다. 작은 크기다 보니 키가 좁아 조금 불편 할수있습니다. 개인적으로 휴대성이 중요해서 만족 스럽지만 개선할 부분이 조금 보여 개선만 되면 정말 좋은 제품이 될것 같습니다.,"['https://phinf.pstatic.net/checkout/20200402_273/1585822368377TR3wg_JPEG/280D9ACE-C3DC-4A7C-AD43-A32233249CAE.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200402_287/1585822369057giOHP_JPEG/1A4A65D5-E906-4115-BC74-D0A55A3B8B51.jpeg?type=f287']"
5,"사이즈가 너무 작을까 걱정했는데 딱 좋아요. 손작은 편이라 불편함 없이 쓰고 있습니다! 가볍고 들고다니기도 좋구요, 카페같은 곳에서도 사용할 일이 있어서 자주 꺼내 썻는데 조용한 편이에요. 개인적 취향으로는 타자소리 좋아해서 너무 조용하면 익숙해지는데 시간이 많이 걸리는 편인데 이거는 어디서 사용하기에 너무 시끄럽지 않으면서 소리가 나서 좋아요. 최대한 살살 누르면 소리야 작게 줄어들긴 하겠지만 조용한 장소에서 사용하기에는 조금은 안맞을 수 있을거 같아요. 일반 노트북이랑 비슷한? 그것보다는 조금 작은 정도의 소리네요. 동생이 독서실 갈때 써보겠다고 빌려갔다가 말해줘서 덭붙였습니다.
저는 독서실을 갈 일이 없어서 지금으로도 충분히 만족스러워요!",[]
5,"일단 빠른 배송은 기본이네요
기존에 쓰던 접이식 블루투스 키보드가 고장난 줄 알고.... 샀는데 크기는 일단 만족합니다.
먼저 쓰던 거 보다도 한참 작네요
타자감도 나쁘지 않고
근데 작은만큼 타자치기는 조금 불편합니다.
특히 . 찍을 때 /가 계속 눌리네요 아직 적응이 안되서 그런 걸수도 있지만..
크기는 첨부한 사진을 보시면 아마 도움이 되실 듯.","['https://phinf.pstatic.net/checkout/20200813_246/1597304704971UO5zm_JPEG/review-attachment-f268a14e-8add-4e53-abb8-b0e060968670.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200813_4/1597304704990rrDXd_JPEG/review-attachment-138aa712-0786-498b-b38e-c40e96905558.jpeg?type=f287']"
4,휴대성 갑이에요 전원키면 바로 인식해요!! 접어두니 아무도 키보드 인지 모릅니다 ㅎㅎ 키감 좋은데 넘 작아서 오타가 많이나요 흑. 익숙해지면 나아지겠죠~? 회사에서 카톡용으로 산건데 자꾸 업무용 키보드랑 헷갈리네요 ㅎㅎ,"['https://phinf.pstatic.net/checkout/20200604_103/1591257303702c9zaT_JPEG/47D82F64-8BAA-406F-BA00-6647F43F1067.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200604_159/1591257303612Mq4UI_JPEG/F3603C21-F1B3-4218-AC77-2B8527712BD0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200604_5/1591257303773N6B0H_JPEG/0EA1BC5B-A88E-4A06-88AC-74CC575FBAD2.jpeg?type=f287']"
