star_point,comment,photo
5,"- 구매이유
어머니께서 타자 연습을 시작하셨습니다. 근데 기존에 사용하던 키보드의 키 구조가 기본 구조가 아니라 변칙성 있는 구조라서 연습에 불편을 끼쳤고, 키눌림도 매끄럽지 않았습니다. 그냥 멤브레인으로 저렴하게 하나 구매하는게 낫다는 결론이 나왔습니다.
- 사용후기
키눌림은 기계식의 타각타각하는 소리감은 거의 없어서 밋밋하다고 할 수 있겠습니다. 그래도 일단 누르는데 힘을 약하게 줘도 되고, 반응도 깔끔하게 잘 나옵니다. 무엇보다 어머니께서 아주 마음에 들어하셔서 좋습니다. 손이 작은 어머니께서 사용하시기에 적당한 것 같았습니다.
-단점
스킨 없는 순수 키감이 미끌거리고 좀 거슬립니다.
-추가사항
101키를 사용하면 오른쪽 alt키가 작동하지 않습니다.
103/106키를 사용해야 모든 키가 전부 정상 작동합니다.
혹시라도 101키 쓰시는 분들은 103/106으로 바꾸시길",['https://phinf.pstatic.net/checkout/20201119_56/1605791141748q3S70_JPEG/review-attachment-9eb375e5-4769-412c-8781-6e0db001cafd.jpeg?type=f287']
1,회사에서 쓸려고 저렴하게 구매했는데....저렴한데는 이유가 있는걸까요...하나는 괜찮은것 같은데 다른 하나는....스페이스바에 누를때마다 삐걱삐걱 소리가 나요....ㅠㅠㅠ 포장 다뜯어서 교환도 안될것 같아 일단 쓰는데...이거 스페이스 칠때마다 삐걱삐걱 거려서 미치겠어요...ㅠㅠ,[]
4,설마를 연발하며 기다렸지만 역시나...청축이라길래 청아한 소리를 기다렸지만 역시나...일반키보드와 달리 주변 베젤이 없다시피하여 타이핑할때 헛나감과 왠지 허전함...노트북에 장착된 키보드에 타이핑하는 느낌?? 은 과하고.... 딱 가격만큼만 하는 키보드,['https://shopping-phinf.pstatic.net/20170830_6/5d630e24-3234-4af5-8815-a986f9b9a723.jpg?type=f287']
3,키보드는 잘 받았습니다 근데 택배회사가 맘이 안드네요 경비실에 맡겨달라는 말은 안 써놨더라도 집에 있는지 없는지 전화해봐야 되는거 아닌가요 ? 전화도 없고 문앞에다가 떡하니 놧두면 누가 가져가게되면 그 손해배상은 누가 해주는거죠??? 좀 어이가 없네요,[]
5,"키보드의 종류는 여러 가지가 잇죠. 가장 싸면서도 내구성이 좋고, 키감도 괜찮은게 멤브레인 이죠. 모양이 꼭 기계식 처럼 생겻지만 요건 기계식은 아니랍니다. 저렴한 가격에 두개 구입햇고, 키감이나, 포장, 배송,만족이며 가격도 옥션상 제일 쌉니다. 잘 받앗습니다.",['https://shopping-phinf.pstatic.net/20190628_26/d154fa5e-cb28-428a-8995-4b058dba9ac3.jpg?type=f287']
5,갈축 키보드의 장점! 기계식 키보드의 타격감(?)을 원하시는 분들은 조금 아쉬울 수 있겠지만누르는 키감이 역시 갈축 키보드라서 그런지부드럽고 좋네요~조용조용하고 키감도 아주 없는건 아니네요빠른 배송과 함께 좋은 제품으로 너무 감사합니다번창하세요~ ^^,[]
4,키보드가 엔터가 조금 살짝 뻑뻑한 감이 있긴 한데 그래도 이가격엔 만족 합니다 ㅎㅎ,['https://phinf.pstatic.net/checkout/20201103_269/1604368979101fJTHd_PNG/review-attachment-d29e517a-8122-4695-a4c9-398a26415dce.png?type=f287']
4,좋아요 딱 키보드요. 좋음,['https://phinf.pstatic.net/checkout/20201009_209/16021826410599be3i_JPEG/review-attachment-47aa725a-47e5-493a-83fd-b799af64a0aa.jpeg?type=f287']
5,사무실에서 잘 쓰는중,['https://phinf.pstatic.net/checkout/20201008_5/16021352491085uSDn_JPEG/review-attachment-a21d1da8-a4e6-4573-88ee-7d03ed94a0df.jpeg?type=f287']
5,가격대비 가성비 갑이네여 ㄷㄷㄷ 값도 착해 품질도좋아. 더 써봐야 알겠지만 만족합니다!!+,['https://phinf.pstatic.net/checkout/20200908_63/1599548828762gAntp_JPEG/review-attachment-020f0ceb-f253-410c-9ba7-dfaba56d5323.jpeg?type=f287']
