star_point,comment,photo
5,"너무 좋아요 진쫘ㅠ 예전에 진심 뻥 안 치고 컴터 사면 딸려오는 걍 키보드 있잖아요 그거 10년 썼는데 (그만큼 컴퓨터도 안 바꿈 ㅋㅋ) 근데 완전 좋아요,, 그냥 오랜만에 새거 써서 그런가? LED 도 너무 좋아요 예뻐요 ㅜㅜ 빨초파 반짝반짝이에요 넘 예뻐서 감동이에요 왜냐면 저 피시방에서만 LED 반짝반짝 키보드 써봤거든요 걍 싸서 샀는데 넘 좋우네요 이 키보드랑 오래오래 행복하게 살것습니다",['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_09_0/68cba767-f294-11ea-8610-505dac8c37f3_03.jpg?type=f287']
5,"회사에서 쓰고 있습니다. 조용하고, 키감도 좋아요. 다만, 독서실에서 쓰시거나 노트북 정도의 저소음을 원하시면 좀 시끄럽다고 느끼실 수 있어요. 조명이 예뻐서 일 하다 빡쳤을 때 키보드 보면 기분이 살짝 좋아집니다.ㅎㅎ 가격 대비 매우 만족합니다.",['https://phinf.pstatic.net/checkout/20200612_247/159191716253504T15_JPEG/20200602_151438.jpg?type=f287']
4,"키보드 색도 예쁘고, 키감도 나쁘지 않아요. 다만 딸각거리는 그 소리 자체를 좋아하시는 분들에게는 비추. 대신 소리가 없기 때문에 조용한 환경에서 써야하시는 분들에게는 추천합니다. 인식 속도도 나쁘지 않아요. 또하나의 장점이자 단점은 가볍다는 거예요. 그래서 일반적인 유리나 나무, 플라스틱 제질의 탁자에서는 조금씩 밀리기 때문에 패드를 대고 쓰시는게 좋을 것 같아요. 가볍기 때문에 휴대하기는 편해요 ㅋㅋ",[]
5,실리콘케이스에 먼지가 잘 붙지만 케이스 없었으면 이 먼지가 다 속으로 들어갔겠지 싶어 안심되기도 해요. 장비발이 장난이 아니라는 주변의 칭찬인가 싶은 이야시 많이 듣네요. 불빛이 이뻐서 일 열심히 하고 싶은 욕구가 마구마구 들어요~~,['https://phinf.pstatic.net/checkout/20200304_235/1583259415342re388_JPEG/1583259401746.jpg?type=f287']
4,키보드가 여름에 휴가를 알차게 갔다왔는지 까맣게 타서 도착했네요 두번째 구매하는 거에요이 제품 정말 좋거든요 그래서 적극추천하려고했는데 아쉽게도 저스트추천만 드립니다왜냐면 두번째 구매할땐 검정색을 주거든요엄마가 키보드 새로 사야된다길래 이걸로 주문한거거든요 왜냐면 이건 정말 좋기때문이에요근데 검정색이 왔습니다엄마가 키보드에 껍질 씌우는거 좋다고해서 이걸 적극추천했는데 껍다구가 없어요사진을 보시면 지오쥐-라이트 레인보우라고 써져있죠근데 블랙이왔습니다 일단써야되서 연결해놨는데다음에 또 살때는 무슨색인가요? 저는 핑크색이 좋습니다,['https://phinf.pstatic.net/checkout/20180911_27/1536672844882JuHJL_JPEG/KakaoTalk_20180911_223053287.jpg?type=f287']
5,회사가 즐거워졌어요~ 낮엔 이렇구요~ 밤엔 더 현란하죠~ㅋㅋ저렴한가격이지만 기능과 자판그립감이 참 좋네요~커버가 두툼해서 자판소리가 하나도안나고 잘눌려요~ 집에도 하나더 사려구요~^^소소한 즐거움이 꽤 크네요~일하다가 조명을 키고 힐링하며 일하려구요~^^많이파세요~^^,['https://phinf.pstatic.net/checkout/20181019_199/1539908371491dlVNX_JPEG/%ED%82%A4%EB%B3%B4%EB%93%9C.jpg?type=f287']
5,"일단, 게이밍 키보드 치고는 가격이 매우 좋네요~ 그리고 타닥타닥 소리 안나는것도 (저소음) 매우 맘에들고요~ 조금 아쉬운점은 led색 밝기조절만 되는게 조금 아쉽지만 (숨쉬기x, 색상변환x) 뭐 가성비로는 최강인듯 싶습니다. 일단 사용한지는 얼마 안돼서, 고장만 쉽게 안나면 매우 좋을것 같습니다.",[]
5,갈축 사려다 이거 삽니다 ㅎㅎ 뭐 주변에 기스나 흠 없었고 색깔도 뭐 좋습니다무엇보다 키감이 부드럽고 조용한게 저처럼 시끄러운거 싫어하시는 분들은 추천드립니다(청축은 아오 정말....)그리고 실리콘 커버 주는거 매우 좋습니다 옵션으로 키보드 커버 추가로 구매할 수 있었으면더 좋을것 같습니다~,[]
5,아들넘이 너무 좋아하네요. 착한 가격에 배송도 빨라 좋았습니다. 많이 파세요~,['https://phinf.pstatic.net/checkout/20201125_284/16062955823890tkgx_JPEG/review-attachment-d7b619ec-604c-4d83-93de-7506f2bd94c6.jpeg?type=f287']
5,좋아요 이쁘고 깔끔하고 무엇보다 키보드커버잇어서 좋음!!,['https://phinf.pstatic.net/checkout/20201016_169/1602849418082FPRdt_JPEG/review-attachment-05b51c25-c105-4cca-92ce-76828891fc1b.jpeg?type=f287']
