star_point,comment,photo
5,"가성비 좋다고 생각해요! 노트북 할때마다 화면 멀리 놓고 싶은데 키보드까지 손뻗고 있는게 어깨가 넘나 아팠는데 세상 편하네요 ㅋㅋㅋ 다만 베터리 확인이 안되네요 ㅠㅠ 제가 못찾는거일수도 있어요 ㅋ.ㅋ
그리고 고무가 좀 이탈해있지만 쓰는데 지장없어서 패스~~ 저는 추천이요","['https://phinf.pstatic.net/checkout/20201120_215/1605860980858yakvd_JPEG/review-attachment-dc9fba4a-bb51-4451-8a35-dff13a4e88f0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201120_171/1605860981521LMQvp_JPEG/review-attachment-e10fb3c6-fb8c-4a48-b4f5-ea83da818196.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201120_153/1605860981421Hepi4_JPEG/review-attachment-569f4bc5-ac3b-4d54-b7a8-e5c151066da8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201120_235/1605860981425Hejsi_JPEG/review-attachment-94a7d3dd-d84a-44a3-85d7-e2ce533354fc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201120_106/1605860981868Forcv_JPEG/review-attachment-d673f922-8733-4642-825c-7213b2e55227.jpeg?type=f287']"
5,"너무너무 좋습니다. 몇년만에 기술이 이렇게나 좋아졌구나 느낍니다. 좋은가격으로 좋은물품 감사합니다!!!
다만 아시고 가야할 부분들이 있어 이렇게 남깁니다.

우선 아이폰에서는 한영키가 먹히지않습니다. 캡스락을 눌러야 한영이 변환되요 ~

안드로이드에서는 한영키로 편하게 변환 가능합니다.

그리고 물결모양. 제가 잘 쓰고있는데요.

물결모양을 한번 쓰려면 왼쪽 FN키 하나랑 쉬프트키 하나랑 ESC버튼 세개를 동시에 눌러야합니다.
오른쪽 쉬프트 키라도 되면 한쪽으로 두개 누르고 오른손으로 쉬프트키 하나 누르면 되는데 그게 안됩니다!!!
피아노 선수도 아니고 이 3개 버튼을 누르기 위해 손가락을 꺾다보면
환상행진곡 같은 느낌이에요.

기기를 3개나 연결할 수있어서 두개 기기 펴놓고
FN 키 누르고 변환 가능합니다. 한번에 2개가 동시에 써지는 건 아니고요.

충전단자는 5핀입니다. C타입이면 딱! 더좋을것 같긴한데 나중에는 아마 출시되겠죠.

충전식
멀티페어링
얇은 크기
케이스
케이스를 거치대로 쓸수있다는점 2만원대에 구매할 수 있다는 점 너무너무 만족입니다.",['https://phinf.pstatic.net/checkout/20201124_256/1606225245118qQ52L_JPEG/review-attachment-49cf0319-0131-4787-b15c-b5759391b1a5.jpeg?type=f287']
5,"처음에 연결하니 엔터키가 마구 눌러지는 것처럼 되어서 당황스러웠는데, 다른 기기에 연결한 뒤에 돌아오니 그런 오류는 자동으로 사라졌더라구요. ㅠ자가 왼쪽에 있는 게 아쉽다는 말을 보고 사긴 했지만 지금도 오타가 나서 지웠다 쓰는데 ㅠ 때문이네요.. 물결도 방금 쓰려고 했는데 안 써지고 ㅋㅋㅋ 하지만 알고 샀으니 이 부분은 어쩔 수 없고, 스티커를 붙였더니 너무너무 귀엽고 3가지 기기 페어링 다 잘 돼요!!! 생각보다 소음이 있긴 한데 크기도 적당하고 좋습니다! 가격대비 만족스러워요.","['https://phinf.pstatic.net/checkout/20201020_59/1603183533839hdKol_JPEG/review-attachment-af10b85e-e7e4-48ff-a4ea-3d8e363b522e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201020_276/1603183533825jbx1L_JPEG/review-attachment-0e99bd17-8034-4e60-8403-6ad415e36286.jpeg?type=f287']"
4,"1. 배송 : 오전에 결제하여 다음날 오후에 도착함. 빠름
2. 스펙 : 광고하는 내용과 일치하는 것으로 보임
3. 간략후기 : 사용하지 않다가 누르면 약간의 딜레이가 생김. ""ㅠ""가 왼쪽 부분에 있어 자음과 ㅠ가 들어가는 글자를 누를 때 왼손으로 두 번 눌어야 하는 점이 조금 불편함. 누르는 키감이 좋은 편이고 대체적으로 만족함. 블루투스로 작동함
4. 선택이유 : 현장사무실에서 노트북을 쿨러에 올려놓고 블루투스 키보드로 사용하는데, 늘상 쓰므로 다소 큰 제품을 원하였음. 여타 브랜드들의 다양한 제품이 있지만 길이가 작으면 불편할 것 같아서 비프렌드 제품으로 구입함. 13인치 노트북과 폭이 거의 같음.","['https://phinf.pstatic.net/checkout/20200717_58/1594958695658h7e0d_JPEG/review-attachment-3fed3ace-6a2d-4ae2-ba2a-db4186dead71.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200717_246/1594958701254WPhlw_JPEG/review-attachment-d3849850-cdff-4868-8894-41e6ca3e0b29.jpeg?type=f287']"
3,"오아3단접이식 키보드쓰다 고장나서 갈아탄 후기

가볍긴 진짜 가벼워요! 오아거보다 확실히 가볍고 얇아요(케이스끼면 두꺼워진 함) 근데 오아가 나은거 같아요
이유는

1. 좌우로 접는 방식이고 너무 가벼워서 딱딱한 곳이 아닌 푹신한 곳(침대 위)에서 사용할 경우 바닥이 움직임

2. 너무 얇아서 책상에 얹었을 때 높이가 낮고 따라서 타자칠 때 손목이 뭔가 불편함

3. 휴대성은 더 나은듯 하나 오아 제품은 세로로 길쭉하고 폭이 좁은 반면 이 제품은 세로가 짧고 폭이 넓어서 저처럼 파우치에 아이패드랑 키보드랑 한꺼번에 넣어 다니는 사람은 오히려 휴대성이 더 불편 할 수 있음 (동봉된 플라스틱 케이스 끼우면 더더욱

이 제품이 나은 점을 따져보면

1. 놀람

2. 케이스를 벗기면 진짜 얇음(단, 케이스를 끼우면 생각보다 두꺼움)

3. 동봉된 케이스가 거치대 역할도 하는데 오아와 달리 세로로 거치가능(아이패드)

가 될수있겠네여 ㅎㅎㅎ

크기는 반쪽이 성인여자 손바닥만합니다 ...","['https://phinf.pstatic.net/checkout/20200226_140/1582699864306M7F2q_JPEG/F4C0CA0C-6FCC-466B-A020-BFD6B063E5C4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200226_161/1582699864687imQKD_JPEG/23DDD2C2-06E0-4F8C-A4EA-274A402186BA.jpeg?type=f287']"
5,"2015년에 IMAGIC접이식 키보드를 사서 한참동안 만족스럽게 쓰다가, 최근 1년정도 방치했더니 고장나있어서 새로운 버전 구매했습니다.이전 버전도 너무 흡족하게 매우 오래 사용했었는데, 이번에 새버전 구매 하고 나니 더더욱 만족스러워서 귀찮음을 무릅쓰고 칭찬글 남기려고합니다.1. 마감이 너무 이뻐졌다. 이전에는 그냥 네모로 각져있었는데, 이번에는 모서리가 둥글어서 미관상 보기도 좋고, 찔릴일도없어지고, 모서리 부딪혔을때 가슴아픔(?)도 덜할거같네요ㅋ그리고, 이전보다 크기도 작고 얇아졌는데, 타자치는데 전혀 불편하지 않았습니다 너무 만족스럽네요2. 키감이 더 좋게 달라졌다. 이전버전은 약간 쇠소리(?)비슷한 고음이 탁탁 났었는데, 이번 버전은 뭐라 표현하긴 어렵지만 더 묵직하고, 안정감있고 확실한 키감에 소리도 묵직하니 좋아졌어요. 굉장히 만족스럽습니다.3. 우측 Shift키의 변화 이전 버전에 딱 한가지 아쉬웠던 단점은, 사진에서 보시다시피 우측 Shift키를 치려고 하면, 위쪽화살표 키보드가 눌려 문서작성할때 갑자기 윗줄로 옮겨지거나 그랬었는데, 이번버전은 화살표키 크기를 줄이고 Shift키를 아주 확실하게 배치를 해놓으셨네요키보드 배송 받자마자 폰에 연결해서 지금 그 키보드로 타자치고 있는건데, 신경쓰지않고 무심하게 타자를 쳐 나가도, 컴퓨터 키보드 칠때와 비교해서 위화감이 전혀 없고 편해요4. 편리한 버튼들이 늘었다. 여러 fn키 기반 버튼이 늘었는데요, 블루투스1,2,3을 선택할 수 있는 버튼은 정말 너무좋네요------------아쉬운점은 모든 부분에서 딱 1가지 있는데요그것은 B(ㅠ)버튼 위치 입니다사용하다보면 버릇되서 그렇게 불편하진 않은데, 그래도 신경쓰이기는 해요ㅋN(ㅜ)버튼이 길게 되어 있는데, 이 N(ㅜ)버튼 공간을 절반으로 나누어서 B(ㅠ)와 N(ㅜ)을 넣었다면 정말 100퍼센트 완벽했을것 같아요ㅋ근데 뭐, 현재 상태로만 해도 저한테는 대체불가한 상품이네요ㅋ 이번에도 잘 쓰겠습니다. 고마워요~","['https://phinf.pstatic.net/checkout/20190508_297/1557294634294C9Hv4_JPEG/20190508_143911.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190508_143/1557294647785L8Q6P_JPEG/20190508_143903.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190508_155/1557294657224xL2TB_JPEG/20190508_143856.jpg?type=f287']"
2,"연결도 잘되고 가볍고 다 좋은데
키보드 케이스랑 잘 안맞는 것 같아요
저 튀어나온 고무랑 안맞아서 쫌 끼고 고무가 올라와서 매번 눌러줬어야 했어요
결국 몇번 안쓰고 저 고무가 떨어져 버렸는데
그래서 대칭도 안맞고 불편하네요
다른 리뷰엔 그런말 없는데 불량인가요?
키보드 뺄 때 마다 고장날까봐 노심초사에요
불량이면 교환해주세요","['https://phinf.pstatic.net/checkout/20201009_82/16022159601639JTbL_JPEG/review-attachment-cf16ab74-befd-4be8-9916-019f858050c7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201009_263/1602216084744jo2fP_JPEG/review-attachment-9125de04-e22a-4f90-9843-a75cf29e68c4.jpeg?type=f287']"
4,"아이패드 에어3 사용자입니다. 크기는 노트북 키보드보다 살짝 작은 정도에요 딱 적당한 거 같아요
독서실에서 아이패드로 문서 작성하기 너무 힘들어서 샀는데 소리는 작지는 않아요 영상 참고하시면 될 거 같아요 그래도 다이소에서 만능 키스킨 사서 덮었는데 아주 살살 치면 아예 못 쓰지는 않을 것 같네용
그리고 -블루투스 연결이 약하다고 하시는 분들이 있었는데 저는 딱히 못느꼈어요 그리고 입력 딜레이도 없이 타자 치는대로 바로바로 입력됩니다 아무튼 소리가 조금 아쉽긴 한데 그래도 가볍고 들고다니기 편해서 만족해요!","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_04_22_0/80bf112f-848a-11ea-9af8-48df379cca40_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200422_80/1587554119390vmUVh_JPEG/KakaoTalk_20200422_201124256.jpg?type=f287']"
4,바로배송이라 하루만에 와서 기뷰니 조아용 상품도 패키지 깔끔하고 배열도 크게 불편하진 않아서 오자마자 사용해봤는데 만족스럽네요^^ 근데 케이스가 좀 빡빡해서 고무패드가 살짝씩 밀려있어요 아주 약-간 공간이 부족해요 ㅠㅜ 그래서 별하나 뺍니다 특이한건 케이스 뚜껑이 반대로 열리네요 힘으로 열다가 부러트릴뻔 했네요;; 상품은 만족스럽스니당:-),['https://phinf.pstatic.net/checkout/20201110_263/1604997620626sf0U6_JPEG/review-attachment-14ee765d-81c8-45e1-9fe0-db0f48d6dfa5.jpeg?type=f287']
5,원래 작년이즈음 사서 잘 쓰고 그랬는데 너무 많이 사용하고 자주 떨어뜨려서 그런지 자판 인식이 좀 안되는현상이 생겨서 그냥 새로 구입했어요 사용해보고 너무 만족해서 고민없이 주문했어요. 처음 살때는 진짜 후기 하나하나 다 읽어보고 구입한건데 재구매는 고민없이 딱보고 구매했네요. 전에 친구 선물하려고 3달전인가 구매할때는 단종떠서 정말 아쉬웠는데 신모델(신모델이 맞는지는 모르겠네요 저번에 산거랑 디자인이랑 기능면에서는 크게 달라진건없어보여요)이 나올려고 그런건지 지금 재고가 있기에 넘 좋아서 앗싸 구매했어요. 암턴 고민하지마시고 사세요. 정말 만족하고 쓰는중이에요 이거 지금 후기쓰는데 핸드폰으로 클릭함 오래걸리는데 자판으로 치니 얼마 안걸리고 넘 좋아욧 고장나면 또 구매할거니 꼭 오래오래 판매해주세요,['https://phinf.pstatic.net/checkout/20200401_95/1585700844047lM202_JPEG/20200401_092625.jpg?type=f287']
