star_point,comment,photo
5,"일반 키보드와 같은 크기의 키와 배열, 부드러운 키감과 반응, 편리한 여타 기능키들이 모두 사용하는 동안 즐겁게 해줍니다.

여러모로 매우 만족스러운 가운데 키가 모두 동일 간격으로 모여있는 점과 표면의 촉감이 동일해서 키보드 전체에서 본인의 좌표를 잡기가 난해합니다. 약간씩 그룹별 간격이 있던가 특정 키 위에 돌기가 있어 좌표를 잡는데에 도움이 되었으면 합니다.
그리고 특수키들이 일반 F1~12키보다 선행하여 작동하기에 Fn 키를 동시에 눌러야만 하는점이 아쉬우며 이 부분이 서로 반대가 되거나 특수기능이 없었다면 매우 노멀하고 널리 사용될 수 있을 듯 합니다.

개인적으로 책상위의 공간을 활용하고자 구매하였으며 이에 대하여 상당히 . 공간활용과 디자인, 가성비등에 있어서 상당히 즐거움을 주는 상품이네요.","['https://phinf.pstatic.net/checkout/20201020_123/1603184152807az7jU_JPEG/review-attachment-68e2434d-32b3-4e5d-8cb1-d0d927d36ba6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201020_229/1603184152955ukozw_JPEG/review-attachment-c8a5d4d9-f9a0-42c4-b49d-56e65851302a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201020_134/1603184152842gVVnB_JPEG/review-attachment-0a77c62f-0c65-4b78-bd30-5807f9e550ba.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201020_156/1603184152977j6kM1_JPEG/review-attachment-1dfc5da2-a8c0-4077-96ac-ceb4030a8bb7.jpeg?type=f287']"
5,"택배가 예상보다 하루 늦게 오긴 했지만 기다린 보람이 있어요💚💚
가격대비 퀄리티 너무 좋고, 블투 키보드는 휴대용으로 많이 쓰니까 아무래도 무게가 중요한데 개인마다 차이 있겠지만 저한텐 가볍게 느껴졌어요! 실제로 가벼운 무게이도 하고요~
그리고 무엇보다 키보드니까 당연 키감이 젤 중요하죠~! 키감은 지 기준 부드럽게 눌리고 조용한 편이에요! 근데 또 너무 밋밋할 정도로 조용한 것도 아니고... 뭐랄까 몰라요 망가지면 당장 또 살거에요 뭐 이런느낌? 날 쳐줘요 이런느낌?
무튼 디자인도 ~!~!~!
근데 담에 구매할때는 박스 하나 더 포장해주시면 좋을듯 해요😊 많이 파세요!!","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_04_08_0/c0f8a577-7940-11ea-8992-505dac8c381b_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200408_59/1586312929581VwhP3_JPEG/BD58F3F1-48EB-4B48-9CE4-EF134B74491A.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200408_291/1586313160707iOOl9_JPEG/E1F81CCA-9849-4E15-9C1A-D1C75B3118E5.jpeg?type=f287']"
5,연휴때문에 조금 늦게 왔지만 가격대비 마음에 들어요. 크기도 적당히 작고 키감은 약간 푹신푹신..? 해서 신기해요. 키배열도 좋아요. 소리는 동영상 첨부했으니 한 번 보시고 이상하게 새로고침을 하려면 fn을 누르고 f5를 눌러야 하더라고요. 보통 반대 아닌지..? 이것만 빼면 가성비 진짜 괜찮은것같아요.,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_07_0/66ebec44-0877-11eb-9072-505dac8c385b_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201007_272/1602059471299nUcKG_JPEG/review-attachment-98291160-e74e-478f-903f-1b16f32d7beb.jpeg?type=f287']"
5,빨리왔네요! 후기에 페어링 잘 안되다는 글도 있어서 걱정했는데 노트북 아이패드 둘다 뚝딱 잘 되네요 ! 제가 손가락 관절 때문에 멤브레인 형식 블루투스 무선 키보드를 정말 열심히 찾았거든요! 역시 키 누르는데 훨씬 부드럽고 좋네요 ~ 다만 수령했을 때부터 왼쪽 모서리 찍힘이 있어서 아쉽네요 근데 급하게 써야해서 일단 씁니다~,"['https://phinf.pstatic.net/checkout/20201006_222/1601992629109s4Q7V_JPEG/review-attachment-56dc0bd6-a6cf-42e1-bff4-e3b4710ca183.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201006_201/1601992629183EwFPo_JPEG/review-attachment-cfc7ecd0-abfa-426e-8b9f-c3defdf23098.jpeg?type=f287']"
4,맘에 들어요 무게도 괜찮고 크기도 적당하고 배터리도 따로 주시고 그런데 사용법대로 페어링 하려고 뒷 부분 누르고 깜빡이면 fn1 fn2 눌렀는데도 안바뀌네요ㅠㅠ 누루면 순간 먹통돼서 다시 연결해야돼용.. 제 방법이 잘못됐나여.. 방법 자세히 알려주세요ㅠㅠ,"['https://phinf.pstatic.net/checkout/20200318_63/1584528492768H68Pc_JPEG/E8F30BF2-8A01-4F79-8413-76CAE43B072A.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200318_171/1584528494037vRGGe_JPEG/B6C2A1AF-E129-43F3-84CA-E4AC709B0829.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200318_13/1584528494331st31B_JPEG/89BB1D13-57EE-4763-95EE-7F441F209A3B.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200318_231/1584528494187zM7NN_JPEG/109E8B4A-A2C0-43CA-AFBC-2B5D5DD904C8.jpeg?type=f287']"
4,"배송도 포장도 깔끔하고 빨랐습니다. 파손도 없이 잘 왔구요. 크기도 적당하고 무게도 적당해서 무겁게 느껴지지는 않고요 키감이 잘 쳐지는데 가볍다는 느낌은 아니에요 가벼운 키감의 키보드만 쓰셨던 분들은 살짝 묵직하다(?)라는 느낌이 드실 수 있을 것 같아요. 그리고 노트북은 복사,붙여넣기가 되는데 아이패드는 복사,붙여넣기 ctrl+c,v가 안되는데 제가 못 하는건지...아님 아이패드는 안되는건지 모르겠지만 그 의문 말고는 다 마음에 듭니다. 소리도 크다고 해서 걱정했는데 생각보다 그리 크지 않았어요!","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_04_05_0/898b45f7-7692-11ea-8773-505dacfba98a_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200405_60/1586018221168lUujP_JPEG/20200404_233622.jpg?type=f287']"
3,"하루종일 노트북에 연결해서 문서 작업하는데 ᄒᆞㆍㆍㆍㆍㆍㆍㆍk..........이거 보이시나요 이 키보드 왜이렇게 뭐 하나를 누르면 다른 키 누르기 전까지 쭈우우욱 눌러집니다;;; 안그럴때도 있는데 하루 써봤고 오늘만 한 6번?째인 듯 진짜 이럴때마다 빡치긴하는데 가격 때문에 이해하려고는 함 그리고 다른 거 또 사기 귀찮음.
페어링하는거 난 뭐 어떻게 하란건지 순서를 구체적으로 알려주지 않으니 나는 한시간 넘게 거림 (방법 인터넷에서 찾느라)
fn키랑 1이던 2이던 3이던 누르고 와이파이 그려진 그 거 누르고 블루투스 검색해서 연결해야한다는거 다들 모르면 고생좀 할거임 나만 그런건지 모르겠음 무튼 나는 이게 설명서도 없고 내가 검색해가지고 찾아서 좀 오래걸려서 빡쳤음. 그래도 연결하니 페어링 잘되는거같음
역시 문제는 버벅거리고 안눌렸다가 갑자기 몰아치듯이 쳐진다는거랑 ddcjfja ====처럼 존나눌린다는거고 더 빡치는건 지우는것도 다 지워진다는거임 하.. 한글파일은 컨트롤 제트 눌러서 돌아가기라도 되지 진짜 개빡치는 순간 하루안에 이글 적으면서도 몇 번이냐 진짜........ 뭐가 문제야 도대체 원래 이래요? 그거 빼고 다 만족함 무게도 나쁘지 않고 .


아나 리뷰쓰면서도 한 글자 개많이 쳐지는거 그냥 그대로 올리려했는데 동일 글자는 4글자 이상 쓸수 없다네.. 적당히 지워서 올림


+) 교환 받았는데 새 제품이 왔습니다. 예전보다는 버벅거림이 적어지긴 했지만 여전히 조금만 거리가 생겨도 뭐 어떻게 하다보면 ㅇㅇ이렇게 쳐집니다 근데 이제는 그냥 해탈한건지 적응이된건지 ㅇㅇ이렇게 쳐질때 노트북으로 가까이 가져가면 잘돼요 ㅋㅋㅋ모르겠습니다. 그래도 괜찮게 쓰고있어서 뭐 후회는 안합니다 나중에도 그냥 이거 또 사지 않을까싶습니다.",['https://phinf.pstatic.net/checkout.phinf/20200425_179/15878045612296Cxjk_JPEG/image.jpg?type=f287']
5,"노트북 키보드만 쓰다가 블루투스 키보드는 처음 써봅니다. 그래서 높이가 약간 높아서 처음에 손목이 약간 아팠는데 한 주 써보니 지금은 적응 됐어요!
버튼이 약간 높긴 합니다. 좀 기계 자체가 낮으면 좋겠어요.
아이패드에 쓰려고 샀는데 너무 편하고요. 전원만 키면 3초 이내에 연결되고 안쓰면 끊겼다가 아무 버튼 누르면 또 3초 이내에 연결 바로 되네요.
무게도 적당히 가볍습니다. 고장 잘 안날 거 같아요. 이 가격에 아주 만족합니다. 잘 쓸게요ㅎㅎ
(한영 전환은 ctrl+스페이스 바로 씁니다. 이렇게 하면 caps lock도 쓸 수 있어요. 이것도 쓰다보니 큰 불편함 없이 느껴집니다. 드려요^^)",['https://phinf.pstatic.net/checkout/20200427_254/15879627226139gfhs_JPEG/DA44E2EA-50C0-4E92-B883-E1DEAF7B7AFD.jpeg?type=f287']
4,"맥북이랑 연결해서 현재 잘 사용중입니다! 키보드로 리뷰 작성중이네요.ㅎㅎ
맥북의 command 기능을 키보드에선 윈도우 모양 키가 역할을 합니다.
저는 사이즈를 확인 안하고 샀는데 생각보다 크기가 크네요. 저는 방안에서만 쓸 계획이라 괜찮은데, 카페나 외부에 들고다니실 용으로는 조금 클듯 싶습니다. 키보드 키감이랑 다 좋은데 평소 사용하던 규격과 조금 다른것같아 익숙해질 필요가 있겠습니다. 근데 누르는 키감은 정말 베스트인듯. ㅎㅎ",['https://phinf.pstatic.net/checkout/20201112_292/1605171443132jL5o0_JPEG/review-attachment-2880c51e-a8a6-4e9c-8828-41dd38a8899e.jpeg?type=f287']
5,"키보드는 노트북 키보드 크기랑 같아요.
크기가 적당해서 너무 맘에 드네요ㅠㅜ
버튼도 잘 눌리고 쫀득 쫀득한 느낌이에요.
그래서 타자치는 재미가 있네요ㅎㅎ
키보드 노트북이랑 연결할때 어려움이 있었는데 연결하고 나면 편히 사용할 수 있어요.
맨 처음에 블루투스 연결해두고 다음부터는 Fn+1번 3초정도 눌러주면 알아서 연결이 돼요",['https://phinf.pstatic.net/checkout/20201108_273/1604820735947jlMoA_JPEG/review-attachment-0c8b1152-4420-4002-8717-a88bddc97f4f.jpeg?type=f287']
