star_point,comment,photo
5,"맥에서 사용할 수 있는 가성비 키보드가 많지 않은데
가성비로 괜찮은 모델이라는 생각이 듭니다.

저는 현재 로지텍 K780을 맥북에어에 사용하고 있고,
맥북 프로를 사용하고 있는 직원에게 사주었습니다.

로지텍 K780과 비교해 보겠습니다.

1. . 가격 차이가 있으니... 이 제품은 싼마이 느낌이 나는데 만듦새는 나쁘지 않습니다.

2. 연결성도 K780이 딜레이도 덜하고 기기전환도 빠릿하게 됩니다. 그렇다고 이 제품이 나쁘다는 건 아니에요. 처음에는 타자 딜레이가 약간 있었는데 사용하면서 딜레이가 줄어드네요.

3. 타건감 약간 가벼운 듯 통통 튀는 타건감이기는 한데... 그렇게 나쁘지는 않습니다.

4. 키배열은 이 제품이 더욱 좋은 것 같네요. 커맨드, 옵션, 컨트롤 등등이 맥과 완전히 일치하고 상단 기능키도 맥과 동일하여 다 사용할 수 있습니다. .

5. 로지텍은 3대까지 멀티 연결이 가능한데 이 제품은 4대까지 멀티 연결이 가능하네요. 물론 맥 전용 제품이니 애플계열에 좋겠지만 안드로이드폰이나 윈도우 노트북에서도 써 볼수는 있지 않을까... 합니다. 테스트는 안 해봤어요~

결론,
여러가지 장단점들이 있지만 맥 전용으로 사용하기에는 이만한 가성비 제품은 없는 듯 합니다.

장기간 사용해보면서 고장, 연결성 등에서 문제만 생기지 않으면 참 좋은 제품이라 생각합니다.",['https://phinf.pstatic.net/checkout/20201014_170/1602649294409EHCTT_JPEG/review-attachment-415cd3fd-960d-4765-9e54-29c504859135.jpeg?type=f287']
5,"저한테 중요한 부분은 애플사 키보드냐 였어요. (Option과 command키) 또, 키감이 나쁘지 않고 디자인도 맥북과 잘 어울려요. 블루투스 키보드치고 페어링이 늦지 않아서 좋았어요. 저는 맥북과 아이패드를 연결해서 쓰고있는데 각각 개별 기기 연결버튼이 있어 따로 블루투스를 켜거나 끄지 않아도 되서 편해요. 들고다니기에는 크지만 저는 집에 놓고 듀얼모니터 쓸 때만 사용하려고 산거여서 괜찮아요! 크기 참고하세요","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_07_28_0/c8059476-d0b8-11ea-8d5c-48df37ae3fca_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200728_182/15959302445777rnaz_JPEG/review-attachment-10228a57-8111-4f3e-9b0f-8437b1c77dfd.jpeg?type=f287']"
4,"디자인이 깔끔하고 사용감이 굉장히 좋았습니다! 끊김현상도 없었구요.

다만 사용하면서 아쉬웠던 점을 꼽자면
1. fn키가 없음
: 단축키 사용하면서 종종 사용하게 되는데 그게 좀 아쉬워요.
2. 스페이스 바의 길이가 너무 긺
: fn키가 없고 상하좌우키(?)가 우측으로 빠진 형태여서 그런지 스페이스 바가 좀 길어서 자꾸 그 길이를 망각하고 실수로 계속 치게 되는 점..?
입니다. (손 크기는 여자 손 중간 정도 됩니다.. 그냥 제 손가락이 짧은 걸 수도..ㅋㅋ)
3. 움직임이 없을 시 블루투스 끊김 시간이 조금 짧음 조정할 수 있으면 좋겠네요..!

이 세 가지 외에는 사실 너무 :) 고민하시는 분 있으시면 추천 드립니다!",['https://phinf.pstatic.net/checkout/20200603_66/1591174438092rs0Ys_JPEG/619DF250-BEC6-4A1F-B56C-AFE714579E6E.jpeg?type=f287']
2,"저렴하고 디자인도 깔끔하고 상품평도 좋아서 구매했습니다.
심지어 타건감도 가격대비 괜찮아요. 그런데 이 부분은 다른 이용자분들을 위해서라도 꼭 리뷰에 남겨야할 것 같아 올립니다. 꼭 참고해주세요! 제가 타자가 조금 빠른 편이지만 수십년만 다른 컴퓨터 사용에 아~무런 영향을 주지 않았습니다. 그런데 이 키보드는 타자를 못따라오고 조금만 빨라지면 끊기거나 ㅔㅔㅔ 이런식으로 자기 혼자 마구 눌러지며 에러 돌기 일쑤입니다. 얼마 전에 직접 비프렌드에 말씀 드렸더니 해당 측에서 회수해 점검해봐주시겠다고 하신 다음, 새 상품으로 주셨는데 결국 똑같습니다.. ^^ 그냥 상품 자체가 그런 것으로.. 또 끊길까봐, 문제 생길까봐 조마조마해서 지금은 결국 맥북 자체 키보드 씁니다. 괜찮게ㅔㅔ 쓰고 계시는 (<- 방금 또 에러나서 마구 눌러진 것) 분들 신기하네요.. 저는 두번이나 새 상품으로 썼는데 계소ㅗㅗㄱ 불편을 겪고 이ㅣㅣㅆ어서요!",[]
1,"7분 지나면 유실되는건 알겠는데요, 아무리 임의 키 눌러도 재 연결이 안됩니다.
키보드 전원을 껐다키라고 하시는데 그래도 안돼요...노트북 전원까지 껐다켜봤는데 제가 그것도 안해봤겠나요...(사용기종 맥북프로)
그리고 7분 지나지도 않았는데 갑자기 버벅거리면서 렉먹더니 글자가 마구잡이로 써지기도 해요 이건 왜 그런거죠?
그리고 어제 배송받았는데 이렇게 검정색으로 긁힌건지 받았을때부터 이렇게 상처도 나있네요.",['https://phinf.pstatic.net/checkout/20200826_282/1598429550663puVwy_JPEG/review-attachment-480bfeed-7a4e-4a04-9b76-8023a73839a4.jpeg?type=f287']
4,"맥북 프로 16인치 가위식 키보드의 쫄깃한 키감이 너무나 맘에 들었던 1인이라 사실 기대없이 이 키보드를 구매했습니다. 아시다시피 가격이 합리적인(?) 편에 속하는게 결정에 큰 몫을 했죠. 근데 비프렌드 사용하고 사실 좀 놀라고 있습니다.ㅎㅎ 쫄깃함과는 또 다른, 부드럽고 폭신한 키캄이라고밖에 어떻게 표현해야할지 모르겠지만 여튼 무척 맘에 드는 키감이에요 사용 편합니다. 다만, 아티클 읽는 등 키보드 터치하지 않는 시간이 몇 분으로 길어질때 금방 유실되는게 조금 안타까워요 ㅠ 그래도 엔터키 하나 누르면 금방 연결되니까 나름 만족하고 쓰는 중입니다 ^^",[]
5,"상품평이 좋은 이유가 있네요.. 디자인이 깔끔합니다. 전에 애플 유선키보드를 사용했었는데... 두께의 차이는 있지만 비슷한 유형입니다. 저는 함께 판매되고 있는 키스킨을 구입하여 사용합니다. 오래 사용하다보면 의외로 키보드 사이에 이물질이 들어가더라구요. 자판과 키스킨이 아주 밀착력이 좋아서 왠간해선 떨어지지 않을 것 같습니다. 물론 처음엔 키스킨으로 인해 타격감이 키스킨 없이 사용하는 것에 비해 좋지 않은 느낌이지만... 시간이 지나니 이질감이 줄어드네요. 아래쪽 자판의 두께입니다. 위쪽은 좀 높게 되어 있구요. 자판의 높이 조절은 한단계로 조금 더 높일 수 있습니다. 한 단계 높인 모습입니다.배터리는 aaa사이즈 2개 들어갑니다. 배터리는 제공되는데... 저는 다른 배터리로 사용하고 있습니다.키보드 밀리지 않도록 고무가 전체 6개 장착되어 있습니다. 그리고 키보드를 한 단계 높이는 부분에도 고무 받침을 넣어 놓은 점에 세세한 부분까지 신경을 썼다는 느낌을 받게 되었습니다. 우측은 키보드 전원입니다. 주로 문서를 사용하는 편인데... 기본은 맥, 윈도우 노트북, 패드, 그리고 맥북까지 4대를 운용하고 있습니다. 단점은 문서를 작성하다가 조금 다른 것을 하다가 다시 문서 작성을 하려고 하면 페어링이 곧바로 되지 않고, 약간 2-3초의 딜레이가 있는 점은 좀 아쉽습니다. 이렇게 페어링이 될 때 led가 점등됩니다. 1번 아이맥, 2번 윈도우 노트북. 전에 로지텍 810을 만족하며 사용했었습니다. 쫀득한 느낌과 백라이트, 그리고 3대의 멀티페어링... 한가지 아쉬운 점은 이동성은 최고인데... 숫자를 넣어야 할 때 좀 불편했습니다. 그래서 이후 유선 애플키보드를 사용해 왔었습니다. 2-3년 정도? 그런데 다른 기기를 사용할 때마다 유선 키보드가 좀 걸리적 거렸습니다. 유선으로 전혀 간섭이 없는 곳에 두는 것에 대한 한계. 그래서 좀 저렴한 로지텍 멀티페어링 되는 블투 키보드를 영입했는데... 타격감이 정말... 그래서 다른 제품을 알아보다가 비프렌드 bt460에 대한 평이 좋아 반신반의하며 구입했는데.... 앞서 언급했듯이 잠깐 다른 일을 하다가 문서를 작성하려고 할 때 곧바로 페어링이 되지 않고 딜레이 되는 점만 제외하면 아주 만족하며 사용하고 있습니다. ^^","['https://phinf.pstatic.net/checkout/20180314_31/1520995923602RUBKO_JPEG/KakaoTalk_Photo_2018-03-14-11-49-19_22.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20180314_115/1520995923763gRKTD_JPEG/KakaoTalk_Photo_2018-03-14-11-49-17_40.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20180314_52/1520995923883SxYcl_JPEG/KakaoTalk_Photo_2018-03-14-11-49-09_10.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20180314_74/1520995924038I69hM_JPEG/KakaoTalk_Photo_2018-03-14-11-49-07_8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20180314_179/1520995924149yAtxR_JPEG/KakaoTalk_Photo_2018-03-14-11-49-10_66.jpeg?type=f287']"
3,"저렴하게 잘 산 것 같습니다.
다만 키가 하나 삐뚤어져 있는게 있어요ㅠㅠ 교환은 번거로워서 그냥 쓰려구요..
키는 문제없이 작동합니다. 건전지가 들어있어서 바로 쓸 수 있는 점이 편합니다. 블루투스 연결도 바로 되었구요..!
잘 사용하겠습니다.","['https://phinf.pstatic.net/checkout/20200408_18/1586336839289aBaYf_JPEG/D2E17F4B-A59C-4321-B26F-68949E61E698.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200408_50/15863368390834fEYi_JPEG/CF0AF861-1E92-42C2-92E9-8736A99F41EC.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200408_150/15863368392325NGS2_JPEG/C205C3C3-E605-475C-B8C7-21E62E873EEE.jpeg?type=f287']"
5,"디자인도 이쁘고 연결 끊겨도 키 하나 누르면 금방 돌아옵니다.
다만 맥북 터치바 모델은 펑션키 사용이 불가한게 아쉽네요.. 차라기 기본세팅이 F1~F12 였으면 좋았을 것 같습니다.
아 그리구 키스킨 주문하시면 포장 뜯을때 조심하세요 ㅜㅜ 포장 뜯다가 같이 찢어져버려서 없이 쓰구 있네요..",[]
4,"장점은 가성비 괜찮고 연결도 손쉽게 되고 배터리도 같이 들어있다는 점입니다. 배송도 빨랐구요

단점은 키감은 그리 좋진않네요 애플매직키보드보단 좀 힘이 들어가고요 연결이 잠깐씩 끊어질때가 자주있어요 이건 블루투스제품들 다 그런것같긴 합니다만

그래도 가성비생각하면 쓸만한 제품같아요 ^^",['https://phinf.pstatic.net/checkout/20200522_240/15901312845905EvsH_JPEG/20200520_110956.jpg?type=f287']
