star_point,comment,photo
5,"몇해전 플런저 키보드가 대세일때 저는 컴퓨터에 관심이 없었는데,

한달전쯤 지키보드1을 호기심에 중고로 구해 써보고

타건감이나 소리가 너무 마음에 들어서 이 모델에 LED가 들어오는

새제품을 구입하고 싶어서,

인터넷으로 지키보드2 프리미엄 이중사출 모델을 구입했었습니다.

(정확히는 ST 모델이 올꺼라 생각하고 주문한 것이었습니다 ㅡㅡ)

근데 깜짝 놀란게 지키보드1과 키감이 너무나도 다른겁니다.

완전 맴브래인 인데 키압만 더 높아져서 손가락만 아팠습니다.

키캡을 빼 보니 러버돔 결합방식이 달랐습니다.

상심해 있던중 이 레인보우 모델을 보는데

예전 지키보드1 키캡과 같은 모양에 러버돔 모양도 같아 보여,

구입하게 되었고, 제가 찾던 어느정도 지키보드1이랑 비슷한 키감에

소리가 나는 LED 들어오는 모델을 구입하게 된거 같아

다행스럽고 만족스럽습니다. 아쉬운점이 있다면 화이트 색상을

구매 하지 못한게 아쉽네요. 그리고 다른 인터넷쇼핑몰에서

ST모델을 구입하고 싶었는데 거기서 주문해도 결국

프리미엄 이중사출 모델이 오게 될까봐 ㅡㅡ... 비프렌드 공식홈에서

주문하게 되었네요. UV 키캡이라 디자인도 프리미엄 이중사출에

비해 훨씬 이쁩니다. 근데 4만원대에 이 키보드를 산듯한 느낌이

드네요ㅠ 여튼 한을 푼거같은 느낌이 들고 만족스럽게 아주 잘

간직하며 쓰겠습니다. 귀사의 발전을 기원합니다.","['https://phinf.pstatic.net/checkout/20200723_97/1595489865796f7Em9_JPEG/review-attachment-7f54140a-f4c7-4666-8277-912e0255dce8.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200723_43/1595489871889MuDGo_JPEG/review-attachment-e8b6eecb-6651-41e3-b9d8-d0c969607b68.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200723_112/1595489876117EotKF_JPEG/review-attachment-ec60c5e8-bc3f-4e0b-b6d7-f3ba8d0b1a7b.jpeg?type=f287']"
5,플런저 키보드가 유행이 지나버려 안타깝습니다ㅠ 대중의 선호와 관심에 따라 자본이 움직이는게 마땅하고 저는 힘없는 소비자이니^^;; 자연스래 단종이 되겠죠?.. 저는 무게 높은 타건감이나 큰 타이핑 소리에 만족하지만 강요하고 싶지는 않네요. 잘쓰고 있습니다~,"['https://phinf.pstatic.net/checkout/20200825_95/1598328954309tx9yI_JPEG/review-attachment-3fb96648-be87-463b-92fa-f640d9a3ffbc.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_41/1598328954338tT1rn_JPEG/review-attachment-1b1d0242-b8c6-4d0a-b018-4bf6fc54c7c0.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_92/1598328954440bwwxE_JPEG/review-attachment-da3358a1-6b4c-449e-9da8-f28124a9001c.jpeg?type=f287']"
5,"코로나 때문에 아들이 게임을 많이 하다보니 앱코 키보드를 쓰다 1년이 되자마자 몇개의 키가 제대로 작동하지 않아 아들이 찾아보고 사달라고 요구한 키보드입니다.
멤브레인 키보드라며 내구도가 좋다며 나름 여러개를 찾아보고 가격대비 성능을 비교하며 선택한 키보드입니다.
일단은 며칠 써보니 새 키보드를 쓰고 게임 점수가 올랐다며 대만족이라고 합니다.
1년만에 고장나는 일이 없기를 바랍니다.
많이 파세요!~","['https://phinf.pstatic.net/checkout/20200913_133/16000084349982yKL3_JPEG/review-attachment-fcbeb84b-2cca-4448-9929-aab1f6fe3967.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200913_60/1600008529059QFeNz_JPEG/review-attachment-6b3416be-1705-42c7-9bec-2dcf62a069d1.jpeg?type=f287']"
5,제품은 진짜 좋아요 배송이 좀 .. 보통 하루걸리던데 여긴 이틀 걸려요 판매자분은 일찍 상품 보내는거같은데 배송사가 늦게 보내줍니다 ㅠ 혹시 다음날 받으셔야 하는 분은 고려해보시는게 좋을 것 같네요 . 제품은 너무 만족스럽네요 최고에요 배송때문에 조금 상심햇는데 제품 받고 싹 사라졌어요 추천합니다 광이 나서 매우 깔끔한 비쥬얼이며 타건감도 너무 좋아요 타건소리도 엄청 큰 편도 아니에요 잇는편이에요 사진보다 실물이 더 최고에요 리뷰 사진들 보다 더 예뻐요 다른키보드 비교불가,['https://phinf.pstatic.net/checkout/20200720_57/1595233274069MLavf_JPEG/review-attachment-72c6bc11-1fa1-4a05-8eeb-a634983fb963.jpeg?type=f287']
5,나머진 품절이라 반강제로 블랙으로 샀지만 너무 만족해요 기존에 쓰던 일반 키보드보다 더 높아서 좋고 led색상도 한가지만 있는 키보드에 비해 많고 조명 조절이나 끄고켜기가 가능해서 마음에 듭니다 가성비 너무 좋은 제품이에요 아쉬운 점은 재입고가 되지 않는 점 밖에 없네요,"['https://phinf.pstatic.net/checkout/20190904_257/1567589216836BecW4_JPEG/20190904_182051.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190904_92/1567589225462ttsjM_JPEG/20190904_182627.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190904_140/1567589232005G9VQL_JPEG/20190904_182640.jpg?type=f287']"
5,배송도 빠르고 포장도 잘 되어 있었지만 무엇보다도 좋았던 건 키감이 진짜 너무 좋다는 점입니다! 맥북 쓰면서 특유의 키감이 마음에 안들어서 키보드를 찾고 있었는데 소음이 심하지도 않으면서 부드럽게 눌리는 것이 너무 마음에 들었습니다!,[]
5,아버지께 선물해드렸는데 led 나와서 밤에 쓰기 좋았지만 키보드가 블랙이라 불빛이 나와도 어디있는지는 찾기 어렵다네요ㅠㅠ 아직 독수리타법이시라... 한달 넘게 사용했는데~ 약간 누르는 느낌과 소리가 나는 게 질리지도 않고 타이핑이 되고 있다는 인식이 되어서 정말 좋습니다ㅎㅎ,['https://phinf.pstatic.net/checkout/20200319_93/1584580665524tzue8_JPEG/4DCF5476-C039-4EF1-A277-887348C1BDF5.jpeg?type=f287']
5,"키보드 생각보다 소리는 크고 샷건같은거나 빡칠 때 치는데 단단해서 좋습니다 한달이상정도 썻는데 3달째 쓰는중인데 쓸만합니다 이정도 가격에 감사합니다 앞으로 망가지면 바로 살게요
그리고 여러가지 색갈이 바뀌는데 정말 좋아요 몰컴 중이라 화면은 좀
검은색입니다","['https://phinf.pstatic.net/checkout/20191102_224/15726383222544qXN1_JPEG/KakaoTalk_20191102_045640229.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191102_289/1572638368259iqVIU_JPEG/KakaoTalk_20191102_045915510.jpg?type=f287']"
3,"싼 것엔 이유가 다 있습니다.
소리는 약간 크고 키감도 괜찮습니다. 하지만 꽤 자주 스페이스바가 2번 입력되고 특수 문자들도 이러한 현상들이 있습니다. 처음에 받고 썼을 땐 T키가 입력이 잘 안되어 꾹 누르어 해결했었습니다. 꽤나 불편한 점이 있습니다만, 싼 것엔 다 이유가 있습니다.",[]
5,"예전 게임을 중,고 시절 때 만큼 안해서 요즘 유행하는 게임들은 안해요. 그래서 제가 주로 하는 게임 하면서 느낀 바로는 터치감 이나 소리 탁탁 거리 소리 등 괜찮구요. 반응 속도도 제가 느끼는 바로 좋은 것 같네용. 조금 더 써봐야겠지만 가격대비 만족 합니당. 배송도 빨라서 2일? 만에 왔어용. 강추 ㄱㄱ",['https://phinf.pstatic.net/checkout/20191109_297/1573286813280EeXfh_JPEG/20191109_164052.jpg?type=f287']
