star_point,comment,photo
4,"정말 고요~한 사무실에서 일하는 여자친구의 선물용으로 구매를 해봤습니다. 무접점을 살까도 고민했는데 그정도로 숨막히는 분위기인가 생각이 들어서 팬타그래프 키보드를 선택하게 됐는데요. 결론적으로 usb포트가 요구되는 업무라는 점에서 이 키보드는 상당히 유용했고 결정하는 중요한 포인트였어요. 어차피 업무용으로만 사용할 거라 LED는 당연히 필요가 없었구요. 그리고 앞서 언급한 소음 문제도 이전도면 충분하겠거니 라는 생각이 들었습니다. 오히려 멤브레인키보드와 비교해도 조용한 편이라 저소음을 원하신다면 이 키보드가 좋으실거예요. 다만 타감이...개인적으로 닌자 87 게이트론 흑축을 사용하는 입장에서 비교할 건아니지만 타건감이 빈약한건 사실이니까요. 노트북의 자판과 같은 구조여서 심심한 감은 있어요. 근데 뭐 어차피 업무용이고 저소음이 목적이라면 충분하다 생각이 드네요. 물론 커스텀을 마친 흑축만큼 타건감 좋고 저소음인 건 없지만요. 개인적인 취향입니다ㅎ (해당 키보드는 스위치 윤활, 스테빌라이저 구리스, 오링, 2중 흡음재까지 완전 커스텀을 마쳤을 때 이야기입니다. )","['https://phinf.pstatic.net/checkout/20200403_161/1585906909454O5qxk_JPEG/IMG_4989.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200403_112/1585906909267YOUJb_JPEG/IMG_4986.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200403_190/1585906909541zbCYs_JPEG/IMG_4992.JPG?type=f287']"
5,제가 맥북을 쓰다보니 그 키감을 너무 좋아해서 회사에서도 펜타그래프 키보드 사용하고 싶어서 계속 찾아보다가 타사제품 구매했는데 실패하고 비프렌드꺼를 사봤는데요. 정말 제가 찾던 딱 그키감이에요ㅠㅠ 플라스틱같이 가벼운 느낌은 싫은데 이거는 안그렇고 딱 노트북 키감에 예쁘고!! 확실히 키스킨을 안끼는게 느낌은 더 좋습니다. 키캄을 더 느끼고싶으면 안끼고 저소음을 원하면 끼는게 좋은거 같아요!! 앞으로 계속 비프렌드 제품만 사용할것같네요,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_18_0/1f1658e8-f941-11ea-8928-a0369ff94f34_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_18_0/2b8bbd09-f941-11ea-8be1-48df37ae3dc4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200918_239/1600386837450c4d3i_JPEG/review-attachment-cf1bef8a-852b-406c-bf46-3f0b000fb162.jpeg?type=f287']"
5,"1. 디자인 : 딱 제가 찾던 얇은 스타일로, 전체적으로 세련된 느낌이 듭니다. 실버색상이 싼티나지 않고 고급스럽습니다. 사진은 키스킨 씌운 모습과 안씌운 모습 비교입니다.

2. USB허브 : 제 주된 구매 이유는 디자인과 팬타그래프 키보드 였습니다. 근데 USB기능이 생각보다 매우 편리합니다. 데스크탑에 USB를 꼽기위해 허리 굽히지 않아도 됩니다. 봐서 마우스도 무선마우스로 바꾸고 키보드에 꽂아도 좋을 것 같습니다.

3. 키감, 사용기 : 배송받고 약 4일 동안 몇 시간씩 써본 결과, 익숙한 배열로 금방 무난하게 적응했습니다. 하지만 얼마 안되서 인지 아직 오타는 나는 편입니다,,

키감은 팬터그래프 답게 정말 쫀득한 키감이 느껴집니다. 후기에 키스킨이 단단하다는 얘기가 있던데 약간 그런 편인 거 같기도 합니다.

그래서인지 키스킨을 씌웠을 때와 안 씌웠을 때 타건감도 약간 다릅니다. 씌우면 조금 더 힘이 들어가는 느낌이 나요.

안 씌운 게 맘에 들지만 아직 구매한지 얼마 안 되었으니 얌전하게 덮어두고 쓰려고 합니다,,

4. 영상은 키스킨 유무가 얼마나 차이나는지 확인해보세요. 키스킨을 씌우면 정말 조용히 타이핑 할 수 있어서 좋습니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_08_23_0/98158c90-c5a7-11e9-8be3-48df37269ee2_07.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_08_23_0/094b4239-c5aa-11e9-8670-48df37269fd0_09.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190823_282/1566565882898RNTUM_JPEG/IMG_2123.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20190823_177/1566565894637JTMrB_JPEG/IMG_2129.JPG?type=f287']"
5,"장점 : 솔직히! 예쁘고 본새나서 좋습니다. 묵-직해서 안 밀리고요. 키감도 좋습니다. 좀 깊게 눌러야해서 처음엔 좀 어색했는데 금방 적응이 되네요.
단점 : 키보드스킨을 씌우는 순간.....내가 지금 타이핑을 하는지 소수마공을 연마하고 있는건지 헷갈리게 됩니다. 타이핑의 정확도는 50%이상 떨어지고 손가락에도 힘이 엄청 들어가서 피곤해지더라구요. 그래서 키보드스킨은 먼지덮개로만 사용하고 있습니다. (만족)
키보드 자체는 만족스러워서 재구매까지 하게 되었으니, 한달사용후 제 평가는 별 다섯으로 마무리해봅니다.","['https://phinf.pstatic.net/checkout/20200508_42/1588899289810VbwQq_JPEG/E8A59310-A90A-496F-A46A-96E7A65D6D38.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200508_209/1588899294417JQjwg_JPEG/247DAD90-EEF8-4214-A501-C446CA5EB372.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200508_294/15888992950198hnNy_JPEG/90639B9A-456B-44DD-A55D-BDEC16CF4400.jpeg?type=f287']"
3,"기존kb460 사용중이었고, 키감, 디자인등 맘에 들어서 동일브랜드에서 차기모델을 구매하였습니다. 일단 디자인은 맘에 들어요. 키보드 옆에 usb도 엄청 맘에 듭니다. 하지만 장점이 있다면 단점도 있겠죠. 460은 엘이디 불들어오는데 이건 안들어와요. 그리고 키감도 460이 더 쫀득?한맛에 더 좋네요.ㅋㅋㅋ 그리고 왼쪽 알트키는 너무 작은거 아닌가요 ㅎㅎ 자꾸 한자키를 누릅니다. 숫자패드도 -를 누르고 싶은데 자꾸 +를 누릅니다. 460과 미묘한 사이즈 차이가 있더라구요. 키보드 버튼 사이로 먼지가 들어갈 구멍도 더 커보이구요. 개인적인 소감으로는 460보다 좋은건 uab포트 있다는 점뿐 인 것 같습니다. 그리고f2를 누르고 픈데 자꾸 f1를 눌러서 도움말을 띄우게 됩니다..하..ㅋㅋ 460쓴지 벌써 2년이더군요 ㅋㅋ 초기불량이었던 시프트키말고는 아직 정상 작동하는데(수리보내기가귀찮아그냥사용했어요..), 600모델도 고장날때까지는 쭉 쓸듯합니다. 불만 들어오면 참 좋을 뻔 했어요.ㅋㅋgk5인가 그건 너무 비싸고 usb포트 없고ㅜ 그래도 맘에는 듭니다요 ㅎㅎ몇몇부분이 아쉽긴 하지만;; 퇴근시 먼지들어갈까봐 마음아파요.. 키스킨 같이 살껄 그랬나봐요 ㅎㅎㅎ","['https://phinf.pstatic.net/checkout/20190829_298/1567068658265qaVMy_JPEG/20190828_162228449.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190829_222/1567068676142Gk2WG_JPEG/20190828_162728563.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190829_262/1567068684392ACoc5_JPEG/20190828_162735255.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190829_29/1567068803106p5VK2_JPEG/20190828_162334920.jpg?type=f287']"
5,"받은즉시는 넘버락에만 불이들어와있고 나머지에 불이 안들어와있었고, 넘버락을 눌러도 불이 꺼지지도 않았어요. 그러더니 다음날 보니까 아예 그냥 모든불이 안들어오네요...
일단 키스킨 없을때는 일반 노트북 키보드 수준의 키감과 소리가 나고, 키스킨을 씌우면 정말 무소음수준인데 신축성이 있는게 아니라 너무 단단해서 키감은 너무 뻑뻑하고 손에 힘이들어가요. 스페이스바가 길어서 빠르게 타자칠때 한영키까지 손가락이 잘 안닿네요ㅋㅋㅋ 하지만 장점은 1.고급스럽고 깔끔한 디자인 2. 쉽게 밀리지않는 무게감 3.저소음 무엇보다도 4. USB허브 등등 정신없이 일하다보면 어느새 키보드가 부서질듯 타자소리를 내는 내자신을 발견하고 이제품 구매했는데 상단에 불안들어오는문제빼고는 굿굿","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_10_13_0/3b6ce927-ed5f-11e9-8214-000000004708_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191013_1/15709329339567Jkp2_JPEG/20191012_185234.jpg?type=f287']"
4,"제품은 대체로 만족합니다. 키감도 가볍고 키보드 높이도 딱 적당해서 편안합니다.
그런데 케이블 연결 부위 상태가 좋지 않습니다. 사진처럼 좀 구겨져 있는데, 작동에는 이상이 없지만 내구성이 떨어질까봐 걱정됩니다.
그리고 배송 포장에 좀 문제가 있는것 같네요. 사진처럼 박스가 구겨진 채로 와서 보는 순간 식겁했네요.
마지막으로 키스킨 소재가 아쉽습니다. 실리콘 재질이 아니어서 좀 놀랐고, 타이핑 하기에 뻑뻑한 느낌이 있습니다.","['https://phinf.pstatic.net/checkout/20190907_243/15678126083597RIPJ_JPEG/20190906_190058.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190907_132/1567812622983UgJAv_JPEG/20190906_192720.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190907_281/1567812634178CNjrU_JPEG/20190906_192854.jpg?type=f287']"
5,아주 좋네요 ㅎ 만족스럽습니다. 약간묵직해서 좋고요 타자감도 좋습니다. 몸체의 은색도 싼티나지 않고 타자칠 때 소리도 조용해서 좋습니다. 게임용으로 쓰지 않아서 그부분은 잘 모르겠습니다만 일반적인 컴퓨터 사용이라면 아주 좋을 듯 합니다.,"['https://phinf.pstatic.net/checkout/20200220_73/1582160111180kpFH3_JPEG/569FCC20-E94C-442B-8A92-643E90411298.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200220_294/1582160111463ENyRV_JPEG/228EF40F-9395-45B4-98AF-7F3070C5D646.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200220_195/1582160111424jd4pS_JPEG/F50275F7-31E6-469A-A0EC-E83FAACBCFA4.jpeg?type=f287']"
3,"한달리뷰입니다.
이 키보드 사는 목적은 무소음 저소음이겠죠? 이게 가장 주된 목적인데 일단 소음이 상당히 적어서 만족하긴 하는데 종종 키가 두번 눌러지거나 하는 경향이 있어요. 그리고 그냥 책상에서 보면 각도상 키보드 오른쪽 상단에 num lock이랑 caps lock 불빛 버튼이 안보여요. 그래서 엉덩이 들고 살짝 일어놔서 보고.. 이런 부분때문에 업무상 로그인할때 좀 민감해집니다. 3번 틀리면 계정이 잠겨서 .. ㅡㅡ; 그래서 별3개 드립니다. 그 외에는 크게 나무랄 부분은 없어용",[]
5,"음..
디자인과 소음부분에서는 맘에드나 자판높이가 낮다보니 아무래도 손가락에 힘이 많이 들어가게되어 피로도가 느껴져요 오타도 좀 많이 나고요
크게 불편하지않아 계속 사용중이지만 이런종류의 키보드는 재구매 못할 것 같아요. 소음이 있어도 일반키보드가 저한텐 더 잘 맞는 것 같습니다",['https://phinf.pstatic.net/checkout/20200713_218/1594610429496DQkXQ_JPEG/review-attachment-6d501632-ddb9-4821-8316-46b0e9f0bf2c.jpeg?type=f287']
