star_point,comment,photo
5,키보드 완전 대 만족입니다. 색도 너무 예쁘고 깔끔하고 키보드 소음도 많지 않고 타자눌르지는 감도 좋아요. 다만 마우스가 연결도 잘되고 좋은데 뒷부분 건전지 넣은 부분 덮개 잘 안열립니다.. 조금더 쉽게 여는 방법을 연구해서 다시 만드시길...!,"['https://phinf.pstatic.net/checkout/20200905_222/1599284359683Mzeog_JPEG/review-attachment-8dacfac3-94eb-4c8e-b9f6-8b27af7a4fed.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200905_177/1599284379780xTpqo_JPEG/review-attachment-64939184-8596-4ce7-a8e4-9830dff98808.jpeg?type=f287']"
5,"기계식 키보드 계열로 글을 계속 쓰다보니 너무 시끄러워서 펜터그래프를 샀습니다. 타건 소리가 다른 분들의 리뷰 영상에서 들리는 것 처럼 날카롭지 않더군요. 아무래도 스마트폰 마이크 특성상 더 날카롭게 녹음된 것 같습니다. 저는 더 둥근 느낌으로 들리네요. 첫 인상은 '단순 비교로 소리 크기만 봤을 때 엄청 작지는 않구나' 였는데요, 좀 더 써보니 기계식 키보드는 세게 치면 소리가 그만큼 커지는데에 반해 이번 키보드는 별로 커지지 않는 것 같습니다. 애초에 세게 칠 필요성 자체가 없는 키보드이기도 하구요.

하지만 Alt버튼보다 한자 버튼이 큰 것은 좀 아쉽습니다. 아직 적응이 덜 되어서 자꾸 한자 버튼을 누르게 되네요. 각 키마다 동그랗게 음푹 들어가있는 것이 상품 설명에서 보이는 것 처럼 충분히 들어가게 느껴지지는 않습니다. 빛에 비춰보지 않으면 눈으로도 잘 보이지 않는 만큼 손가락으로 그 차이가 유의미하게 다가오지는 않네요. 워낙 얇은 키보드니 더 어렵긴 하겠다 싶습니다. 키보드가 애초에 방수 같은 튼튼함을 보장하는 컨셉이 아니긴 하지만, 쓰다보니 빵 부스러기 같은 게 들어가면 금새 망가질까봐 조심하게 되긴 합니다. 만약 들어가도 쉽게 뺄 수 있는 형태는 아니니까 걱정이 되네요. 좀 더 써봐야겠지요.

색상으로 실버와 화이트(약간 노란 빛이 도는 눈이 편한 화이트입니다.)를 사용하셨는데 이런 류의 제품들이 실제로 봤을 때 자칫 싸보이는 경향이 있었습니다만, 이 제품은 예쁘게 보이네요. 색 뿐 아니라 키 배치의 균형이 잘 맞아 있습니다.

낮은 키캡 특성상 오타율이 늘지 않을까 했는데 제 손가락에는 오히려 이게 더 잘 맞나 싶습니다. 오타율이 줄고 타수가 는 것 같아요. 힘을 안 줘도 입력 잘 되니까 그런가 봅니다.

개인적으로 비프렌드라는 브랜드에 좋은 관심이 생긴 것 같습니다. 조금 더 믿고 사지 않을까 싶네요. :)",[]
5,"펜타그래프를 산 이유가
1. 깊게 눌러서 손가락 무리주는 거 싫어함(코드 짜는데 손가락 아작남)
2. LED 빤짝이 무조건 없어야함(빤짝거리는게 거슬림)
3. 내가 소리에 민감해서 소리가 작아야 함
4. 휴대용으로 쓸거라서 얇아야 함

이런 이유인데 이런 요건 충족하는 ms 서피스 키보드나 로지텍 mx키보드를 굳이 14만원이나 주고 사야 하나 생각했습니다(학생이라 그럴 돈도 없고...). 그래서 이것저것 알아보다 이걸 구매하게 되었고 위의 네가지 조건을 충족해서 좋습니다. 노트북처럼 스르륵 쳐도 되서 좋고 . 제가 리눅스 유저라 맥이랑 윈도우 환경에서 테스트를 하지 못해 기능키에 대한 리뷰는 못하지만 리눅스 유저라면 상단의 기능키 커마해서 바로 쓸 수 있습니다. 그리고 4만원이란 가격도 진짜 만족스럽습니다.
오자마자 바로 쓴 후기이기 때문에 한달 사용하면 좀 단점도 보이겠지만 일단 원 목적은 달성해서 기분 좋습니다. 기계식 키보드가 판치는 시대에 저처럼 조용하럼고 부드러운 타자와 LED없는 키보드를 원하는 사람이면 추천합니다.",['https://phinf.pstatic.net/checkout/20191022_18/1571751511404g04tr_JPEG/mail.naver.com.jpeg?type=f287']
5,"한달 써보고 올립니다. 키감 좋고요, 디자인 군더더기없이 매우 마음에 듭니다. 다른 유사 제품은 뭔가 한군데 마음에 들지 않더라고요. 뜬금없이 이상한 로고가 있거나...완성도 높은 키보드입니다. 조금 비싸도 디자인과 퀄리티를 추구하는 분들에게 강추해요.",['https://phinf.pstatic.net/checkout/20200921_59/1600698705097bUej7_JPEG/review-attachment-81938190-e306-4d4d-af32-184e2703e03d.jpeg?type=f287']
4,우선 디자인이 너무 맘에 들어서 구매했어요 키보드 키 크기가 제가 생각했던것보다 조금 더 커서 더 맘에 들었구요 무소음까지는 아니고 노트북 타자 소리라고 생각하시면 될 거 같아요 요샌 무선 키보드를 다들 사용하시지만 저는 굳이 뭐 ㅎ 그래서 유선이어도 샀는데 주변 분들이 다 제꺼 보고 예쁘다고 사고 싶지만 유선이라 아쉽다고 하셨어요 ~~ 키 하나가 기스가 있어서 문의드렸는데 키보드를 다시 보내서 확인후 교환해주신다고 하셔서 ... . 이미 키보드 사용중이고 책상 세팅도 다 했고.. 일을 해야 하는 입장이라 ㅜ 그냥 사용하기로 했어요 고부분이 좀 아쉽네요~ 키보드는 암튼 엄청 맘에들어요~~,[]
5,"오래전부터 꾸준히 비프렌드 키보드만 사용하고 있습니다. 워낙 덤벙거려서 음료수를 자주 끼얹는 바람에 자주 구매하는데 이만한게 없어요..
집에서 맥이랑 윈도우 같이 사용하게 돼서 겸용 키보드 처음으로 구매해봤는데 투인원이라 정말 편합니다!!",['https://phinf.pstatic.net/checkout/20201006_130/1601995903154gOMpy_JPEG/review-attachment-6234f291-1fcb-4101-ad67-8ce572a46eca.jpeg?type=f287']
3,키보드는 편하고 좋아요 alt 키가 불편한건 어쩔 수 없지만 다른 사 키보드보다 디자인이나 재질에 있어서 가장 맘에 들어서 샀고 만족은 합니다! 키감도 부드럽고 좋습니다. 아쉬운 점은 키스킨이 없고 하얀색이 아니라 상아색같은 누리끼리한 감이 좀 있네요. 그리고 가장 사람들이 많이 말하는 배송 문제는 여전히 안고쳐지나봐요.. 너무 불안하게 오네요 포장 신경 좀 써주시길..,"['https://phinf.pstatic.net/checkout/20190807_284/1565150317924ciSs6_JPEG/1A8D701E-F1D7-4AFA-A99B-55541287A006.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190807_202/1565150318224Umgpc_JPEG/2C50630D-51F8-471E-80C7-67B19710376C.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190807_172/156515031817485KSW_JPEG/48EF16E2-C7BA-491E-BB1C-A189CF2FC35B.jpeg?type=f287']"
5,"통 알루미늄, 키감, 자판 디자인, 인쇄상태 모두 상급인 것 같습니다.
백스페이스 위의 위험한 절전모드 버튼은 펌웨어 업데이트로 펑션키를 같이 눌러야만 실행되게 바꿀수 있습니다.
개인적으로 키스킨을 사고 싶었는데 곧 나오다고 하니 기다려보겠습니다.
통짜라 그런가 세게 타이핑해도 떨림없이 탄탄하게 받쳐주는 느낌이 있어 세게 타이핑해도 재밌네요 타자치는 맛이 좋아요
위에 기능키들 아주 좋네요 노트북 쓰시는 분에게는 아주 찰떡이에요",[]
5,키보드가 깔끔한게 좋습니다. 단점은 설명이 자세하게 써있지않아 csr에 불이 들어오니 한자/한글이 바뀌지않고 시작메뉴가 자꾸 뜨는 오류가 있었는데 불량인줄 알았는데 csr바로밑이 키를 길게 꾹~ 눌르고 있으니 불이 꺼지고 작동이 되어 오류가 나지 않았습니다.,[]
4,"키감은 쏘쏘해여' 디자인이 너무 맘에 들어요
깔끔하고 적당한 무게로 덜컹거리지 않고
쓰거먼 로지텍쓰다가 갑자기 확 밝아진 기분임당
다만 배송이 ㅠ 조콤 늦었어요
쿠팡 로켓배송시킬려다가 본사에서 구입하는게 좋을거같아서 산건데 이부분이 좀 아쉬워오!",['https://phinf.pstatic.net/checkout/20200716_164/1594870770272AjLIo_JPEG/review-attachment-5bf94213-b41e-4a4f-bcd6-2f1de99f8f86.jpeg?type=f287']
