star_point,comment,photo
5,"모니터랑 깔맞춤 한다고 화이트로 샀어요. 성공이네요ㅎ 개봉했을때 키가 하나 빠져있어서 놀랬지만 걍 끼우니까 되네요. 키감은 부드럽고, 너무 느낌 없어서 쳤는지 안쳤는지 모르는 그런 느낌은 아니구요ㅎㅎ 납짝하고 심플해서 미니멀한거 좋아하시는 분들은 딱인듯 합니다. 연결되면 램프에 빨간불 들어와있는데, 그건 약간 호불호가 있을것 같네요. 저는 좋아요ㅎ","['https://phinf.pstatic.net/checkout/20200808_1/1596854751783kThxF_JPEG/review-attachment-ca04f2ec-393d-442d-97cb-6375236ac234.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_191/1596854771517tRCjy_JPEG/review-attachment-ab64ab2a-bbc9-4fb2-b9c8-769df929f14a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_102/1596854781465NCCBG_JPEG/review-attachment-a779dfce-0bf7-4a25-9e37-287aad7675a6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_170/1596854796249JBRys_JPEG/review-attachment-79068317-ff2d-447e-bc83-f6b870662dce.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_177/1596854806302jfg6N_JPEG/review-attachment-7d5ad11d-8eaf-41e4-ab3a-26954fc327e5.jpeg?type=f287']"
5,"매우 만족합니다. 너무너무 좋아요
이제품은 사무용으로 너무 좋은 제품이에요

타닥타닥 고급스런 느낌의 노트븍 타이핑 소리가 나서

집에 15만원짜리 게이밍 키보드 랑
가게에 직원들 롤 전용 게이밍 키보드 5만원짜리 쓰고 있고

평상시에 일할때는 8개 전부 이 걸로 사용하고 있어요
무선키보드다 보니 게이밍역활로는 부족해요
그럴때는 유선 게이밍 키보드로 화끈하게 조져주고

사부작 사부작 일할때는 선 걸리적거림이 없는 무선키보드를
주로 사용합니다. 그래서 추가로 구매했고요

무선이다보니 키보드 마우스 들어내고
책상에서 업무, 서류작성할떄도 매우좋습니다.
유선은 걸리적 거리다보니 불편하잖아요
매우매우 만족하고 강력히 추천드립니다.",['https://phinf.pstatic.net/checkout/20201125_28/1606306819670ESxiC_JPEG/review-attachment-f278f6ac-46a6-44a2-b175-a1d5d062ca8e.jpeg?type=f287']
2,"평소 노트북+키스킨으로 사용해서, 노트북이랑 비슷한걸 골랐는데 키감이 비슷하지도 않고.
같이 동봉된 키스킨은 사용하던 실리콘 키스킨이랑 전혀 다른 뻣뻣한 재질...
키스킨 올려놓고 타자치면 조용하긴 한데 키감이 진짜 별로라, 벗겨놓으면 키감은 그나마 괜찮은데 소음 진짜... 하...
일반 기계식 키보드(멤브레인방식)보다야 작은데.. 팬타그래프 방식이라고 다 같은게 아닌가봅니다;
더 비싼걸 샀어야했나..싶기도 하고.

키스킨 빼면 너무 시끄러워서 원래 노트북에 쓰던 키스킨 빼와서 대~충 맞춰놓고 쓰는데. 그나마 소음과 키감 둘 다 니즈의 중간정도로 비슷하게 맞춰주는 것 같아서 그렇게 쓰고 있네요.
아마 동봉된 키스킨이 부드러운 재질이 아닌 뻣뻣한 재질이라, 키감이 줄어든만큼 소음도 줄어들은게 아닌가 싶네요.
마지막으로.. 저는 왜이렇게 끊기는건지..?? 요새는 무선도 잘 안끊긴대서 구매했더니 오지게 끊기네여.","['https://phinf.pstatic.net/checkout/20190819_13/1566187984887f8pW0_JPEG/15661879652158845523191208445862.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190819_40/1566189336426qTleW_JPEG/15661893189971169380114064823610.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190819_199/1566189446350aBHII_JPEG/15661894331146641573726475664738.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190819_153/1566189463469GwSqO_JPEG/15661894529945085441637167175538.jpg?type=f287']"
4,"기존에 사용하던 키보드가 고장나서 그와 동일한 팬터그래프 방식의 키보드를 찾다가 RF1430K를 알게 되어 구매했습니다. 회사에서 사용할 키보드를 제 돈으로 사는 것이라서 일단 싼 가격에 혹해서 샀습니다. 가격은 착하지만 사용해보고 만족하고 있습니다. 제가 원했던 타격감을 보이는 것과 키와 키가 붙어있지 않은 점이 좋네요. 다만, 일부 키의 위치와 키가 불만족스럽습니다. 스페이스바 왼편의 윈도우 키와 알트 키가 너무 작고 왼편으로 치우쳐 있고스페이스바 오른쪽의 한영키와 펑션키 그리고 펑선키와 컨트롤 키 사이에 있는 기능키의 배치와 크기도 제게는 불편합니다.업무 내용 상 한자를 입력하는 일이 거의 없는 반면, 영어 사용과 단축키 사용은 매우 잦은 편이라서 그렇습니다. 그렇지만 시간이 지나면 익숙해질 것이라고 생각되어 아쉽기는 하지만 큰 불만족은 아닙니다. 사진으로는 키보드가 얇아보여서 높이가 너무 낮지 않을까 걱정했지만 사용해보니 그렇지 않습니다. F키 부분의 받침을 사용하면 높이가 2.5센치 정도가 나오네요. 이전 키보드에 매우 만족하며 사용했지만, 그 키보드도 처음에는 손에 익지 않아 불편했음을 생각하면 위에 나열한 불편한 키배열도시간이 지남에 따라 해결될 것이라는 생각이 듭니다.","['https://shopping-phinf.pstatic.net/20190721_7/5991653f-2b23-4d0b-b9d4-4b2ddfc18140.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190721_13/b5e5517f-8a55-4373-a123-0470729ee80f.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190721_15/c1a3fa31-6efd-4380-bf55-5eac922f2b08.jpg?type=f287']"
2,일단 키보드 자체는 좋음. 펜타그램키 성애자라면 예전 아이락스하청을 했던 업체였던 만큼 키감이나 이런건 만족... 문제는... 한자키가 괴랄하게 크고 이게 오른쪽이 아니라 왼쪽에 붙어있는데 alt 키 키기는 또 너무 작아서 alt 키를 많이 쓰는 직업군 디자인쪽에서 사용하는건 별로임. 워드나 문서작업용 키보드라고 봐야함. 디자인쪽에서는 단축키 사용시 alt 누르는 경우가 많은데 한자키를 키트윅을 해보려고 해도 이게 일종의 Fn 키처럼 분류가 되어 있어서 일반적인 키코드가 안잡혀서 맵핑도 불가함. 그냥 겁나 커다란 한자키로 써야하는 상황... 당황스러움. ㄷㄷ;; 그리고 한영키는 또 일반적인 키보드보다 살짝 오른쪽으로 더 가 있음. 스페이스바를 좀 줄이더라도 한영키 위치는 제발 오른쪽 엄지로 쉽게 누를수 있게 해줬음 좋겠음. 로지텍 따라한건가;; 무선연결은 동글을 쓰는 만큼 장단점이 있음. 일단 동글이 키보드와 마주 보이도록 놔야함. 컴퓨터가 책상아래에 있는 경우 USB 연장선을 써서라도 동글을 책상위로 올려야 연결에 랙이 안생김... 이럴거면 왜 무선을 쓰냐? 라고 물을 수 있지만 이건 이키보드 뿐만 아니라 무선동글을 사용하는 모든 키보드들의 단점이므로 패스... 암튼 그래서 난 별두개일세... 쪼금만 개선하면 만점 받을 키보드에 키위치나 크기가 불편한건 너무 큰 제약인것 같음.,[]
4,키스킨과 함께 구매했습니다. 사진 속 모니터는 24인치입니다. 딱 맘에 드는 크기에 높이 조절용 다리도 밑에 달려있어서 좋습니다. 근데 뭔가 힘줘서 눌러야 오타가 안 나요. 하도 노트북으로 가볍게 치다가 따로 키보드가 생긴 게 오랜만이라 그런가?,"['https://phinf.pstatic.net/checkout/20200909_250/1599588642254SWdkJ_JPEG/review-attachment-b3a33f02-635a-485a-9149-390aa21c33f7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200909_6/1599588652369yyCsR_JPEG/review-attachment-a7f20227-1861-4ff3-b533-2076858f8e04.jpeg?type=f287']"
5,"너무너무 마음에 들어요~~
우선 리시버 꽂자마자 따로 설치 필요없이 바로 연결 되는게 너무 좋았구요
키보드 터치감도 너무 좋고, 마우스 터치감도 너무 좋아요 소음이 아예 없어요~~!! 오래 사용하진 않아서 끊김같은건 아직 잘 모르겠지맘 우선은 후회없습니다","['https://phinf.pstatic.net/checkout/20200415_184/1586904662087D1qqW_JPEG/995F48EA-69FA-4FC5-A823-4D28E7D9CD81.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200415_144/1586904662440Bry1D_JPEG/D5F7F488-F222-443D-B584-66F77B2922F9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200415_259/1586904662566O5gCT_JPEG/FD92D41E-7C60-4586-852A-968B4C3E236F.jpeg?type=f287']"
5,생각했던 그대로고 깔끔해서 책상에 올렸을 때 더 예뻐요! 온오프 시킬 수 있는게 제일 큰 장점인 것 같고 노트북이랑 비슷한 타자감입니다. 회사에서 쓰기엔 충분히 조용해요! 일주일만에 D가 안보이기 시작했지만 알고 산거라 만족합니다. 버벅이는 현상은 가끔 나타나지만 감안하고 쓸 만큼 만족스러워요!,['https://phinf.pstatic.net/checkout/20200824_97/1598240468699mFexf_JPEG/review-attachment-7e93ae95-daa8-442a-9bd2-c9a576738008.jpeg?type=f287']
1,"사용기간 한달하고 1주일 넘어갑니다. 키 누르는덴 확실히 힘이 덜 들어가서 오랜 시간 문서 작성해도 손목에 무리가 덜 갑니다.


다만 사용 1개월 지난 시점부터 사용 중 1~2분씩 입력 지연되거나, 입력이 아예 안되는 현상이 있습니다. 문서 작성 중에 이러면 그러려니 하는데 게임 중에 이러니 짜증나네요. 나머진 다 괜찮습니다.

연결 문제있다는 리뷰에 수신율 문제니 거리를 짧게 두라고 답변 하시는데, 수신기 제 발 밑에있습니다...이거보다 더 가까울 수가 있나요? 게임 많이 하시는 분들은 구매 한번 더 고려해보세요... 롤 하는데 지옥...^ ㅠ",['https://phinf.pstatic.net/checkout.phinf/20200728_138/1595940572741w0pkT_JPEG/review-attachment-4047c5d2-b33a-4dcf-b7f6-a28eaf4dcfbc.jpeg?type=f287']
4,"< 심심해서 작성하는 한달 사용후기 >
가끔씩 자기 멋대로 숫자패드 꺼질때도 있는데
그렇게 불편한 것도 아니고 쓸만해요
화이트 성애자라면 사고싶은 1순위 일 듯 하네요!
블루투스아닌 점은 아쉽고 무선USB동글 키보드 라는거! 본체에 이것저것 꼽아두면 난잡해 보여서 싫어하는데도 키보드가 예뻐서 사용중..😅
아무튼 👍🏻",['https://phinf.pstatic.net/checkout/20200513_76/1589342792890AdFXx_JPEG/983BB32E-745D-4C82-A3DD-094D1E503835.jpeg?type=f287']
