star_point,comment,photo
5,"키감 진짜 쫀득하고 , 그리고 펜타그래프라서 키압도 손목 손가락 무리가 안가요

키스킨이 호불호가 왜 갈리나 ? 싶었는데
사장님 답글 보시는 것처럼 우레탄소재로 만들어서 그런거구나 했어요 ㅠ 너무 딱딱그자체
소음을 잡으시려고 해서 그런건가 했는데
키압이 너무 무거워져서 그냥 다른키볻ㅇ 실리콘 사용하려구요 ,,,

그리고 fn기능 있어서 잘 사용하고 있어요
특히 내컴퓨터랑 홈키 너무 좋네묩
저만 키보드 각인이 이뻐서 그런지는 모르겠는데 각인이 일단 제 취향

좋은제품 감사하며 번창하시길 바랍니다","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_04_18_0/d9f7fdfa-814b-11ea-9ddd-48df37ae3dc4_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200418_64/15871971752975JkAJ_JPEG/20200418_170528.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200418_130/1587197175370VSyHM_JPEG/20200418_170532.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200418_298/1587197176350n4Bpm_JPEG/20200418_170549.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200418_47/1587197176166rEIbi_JPEG/20200418_170544.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200418_6/1587197176202Er2mE_JPEG/20200418_170538.jpg?type=f287']"
4,"평상시 키보드를 두들기는 스타일입니다.
회사에서는 hp거 쓰는데 정말 너무 시끄럽더라구요..
회사는 적막하기 그지 없는데 키보드 소리만 혼자 다다다...
너무 시끄러워서 고민고민하다가 구매했습니다.
타 회사에서는 아**스 제품 많이 썼었습니다. (펜타그래프)
이번에도 그 업체 제품 살까 하다가, 뭔가 좀 특이한거 없나 싶어서 찾다가 사게 되었습니다.

후기에 무선이라 오탈자 좀 난다는 말이 있어서 좀 걱정했는데, 그냥 평타정도 뽑은거 같습니다.
가끔 오탈자 좀 나는데, 그냥 이정도는 이해할수 있을 정도의 수준이에요. 오탈자 날때마다 조금 짜증은 나지만요.
무선이니 감수해야죠 뭐.

저는 키보드를 두들기는 스타일이라, 키스킨도 같이 구매하였어요.

키보드 바꾸고 나서 확실히 소음은 많이 줄어들었습니다.

다만 키압이 조금 높은거 같아요. 펜타그래프 쓸때는 거의 힘을 안들이고 썼는데, 이거는 약간 힘을 주고 써야 하네요.
키스킨을 쓰면 좀 더 조용하기는 한데, 누르는 맛은 확실히 떨어집니다.

전체적으로 만족합니다.","['https://phinf.pstatic.net/checkout/20200713_166/1594629098414fiW3f_JPEG/review-attachment-ec2f2425-a9df-4442-9175-ced9923abe6d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200713_77/1594629098430HStwV_JPEG/review-attachment-b837dd37-f9d3-4202-a1ea-31143df95d63.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200713_53/1594629098290nrOMl_JPEG/review-attachment-c03901fd-9e6f-471b-8a25-4f1634cb5a5f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200713_256/1594629098346nyjtx_JPEG/review-attachment-c51d2f4b-e88d-4d83-8b56-999556af2375.jpeg?type=f287']"
5,"1. 배송
예상한 날짜보다 하루 더 걸림. 그래도 양호한 편.

2. 포장
생각보다 택배크기가 커서 뭐지 했는데, 큰 박스 안에 키보드 박스 안에 뽁뽁이 안에 깔끔하게 들어있음. 풀면 얇은 비닐로 한 번 더 커버됨. 꼼꼼한 편이고 스티로폼 같은 걸로 잘 고정되어 있음. 건전지는 박스에 끼워져있으니 꼭 찾아서 사용하시길.

3. 디자인
색상이 다 잘 나와서 뭐 살 지 많이 고민했는데 사무실 데스크가 어쩌다보니 분홍으로 맞춰져서 화이트분홍으로 삼. 실제 색감 핵예쁨.. 감탄.. 깨끗하고 딱 예쁜 컬러. 하지만 무슨 색을 사도 예뻤을 것 같음. 보이는 색보다 진하고 깔끔함.

4.설치
필요없이 꽂으면 바로 그 즉시 연결됨. 감동.

5. 사용감
생각보다 오타가 잘 나지 않음. 오타 치기 직전에 뇌에서 망설이는 그 순간의 그 손가락 힘 정도는 키가 버티고 막아줌ㅋㅋ 엔터가 작은 데도 아직 오타난 적 없음. 그리고 타이핑 시 손맛도 좋음. 일할 때 기분 좋아짐.

6. 소음
동영상을 보면 알겠지만(굳이 소리 키워서까지 들어볼 필요없음. 작은 볼륨으로 들었을 때가 실제 소리와 가까움.) 무소음이라기엔 애매하고 확실히 저소음은 맞음.

7. 총평
첨에 가격이 좀 있다고 생각했는데.. 이렇게 돈 아깝지 않은 쇼핑은 정말 오랜만임. 실물 보면 알겠지만 가치 있는 소비라는 생각이 딱 들고. 내컴퓨터 단축키도 유용하고, 한영키 위치도 적당함. 스페이스바 길이가 적당해서 불편 없음. 키스킨을 같이 사지 못한 게 아쉬움.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_05_0/ee6c8c8d-d66a-11ea-977b-505dac8c38f5_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_163/1596556526462Nu4Rj_JPEG/review-attachment-d6944e27-6cfc-4030-b5c4-1dd14dc0b8ba.jpeg?type=f287']"
5,"제가 찾던 키보드는 조용한 키보드였습니다. 그래서 알아본 것이 저소음기계식 키보드와 펜터그래프 키보드였습니다.
처음에는 기계식에 더 끌렸었는데 아무래도 펜터그래프 방식은 조용하고 쫀득한 손맛은 좋지만 키가 낮은 노트북 같은 키보드 뿐이어서 오타가 많이 나고 손이 피로했거든요.
하지만 우연히 일반키보드처럼 생긴 비프랜드 높은 펜터그래프 키보드를 발견하고 고민 없이 질렀습니다. 다만 걱정은 키캡이 높아서 흔들리거나 소리가 나면 어쩌나 하는 것이었지만 괜찮은 스위치를 쓴 저소음 기계식 키보드의 1/3~1/5 정도의 가격이니까요.
도착 후 일주일 정도 사용해본 바로는 대만족입니다. 정말 조용하고, 쫀득한 손맛이 일품입니다. 스태빌에서 약간 찰찰 거리는 . 키캡도 훌륭하고 핑크도 예쁘게 나왔습니다. 안정감 있고요. 심지어 리시버도 핫핑크라 귀엽습니다. 그러고 보니 보강판도 붉은 색이네요. ㅎㅎ 딸이랑 아내가 좋아합니다.
조용한 키보드 찾으시는 분, 클래식한 키배열과 키높이를 원하시는 분은 고민하지 말고 지르세요. 만족하실 겁니다.
아! 물론 게이밍용은 아니라는 점 주의하시고요.","['https://phinf.pstatic.net/checkout/20201101_106/1604216675720irlxx_JPEG/review-attachment-f754ae9b-7483-49c2-be0d-00b9a59bca1c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201101_222/16042167070882l4Ek_JPEG/review-attachment-8d465d25-e9f1-4499-88bf-8ecff1838a4a.jpeg?type=f287']"
5,"1. 배송
주말에 주문해서 화요일 아침에 받았어요!
빠른 배송 감사합니다😊

2. 디자인
너무예뻐요. 흰색 + 핑크색 들어간 키보드 사고 싶었는데, 타사 제품은 너무 톤다운된 핑크나 어두운 핑크 밖에 없어서 비프렌드에서 구매했어요.
(** 핑크 색상이 딸기우유핑크 아니고,
피치코랄 핑크입니다. 색상비교하시라고, 삼성 노트북하고 비교해두었습니다.)

3. 소리
저는 너무 시끄러운 청축은 싫고, 그렇다고 너무 조용한 무소음 적축이면 타이핑 하는 맛이 안나서 적당했으면 좋겠다~ 했는데 이 키보드가 딱 그래요. 동영상 첨부했는데, 실제로 들으면 저것보다 작은 것 같아요. 무소음 적축 키보드처럼 완전 무소음은 아니지만, 제 기준에는 조용한 것 같아요. 키스킨까지 끼시면 정말 조용할 것 같아요. (무소음을 원하시면)

4. 타이핑
제가 노트북을 쓰는데, 손이랑 손목이 너무 아파서 구매한거거든요. 너무 편해요! 제가 타자가 좀 빠른편인데, 오타도 잘 안나네요.

이 가격에 이 정도 키보드면 훌륭한 것 같습니다🥰","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_11_0/f6dd0696-dbc2-11ea-9ba2-505dacfbaa5c_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200811_235/1597144035370V5Ejm_JPEG/review-attachment-674a970b-a497-4c55-a780-18eac39b132f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200811_251/1597144079638Ifbue_JPEG/review-attachment-d2733391-b3a2-4683-a76c-f659b43da440.jpeg?type=f287']"
4,"평상시 키보드를 두들기는 스타일이라, 키보드 소음이 다른분들에 비해서 큰 편입니다.
그래서 저소음 키보드를 알아보다가, 기존에 사용했던 키가 낮은 방식이 아닌 높은 키가 있길래 구매했습니다.
키가 낮은 키보드보다는 키를 누를때 약간 힘을 더 주고 눌러야 하는 편이지만, 사용하면서 손이 불편하다거나 하는 점은 없었습니다.
그리고 키가 낮은 키보드들보다는 확실히 손목의 아픔이 없습니다.
키스킨을 사용하고 있으며, 키스킨을 사용해야 저는 소음이 많이 줄어듭니다. 키스킨 벗기면 일반적인 키보드보다 훨씬 조용하나, 여전히 키보드 소음은 있더라구요.
이제 사용한지 두달 정도 되었으며, 한가지 단점은 생각보다 키캡이 잘 탈출합니다. 제 경우는 벌써 3번이나 탈출했네요.
키스킨을 항상 올려놓고 쓰는데도 키캡이 탈출하는데, 키스킨 없으면 더 하지 않을까? 라는 생각도 듭니다.
수신기는 장점이자 단점 같습니다.. 케바케이지만 저는 수신기를 본체 앞면에 꽂으면 인식도 잘되고 키가 끊기는 것도 없는데, 본체 뒷면에 꽂으면 키보드 인식은 하지만 키를 눌러도 타자가 입력되지 않거나 누르지도 않은 키들이 나오거나 하는 문제가 있었습니다. 위의 두가지 말고는 전체적으로 뽑기도 무난히 잘 뽑은거 같습니다.

전체적으로 무난하고 쓰기 괜찮은 키보드입니다.",['https://phinf.pstatic.net/checkout/20200910_5/1599700028739lUbv6_JPEG/review-attachment-1ee88047-7453-4342-876d-70a83352654e.jpeg?type=f287']
4,"지금 배송 받은지 한 3일 정도 밖에 안된거 같은데 s를 누를때 소리가 나기 시작하내요..문제가 있는걸까요??
초기불량일까 싶기도 하구.. 이건 단점

장점
1. 타건감 좋다는 후기는 진짜 맞아요 인정. 로지텍 가성비로 유명한거 원래 쓰고있엇는데 키 씹힘 있고 최악이엇는데 이건 좋음
2. 색이 이쁘고 무게가 좀 있어서 밀림도 없고

자 이제 건의사항..여기서
1. 블루투스로 연결되게끔 하면 동글이 안꽂아도 되서 노트북 이나 태블릿 유저들이 사용하기 좋을거 같아요.

2.텐키리스버전 만들어주시면 좋겟어요 (홈키나 엔드.딜리트.페이지업다운 키는 살려주세요 문서 작업에도 유용해서 )그럼 학생들이 수업중에 쓰기도 좋구 좋을거 같아용..

저 이전에도 이런건의햇을건데 ㅠ
수용해서 좋은제품 만들어주셧으면 좋겟습니다",['https://phinf.pstatic.net/checkout/20200914_86/1600055287211TMz3U_JPEG/review-attachment-a96334ef-3b5c-48ee-995e-c7d1b55e424d.jpeg?type=f287']
4,"1. 키감이 부드러우면서도 탄력이 있고 소음이 적다
2. 무게가 있어서 안정감이 있음
3. 후면에 미끄러짐 방지 실리콘 패드 가 높이조절 다리를 펼친상태에도 부착되어 있음
4. 배터리AAA 2개 포함되어 있음
5. 온라인에서 확인 가능하지만 사용설명서가 포함되어 있었으면 좋겠음","['https://phinf.pstatic.net/checkout/20200430_298/1588228351381x346K_JPEG/20200430_151123.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200430_226/1588228351859gMjpf_JPEG/20200430_151149.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200430_144/1588228351988r7rPy_JPEG/20200430_151115.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200430_246/1588228352134D30a1_JPEG/20200430_151110.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200430_189/1588228352634mhDCE_JPEG/20200430_151005.jpg?type=f287']"
5,"한줄평 : 멤브레인과 펜타그래프의 장점을 고급지게 합쳐놓았다묵직한 무게 쇠로된 보강판이 들어가 있는지 체감무게가 1킬로..이에 따라 통울림 없고 매우 안정적이고 고급스런 느낌을 줌효율적인 표준 키 배열 ㅇ 일반적인 풀사이즈 키보드와 키캡 모양 및 키배열, 누르는 깊이가 동일.이에 따라 별도의 적응기간이 필요 없고 작업효율이 좋음 깔끔한 키감 ㅇ 너무 무겁거나 가볍지 않은 깔끔한 키감. 스트로크 깊이나 러버돔의 탄력은 일반 멤브레인 키보드와 유사. 키의 가장자리를 눌러도 안정적으로 잘 눌림.소리 (동영상 첨부)ㅇ 펜타그래프 특유의 소리는 노트북과 비슷. 완전 무소음은 아님. 키스킨을 덮으면 거의 무소음.ㅇ호환이 된다고 하는 GK4용 키스킨을 같이 구입하여 윗부분을 잘라내고 사용해봄. 우레탄 키스킨이라 손에 달라붙지 않는 느낌은 좋지만 키압이 더 쎄짐. 추후 전용 키스킨은 실리콘으로 나오리라 기대합니다. *동영상에서 노트북이 카메라에서 제일 멀어서인지 좀 작게 들리네요 *같이 찍은 로지텍 K375s은 약간 조용하긴 오타작렬이라 매우 비추합니다.짐. 글씨나 장식을 최대한 자제해서 좋음 ㅇ 키캡은 반무광에 바디는 완전무광이라 올 화이트이지만 세련된 투톤 느낌편의성 ㅇ 높이 올리는 곳 고무 받침 굿 ㅇ 펑션키로 오디오 조절기능 잘됨. 유용.ㅇ 무선임에도 Numlock과 Caps lock 불들어오는 거 아주 좋음보완의견 ㅇ 전원버튼이 있으면 좋겠습니다. ㅇ 설명서나 보증서같은거라도 하나 들어있으면 좋겠네요.^^ ㅇ 텐키리스로도 나오면 좋겠습니다. 흰색 바탕에 기능키만 회색으로 투톤키캡 모델 나오면 좋겠습니다. ㅇ 키캡 인쇄 질 향상. 한글 폰트 개선 ㅇ 개인 취향차이일 수 있지만 키캡 모서리각에 닿는 느낌이 약간 날카로움()결론적으로 효율성 높고 조용히 작업하고 싶은 분들에게 추천합니다.(리뷰 응모합니다^^)","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_07_30_0/39b490dd-b2aa-11e9-9f01-48df37269fd0_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190730_16/1564478046889y1bQX_JPEG/20190730_174303.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190730_255/1564478047108wBMKA_JPEG/20190730_174258.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190730_3/1564478047457uAylC_JPEG/20190730_174145.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190730_183/1564478047647vlVyy_JPEG/20190730_174325.jpg?type=f287']"
5,"회사에서 쓸 키보드 보고 있었는데 고민하다가 비프렌드 키보드를 알게 돼서 구매하게 됐어요 키스킨 안 끼워도 조용한데 키스킨 끼우니까 정말 일하는 줄도 모르는 것처럼 조용하더라고요 제가 딱 원하던 키보드라 재구매 의사도 있습니다

무선 키보드다 보니 끊김이 있지는 않을까 싶어서 한 달 사용 후 후기를 남기는데요 컴퓨터 본체 전면에 수신기를 꽂고 사용하니 끊김은 없었어요

그리고 회사에서 업무 프로그램을 사용하는데 아무래도 조회하는 기능이나 검색하는 기능을 많이 사용하여 F키를 자주 사용하는데 굳이 Fn키를 누르지 않아도 사용할 수 있어서 아주 좋았습니다","['https://phinf.pstatic.net/checkout/20201008_141/1602115276770Nr0ob_JPEG/review-attachment-fcb4047c-59a2-4235-9de2-025bd5c36f3a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201008_161/1602115276781vVIvR_JPEG/review-attachment-23275b81-0360-4b11-a0be-da6d1772fa08.jpeg?type=f287']"
