star_point,comment,photo
5,"새로 바꾼 키보드가 계속 오타가 나서 삼성키보드를 구입했습니다 10년 넘게 직장을 다니면서 삼성이나 LG 제품만 써보니 이제는 두회사 제품 키보드 외에는 적응이 안되나봅니다 안정된 위치, 안정된 키감, 넓은 간격과 넓은 엔터키...모두다 만족스럽습니다",[]
4,"USB방식 키보드 집 컴터랑 호환이 잘안되서 PS/2로 재주문하고 받자마자 선연결하니 전원이 안들어와 깜놀하고 토욜이라 삼성 서비스센타 문닫기 20분전 도착, PS/2방식은 컴터 전원이 꺼진 상태에서 선 연결하고 컴터 켜야된대서 다시 해보니 잘 되네요ㅋ기존에 쓰던 삼성키보드 보다 키가 약간 작아져 손이 좀 큰 편인 저는 적응하는데 시간 좀 걸릴듯요ㅋ
키보드 전체를 감싸주는 키스킨은 그런대로 만족하나 투명하면 버튼 글자나 숫자가 더 선명하게 잘 보여 덜 답답하고 좋을텐데 왜 죄다 이렇게 불투명하게 밖에 못만드는지 아직 거기까진 기술력이 부족한가봐요?ㅋ
기존에 삼성 키보드 근 10년 사용했는데 이번것도 오랫동안 고장없이 잘되길 바랄뿐임돠~~",[]
4,키보드 굉장히부드럽고 디자인도깔끔. 키보드가진짜 부드러움 맨질맨질부드러움? 별하나뺀거는 키 누를때 스프링소리가납니다. 게이밍용이아닌 사무용에 더적합하다생각합니다^^ 사무용으로산거지만.. 이거전용 키패드덮으면 키보드소음거의없음. 스프링소리는어쩔수없어요~,[]
5,"배송잘받아 바로 설치해사용했어요
가격대비 좋아요","['https://phinf.pstatic.net/checkout/20201113_67/16052446149868J9Hm_JPEG/review-attachment-9d62f080-9693-4329-b81b-3f69453af16a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201113_300/1605244624349P3zLp_JPEG/review-attachment-428da66b-67f7-4d2f-906f-c27cbcd4e882.jpeg?type=f287']"
5,잘쓰고잇습니다 조용하고좋네요,['https://phinf.pstatic.net/checkout/20201108_158/1604806668970HaxTy_PNG/review-attachment-ee45955c-6428-4c93-83a3-edb33964fd69.png?type=f287']
5,좋아요 자판도 부드럽고 가격도 짱,['https://phinf.pstatic.net/checkout/20201016_245/1602838360669TQh2Y_JPEG/review-attachment-8a4b2691-a383-414d-a8a1-58f4779319a6.jpeg?type=f287']
5,부모님 댁에 키보드가 맛이 가서 보내드렿어요. 잘쓰고 계신다고 하시네요^^,['https://phinf.pstatic.net/checkout/20201024_114/16035385431436kOfp_JPEG/review-attachment-5c52127d-61e8-4822-a43a-5cdc67f361c0.jpeg?type=f287']
5,"게이밈이든 문서작압이든 아조 좋네요
가성비 좋습니당",['https://phinf.pstatic.net/checkout/20201012_141/1602488269394uqezb_JPEG/review-attachment-5e3c118b-7a85-4c8c-a502-51124599a5cd.jpeg?type=f287']
5,빠른배송ㄱㅅ합니다~^^,['https://phinf.pstatic.net/checkout/20201019_159/1603117517330OBnLT_JPEG/review-attachment-57e297bb-2fd8-48cc-a753-9547c55bbbae.jpeg?type=f287']
4,"무선키보드쓰다가 다시 유선으로 바꿨어요
편리합니다",['https://phinf.pstatic.net/checkout/20201012_133/1602470311736nJziI_JPEG/review-attachment-e97c144a-a98a-4e88-a266-bc36fdca55b0.jpeg?type=f287']
5,무난하고 좋네요 잘쓰겟습니다.,['https://phinf.pstatic.net/checkout/20200917_127/1600269861024Hgyf6_JPEG/review-attachment-1f90780d-2dbf-470f-b299-5380f7b38a7d.jpeg?type=f287']
4,본체 단자가 고장나서 ㅠ 변환젠더추가로 구매해야겠네요 ~,['https://phinf.pstatic.net/checkout/20200831_253/1598843799182DKYnb_JPEG/review-attachment-6795902f-3e42-4a0e-8ec8-8d66f7b46b51.jpeg?type=f287']
5,굳굳 만족합니다 가성비 갑,['https://phinf.pstatic.net/checkout/20200908_74/1599546614232i1OXh_JPEG/review-attachment-f4159aab-3b3a-43de-8b3c-02395c802234.jpeg?type=f287']
5,사용감이 부드러워요,['https://phinf.pstatic.net/checkout/20200824_43/1598241560636qUMV3_JPEG/review-attachment-5e3bf398-a18a-40b9-8928-f18dc706eb64.jpeg?type=f287']
5,"컴퓨터가 있는 곳이면 키보드가 있고, 어디든 파는 것이 키보드이지만 막상 마음에 드는 키보들 구하기는 쉽지가 않은데요...본체와 일체감이 느껴지는 키스킨, 부드러운 사용감 등 만족합니다.
 
만약에 키보드가 많이 전시된 상점에서 고른다면 단순한 디자인으로 선택되기 어려울 것 같으나 쓰면 쓸수록 본연의 기능에 충실하고 오래 오래 쓸 수 있을 것 같스비나.",['https://shopping-phinf.pstatic.net/20160425_29/5c7a9fb2-259b-40b5-9e8e-0335fd96d88b.jpg?type=f287']
5,가격대비 좋습니다. 키스킨도 포함되어 있어서 더 좋아요.,['https://phinf.pstatic.net/checkout/20200808_210/1596858341601a1Etk_JPEG/review-attachment-4bb18751-b88a-43c1-b58e-7ac9c1c0ea26.jpeg?type=f287']
5,키보드 괜찮아요~ 빠른 배송 감사합니다.,['https://phinf.pstatic.net/checkout/20200830_121/1598762183616sHhgu_JPEG/review-attachment-6080dabf-69bc-4e5f-af98-4839bf7f1fef.jpeg?type=f287']
4,쓰던제품이라 편하고 좋아요,['https://phinf.pstatic.net/checkout/20200808_173/15968516168886EWaj_JPEG/review-attachment-b68f8f59-b736-4c99-8fc4-f7811ed14ed3.jpeg?type=f287']
4,싸기 때문에 계속 쓰는 키보드. 가성비는 최강이라고 봅니다.,['https://phinf.pstatic.net/checkout/20200724_275/1595585772058eLbke_JPEG/review-attachment-337dd8e5-8047-4446-8197-cb481f73a117.jpeg?type=f287']
5,회사 업무용으로 저렴하게 잘 구입했습니다. 많이 파세여,[]
4,"키스킨 없이 사용하고 있는데 부드럽게 잘 쳐 집니다.
재구매의사 있습니다.",[]
5,사용감 좋고 저렴해서 좋습니다,[]
5,감사합니다 잘받았어요,['https://phinf.pstatic.net/checkout/20200714_3/1594721232090JW1gn_JPEG/review-attachment-2c49bfd7-9f0e-49c4-beea-145f825c2f49.jpeg?type=f287']
5,유에스비인 줄 알고 샀는데 아니더라구요. 그냥 쓰려구요 만족~,[]
5,가격대비 아주 만족합니다,[]
5,만족 합니다. 부드럽고 깨끗하고 문제없습니다,[]
5,아주 좋아요 터치감도 좋고 디자인도 예뻐요,['https://phinf.pstatic.net/checkout/20200614_101/1592134774313ToPzu_JPEG/20200404_112929.jpg?type=f287']
5,빠르게 잘 받았습니다. 잘 사용 할게욤.,[]
4,배송도빠르고 제품품질도 좋네요.,[]
5,"클래식하고 조숩니다.
무게도 가볍구 키압도 부드럽고 좋네요
다만 ps2치고 반응속도도 아쉽구 키씹도 좀 있어서 게임용은 고민좀 해보셔야겠네요",[]
4,키감이 좋습니다. 만족합니다,[]
5,저렴하고 정말 좋네요,[]
5,만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다...,['https://shopping-phinf.pstatic.net/20200729_0/f1b004c9-0ee5-4b4a-ae94-f17b7145de24.jpg?type=f287']
5,빨리왔고 가성비 좋아요,['https://phinf.pstatic.net/checkout/20200523_75/1590206169270vLW4V_JPEG/DCC87D1A-70B3-4175-B2C1-C688DA6B5093.jpeg?type=f287']
4,제품은 좋은데 노트북연결하려고 구매했는데 연결부분이 usb젠더가 있어야 가능하더라구요ㅜ,[]
4,삼성정품 가격도 적당히 잘샀습니다~,[]
5,만족합니다 그냥 사서 쓰세요,[]
5,배송도빠르고 잘 왔어요,[]
5,잘모르겠어요 비싼것이나 싼것이나 큰차이를,['https://phinf.pstatic.net/checkout/20200529_61/1590727547915TvUsy_JPEG/20200528_184558.jpg?type=f287']
5,정말좋아요 너무 좋아요,[]
5,부드럽게 잘 쳐지네요 키스킨도 같이 있어 더 좋아요 잘 사용할게요 좋은제품 많이 파세요,[]
5,동시키가몇개안되는건빼곤 좋습니다,['https://phinf.pstatic.net/checkout/20200421_220/1587463583421LjGsL_JPEG/CEC7815A-EF5D-4D66-802C-8B3C6B9DCD02.jpeg?type=f287']
5,튼튼하며 사용하기조아요.,[]
5,조아조아 조아조아 조아조아,[]
5,삼성이라 좋구 가격저렴하고 배송도 빨랐네요,['https://phinf.pstatic.net/checkout/20200404_153/1585967507271nIxYL_JPEG/20200404_112929.jpg?type=f287']
5,좋은상품 싸게 잘 샀습니다,[]
5,"키스킨 추가해서 구매했어요.
예전부터 쓰던 모델이라, 자판배열이나 간격이 제일 손에 익어요.
다만 연결잭이 usb가 아니라 핀으로 되어있는? 형식이라 확인하고 사셔야할것같습니다~~",['https://phinf.pstatic.net/checkout/20200311_272/1583902693753THw6p_JPEG/KakaoTalk_20200311_135228109_02.jpg?type=f287']
4,좋아요 막쓰기 좋아요 ㄲ,[]
4,잘받았습니다 감사합니다,[]
5,감사합니다 사무실용이예요,[]
5,"총알배송 감사합니다.
가볍고 부드러운 멤브에요
게임보다는 사무용에 사용하시길~",[]
5,만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다... 만족합니다...,['https://phinf.pstatic.net/checkout/20200301_56/1583074300548Vahu6_JPEG/20190329_150530.jpg?type=f287']
5,계속 한 가지만 세 번째 사용하네요. 아주 좋습니다.,[]
5,키보드도 부드럽고 조용하고 좋네요,[]
4,깔끔하고 타자치는 감도 좋아요~,[]
5,저렴하게 잘샀네요.,[]
5,배송빠르고 좋습니다. 많이 파세요 다음에 또 주문할께요,['https://phinf.pstatic.net/checkout/20200227_19/1582794399631dINmh_JPEG/2020-02-27_17%3B40%3B24.JPEG?type=f287']
5,늘쓰던거에요조아요가성비짱,[]
5,찾던 키보드예요.... 폭신하고.. 좋아요... 빠르게 보내주셔서 일하기도 편하네요~,[]
5,늘쓰던거 근데제가사용을많이해서 고무가 금방꺼지네요,[]
5,"역시 삼성키보드입니다
맘에듣빈다~!",[]
4,너무 좋아요........,[]
5,"자판글씨가 선명하고 좋아요. 키보드 무게감이 있고 디자인이 깔끔하고
좋습니다.",[]
4,12312312312312321231231231231232,['https://phinf.pstatic.net/checkout/20200323_98/1584953572633VGI6D_JPEG/20200222_172234.jpg?type=f287']
5,저렴하고 좋아요. 근데 전원버튼이 키보드에 없어서 불편하네요. 배송 빠르고 맘에 들어요,[]
3,리뷰 사진보고 키스킨도 같이 오는줄 알았는데 키보드만 왔네요,[]
4,항상 쓰던거라 주문했어요 가격이 착해요,[]
5,늘쓰던거예요 너무조아요,[]
4,삼성,[]
