star_point,comment,photo
4,"포장이 아쉽네요. 상자도 없이 그냥 뽁뽁이 두르고 테이프로 감아서 보내주셨어요. 사진에서 보이는 것처럼 옆쪽은 노출된 상태로..

키감이 부드럽네요. 지저분해 질까봐 키스킨도 샀는데 살짝 답답하긴한데.. 그래도 지저분해지는것보다는 나으니까...
원래 게임용키보드 쓰다가 바꾼건데 그전에 쓰던게 음량조절이나 이런게 쉬워서 좋았는데 1년도 안되어서 고장나서;;
A/S 편리한 삼성껄로 구매해봤습니다.
오래 잘 썼으면 좋겠네요.","['https://phinf.pstatic.net/checkout/20200903_48/1599110697071d10UK_JPEG/review-attachment-019e89a3-5b0a-4346-b82d-682e9babdbbf.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200903_224/15991107017212P3wl_JPEG/review-attachment-32f68eba-1783-452e-bdf5-dd4edb598cb3.jpeg?type=f287']"
4,"전에 쓰던 키보드가 다른건 다 괜찮은데 숫자키가 고장이 나서 새로 구매하게 되었고요 여러제품중에 선택하기가 쉽지가 않아 브랜드성을 믿고 구매하게 되었어요 구매하신 후기도 좋고 해서요
제품 받자마자 사용해보니 둔탁함이 좀 있고요 스페이스바 라인으로는 키스킨을 덮어도 소리가 좀 나네요 가격대비 나쁘지 않은것 같아요","['https://phinf.pstatic.net/checkout/20200813_204/1597276486637gef4P_JPEG/review-attachment-4f26217f-6bc0-4451-b4ae-08ed04405eb9.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200813_125/1597276486945uP194_JPEG/review-attachment-39c2bab5-b994-434f-8b98-f2abd3a4a4ab.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200813_46/1597276486907pz8P6_JPEG/review-attachment-7baa8183-cb1a-4275-a091-a7dd59a6fb5a.jpeg?type=f287']"
5,"타브랜드 블루투스 키보드를 쓰다 가 오류가 잦아서 유선방식 키보드로 넘어왔습니다
스마트폰도 연결이 되고 PC도 연결되는 다기능 키보드는 됐다 안됐다 사용하기 어려울정도로 오류가 심하더라구요
구매한 삼성키보드는 유선이고 PC만 딱 되다보니 오류하나없고 타이핑감도 너무나 좋네요
기본에 충실한 106 키보드라 NumLock Caps Lock 등등 램프로 보여주니 직관적이고 사용하기에 편하구요
미사용시에는 실리콘 덮개를 씌워놓으니 먼지도 않쌓이고 좋습니다
무조건 추천요^^","['https://phinf.pstatic.net/checkout.phinf/20200213_260/1581560633666Q5mqY_JPEG/KakaoTalk_20200213_111950227.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200213_274/1581560636997PfCHt_JPEG/KakaoTalk_20200213_111733588.jpg?type=f287', 'https://phinf.pstatic.net/checkout.phinf/20200213_30/1581560630556V9rvq_JPEG/KakaoTalk_20200213_111951046.jpg?type=f287']"
4,"2010년에 삼성전자매장에서 컴퓨터샀었는데
그 때 산 키보드를 아직까지 쓰고있었는데
덮개도 다 찢어지고 키보드도 더러워서
이상은 없지만 바꿨어요 ㅜ.ㅠㅎ
근데 10년 된 키보드가 더 좋은 느낌이에요.
부드럽고..

이 키보드는 뭔가 각이지고 가벼운느낌이랄까?
가볍고 힘없는 그냥 싼티나는 키보드같아요.

아직 하자는 발견못했구요..

개인적으로 10년 전 삼성 키보드가 더 좋지만.
적응하면 괜찮겠죠?? 뭔가 오타가 더 잘나요 ㅎ

좋은 점은 싸다는 거.
그거.. 한가지.ㅎㅎ",['https://phinf.pstatic.net/checkout/20200613_158/1592020547612etJqJ_JPEG/15920204705811818522206.jpg?type=f287']
2,"2만원짜리 TG 무선 키보드 마우스 세트 구매했다가 키가 간헐적으로 씹혀서 유선방식 믿을만한 삼성 제품으로 재구매했는데요, 멤브레인이라 크게 기대는 안했지만 키감은 (멤브레인치곤) 상당히 좋습니다.
단점은 키캡의 평평한 부분이 좁고 키가 깊은 편이라 저같이 타자 야매로 익히신 분들은 적응하기까지 오타가 꽤 날 거 같습니다. 그리고 게임할 때 보니까 제 키 설정이 w 전진, r 달리기, 스페이스 점프로 돼있는데 wr 누르면서 스페이스 누르면 스페이스가 씹힙니다. (달리면서 점프를 못한단 뜻) 이게 진짜... 하... 열이 좀 받네요? ㅎㅎ (이거 말고도 씹히는 키조합이 많이 있습니다. 왼쪽에 많은듯) 뭐 요즘 개발할 게 있어서 바쁘기도 하고 어차피 좀 있으면 기계식 새로 살거고 여분의 키보드가 있으면 좋을거같아 반품은 안하겠지만... 조금 실망입니다",[]
5,"이마트가서 얼떨결에 지나가다 한번 눌러보고
아, 소음이 적구나 되게 키보드가 부드럽구나 느껴봤는데
그 다다음날 키보드 고장나서 그냥 인터넷으로 같은거 구입했어요

되게 배송 빠르고 저소음이고 진짜 부드럽네요
사무실에서 쓰고있어요",['https://phinf.pstatic.net/checkout/20201012_265/1602473545227OXf3y_JPEG/review-attachment-1bef28bc-a0b2-4958-8894-36037814f3a0.jpeg?type=f287']
3,"멤브레인 키보드 웬만한거 싹다 사서 써봤는데 이거 키보드는 그냥 보통이군요 뭐랄까 사무실에서나 업무, RPG게임 할때 유용할거 같다라는 느낌을 받았습니다 키감좋고 소음 그렇게 크지는 않아요 키스킨 덮어서 쓰시는분들도 많고 빼고 쓰시는분들도 많으신데 개인취향인듯 합니다 별 3개가 딱 맞겠네요",['https://phinf.pstatic.net/checkout/20200722_235/15954100431504ssvj_JPEG/review-attachment-e279c315-d339-4454-9293-2d381efc282a.jpeg?type=f287']
5,"제가 제일 좋아하는 키보드에요~ 정말 지금까지 사용해본 무선키보드와 블루투스키보드 유선키보드 모두 중에서 가장 마음에 들고 가장 키보드 타이핑할 때의 손가락 타이핑되는 느낌이며 반동도 좋은 키보드에요, 엔터 키도 넓어서 문서 작업 마니 해야할 때 넘 편해요~ 제발 단종되지 말고 계속 네이버쇼핑에서 판매해주세요 ㅠ_ㅜ 저 정말 제 최애 키보드에요~ 앞으로도 이 제품만 살 거니까 제발 단종하지 마세요~ 저 정말 너무 마음에 드는 삼성 유선키보드에요~ 그럼 마니 파세요, 감사합니다~",[]
3,"하이마트 모바일앱 판매가 15,000원 구로롯데마트점 전시가격 15,500원 배송비감안하면 500원 그정도야 하며 매장에서 구입 . 결제하고 보니 영수증은 23,000원... 전시된금액이랑 가격이 안 맞다고 항의 하니 매장에서는 코드명으로 등록된가격으로만 결제된다고 함.. 오늘 내일 꼭 필요해서 열받은 채로 가고 하이마트 본사측에 항의 하려다가. 모바일앱 구입할때 스마트픽으로 직접수령가능하것을 알게됨. 15,000원에 일부할인도 받아 모바일앱으로 스마트픽으로 구로롯데마트점에서 수령하는걸로 결제함.
매장에서 구입한거 반품요청하여 23,000원 결제 취소함. 그리고 스마트 픽으로 수령할거라고 하니 내폰에 주문됀거 보고 제품은 그대로 두고 시스템상 시간이 좀걸린다고하며 문자받으면 수령가능하다고 하여 문자오는거 기다림.
스마트픽 수령시 제품준비상태로 눈앞에 보이는대도 시스템관련으로 수령시 까지 시간소요됨.
왜 하이마트이고 같은 모델 같은 코드명인데 가격이 이렇게 차이가 날수 있나요?","['https://shopping-phinf.pstatic.net/20200214_17/09ec9bc4-f8a5-40ae-ac16-18766fb89e67.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200214_28/746a6121-2d3a-41c0-a5a3-51becfc830d5.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20200214_27/f320ea79-308f-4951-a0fe-d304ed1924cb.jpg?type=f287']"
5,"진짜 최고에요 여기서 사길 정말 잘한것같아요 회사에서 쓰려고 구매한건데 너무 손이 편해요!
그리고 정말 좋았던건 제가 문의를 남겼었는데 친절하시고 답변도 빨랐고 게다가 제가 키보드를 잘몰라서 그냥 다 똑같은줄 알고 다른 버전으로 살뻔했거든요. 근데 먼저 usb타입이 있다고 말씀해주셔서 감동이였어요! 덕분에 usb타입으로 사서 잘쓰고있어요",[]
3,노트북 키보드 상태가 별로라 수리하려고 알아보니 너무 비싸서 다소 불편하더라도 유선키보드 연결하여 쓰고자 구매했습니다. 소음이 노트북 키보드보다는 훨씬 크기 때문에 조용한 공간에서 쓰셔야 하는 분들은 그리 추천하지 않고요. 타자감도 어쩐지 노트북을 주로 쳐서 그런지 피곤한 느낌이네요.. 아직 익숙하지 않아서 그렇겠죠? 반품할까 하다가 배송비 지불하느니 그냥 쓰자 싶어서 구매확정합니다. 기본 기능에는 충실한 키보드입니다. 장점도 단점도 딱히 없는 정도랄까요?,[]
4,처음에 SPA-JKA1BUB로 구매했었는데.. ctrl 키가 안되어 교환받았는데... 교환받은 키보드는 T키와Y키 그리고 BACKSPACE키가 안되더군요.. 키보드가 문제가 있는데도 판매처에서는 호환성 문제라며 삼성센터 전화번호를 알려주더군요..삼성센터에서는 제품불량이라고 얘기하는데.. 판매자가 호환성 문제라며 교환 및 반품시기를 늦췄습니다.11월12일 구매해서 12월 4일에 반품발송했습니다. 제품을 믿을수 없어 반품하는데 걸린 시간이 3주이상 걸렸네요.반품하고 삼성정품 SKG-3000UB로 다시 구매했는데... 키 모두 잘 되고요... 인식도 잘 됩니다.. 만족합니다.다만 키스킨이 제공 안되는것이 아쉽네요.그래도 추천할만합니다.,['https://shopping-phinf.pstatic.net/20191219_7/ac9e2a94-57c5-4f5d-a0aa-5b98f6244e62.jpg?type=f287']
5,요즘 더위 및 택배기사님들 과로로 인해 당연히 사나흘 걸릴 거라고 생각했는데 하루만에 도착해서 깜짝 놀랐습니다. 본래의 목적(?)과는 달리 사무실 업무용으로 쓰고 있는데 타이핑도 부드럽고 무엇보다 소음이 적어서 매우 좋아요. 더 일찍 키보드를 바꿨어야 했는데! 하면서 아쉬워했습니다 ㅎㅎ,[]
