star_point,comment,photo
5,기존에 삼성키보드 구형을 썼는데 지지대가 부러지고 오래돼서 이번에 바꿨습니다.전반적으로 기존 모델보다 전체 크기와 키 싸이즈가 작아졌고 키캄이 많이 부드러워 졌습니다.아직 손에는 잘 안익지만 요즘 트랜드가 이렇게 작은 키이니 적응하려고 합니다. ^^,[]
5,"삼성 노트북 Pen S, 윈도우10 쓰고 있는데 잘 작동합니다. 오른쪽 상단의 넘버락 등도 불 잘 들어옵니다. 그리고 무소음은 아니고 저소음 키보드입니다! 노트북 자판에 키스킨 씌운 것보다는 시끄러운데 그래도 이정도면 만족합니다~",['https://phinf.pstatic.net/checkout/20200826_123/1598424750837Uzr7i_JPEG/review-attachment-ed89b39f-2b05-46f1-9299-70d263c1e7f5.jpeg?type=f287']
5,윈도우10에서 예전에 사용한 ps2 키보드가 작동이 안된다고 해서 구매했는데 ps2 키보드도 작동이 잘되네요. 이번에 구매한 삼성키보드는 나중에 사용해야겠네요. 최근에 생산된 성능도 우수한 가성비 최고의 제품이네요. 함께 구매한 마우스도 사용하기 편하고 좋아요. 삼성정품 스토아라서 믿고 구매할수 있어서 좋습니다.,[]
5,"역시 삼성이네요. 키스킨까지 포함해서 배송해주셔서 감사합니다.
어렸을때는 키스킨 벗겨 사용하고 타닥거리는 소리가 좋았는데
나이드니까 편하고 오래쓸수있는게 최고인듯하네요
다른 저렴한 키보드를 사니까 오래 못쓰고 키가 고장나고해서 바꿨습니다.
오래 사용할수있었음 좋겠네용!ㅎㅎ",[]
3,장점은 넘 타자 칠 때 부드러워요~단점은 뭔가 쫌 넓은 느낌이라서 오타가 잘 나요 ㅠㅠ 한자키가 다른 키보드와 다르게 배치되어 있어서 스페이스바가 긴 느낌입니다.~적응되면 좋을 것 같습니다.소음은 스킨 있으면 괜찮은대 없으면 보통 키보드와 다르지 않아요~,[]
1,구매확정 누르고나서 문제점이 있다는걸 알았네요 방향키 ↙↓같이 누르면 대각선으로 이동 안하고 아래로만 이동하네요 안눌리는게 있나 한번씩 눌러보고 정상인거같아 구매확정을 눌렀지만 설마 대각선이동에서 문제점이 있을줄은 몰랐네요 이미 구매확정 눌러서 교환도 안되겠고 그냥저냥 쓰다가 조만간 새로 사야겠네요,[]
3,"처음엔 F7키가 다른키들보다 살짝 내려가 있더니 리뷰쓰면서 보니 스크린샷키도 살짝 내려가있네요. 다음엔 어떤게 그럴지..ㅎㅎ
사용상에 지장이 없고 교환하고 하는게 귀찮아 그냥 사용합니다.
제조업체에서 제품 검수에 좀더 신경을 써야될듯해 보입니다.",['https://phinf.pstatic.net/checkout/20191227_114/1577414817470Eu9Ww_JPEG/20191227_114411.jpg?type=f287']
5,노트북 키보드가 갑자기 몇개 고장나서 급하게 주문했습니다. 처음에 연결해서는 키보드에 numlock키에 불도 안들어오고 자판도 인식안되서 불량인가 했네요. 게다가 노트북 속도까지 느려지더라구요. 재부팅하고 나서 언제그랬냐는듯 잘됩니다.,[]
5,"배송 아주 빠릅니다. 주문 바로 다음날 도착했고, 상품포장은 실속으로 왔고, 제품은 아주 맘에 듭니다. 스킨도 따로 있구요.
다만 택배는 로제택배였는데 근무중임에도 불구하고 1층 데스크에 배송하고 문자만 딸랑 하나 보내더군요. 다른 택배는 사무실까지 다 배송해 주는데요.",[]
3,"말 그대로 입니다. 구매시 주의하셔야 됩니다. 키보드 버튼의 작동오류를 사용해보니 문제가 없다고 주장하고, 그렇기 때문에 택배비를 이체해야 환불이나 교환이 가능하다며 볼모로 잡으시네요. 제품만 삼성이지 어디서 검수하다 B급처러 받은 물건들 떠넘기는 것 같습니다. 작동 오류도 일주일 정도 지나니 발생하네요컨트롤 키의 문제입니다. 그리고 반송을 하기 전에 새 제품을 보내줘야지, 키보드만 가져가면 컴퓨터를 어떻게 사용하라는건지...사고 처리과정도 이해가 되지 않네요.",['https://shopping-phinf.pstatic.net/20190627_6/a0522bae-2e16-460a-aff3-254d91e3b4cf.jpg?type=f287']
1,"12월6일자 주문 물건받고 확인해보니 USB전원 상태가 불량이라 교환을 요청했는데, 공장에 들어가서 나와야 한다고 아직도 상품을 보내지 않고 있네요.. 벌써10일 지나가는데, 환불요청했는데, 연락준다고 하고 연락도 없네요 ㅠㅠ",[]
4,컴퓨터로 사고 온 키보드가 너무 안좋아서 키보드를 찾아보는 중 이 제품이 적당한것 같아 주문을 했습니다. 우선 가격적인 면은 마음에 듭니다. 저렴한 가격이라 부담없이 구매를 할 수 있었습니다. 진짜 키보드의 키감을 많이 중요시 하는 분들에게는 비추천 드리는 상품입니다. 딱 가격만큼의 키보드인 것 같습니다.!!,[]
5,삼성전자 삼성전자 SPA-JKA1BUB 유선키보드 USB연결방식 할인가 후기사무실용 키보드 전 이것만 써요.사무실 키보드 비쌀필요는 없지만 너무 싸구려 키보드들은 불편해요.이 정도는 되야 일할만 하죠.다음에도 사무실 키보드는 이걸로 구매할래요.,['https://shopping-phinf.pstatic.net/20190627_29/50a64c29-29c1-4548-b143-20858fa67c3b.jpg?type=f287']
