star_point,comment,photo
4,"공식인증 대리점이라고 해서 믿고 구매했어요. 제품은 좋은거 같아요 오빠가 신나하네요. 다른것보다 삼성이라는것도 믿음이가요.
키보드는 청축을 주문했고 탁탁 pc방 그런 느낌이네요. 색도 알록달록 이뻐요. 청축이 게임용이란걸 알고 주문했기에 만족하고요. 저같이 워드 위주인 분들은 청축말고 다른거 하시거나 적응 또는 키보드 두개 쓰시는것도 좋을거 같아요.
배송은 빠르고 키보드 마우스 같이 시켰는데 마우스가 누락돼서 아쉬웠지만, 그나마 대응이 빠르셔서 마우스 다음날 바로 받았네요. 고객센터에서 전화 바로 받으시고 대응 빠르시니 그부분은 좋았습니다.
사은품으로 주신 장패드 잘 받았습니다.
이건 택배문제인데 처음 키보드만 온 택배 ㅜㅜ택배기사님을 엘베에서 우연히 만나 받아왔는데 박스가 젖었고 너덜너덜 그나마 제품이 빠져나갈만한 구멍은 아니였어요. 문제 있으면 연락달라하셨는데 젖은게 생선물 이더라구요. 다행히 물품은 키보드 박스만 조금 젖어서 물티슈로 닦아냈지만 방바닥과 집안에 퍼진 생선비린내 난감하더군요.
요즘 같은시기 모두 힘들지만 택배기사님들도 힘드시겠다 싶어 별말씀은 안드렸습니다. 이왕이면 보내실때 주의표시 스티커든 글씨던 표시해주시고 뽁뽁이라도 넣어주시면 좋을거 같아요. 파손이 우려되네요.","['https://phinf.pstatic.net/checkout/20200916_71/1600250003397gyMaS_JPEG/review-attachment-99b015a7-cbf7-42bb-b9f1-fc9d7d129b48.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_163/1600250015028FCAuQ_JPEG/review-attachment-5c0c3e9f-623a-453f-bb21-d5acac564f66.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_190/1600250102775Wd6Wx_JPEG/review-attachment-7a5f6ada-ddd4-41a2-bb87-91ec45cea72e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_35/1600250152639EQnCE_JPEG/review-attachment-5c293742-2f29-403c-b8c9-4d9acc30edec.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200916_193/1600250216168JnYOr_JPEG/review-attachment-46a00b0e-f5c4-41a5-bc2f-487b124b5c96.jpeg?type=f287']"
5,"주로 업무용으로 사용하지만, 게임을 할 수도있기에 게임키보드를 찾아보다 가성비에 믿을만한 삼성 게이밍 키보드를 구매했습니다.

뽑기 잘뽑혔구요 피시방키보드는 너무 쎄서 저는 초보이기때문에 적축으로 시켰는데 타자감이나 속도감 모두 마음에 듭니다.

인터넷 블로그들 참조하니 갈축살바엔 적축을 추천하더군요.

적축도 타타타다닥 .

불빛도 너무. 보내주신 사은품도 잘 받았고, 추가로 이 리뷰로 마우스까지 주시니 일거양득입니다.

삼성노트북에 연결하니 자동으로 시작되고 가격대비 괜찮은 성능이라 생각됩니다.

이상 키알못의 후기였습니다^-^","['https://phinf.pstatic.net/checkout/20200811_229/1597145387277gCyzM_JPEG/review-attachment-29e57b5c-aed2-4f52-b86f-db0bc19b4641.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200811_172/15971453954369PcFy_JPEG/review-attachment-ce832403-9820-482a-a47b-ac3377a84fcb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200811_167/1597145403428vdBgP_JPEG/review-attachment-122124bf-ef6c-46b2-a6b8-d907ccc52744.jpeg?type=f287']"
5,"일단 키보드가 묵직하고 고무패드의 질이 좋아서 잘 안밀리고, 높이 조절 이 잘됨. 그리고 우리 형이 쓰는 커세어 키보드랑 키감이 비슷해서 너무 좋음. LED가 밝고, 모드가 많으니까 재미있음. 아무래도 내 인생 키볻, 찾은거같다. 오늘이 첫 날이라서 내구성은 모르겠지만, 내구성까지 좋다면 또사야지~~(아 장패드는 이미 있어서 형한테 줌)
여러분 삼성은 삼성입니다.
(하지만 스테빌라이저의 품질이 우와! 하는 정도는 아니어서 소리에 민감한 분들은 거슬릴수도 있음! 하지만 난 이게더 마음에 드는듯!)

마지막으로 삼성 사랑해요!!!

P.S. 지금 리뷰도 이 키보드로 쓰는중","['https://phinf.pstatic.net/checkout/20201023_211/1603432649557pUfoO_JPEG/review-attachment-183188ab-c60f-442e-aaa5-3a3f60eae193.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201023_185/1603432649514YrB7W_JPEG/review-attachment-9fc538c6-7085-4df1-b1ee-11172b209853.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201023_167/1603432648757pLS0T_JPEG/review-attachment-34d027a0-9167-45d2-9790-ebd202bdbfc9.jpeg?type=f287']"
5,"조금이라도 소음을 줄이기 위해서 적축으로 구매했습니다. 일반키보드보다 약간 시끄러운 정도고 기계식키보드 특유의 짤깍거리는 소리는 거의 없네요. LED도 예쁘고 디자인도 좋고 키 높이, 경사 모두 적당합니다.
그리고 별로 신경안썼는데 Fn기능이랑 키보드에 Fn기능 아이콘 그려져있는 것도 정말 보기 좋게 잘 그려져있네요.
개인적으로 너무 반짝거리는거 싫어합니다. 그런데 삼성 기계식키보드는 하단부 사이드 LED를 따로 끄거나 옵션을 줄 수 있고 LED 대기/클릭 액션도 여러가지가 준비되어 있어서 마음에 듭니다. 저는 간단하게 항상 꺼져있다가 누른 키에만 잠깐 불빛 들어오는걸로 쓰고 있는데 정말 마음에 드네요.
게임도 잘 됩니다. 키보드 바꾸고 나서는 반응속도도 빨라지고 키충돌도 없어서 연승했네요.
다른 저가형 기계식키보드 보면 내구성이 구리다거나 여러 LED가 이상하다든가 단점이 많은것 같은데 개인적으로 아주 만족하며 사용중입니다. 역시 전자제품은 삼성입니다.","['https://phinf.pstatic.net/checkout/20200810_239/1597058150928C6CcC_JPEG/review-attachment-f91283eb-15d6-46f4-bae0-f8fffb0beb49.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200810_173/1597058151074axMWG_JPEG/review-attachment-d429e357-c6ef-4e06-817d-f4f16462eecc.jpeg?type=f287']"
5,청축이 딱 그 PC방 촥촥소리나는 타감이구 빛나오는것도 여러가지라 원하는방식으로 선택할수있어서 굉장히 좋은거같아요!!기계식 키보드가 그렇게 싼편이 아니라 엄청 고민하다가 구매했는데 완전 만족합니다ㅎㅎ불빛나오는건 총8가진데 영상 첨부가5개밖에 안되는게 아쉽ㅠ가격대비 너무너무 만족 해요!!절대 후회안함!!,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_14_0/66982212-de1f-11ea-bb83-505dacfba98a_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_14_0/7685bd45-de1f-11ea-bb83-505dacfba98a_03.jpg?type=f287', 'https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_14_0/8753581c-de1f-11ea-8978-505dac8c385b_03.jpg?type=f287']"
2,"가격적인 포지션이 적당해서 구입해봤습니다 갈축답게 적축청축 그사이정도의 소리이고 LED빛 선명해서 보기좋고 스텝스컬쳐2 방식이라 키입력할때 확실히 오타없이 잘눌립니다 키모양이나 각인도 반듯해서 보기좋아요 하.지.만. 이모델 치명적인 단점으로 통울림이 심합니다 키 누르고 뗄때마다 스프링소리와 동반되는 그 텅텅거림은 정말 싼티납니다 2,3만원대 키보드도 아니고 6만원돈 되는 키보드가 이런소리가 나다니 정말 실망감이 커요.. 소리에 민감한 분들은 분명히 거슬리실겁니다 기존키보드 고장나고 급하게 필요해서 급하게 결정했고 그냥 쓰고있지만 '삼성' 브랜드 이미지 하나보고 샀는데 실망감이 크네요",['https://phinf.pstatic.net/checkout/20200831_1/1598846425476kL7uH_JPEG/review-attachment-2d3904a5-c755-4ff2-9a3d-a09a82cd30c1.jpeg?type=f287']
5,"기존에 쓰던 제품을 버리고 이번에 키보드를 새로 고르다가 이 제품을 선택하게 되었어요. 기계식키보드 특유의 짤깍거리는 소리는 거의 없고 LED도 예쁘고 디자인도 좋고 무게감, 키높이, 경사, 불빛 모두 적당합니다. 또한 하단부 사이드 LED를 따로 끄거나 옵션을 줄 수 있고 LED 대기/클릭 액션도 여러가지가 준비되어 있어서 마음에 든다. 게임은 하지 않지만 다른 저가형 기계식키보드를 쓰다가 이 제품을 써보니 역시 전자제품은 삼성인 것 같습니다. 사은품 마우스패드도 두껍고 맘에 쏙 들어요. 삼성키보드 처음 쓰는데 기대가 되네요. 번창하세요.","['https://phinf.pstatic.net/checkout/20200902_3/1599037120529k8uqc_JPEG/review-attachment-dcdc5026-3ee6-44bd-b6c5-0b255ace9e18.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200902_31/1599037131729GRXvi_JPEG/review-attachment-03434879-c623-44ce-975c-38479ac15ba7.jpeg?type=f287']"
4,1. 소음갈축 키보드여서 그런지 사무실에서도 너무 시끄럽지 않고 적당합니다.딱 제가 원하던 정도의 경쾌한 소리가 나서 좋네요.2. 키감좀 더 써봐야겠지만 씹히는 키도 없고 인식률은 좋습니다.다만 스페이스바가 긴 편이어서 적응이 필요하지만 104키의 특성이려니 하고 있습니다.3. 호환성사무실 데스크탑과 개인 노트북 모두 USB 연결만 하면 별도의 program 설치 없이도 바로 인식이 잘 됩니다. 4. 키보드 기능개인적으로는 윈도우키 잠금 기능이 제일 마음에 듭니다. 5. 사은품으로 받은 패드는 절대 품질이 떨어지지 않습니다 하나 산 느낌 원래 패드까는걸 좋아하는데 정말 이쁘네요좀 더 써봐야 알겠지만 현재까지는 가성비도 좋고 터치감도 좋네요,[]
5,"아빠 선물로 구매한 키보드인데요. 우선 LED가 매우 예쁘더라구요! 기계식 적축이라 타이핑 시 소리도 착착 감기고요!! 아빠는 매우 만족하십니다 ^^ 삼성 정품이라 A/S 도 되고, 특히 같이 온 마우스 패드가 생각보다 고퀄리티라 놀랐어요! 잭 연결하자마자 특별한 설정 없이 바로 사용가능해서 간편했습니다. 너무 좋아요!","['https://phinf.pstatic.net/checkout/20200825_15/1598350377662p331K_JPEG/review-attachment-b711497d-e06e-4b67-aac5-12adcb4edde3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200825_109/15983503846728BCzX_JPEG/review-attachment-b9ad4291-9daa-4d48-a5d4-61719bb2e94f.jpeg?type=f287']"
5,우선 기계식 키보드는 처음 사용하는 사람으로써 엄청 좋아요 소리도 적당 하고 키감도 죽여주네요. 바닥에 고정도 잘 되구요. 다른 좋은 기계식 키보드 사용하려면 10만원 이상이던데 싸게 잘 산거 같아요 많이 파세요 그리고 모드중에 키보드 칠 때 마다 친 부위만 불빛이 나오는게 너무 이쁘네요.. 강추,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_10_16_0/1c568744-0f8d-11eb-9fea-505dac8c385b_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20201016_248/1602838425118SfBbF_JPEG/review-attachment-752829ec-3074-4820-9fa1-72092c82980d.jpeg?type=f287']"
