star_point,comment,photo
5,"이 리뷰리뷰는 해당 제품을 사용해서 작성하고 있습니다.
항상 검정색 자판 키보드만 사용했었는데 흰색자판은 처음 구매했는데 엄청 이쁩니다.
블루투스 연결도 잘되고 타자감도 너무 좋습니다.
약간의 단점은 평소 사용하던 키보드보다 크기가 작아서 타자칠때 적응이 잘 되지 않는 편입니다.
조금은 연습과 적응이 필요해보입니다.
그외에는 너무 잘 만든 블루투스 키보드인듯 합니다.
열고 닫을때 뻑뻑하다는 분들도 있는거 같던데 저는 뽑기운이 좋았는지 부드럽게 열고 닫칩니다.
함께 제공해주시는 스티커 붙이니 키보드 양쪽끝 지지도 잘되어서 타자칠때 전혀 불편감이 없습니다.
이 제품을 구매하면 후회하지 않을듯 합니다.
접어서 가지고 다닐때 전혀 불편감이 없을듯 합니다.","['https://phinf.pstatic.net/checkout/20201101_126/1604203006099M5ODx_JPEG/review-attachment-3fada3e2-3eb9-4ba1-83b2-dcd6f548670d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201101_71/1604202994045nmi2V_JPEG/review-attachment-83720b89-3e10-42fc-80cd-169fed16f619.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201101_102/160420300082579s1m_JPEG/review-attachment-b9b3f0a3-7962-4370-a681-8ca950315a25.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201101_201/1604203006884VxdQe_JPEG/review-attachment-98319e4b-3ba3-4b06-adcb-088242bd9f39.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201101_35/1604203006845Oo6jN_JPEG/review-attachment-b7466421-1aa4-45f9-a9f8-4d9d7f437e22.jpeg?type=f287']"
5,"핸드폰 타자를 한손으로 하는 저는 당연히 타자가 느리겠죠... 게다가 그 손으로 블로그를 했었는데요... 한손만 계속 쓰다 보니....손목도 아파했었고...그런 저에게 동생이 피스넷을 선물로 해줬었어요. 그렇게 처음 피스넷에 입문 했지요...ㅎ
덕분에 블로그할때도 편하게 썼었고... 오래쓰다보니 망가져서 못쓰게 되었는데 저희 아들이 생일선물로 사줘서 두번째 쓰게 되었네요...
지금 리뷰도 피스넷으로 쓰고 있다는 ㅎㅎ
저는 너무너무 편리하게 잘 썼던 그리고 또 다시 잘 쓸 상품이랍니다.
여러방면에서 사용하기가 너무 좋아요~ 잘 쓰겠습니다~!","['https://phinf.pstatic.net/checkout/20201120_166/1605850784182awymp_JPEG/review-attachment-08c7e14c-94d3-4866-a03d-ce64b64775e6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201120_125/1605850784163BC6hN_JPEG/review-attachment-9f733347-d072-4283-b80c-0ee9318c6aef.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201120_192/1605850784228IrSVH_JPEG/review-attachment-1c4cb9b6-4bee-471d-a938-f72cdd843aa8.jpeg?type=f287']"
5,"기전에 쓰던게 모음이 두번씩 눌리고 오류가 너무 심해 구매 했어요! 블투 3.0이구 출시한지 쫌 오래됐지만 평도 너무 좋구 3단 접이식! 휴대가 나무 편해서 구매했습니다 (◍•ڡ•◍)
배송은 말할 것도 없구 대 만족쓰 입니다!!","['https://phinf.pstatic.net/checkout/20200805_143/1596626034720ftAOr_JPEG/review-attachment-3e24e106-f784-4006-9ff4-5932f8a68c68.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_141/1596626035211TISM8_JPEG/review-attachment-cb792123-277a-42af-91fe-8b3bf90a5f4e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_101/1596626035820xrNhT_JPEG/review-attachment-6ef4c0e5-02d4-40fd-a55c-1b2d29819aa1.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_49/1596626035621rQluN_JPEG/review-attachment-ce3f72a6-6165-419d-b4ab-ec4a6d153f22.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200805_167/1596626037589sy5Jx_JPEG/review-attachment-e6dc9c1a-0c08-4138-94b3-5c2aa8377c96.jpeg?type=f287']"
4,처음에 받고서 왼쪽이 반만 열려서 불량인줄 알고 실망했다가 힘줘서 열었더니 접합부가 맞아져서 잘 작동한다는 후기보고 용기를 얻어서 똑같이 해보니까 활짝 펼쳐졌어요. 첫번째사진 펼져지는 부분 양쪽을 보면 왼쪽이 엇나가 있는게 보일거에요 이걸 맞춰야 한다는 느낌을 갖고(?) 열었어요. 두번째 사진은 맞춘 후 입니다. 아마 다른 분 후기 없었으면 시간이 걸리더라도 교환했을것 같아요. 저는 급해서 이렇게 해결했구요 상황에 따라 마음편하신 방법을 추천해요. 이런 경우가 있을수도 있다는걸 전하기 위해 써봅니다. 이제는 열고닫고 잘돼서 잘쓰고있어요. 블루투스 키보드 알아볼때 무조건 휴대성이 1순위였던만큼 접으면 작고 가벼워서 만족스러워요. 쓰던 키보드보다 작아서 오타가 쫌 있었지만 금방 적응이 돼서 잘 사용할듯 하네요.,"['https://phinf.pstatic.net/checkout/20200521_257/15900291180814PJCR_JPEG/20200521_09044301.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200521_44/1590029129860HyAJL_JPEG/20200521_114415.jpg?type=f287']"
5,"정말 맘에 듭니다. 다른 키보드도 같이 알아보고 다른거에 미련도 좀 남았는데 받고 나니 싹사라졌어요 ㅋㅋ
아이패드가 골드라 골드사고 싶었지만 없어서 실버샀는데 잘어울리고 예뻐요 손이 작은편인데 접으면 손에 쏙들어옵니다.
키감도 좋은편이고 블루투스 키보드 첨써보는데 불편함없어요.

고무스티커는 붙이면 못생김이 더해지지만.... 붙이는게 안정감있고 쓰기에 더 좋아요","['https://phinf.pstatic.net/checkout/20201005_161/1601883944840lO6Ny_JPEG/review-attachment-fda36055-a2c0-45a2-ac5b-11900c1645a7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201005_75/1601883945120SH7jL_JPEG/review-attachment-fdd18f46-2dd6-4341-b883-3ce5eb0a9254.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201005_5/1601883945052nPAE8_JPEG/review-attachment-cec9cdb0-f117-457a-bc7e-1e537e9d4a2f.jpeg?type=f287']"
5,"일단 정말 휴대성 갑 입니다! 진짜 가벼워요. 디자인도 군더더기 없이 깔끔합니다. 키감도 괜찮아요. 다만, 소리가 조용한 편은 아니라서 독서실같이 조용한 장소에서는 사용할 수 없을 것 같아서 그 점만 조금 아쉽네요 그래도 전체적으로 만족합니다. 산거 후회안하고 잘 쓸 거 같아요. 전 손이 작은편이라 오래 사용하더라도 불편하진 않더라구요. 아이패드 에어3기준으로 가로길이가 키보드 펼쳤을 때 전체길이랑 거의 같아요. 일단 가볍고 접이식이라 들고다니기 전혀 불편하지 않아요. 주변에 추천하고 다닙니다!","['https://phinf.pstatic.net/checkout/20200521_300/1590046352138aD7MH_JPEG/5CC9E437-3483-49F7-B1DC-D59CBE080B8C.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200521_125/1590046351792LpIFI_JPEG/154BCE83-DA8E-4435-88FA-03E3DE42AD12.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200521_300/1590046418744IBJ38_JPEG/image.jpg?type=f287']"
4,세번째 구입하고 있습니다. 주로 여행지에서 시용하는데 휴대성 좋구요 키감도 좋습니다. 추천합니다. 다만 세번째 구입이유는 키보드가 2년 정도 사용하면 버튼이 한 두개 눌러지지 않는 경우가 있습니다. 또 별도 구입한 커버는 모서리 부분이 금방 헤지는 느낌이 있습니다.,"['https://phinf.pstatic.net/checkout/20200818_155/1597736852829zlNdz_JPEG/review-attachment-3c48855e-8a6a-4d9d-b200-da34760f120f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200818_252/1597736854387XjSlg_JPEG/review-attachment-30aa996a-2574-44ed-ba84-ec27a0039cfb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200818_148/1597736854255EqiC4_JPEG/review-attachment-9a28c063-b117-414e-9ebb-219091fea084.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200818_79/1597736854735SxmMb_JPEG/review-attachment-a0e76b51-a65e-4812-8bdc-4dc0528b3895.jpeg?type=f287']"
5,최근에 아이패드를 사서 함께 사용할 키보드가 필요했습니다. 시중에 정말 다양한 제품이 있더군요. 그래서 반신반의로 구입했는데 제품 받고 바로 사용해보니 잘 샀다는 생각 들어요! 페어링도 잘 되고 키 배열이 노트북과 거의 비슷해 타이핑 하는데 불편함이 없어 금방 적응 할거 같습니다. 게다가 작고 예쁘기까지 하니 더 마음에 들어요 좋은 제품 잘 받았고 잘 쓰겠습니다!,"['https://phinf.pstatic.net/checkout/20201110_205/1604984979495mkUNV_JPEG/review-attachment-593f986d-92af-4201-9ee3-576e750da9ac.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201110_176/1604984980114gcJiG_JPEG/review-attachment-23833ece-9218-49af-8ef1-470450d2d754.jpeg?type=f287']"
5,"2019년초에 구입한 엘지 블루투스 롤리키보드(KBB-710)를 사용하다 블루투스 접속이 자주 단절되고
노트북 키보드와 다른 배치로 어려움을 경험하다 바로
8월 중순에 결국 키보드 두번째 줄이 물리적으로 아예
동작이 안되는 사태가 발생하였읍니다.
10만원 넘는 거금을 주고 구입해서 어찌하든 서비스를 받을려고 서비스 센타로 연락하니 물리적 고장은 수리비가 더 나온다고 새로 구입하라고 충고하더군요.
여러 지인께 물어보니 피스넷폴더 제품이 품질 및 성능대비 가성비가 좋다는 애기를 듣고 속는샘 치고 구입
했는데, 저의 예상을 훨씬 뛰어넘는 사용편의성, 내구성
특히 삼단 폴더로 이전 엘지 롤리키보드보다 확실히
고장날 위험이 낮다는 확신을 가지게 되었읍니다.
얼마전 구입한 엘지 G패드5(LMT605) 태블릿과 페어링
하여 문서작업도 했는데 블루투스 접속, 키보드 터치감,
키보드 입력 편의성이 이전 엘지 제품과는 비교가 되지
않을 정도로 좋았읍니다. 아주 만족합니다!",[]
5,"옷가게를 하다보니 항상 고객 상담을 폰으로 하기가 손목 손가락 근육 경련이 일어날 정도인데, 상담의 신서계가 열렸어요 정말 신박해요 타자감도 좋고 페어링도 자동으로 잘 되고, 아직 쓴지 이틀이라 더 써봐야 알겠지만... 휴대성도 좋고, 이틀 써본 상태론 만족스럽구요 아쉬운 점도 분명 있긴하지만 ... 없는것보단 일하기 훨 편리하니까요
케이스 같이 구매해서 어디에서나 세울수있고 여튼 좋슴당~ 잔고장만 안났음 좋겠어요 간단히 몇분만 사용해본거지만 혹 안되는부분이 있는건 따로 문의할려구요
사세요 여튼 있으니 좀 더 편해진건 사실이니까요
아 그리고 디자인도 실버에 만드신분 복받아요~~",['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_07_08_0/4a370611-c0f2-11ea-bdf8-505dac8c38f5_03.jpg?type=f287']
