star_point,comment,photo
4,"저렴한 가격에 잘 구매한 것 같습니다
블루투스 연결 쉽게 잘 됩니다 그리고 타자를 치면 글씨가 약간 늦게 뜨긴하는데 그닥 신경쓰이지는 않아요
그리고 롤 형태라 키보드 사이가 벌어져서 오타가 아직 좀 많고 쌍시옷이나 쌍비읍등... ㅋㅋ 시프트 누르는게 좀 심하게 힘들긴 한데 ㅠㅠ ㅋㅋㅋ
그래도 익숙해지면 좀 괜찮지 않을까 싶어요
원래 거치해서 쓸 생각이 없어서 저는 괜찮은데 구입하실 분들은 잘 체크해야 할 것 같습니다.
아이패드 프로2 쓰고있는데 가로는 사이즈 안 맞고 세로는 거치대 사이즈가 넓어서 그런건지 무게 때문인지 세워지지가 않아요
손으로 잡지 않으면 뒤로 넘어집니다 ㅋㅋ 사이즈는 약 0.7센치 정도 되는거 같네요
개인적으로 거치대는 필요 없어서 키보드 부분만 들고다니고 싶은데 ㅋㅋ 블루투스 기능이 거치대에 연결되어 있어서 ㅜ 그냥 사진에 보이는 상태로 쓰고 있습니다
거치대 분리되는 디자인도 나오면 좋겠어요 ㅋㅋ","['https://phinf.pstatic.net/checkout/20200626_192/1593169888627EHqFd_JPEG/692DC526-4411-4B7C-9F62-A2757F39EF9F.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200626_77/1593169888816zOm6A_JPEG/9A229566-767B-42D9-829C-2D78DC654A76.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200626_131/1593169888825BlalQ_JPEG/C908408C-1B20-45E6-9521-C4597AC8F4C0.jpeg?type=f287']"
5,"핸드폰으로 문장을 쓸 때 보다 훨씬 편하네요
키감이 좀 딱딱해서 꾹 눌러야 되는 부분도 있고 오른쪽 shift보다 왼쪽이 커서 원래 타법과 조금 달라지는 부분도 있겠지만 깜빡하고 구매확정을 늦게 해서 이틀 정도 써본 느낌으로는 굉장히 만족합니다.",['https://phinf.pstatic.net/checkout/20200925_95/1601018749457osmxY_JPEG/review-attachment-8b3aad4b-3ce8-44dd-8442-ffe4c32d7c96.jpeg?type=f287']
5,"이미 알고 주문했는데 아이패드 10.5인치는 가로로 사용할 수 없다. 세로로는 사용할 수 있을 줄 알았으나 무게 중심 때문에 사용이 불가하다. 내년쯤에 11인치를 살 예정인데 그건 사용할 수 있을 듯. 오른쪽 Shift키는 사용이 좀 어렵다. 방향키와 같이 있고 크기도 일반 키와 같아서 잘못 누르는 경우가 많다. 개인적으로 키감이 괜찮고 가격도 훌륭해서 맘에 들지만, 적응은 좀 필요하다. 둘둘 말아서 들고 다니는 것도 좋다.",[]
4,"전체적인 마감이 뛰어납니다현재 리뷰 키보드로 사용중입니다키감이 좋습니다키간 거리가 조금 넓은느낌입니다. 적응은 금방 될것 같습니다8인치 태블릿 세로거치+휴대폰 거치에 적당합니다10인치 태블릿을 거치하기엔 좁을지도 모르겠습니다8인치 가로거치후 휴대폰 거치 불가 합니다8인치 세로거치 + 갤럭시 노트라면 좁을수도 있습니다.타이핑시 키보드가 조금 움직이는 불편함이 있습니다. 적당히 미끄럼방지패드 같은걸 추가 보강해서 사용해야겠습니다일부러 단점위주의 리뷰를 적었지만, 가격 + 멀티페어링+ 접이식+ 거치식 생각하면 이만한 휴대용 블루투스 키보드 찾기 힘들것같습니다매우만족.별1점 감점이유는 베터리가 충전식이 아니다, 키보드가 접이식이라 그런지 살짝 울렁거린다 (하지만 타이핑에 걸리적거리는 정도는 아니다), 타이핑시 키보드가 움직이는 현상이 좀 잦다(보강필요) 현재 1시간 사용후 느낀점들입니다",['https://phinf.pstatic.net/checkout/20190618_217/1560845146219VpA6c_JPEG/1560845065715.jpg?type=f287']
4,"가격대비 마감이나 퀄리티는 다 괜찮습니다!
단점은 생각보다 조금 큰 크기와 롤타입이다보니 키배열사이에 빈공간이 있는데 이 공간때문에 일반적으로 쓰는 키보드랑 조금 달라서 오타가 좀 나는 편입니다. 그래도 지불한 가격을 생각하면 만족합니다.",[]
5,"장점
LG롤은 일단 가격면에서 아웃이고 전반적으로 만족할만한 상품입니다.
전에 쓰던 키보드가 멀티페어링이 안되어 불편했는데 편하네요.
단점
1. 핸폰을 세로로 쓰려니 커버때문에 거치가 안되네요.
가로로는 쏙들어가진않아도 거치는 됩니다.
2. 키보드가 바닥에 밀착되는 느낌이 없이 좀 떠있어서 가운데부분이 타자 칠때마다 낭창낭창하네요.
이런 느낌 싫어하시는 분은 못견딜듯 합니다.
힌지부분이 얼마나 내구성이 좋을지가 관건인데 내구성만 좋으면 잘 사용할것 같네요.[G마켓 안드로이드 앱에서 작성]",['https://shopping-phinf.pstatic.net/20190516_16/3a68e63e-d1c2-4e21-9670-2cdcf0d20bcb.jpg?type=f287']
4,"여러개 사용해 보았지만 그중 괜찮은., 가지고 다니기에 편리함은 접어서 사용하는 것이라 생각보다 좋습니다. 충전식이 아니라 건전지를 쓰는것에서 가장 고민했는데 밧데리를 많이 소모하지 않는듯하여 아직까지는 불편없이 사용하고 있습니다.다만 접는식이라 키보드 위아래 간격이 있어 적응이 필요합니다.",[]
5,"구매해서 쓰던 도중에 키보드 두개가 눌러지지 않아서 문의드렸는데 빠르게 교환해주셨어요
지금음 고장없이 아주 잘쓰고 있습니다
좋아요!",['https://phinf.pstatic.net/checkout/20200727_39/1595837854561RAQ09_JPEG/review-attachment-0348bd98-81a9-424a-8dad-d28a7daa9222.jpeg?type=f287']
5,"총알배송. 오타도 없이 잘되고. 수납 보관이 너무나 좋네요.
갤럭시폴드 사용하면서, 애인이 키보드를 쓰고 싶다해, 고심 끝에 고른 제품! 너무나 만족합니다^^
Bamboo 펜까지 쓰니 완전 테블릿pc 기분ㅎㅎ","['https://phinf.pstatic.net/checkout/20200408_239/1586295607010xwI0k_JPEG/20200407_192415.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200408_189/1586295646056hTbnp_JPEG/20200407_201137.jpg?type=f287']"
5,가끔씩 카페같은곳에서 영상보다 키보드로 채팅이나 타이핑할때 잘쓰고 있어요,['https://phinf.pstatic.net/checkout/20200713_188/1594595321706NrjU4_JPEG/review-attachment-981c8144-7e23-4221-8c46-4502b803f7e1.jpeg?type=f287']
3,"멀티 페어링 및 타자 인식 뛰어남 휴대성 좋음 무겁지 않음
근데 키보드를 꺼네면 붕 뜸
혹시 해결방법 아시는 분 있나요... 이렇게는 못씀",[]
5,"이전 쓰던 휴대용 키보드가 키가 안눌려 샀는데, 이번꺼는 돌돌말리니 부피가 작고, 이전처럼 휠 염려가 없으니 오래쓰겠네요",[]
4,"가지고 다니기 간편해서 좋습니다.
다만 거치대 부분이 작아서 요즘 나오는 패드는 거치하기 힘들고 연결부위가 약합니다
핸드폰만 거치하기에는 아쉽네요.",[]
5,잘 받았습니다 감사합니다.,[]
4,"제품도 좋고 배송도빠르고 좋습니다
제품도 좋고 배송도빠르고 좋습니다
제품도 좋고 배송도빠르고 좋습니다
제품도 좋고 배송도빠르고 좋습니다",[]
5,빠른배송. 키보드 반응괜찮고 보관 편리하고 연결편리항,[]
1,내 아이패드에는 사용하기 불편했어요 반품해야 겠어요,[]
2,"생각보다 무거웠고, 키인에 반응하는 속도가 조금 아쉬워요.",[]
1,글자사이가 멀어 타이핑이 쉽지 않습니다,[]
5,완전 귀여움.. 배송 빠름. 좋음,[]
1,오른쪽 쉬프트키가 너무 작아요,[]
5,휴대성이 좋네요..퀄러티도 좋구요.,[]
4,"아직까지 편한지는 모르겠고 신기하긴 합니다.
바로 페어링 되고 잘 작동합니다",[]
2,쓰다가 화딱지남 오른쪽 쉬프트키 크기가 너무 작음,[]
2,케이스 먼지 붙는것과 거치대 부분이 힘이 없어서 사용을 잘 안하게 되네요,['https://phinf.pstatic.net/checkout/20190908_250/1567946712175jwnwB_JPEG/1567946683618.jpg?type=f287']
5,잘 쓰고 있습니다. 저렴한 가격에 양 손을 사용하니 좋네요. 페어링도 잘 되고 합니다.,[]
5,배송도 빠르고 터치감도 좋아요~,[]
2,갤탭용으로 샀는데 아이폰 플러스도 못견디고 거치대가 무너져요.. 휴대가 편리하여 가벼운 만큼 힘이 없네요. 키보드는 한번만 연결해봐서 아직 좋은지 모르겠어욤,['https://phinf.pstatic.net/checkout/20190720_230/1563632890611WBdHD_JPEG/image.jpg?type=f287']
4,초기불량 있었는데 빠른교환은 만족. 상품은 울렁이는 키감과 낮은 키보드 때문에 적응이 필요한듯한데 큰 불편은 없어요,[]
5,"아직 사용전이라 상품평 믿고 구매했어요
배송은 빠르고 포장도 깔끔하네요",['https://shopping-phinf.pstatic.net/20190701_27/06393a5d-c1c4-42ea-b468-91d377887539.jpg?type=f287']
3,약간의 무게가 있는 것 그리고 오른쪽 시프트키 작은 것 말고는 너무 좋아요~ 잘쓸게요 판매자님,[]
5,상품이 사용하기 편하고 좋아요,[]
5,좋다고 하네요. 감사해요^^=,[]
5,휴대성만 봐더라도 최고입니다!,[]
5,사용감 좋아요!!배송도 빨라서 좋았습니다가성비 최고!!,[]
4,배송 참 빠름 잘 쓰겠습니다 많이 파셔요~,[]
5,컴과 페어링도 잘 되고 돌돌말아 휴대도 편하고 아주 좋네요^^,[]
