star_point,comment,photo
4,목요일 오후3시쯤 주문해서 토요일 오후에 도착. 키감같은건 딱 청축에 맞는 그 느낌. 그전에 쓰던 키보드에 비해 LED설정이 좀 미흡함. 배송오자마자 버튼하나 빠져있었고 여러 버튼 이미 이물질이 뭍어있어서 더러움. 손목받침대 같은데에 자잘한 흠집 있음. 걍 싼맛에 쓰기 좋은듯.,"['https://phinf.pstatic.net/checkout/20200711_234/1594473809974gGU2L_JPEG/review-attachment-3598113c-3951-46fe-b91a-db3d3afee13f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200711_3/1594473809938sISil_JPEG/review-attachment-1875a23a-1fe5-4ff4-af42-0b034bfe7f87.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200711_211/1594473810005ht1tO_JPEG/review-attachment-7162e608-2125-43cb-80f8-2c853e006be5.jpeg?type=f287']"
5,"게임을 좋아하는 겜돌이로서 받자마자 사용해봤는데 일단 외관부터 기본 화이트에 은은한 led불빛이 나를 감싸네요

그리고 청축은 소리가 너무 클까봐 적축으로 구매햇는데 집에서 사용하기 딱 기분좋은 키보드 소리가 나요. 키보드 두드리는 맛도 좋고 가격대비 정말 잘 산 것같아요 ㅎㅎ","['https://phinf.pstatic.net/checkout/20200817_125/1597590335813Vw4uq_JPEG/review-attachment-8fad37a4-8a4a-4e0f-a156-5257cf401cc7.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200817_169/1597590350024NLkJP_JPEG/review-attachment-4d0aea82-78b8-4159-88ab-5345ea6fb5c5.jpeg?type=f287']"
5,소리도 완전 작고 부드럽고 키압도 낮아서 완전 부드러워요 완전 만족해요 처음에는 키감이나 이런거 보다는 그냥 음량조절하는 핸들? 있는 기계식 사고 싶어서 이거 선택했는데 ㅋㅋ 출시기념이라 싸게 팔기도 했고 ㅋㅋ 대만족 합니다.,[]
5,아들이 만족하며 쓰고있네요. 기계식이라 시끄럽긴한듯,['https://phinf.pstatic.net/checkout/20201114_152/1605362900651KSXbN_JPEG/review-attachment-8457ffb0-6f79-468e-93e0-ceb234b262a1.jpeg?type=f287']
5,잘 쓰구 잇어욘ㅇ옹옹홓,['https://phinf.pstatic.net/checkout/20201122_38/1605980473817ecFGv_JPEG/review-attachment-ef120976-eaac-4e98-b03f-0c16f394de80.jpeg?type=f287']
5,"우선 축축들어가는 느낌이 좋구요.
LED 누르는 느낌도좋아요.
가성비 좋구요.

커버있음 더좋을텐데 아쉬워요.
다음에 커버도 추가상품에 넣어주세요",['https://phinf.pstatic.net/checkout/20201023_228/1603424055724Bxtgb_JPEG/review-attachment-3eb1d6ef-f1d9-499e-97ea-8a8f636a9c81.jpeg?type=f287']
5,"배송도빠르고 상품도좋아요
마스크잘쓸게요~",['https://phinf.pstatic.net/checkout/20201022_77/1603353903803k55hz_JPEG/review-attachment-938dbe08-b9dc-4ccf-a24d-f300448b82e3.jpeg?type=f287']
5,잘받았어요 감사하요,['https://phinf.pstatic.net/checkout/20201106_131/1604629802731YoCaB_JPEG/review-attachment-408ee238-1b01-4fd9-867b-1c4e2042e72c.jpeg?type=f287']
4,"손목 받침대 자석하나가 반대로 되있어서
밑판 때고 쌩쇼함 그외엔 ㄱㅊ 노브도 이가격에 이 퀄이면 만족합니다.",['https://phinf.pstatic.net/checkout/20201017_124/1602915208756COUuW_JPEG/review-attachment-5e6decd6-3054-47fc-8ca3-6257c1da93ee.jpeg?type=f287']
5,배송 빠르고 디자인이 매우 이쁘네요! 이래서 현질하나 봅니다. 잘 쓰겠습니다!,['https://phinf.pstatic.net/checkout/20201013_262/1602576796075QjUIl_JPEG/review-attachment-802a9657-6bfc-4a79-8c52-9ce0dbb44389.jpeg?type=f287']
