star_point,comment,photo
5,"일단 생각 이상의 제품입니다.제가 전문가는 아니어도 처음에는 이런 생각을 가졌습니다.""솔직히 저가 브랜드에서 잘 만들어 봤자 얼마나 잘 만들겠어?""네, 잘 만들었습니다.아쉬운 건 딱 하나, 캡스락 점등 LED가 있다면 좋겠지만 그래도 잘 만들었습니다.타사의 제품 같은 경우 어떤 키를 누르던 통울림이 심했는데 이 제품은 스페이스바를 제외한 나머지 키들을 누를 때 통울림 없습니다.그리고 무접전(광축) 클릭 제품인데 기계식 축으로 비교하면 갈축에 가깝습니다.Q 가격에 맞게 값어치를 하는가?네 합니다. 저는 이 키보드를 영상 편집하시는 분들에게는 더더욱 추천합니다.키패드는 제가 오른손 잡이라 마우스 오른쪽에 타사의 제품을 놓고 써서 작업하는 타입이어서 크게 불편하거나 하지 않습니다.이 리뷰를 보고 도움이 될지 안될지 모르겠지만 구입하는 데 도움이 되었으면 합니다.",[]
5,키감도 좋고 한데 제가 주문을 잘못했어욬ㅋㅋㅋ뜯고나서 알았죠...이게 텐키리스란것을.......정신차리고 주문 목록 다시보니 정말이더군요ㅜㅜ그래도 잘 쓰고있습니다😂사실 좋아하는 유튜버가 리얼리뷰해줘서 여기꺼 산건데 그거 말고도 다 나노코팅이라서 샀어요부농부농보단 블랙이 좋으니까여☺,['https://phinf.pstatic.net/checkout/20190602_172/1559440343635tjiko_JPEG/2019-05-29-18-18-40.jpg?type=f287']
4,"자세히 제품의 설명을 읽지않고 산 제 잘못이 큰 선택이였습니다 ㅠㅠ 숫자 키패드가 없을 줄이야....하지만 시원한 타건감과 작음에도 불구하고 무게감이 상당하여 잘 끌리지 않는 점은 플러스 요인이였고, 각인된 키패트의 글자모양은 마이너스 요인이였습니다.키보드 커버도 있으니 이전 키보드 처럼 좀 짧게 쓰는게 아닌 오래 쓸 수 있을 것 같아요. 잘 쓰겠습니다 ㅎㅎ",[]
5,아이가 좋아하네요~~,['https://phinf.pstatic.net/checkout/20201010_232/1602318960776aAOmB_JPEG/review-attachment-3dba3f7e-463c-43d2-b1a6-cfee42da375b.jpeg?type=f287']
5,"pc방 사장입니다.
자신있게 강추드려요.",['https://phinf.pstatic.net/checkout/20200709_89/1594289129255sYPu2_JPEG/review-attachment-5a582c51-6737-4927-ae72-3f6e312df9d6.jpeg?type=f287']
4,통울림이 좀 있지만 가격 대비 좋아요.,['https://phinf.pstatic.net/checkout/20200702_135/1593680271900vjjBC_JPEG/0d5b1c4c7f720f698946c7f6ab08f687.jpeg?type=f287']
5,"비슷한 가격대비
방수 광축 텐키중에 이게 가장
키감이 깔끔하고 좋아요.
피방에서 추가 구매 예정입니다.",['https://phinf.pstatic.net/checkout/20200530_85/1590821706808n8HSA_JPEG/20200530_155255.jpg?type=f287']
5,단점 없으며 매의 좋음,[]
4,숫자부분 없는 키보드 처음 써보는데 아담하니 좋고 귀엽네요 ㅎㅎ. 키보드 소리도 좋고 사이즈도 좋고 만족스럽습니다.,['https://phinf.pstatic.net/checkout/20200519_263/1589898541608GUm7O_JPEG/20200519_152221.jpg?type=f287']
1,"불도 안들어오고 사용이 안되요 ㅠ
다른 긱스타 키보드 빌려서 쓰고 있어요
그 키보드는 사용되는데 이건 왜 안될까요 ㅠㅠ
교환요청했는데 답변이 없네요 ㅠ
추석전에 받고 싶어요
답변부탁해여 ㅠ",[]
