star_point,comment,photo
5,"배송도 빠르고 너무 이뻐요...ㅜ_ㅜ 좋은 상품 너무 감사합니다...
예전부터 커플 PC방을 집에 만드는게 로망이었는데
이번에 컴퓨터를 구매하게 되면서, 이왕이면 좀 더 이쁜 제품들을
알아보다 긱스타 제품들을 보게 되었습니다.
PC방에서 본 그대로를 가지고 오고 싶었거든요 ㅎㅎㅎ
커플 제품으로 너무 추천드려요 ㅋㅋㅋ

각각 제품 간단한 리뷰를 하자면..

1. 마우스

일단 귀욤뽀작합니다 ㅋㅋㅋ 연파랑 색과 연핑크 색으로 취향저격은 물론 따로 드라이버를 설치하면 dpi를 원하는 값으로 설정 할 수 있습니다. 게이밍 마우스의 기본이지요 ㅋㅋ 기본에 충실하고도 손에 익숙한 디자인 입니다.

2. 키보드

기계식 키보드 특유의 경쾌한 타건과 쫀독쫀독한 키감을 느낄 수 있습니다. 또 한 다양한 기능키들과 본인만의 매크로 설정, 원하는 형태의 led 발광을 이용하여 한 층 더 귀욤뽀작한 커플 PC방을 만들 수 있게 해줍니다.

3. 헤드셋

노이즈 캔슬링이 되는 모델이라고 하여 구입하였는데, 사실 제가 막 귀라 어느 헤드셋을 써도 다 고만고만 하다고 느껴집니다. 그런데 일단 , 크기 조절이 가능하고 착용감이 좋아서 더욱 애정이 갑니다. 7.1채널이라 그런지 배그 할 때 방향 찾기는 당연한거구요 ㅋㅋ
여자친구와 커플로 쓰면 뽀작함은 두배라는건 당연하겠죠?

4. 사운드바

기본에 충실한 제품이라고 생각이 듭니다 ㅋㅋ USB 연장선 있고 소리 빵빵하고... 저렴한 가격에 정말 가성비 기가막힌 사운드바입니다.
엣지있는 포인트 컬러까지 ㅋㅋ 디자인적으로나 성능부

. 모니터 받침대

사실 이 제품은 사야하나 고민이 많았던 제품인데요
모니터 설치를 스탠드 형이 아닌 암으로 설치하려다 보니
과연 필요성이 있는 제품인가 생각을 했습니다. 그래도 이왕 깔맞춤 할꺼 그냥 밥상처럼 쓰자라고 생각한 제품입니다만, 4가닥의 USB 허브 기능이 이렇게 편할지는 상상을 못했네요;;
컴퓨터 본체를 바닥에 배치하다 보니 USB 이용할 때 불편할꺼 생각하면...어휴...진짜 사길 잘 한듯 생각이 듭니다.
바닥 지지대가 살짝 가격에 비해튼튼해 보이지는 않으나 이래저래 움직이며 사용하는 제품은 아니라 크게 신경쓰이지는 않는 것 같아요
또 사운드바를 넣어놓으면 사이즈가 딱 귀엽게 들어 맞기때문에 디자인br>
전체적으로
가성비 좋은 제품들은 틀림없고
커플PC를 만들때 더할나위 없이 좋은 깔맞춤 제품들...

일단 전체적인 색감들이 약간 파스텔 톤이라 너무 좋네요 ㅋㅋ
좋은 제품들 너무 감사드려요 ㅜㅜ
다른 이쁜 커플 아이템들도 제발 들여와 주세요....ㅜ_ㅜ","['https://phinf.pstatic.net/checkout/20200815_229/1597426346560VhXxl_JPEG/review-attachment-b4dd871d-4f15-4e8e-9c14-1d11b6e76111.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200815_74/15974263470135bUO1_JPEG/review-attachment-9cb7df0f-48c1-4dbf-a1da-951464ec05a0.jpeg?type=f287']"
5,"계속 고민하다 샀는데 사기 잘했어요~!
리니어라서 소리가 크지 않아 좋고 눌리는 키감이 부드러워요 핑크색은 이미지보다는 형광핑크에 가까워요 전체적으로 흰색 바탕에 핑크포인트에 불빛도 들어오면 너무 이뻐요 그리고 선도 키보드와 같게 흰색이고 그냥 고무 선이 아니라 끈?같은 선이라 너무 좋아요","['https://phinf.pstatic.net/checkout/20201126_246/1606387151765IzBMi_JPEG/review-attachment-defeea45-f8e5-4fd1-a011-ad750dda566d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201126_203/1606387165196H5Uto_JPEG/review-attachment-4504d343-8960-42ff-a6f6-1d49c071ea70.jpeg?type=f287']"
5,앱코 K2000 쓰다가 자주 물을 쏟아서 키 몇개가 중복으로 눌러지는 일이 잦아 사용하기 어려워졌어요 대체할만한 상품을 못 찾아서 억지로 썼는데 이거 발견하고 바로 바꿨습니다~청축은 너무 시끄러울 거 같아서 적축 썼었는데 그렇게 시끄럽지 않다는 평 보고 클릭으로 사봤어요! 근데 확실히 청축의 따각따각 큰 두드림보다는 짤깍짤깍하는 경쾌한 소리라 듣기 좋네요 ㅎㅎ 색감도 마음에 들고 뭣보다 크리스탈이 씌워져있어서 더욱 깨끗해보여서 좋아요~ 상품 설명에 물세척도 된다고...ㅋㅋㅋ쓰여있던데 무서워서 못 하겠구요....안 쏟게 조심해서 오래 써야겠습니다. 완전 별 10개도 주고 싶어요~,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_28_0/ceaf8aa2-a0a5-11ea-9723-a0369ff968b0_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200528_214/1590644507451Bj4BY_JPEG/20200527_192547.jpg?type=f287']"
5,"기계식 키보드는 처음 써요. 무게가 생각보다 있어서 좀 놀랐는데 우선 타자감이 너무 좋아요.
처음에는 눌리는 느낌이 없어서 꾹 꾹 눌러서 썼었는데 멤브레인을 쓰던 대로 치니까 훨씬 더 부드럽게 쳐지더라고요. 키 소리도 너무 좋아요. 언니는 시끄럽다고 하지만....ㅋㅋ 겉에 한겹 싸여진 크리스탈 덕분에 흠집도 안나고 키 그림도 지워지지않아 너무 만족스럽습니다. 비싼건 역시 다르더라고요.",[]
3,"배송빠르고 잘 받았습니당!. 색도 이쁜듯하네용.
핫핑크를 생각했는데 핫핑크색은 아니고 4각종이에 인쇄된 딱 그 분홍색...
통울림이 전체적으로 어주 약간 있어용. 그렇게 귀에 팍 박히진 않습니당. 다만 저같은 경우는 엔터키가 귀에 어느정도 들어오고 한영키가 스페이스보다 통울림이 심각하더군요... 컨트롤키나 다른 애들은 안그런데 알트키가 유독 그러네용. 그리고 키가 전부 흔들면 흔들립니다... 이런경우는 처음이네용. 흔들면 흔들려용. 그래서 키가 가지런히 있어도 가지런히 있는것 같지 않은 느낌을 받아요. 또 환불받고 다른거 알아보기도 귀찮구 해서 그냥 사용하려고 합니다... 7만원 가격은 갠적으론 아닌것 같기도 하단 생각이 드네용...","['https://phinf.pstatic.net/checkout/20190917_251/1568697168928ka5VK_JPEG/20190917_133910.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190917_80/1568697180991byCUU_JPEG/20190917_141222.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190917_109/1568697406424FtljL_JPEG/1568697393602.jpg?type=f287']"
5,"배송이 정말 빨라서 일단 너무 마음에 들고요
리니어 제품 구매했는데 소음 적은거 선택하시려면 적당하고 키감도 나쁘지도 않고 부드럽게 잘 눌려서 좋은 것 같아요.

그리고 여기는 키보드사면 커버도 같이 줘서 정말 마음에 드네요 나쁘지 않은 것 같아요",['https://phinf.pstatic.net/checkout/20200916_142/1600235833156N6UOj_JPEG/review-attachment-0a752a25-2795-4bd9-8273-68f4056be401.jpeg?type=f287']
5,"제이제이님 유튜브를 통해서 알게된 제품이었는데 안그래도 현재 쓰고 있는 키보드의 관리가 불편해서 완전 방수 키보드를 알아보고 있던 찰나에 딱 구입을 하게됐습니다. 우선 배송이 빨라서 만족스러웠는데 택배가 뽁뽁이 없이 와서 조금 의아하긴 했지만 그래도 상품 자체가 멀쩡하고 원래 쓰던 적축 키보드보다 소음이 훨씬 적고 광축답게 자판치는 재미가 쏠쏠하네요 ㅋㅋㅋ 관리가 편하다는 것도 마음에 들지만 광축치고 소음이 적음, 크기도 적당하고 무게도 생각보다 가벼운 편이 제 총 평이에요 ㅎㅎ 추천해주기에도 정말 좋네요~~","['https://phinf.pstatic.net/checkout/20190612_6/1560335786262oH9W4_JPEG/KakaoTalk_20190612_193009732.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190612_55/15603357865209CAbe_JPEG/KakaoTalk_20190612_193009268.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190612_52/1560335786678mxCGP_JPEG/KakaoTalk_20190612_193008821.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190612_201/1560335786854u4MF0_JPEG/KakaoTalk_20190612_193008414.jpg?type=f287']"
5,7월1일 새벽 1시정도 주문을 했었는데 만이틀이안돼서 오늘오후 12시쯤도착을 하더라구요. 배송이 빨라서 정말 맘에들었구요. 다만 택배 포장박스가 조금 부실하다 싶었습니다. 키보드랑 박스 전부 문제없었고 테스트해도 문제가없어서 만족했습니다.,"['https://phinf.pstatic.net/checkout/20190703_129/1562158323720KjDHK_JPEG/KakaoTalk_20190703_214503653.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190703_184/1562158323531ivkvr_JPEG/KakaoTalk_20190703_214503496.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190703_23/156215832389137isB_JPEG/KakaoTalk_20190703_214503315.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190703_282/1562158324146LxXL2_JPEG/KakaoTalk_20190703_214503116.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190703_248/1562158324379JMwMK_JPEG/KakaoTalk_20190703_214502931.jpg?type=f287']"
5,디자인을 1순위로 보고 산건데 아주 만족합니다! 생각보다 LED 빛나는 게 빛이 그렇게 세게? 나오지 않더라구요. 이부분은 장점이기도 하고 단점이기도 한 것 같아요. 키감이나 기타 사용감은 아주 만족하면서 사용하고 있습니다!,['https://phinf.pstatic.net/checkout/20200611_18/15918777776555gRfT_JPEG/C8346FDE-0D67-4B5B-8B39-97F889EEA0D1.jpeg?type=f287']
5,키감이 너무 만족스럽네요!!!ㅎㅎㅎ 그리고 LED 종류가 엄청 다양해서 고르는 맛이 있어요! 완전 방수방진이라는 점도 너무 만족스럽구요. 자판소리가 크다는 리뷰가 좀 잇는데 로지텍 클리키 키보드를 써본 적이 있는데 그것보단 자판소리가 큰 것 같아요!ㅎㅎ 그리고 아쉬운 점이 배송이 정말 키보드 박스 그대로 왔더군요ㅠㅠ 뽁뽁이 같은거 없이..ㅠㅠ 그래도 제품이 튼튼한거지 모르겠지만 아무튼 고장난 상태로 오진 않았어요ㅠㅠ 배송할 때 뽁뽁이라도 싸서 주시면 좋을 것 같아요.. 결론은 만족하고 잘 쓰고 있습니다!!!,"['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_03_02_0/3221f748-5c7f-11ea-85fe-28b4484d5a96_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200302_74/1583151192035Y5JC7_JPEG/KakaoTalk_20200302_211114883.jpg?type=f287']"
4,"앱코해커 k960 사고 한달도 안되서 키가 씹혀서 빠지지도 않고 화났는데... 이것도 한달정도 써봐야 알듯합니다 일단 소음부분에선 만족이고 청축쓰다 리니어를 사용하려니 키감은 적응해야 할거 같습니다
디자인도 나쁘지 않으니 얼마나 버틸지가 관건이네요",[]
5,항상 놋북으로 겜하다보니 자판 쓰던거만 눌럿던지라 결국 놋북자판이 망가져서 키보드 검색중에 구입했어요! 게이밍 키보드 첨엔 아무것도 모르고 싼거 사서 답답한 타이핑에 버렸엇는데...ㅠ 다음엔 꼭 피방처럼 타이핑 빠르고 가볍게 '슉슉 탁탁' 처지는거로 사려구 피방 사장님께 직접 물어서 삿어요ㅎ 핑쿠라서 이쁘고 키보드 한알한알 투명 껍데기로 깔끔해요><♡ 집에서 직접 연결해 쓰는데 불도 여러가지 나오고 단축키도 되고 무엇보다 타자치는 맛이 있네요ㅜㅠ 겜 스킬 막 연타해도 빨리처지고 소리도 좋고 겜할맛 넘나 굿♡ 무엇보다 높이 조절 3단계..헐..이 부분이 너무 좋음. 책상이 높은데 놋북은 낮아서 키보드 조절이 쉽지않았는데 높이 3단계 하니 손목이 넘나리 편해요. 미첫음그냥ㅋㅋ 키보드에 굳이 돈 투자해야하나 싶었는데 사길 잘 한거 같아요. 이쁜데 피방온 기분 너무 만족스럽네요... 취향저격입니당 따봉^~^,[]
4,"친구집에서 잠깐 써보고 너무 마음에 들어서
주문했는데, 배송이 약간 느리게 온것 빼고
제품 자체는 너무 마음에 들어요!

USB를 스피커 USB옆에 꽂았더니 고주파 소리같은
삐소리가 지속되길래, 옮겨서 꽂으니 별탈없이 작동됩니다!",['https://phinf.pstatic.net/checkout/20200312_49/15840072126888mPoJ_JPEG/KakaoTalk_20200312_182014845.jpg?type=f287']
3,"기계식이라서 소음 어느정도 감안하고 사긴했는데... 이걸 막상 PC방이 아닌 집에서 쓰려니깐 소음이 엄청 크게 느껴지네요 ㅎㅎ;;;
그리고 불 들어오는것도 예쁘긴한데 어차피 방이 밝으니깐 잘 안보이기도 하구요 ㅋㅋㅋ 그냥 PC방같은데서 샀으면 엄청 잘 썼을것 같은 느낌??ㅎㅎㅎ
그래도 핑크색 키보드 예쁘기도 하고 ㅎㅎㅎ 키보드 편해서 잘 쓰고있어요 ! ... 소리만 조금.. 줄어들면 더할나위없이 좋겠네요 ㅠㅠㅠ~~~아 그리고 펑션키로 여러가지 단축키 이용할 수 있는게 좋아요~~",['https://phinf.pstatic.net/checkout/20200305_17/15833368518727rsF6_JPEG/KakaoTalk_20200305_004716373.jpg?type=f287']
2,"예쁘고 소리도 좋고 좋았는데
살짝 키십힘이 있는거같아요,,
리뷰에서 키십힘이 없다해서 믿고 샀는데
그냥 예쁜제품으론 좋지만 게임하시는분들에겐(fps) 돈 조금 더 보태서 딴 제품 추천이요,,
(참고:블로그/리뷰 등등 처럼 led가 밝지않아요
제 제품이 문제있는건지 모르겠지만 처음에 불량인줄알고 반품신청할려다가 기다리기도 귀찮고 원래 이런제품일수도 있어서 그냥 쓰고있는데 사진이나 동영상으로 찍거나 볼땐 밝아보이는데 실제로는 굉장히 불빛이 연해서 아쉬웠어요 ㅠ̑̈ㅠ̑̈ )",[]
5,원래 쓰던 키보드가 오래됐기도 하고 동생 선물하려고 샀는데 마음에 드네요. 색도 이쁘고 챫챫하는 타건감?도 너무 중독성있어서 제가 더 많이할거같아요. 단점은 모든 흰색 아이템들의 공통점이긴 하지만 먼지관리 잘해줘야 한다는점..ㅋㅋ,['https://phinf.pstatic.net/checkout/20190916_62/15686240262771McXM_JPEG/20190914_092553.jpg?type=f287']
