star_point,comment,photo
5,"배송도 빠르고 너무 이뻐요...ㅜ_ㅜ 좋은 상품 너무 감사합니다...
예전부터 커플 PC방을 집에 만드는게 로망이었는데
이번에 컴퓨터를 구매하게 되면서, 이왕이면 좀 더 이쁜 제품들을
알아보다 긱스타 제품들을 보게 되었습니다.
PC방에서 본 그대로를 가지고 오고 싶었거든요 ㅎㅎㅎ
커플 제품으로 너무 추천드려요 ㅋㅋㅋ

각각 제품 간단한 리뷰를 하자면..

1. 마우스

일단 귀욤뽀작합니다 ㅋㅋㅋ 연파랑 색과 연핑크 색으로 취향저격은 물론 따로 드라이버를 설치하면 dpi를 원하는 값으로 설정 할 수 있습니다. 게이밍 마우스의 기본이지요 ㅋㅋ 기본에 충실하고도 손에 익숙한 디자인 입니다.

2. 키보드

기계식 키보드 특유의 경쾌한 타건과 쫀독쫀독한 키감을 느낄 수 있습니다. 또 한 다양한 기능키들과 본인만의 매크로 설정, 원하는 형태의 led 발광을 이용하여 한 층 더 귀욤뽀작한 커플 PC방을 만들 수 있게 해줍니다.

3. 헤드셋

노이즈 캔슬링이 되는 모델이라고 하여 구입하였는데, 사실 제가 막 귀라 어느 헤드셋을 써도 다 고만고만 하다고 느껴집니다. 그런데 일단 , 크기 조절이 가능하고 착용감이 좋아서 더욱 애정이 갑니다. 7.1채널이라 그런지 배그 할 때 방향 찾기는 당연한거구요 ㅋㅋ
여자친구와 커플로 쓰면 뽀작함은 두배라는건 당연하겠죠?

4. 사운드바

기본에 충실한 제품이라고 생각이 듭니다 ㅋㅋ USB 연장선 있고 소리 빵빵하고... 저렴한 가격에 정말 가성비 기가막힌 사운드바입니다.
엣지있는 포인트 컬러까지 ㅋㅋ 디자인적으로나 성능부

. 모니터 받침대

사실 이 제품은 사야하나 고민이 많았던 제품인데요
모니터 설치를 스탠드 형이 아닌 암으로 설치하려다 보니
과연 필요성이 있는 제품인가 생각을 했습니다. 그래도 이왕 깔맞춤 할꺼 그냥 밥상처럼 쓰자라고 생각한 제품입니다만, 4가닥의 USB 허브 기능이 이렇게 편할지는 상상을 못했네요;;
컴퓨터 본체를 바닥에 배치하다 보니 USB 이용할 때 불편할꺼 생각하면...어휴...진짜 사길 잘 한듯 생각이 듭니다.
바닥 지지대가 살짝 가격에 비해튼튼해 보이지는 않으나 이래저래 움직이며 사용하는 제품은 아니라 크게 신경쓰이지는 않는 것 같아요
또 사운드바를 넣어놓으면 사이즈가 딱 귀엽게 들어 맞기때문에 디자인br>
전체적으로
가성비 좋은 제품들은 틀림없고
커플PC를 만들때 더할나위 없이 좋은 깔맞춤 제품들...

일단 전체적인 색감들이 약간 파스텔 톤이라 너무 좋네요 ㅋㅋ
좋은 제품들 너무 감사드려요 ㅜㅜ
다른 이쁜 커플 아이템들도 제발 들여와 주세요....ㅜ_ㅜ","['https://phinf.pstatic.net/checkout/20200815_152/1597426365807zYGMk_JPEG/review-attachment-2bedad75-649f-4e70-9912-f928966ad8db.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200815_298/1597426365999uAlyn_JPEG/review-attachment-b325eed8-c263-4f1a-b35e-e3a2b8ea1374.jpeg?type=f287']"
5,"배송완전 빠르고요
키보드 자체는 제가 갈축 사용후 청축 쓰다가
청축은 너무 딸깍 거리는게 심해서 적축(리니어)이 누르는 감이 부드러워서
장시간 사용에도 피로도가 덜하다고 해서 구매해봤습니다
게임만 한다면 청축이 누르는 느낌도 좋겠지만 타이핑 위주로 사용하니까
적축(리니어)이 좋네요
개인적으로는 다음 키보드는 갈축이나 적축 살 것 같아요
그리고 깔끔합니다
투명한 크리스탈 키가 장점인 제품이네요
거기에 LED기능까지 있는데 이 가격이면
뭔가 전문적으로 잘 사용할 줄 알고 해서 1~20만원대 제품 쓰면 좋겠지만
저처럼 그냥 일반적(카톡, 웹서핑)으로 사용하신다면 이정도만해도 충분할 것 같아요",['https://phinf.pstatic.net/checkout/20200926_287/1601100785757329It_JPEG/review-attachment-5501b709-5334-49ed-8167-9d624d381a53.jpeg?type=f287']
4,"LED가 굉장히 예쁘고 청축 특유의 타건감이 게임할때 리듬감을 주어서 좋았습니다.
크리스탈 키캡 특유의 매끄러운 감촉이 좋습니다.
다만 장시간 문서 작업을 하기에는 청축이라 그런지 부담스러운 감이 있는데, 한두시간은 상관없는것 같습니다.",[]
5,"전 손에 땀이 많아서 전에 쓰던 키보드가 체리사 스피드 은축 이었는데도 불구하고 좀 쓰다보면 땀 때문에 키보드가 금방 떼타고 더러워지고 끈적해져서 안맞았던 키보드였는데, 이번에 산 키보드는 크리스탈 키캡이어서 그런지 디자인적으로도 이쁘고 제가 가장 맘에 들었던건 오래써도 키캡에 땀이 끈적해지긴 해도 닦아내면 엄청 잘 닦아지고 떼탈일도 없어서 너무 좋습니다. 또 카일 광축이라 그런지 키보드 반속도 빨라서 게이밍으로 쓰기 적합해요. 아참 그리고 키보드 덮개도 주니까 안쓸때는 덮어두고 있으면 키보드에 먼지 낄일도 없겠네요~ 잘 쓰겠습니다!!",[]
5,디자인도 너무 이쁘고 키보드 눌리는 체감도 정말 좋습니다. 결정적으로 구매하게 된 계기가 키보드에 자체 코팅이 되어있어서 글자들이 지워지지 않는 점 이었던 것 같아요! 단점은 굳이 꼽자면 소리가 살짝? 큰 것 말고는 다 만족했습니다ㅎㅎ 감사합니다!!,['https://phinf.pstatic.net/checkout/20190908_170/1567950088164duJXe_JPEG/E50E9A95-1BC1-4EB7-9B24-C22F6800BFC4.jpeg?type=f287']
4,"앱코 K660을 써보고 카일 광축에 매료 되어서 디자인과 카일광축 모두를 갖춘 이 제품을 구매하게 되었습니다.
하지만 K660과의 타건감은 미묘하게 다르네요 (이 제품이 좀더 키감이 가벼운 느낌, 한마디로 덜 쫀득)
하지만 여전히 카일 광축의 경쾌한 타건감과 약간의 쫀득함 + 깔끔한 디자인을 자랑하는 제품입니다",[]
5,생각보다 무겁습니다. 감성이며 재질이며 색감이며 나는 pc방 감성이다 라고 외치는것 같습니다. 연령별로 호불호가 갈릴 것 같습니다. 제품은 튼튼해보입니다. 따각따각 거리는 소리 사이로 유난히 스페이스바가 헐겁고 크게 느껴졌습니다만 몇 일 지나니 또 적응이 됩니다. 잘쓰겠습니다.,[]
5,"배송이 하루만에 왔어요 정말 빨라여~!
저는 같은 제품 핑크쓰고 남자친구 선물로 구매했는데
남자친구도 엄청 좋아하네요 실물 엄청 예뻐요~!
빤짝빤짝하고 깔끔해요!
전 핑크보다 이 색이 더 예쁜거같아요 ㅎㅎ

나중에 같은 긱스타 라인으로 마우스랑 헤드셋도 구매하려구요~!
커플제품으로 엄청 좋아요 이뻐여~!",[]
5,"이 가격대로 이 정도의 광축 키보드를 구입할 수 있다는게 좋습니다.


왠만한 PC 방에서 무난하면서도 퀄리티가 높게 느껴지는 키보드 입니다.


타격감도 괜찮고 무엇보다 눌리는 느낌이 가운데가 동그래서 부드럽게 눌리고 나오는것 같아요


추천드립니다.",[]
5,스피커랑 세트로샀는데 너무예뻐요 타자치는소리도좋고 색깔도예쁘여 근데 기스가난건지 점같은게 찍혀서옴 하늘색으로 깔맞춤하기 좋은듯,"['https://phinf.pstatic.net/checkout/20200816_54/1597559196987168U8_JPEG/review-attachment-d63d5f6a-cca6-42c3-9588-6927b519becf.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200816_145/15975591988873gk4s_JPEG/review-attachment-18ac21f9-f48b-4070-ae6c-1d1a22b5b405.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200816_276/15975591977445PUbw_JPEG/review-attachment-49ffd2c6-acae-4a43-b2a8-1e4a03ede18c.jpeg?type=f287']"
