star_point,comment,photo
4,배송 빨랐어요. 배송속도에 대해선 매우 만족합니다. 청축이라 소음이 있긴하지만 방에서 혼자 쓰는거라 상관없어서 구매했어요. 달칵거리는 클릭음이 좋아요. 스페이스바 스프링 소음도 거슬리지 않을 선에서 어느정도 잡혀있습니다. (기숙사나 같이 사는 룸메가 있고 공간을 공유하는 분들께는 정말 비추드립니다.) 자세히 살펴보면 각 캡마다 마감처리가 좀 아쉬워요. 거스름이 보이는.. 그래도 뭐 만져지는 부분 아니니 넘깁니다. 한/영키가 안보여서 깜짝 놀랬는데 오른쪽 하단에 Alt키를 누르면 되네요. 제일 아쉬운 부분은 포장상태입니다. 아무리 안에 박스가 있다고 해도 전자제품을 뽁뽁이 비닐포장에.. 받고서 놀랬네요. 그리고 안에도 특별한 포장없이 비닐에 쌓여있고 옆에 스트로폼 두개가 끝.. 포장이 참 아쉽습니다. 아무쪼록 첫 기계식 키보드 입문인데 열심히 달칵거리면서 잘 써봐야겠어요. :),"['https://phinf.pstatic.net/checkout/20201105_130/1604569914681wMKBQ_JPEG/review-attachment-c6035ca4-aabd-4c39-a8b5-f0d94c46afcf.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201105_188/1604569915014zrW1O_JPEG/review-attachment-318c4b6f-642e-49a6-907a-ed065d406d4a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201105_242/1604569913717R2Yjs_JPEG/review-attachment-7741d688-7533-47ee-8e64-474cb2c5099e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201105_212/16045699154979qn88_JPEG/review-attachment-2f2361db-bfa7-42b0-9f2d-73fb4e8bb4b9.jpeg?type=f287']"
5,"가성비 굉장히 좋은 키보드입니다.
게이트론 황축이 정방향으로 들어갔고, 스테빌은 잘 잡혀있는 데다가 키캡은 체리프로파일에 이중사출입니다. 거기다가 퀵스가 아닌 땜기판으로 출시되어 동 가격대에 타건감과 타건음 부분에서 이 제품을 이길 만한 제품이 많지 않을 겁니다.

아마 키보드에 대해 관심이 크신 분이 기획하신 게 아닌가 싶습니다.
저가형에서 나올만한 단점이 거의 다 잡혀 있어요. 10만원 이하 기성품에서 제일 아쉬운 건 스테빌 소음과 통울림입니다. 하지만 GK87같은 경우에는 스테빌을 크게 손대지 않을 정도였고, 통울림도 심하지 않아 별도의 작업을 하진 않았습니다.

아쉬운 점이 전혀 없는 건 아닙니다. PBT키캡이지만 함유량이 적어보이고 케이블은 탈부착이 아닙니다. 개인적으로 LED가 없는 걸 신경쓰지 않지만 이걸 신경 쓰는 사람도 있을 테니 이것도 단점이 될 수도 있겠습니다.

그러나 가격을 생각하면 어지간한 단점이 용서가 됩니다.
워낙 기본기가 출충한 키보드다 보니 윤활로 스프링 소음만 잡아줘도 굉장히 만족스런 타건감이 나옵니다. 플라스틱 특유의 경쾌한 타건감이 잘 느껴집니다.

키보드 밑에 다소 두툼한 수건이나 극세사 걸레를 반으로 접어 깔아주면 더 좋은 타건감을 경험할 수 있습니다.

아마 이 제품의 라이벌은 콕스의 CK87일 겁니다.
CK87이 다양한 색상과 LED효과로 젊은 취향의 제품이라면, 이 제품은 마니아를 위한 키보드가 아닐까 싶습니다. CK87과 GK87을 사용해본 입장에서 저는 이 제품에 손을 들어주고 싶습니다.",['https://phinf.pstatic.net/checkout/20201031_15/1604126350807Yt1ry_JPEG/review-attachment-846324f8-d491-487f-b185-110bb8980aa1.jpeg?type=f287']
5,"다 마음에 듭니다만 한가지
스테빌 좌측쉬프트 키 하나만 윤활이 제대로 되어있지 않습니다.
처음에는 불량인줄알앗는데 윤활이 제대로 되어있지 않았던거라서 쉬프트누를때 불편하긴 하지만 as사유까지 되지는 않는다고 스스로 판단해 그냥 쓰려고합니다..
그냥 제가 예민했던 것 같아요.
보통사람들은 열에 반이상은 정상이라고 생각할정도의 수준이라 생각합니다.
근데 키보드너무좋은거 아니에요??
청축 적축 갈축 무접점 플런저 맴브레인 펜타그래프. 30년넘게 살면서 키보드만 20개는 넘게 구입을 해서 썼지만 세번의 충격을 경험했습니다.
2011년 청축 키보드를 처음타건 하였을 때의 옛날 타자기같은 신선한 충격,
2014년 기계식에 지친심심한 손가락에 비타민같은 존재가 되어준 무접점의 도각도각한 충격,
2020년 14년 이후로 새로운 키보드를 경험하지 않다가 이번에 세컨드찬스 긱스타 gk87 '황'축을 처음으로 경험했습니다.
그동안 6년가까이 새 키보드들을 경험하지 못해서 그런진 모르지만
나름 예민하고 키보드를 잘 알고있었다고 생각을 했었지만 우물안 개구리였네요.
지금까지 느껴보지못한 충격이네요..
우선 키감은 체리적축과 비슷한 느낌이지만 체리적축에 키압이 조금 들어가있다고 생각하고 흑축과 적축의 중간이라고 느껴졌습니다.
그리고 넌클릭의 매력인 끝까지 눌렀을때의 바닥을 치는 소리가 매우 매력적입니다.
저는 구름타법을 쓰는 사람이라 이 제품도 구름타법이 가능해 구름타법만 하실줄 알면 매우 조용한 키보드로 사용을 할 수 있을 것 같네요.
하지만 키보드를 강하게 누르는 사람이라면 어느키보드를 쓰던 크게 소리가 날거라 생각합니다.",['https://phinf.pstatic.net/checkout/20201008_203/1602132517231iG3Cs_JPEG/review-attachment-4cdd8167-dfe4-4747-b9ab-3cb81fabfef1.jpeg?type=f287']
5,"유튜브 자료를 많이 찾아가 ck87이랑 비교해가면서 결국 gk87를 구매하게 되었습니다.
1. 키캡이 pbt라는 점
2. 키캡 높이가 높지 않아서 손가락에 힘이 덜 들어갈 것 같다는 점
3. 색깔이 핑크랑 화이트라니 미쳤다는 점
이렇게 고민하다가 저는 사무적인 일을 많이 해서
황축을 구매하게 되었습니다.
거의 유튜브로 듣던 저소음 갈축만큼 소리가 적은 거 같아서
매우 .

다만,
키캡의 높이가 낮아서 일반 기계식 키보드 키캡을 쓰시다가
이 키보드를 타건하실 때는 약간 어색함이 느껴지실 수는 있습니다.
금방 적응할 수는 있지만 아무래도 어색함은 상대적이니까요

한 달 리뷰 때 보다 자세하게 적어볼게요!",['https://phinf.pstatic.net/checkout/20201128_257/1606560231666oVURF_JPEG/review-attachment-d4ce079f-3121-4376-b300-e86e54a815bc.jpeg?type=f287']
5,"솔직히 이 가격대에 이렇게 이쁘고 퀄리티 깔끔한 제품 몇개나 있을까 싶네요.

저는 황축으로 구매했는데 키감도 좋고 소음도 거의없고 아주 아주 만족하고 사용했습니다. 주로 게임용으로 자주 썼는데 진짜 좋았습니다.

가격대에서 오는 디테일한 아쉬움(케이블선이 일체화되어 있다던가)은 어쩔 수 없고 , 키보드 더스트커버 정도는 하나 넣어줘야하지 않았나 싶긴합니다..

키보드 자체로는 상당히 만족합니다. 키캡 질도 깔끔하고 색도 아예 새 하얀색도 아니고 누런 색도 아닌 밀키한 느낌입니다. 핑크색도 너무 핑크핑크한 느낌도 아니고 색감 아주 잘 뽑았다고 생각합니다.

적당한 가격에 기계식 키보드 찾는다면 전 이걸 강추하겠습니다.",['https://phinf.pstatic.net/checkout/20201028_134/1603864137863HrdUs_JPEG/review-attachment-8fba4082-5197-4241-a527-e95a97eebf51.jpeg?type=f287']
5,"게이밍 키보드 알아보다가 지인추천으로 구매했습니다. 텐키리스 처음 사용해보는데 자리도 많이 안차지하고 디자인도 예뻐서 만족합니다.
가장 맘에 드는건 키보드의 전체적인 흰색이 순백색이 아니라 약간의 미색이 도는 화이트라 눈이 덜 피로하고 더 써봐야알겠지만 변색 걱정도 없을 것 같습니다..
키감은 하이엔드급 키보드만큼 말랑말랑한게 부드럽고 좋네요.
타건음은 황축이라 굉장히 조용한 편이고 키압도 청축보다 가벼워서 그런지 피로감도 덜한것같아요. 그리고 카메라를 가까이 대고 촬영해서 영상에선 좀 소리가 크게 들리는데 실제론 훨씬 작습니다.
회사에서 핑크 키보드를 사용하긴 좀 그래서 다른 색상이 있다면 사무실용으로 하나 더 구매하고 싶을만큼 !!",['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_07_31_0/10b34f9a-d2bd-11ea-bc57-48df37ae3dc4_03.jpg?type=f287']
5,텐키리스 제품을 처음 써보는데 다소 어색하면서 가끔씩 없는 키를 누르기도 합니다. 하지만 이게 불편하다기 보다는 낯선 느낌이에요.적응하기 나름인 것 같아요. 오테뮤 갈축만 쓰다가 게이트론 황축을 써보니 확실한 차이가 있어요 무게가 가볍다는 느낌이 제가 생각했던것과는 다른것 같아요. 2일째 적응중인데 만족하며 사용중입니다. 깔끔한 디자인과 키음도 갈축에 비해서 굉장히 조용하구요 스페이스바를 누를때마다 나오는 키음에 뭔가 중독될 것 같아요. 하지만 키캡 마감은 다소 깔끔하지 못한 것들이 여럿 보이네요. 이 점만 보안한다면 최고의 가성비 키보드가 될 것 같습니다.,['https://phinf.pstatic.net/checkout/20200909_219/1599653867074o7q4z_JPEG/review-attachment-5fe1d1a7-5593-46f2-90fd-51daeccf0c2a.jpeg?type=f287']
4,"이전에 타사 제품 청축 쓰다가 이 제품 갈축으로 바꾸니까 확실히 타건시 소리가 훨씬 얌전?하네요. 그리고 갈축은 처음이라 다 이런 건지는 모르겠는데 좋게 말하면 부드럽고 달리 말하면 약간 미끄러지는 느낌? 그래서 조금 적응하는데 시간이 필요할 것 같아요. 가격이 괜찮아서 고른 거라 디자인적인 부분은 역시 많이 아쉽네요. 키는 아이보리인데 바닥이 화이트라서 통일감이 없고 뭔가 촌스러워요ㅠ
포장은 제품박스에 뽁뽁이비닐포장을 해주셔서 만족스럽습니다.",['https://phinf.pstatic.net/checkout/20201102_228/1604304664233iD5Ds_JPEG/review-attachment-4aa1f070-2461-45b9-ba1c-c1c67a443c52.jpeg?type=f287']
5,첫 기계식 키보드인데 3만원짜리로 아무거나 살까하다가 엄청 고민 많이해서 이걸로 샀어요. 59000원이라는게 믿기지 않는다는 말 답게 부족한게 없네요. 사기 전에 좀 핑크색이 진해보이고 폰트가 좀 별로라고 생각했는데 실물이 훨씬 이쁩니다. 그냥 최고예요. 게이트론 황축 너어어무 좋아요 그냥 사세요^^^ 딱 하나 아쉬운건 케이블 탈착 안되는거? 통울림없고 밀리지도 않고 이상한 자판도 없는 것 같아요. 끝,['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_09_13_0/981fab1a-f58c-11ea-bc9a-246e963a49a8_03.jpg?type=f287']
1,"생각 보다 키감이나 디자인이나 ck87 을 뛰어넘진 못하는듯해요. 처음에온거 파운데이션 묻어있어서 열심히 지웠더니 녹물 묻어있었는데 바꿔주신다더니 저보고 네이버통해반품 하지말아달라 택배직접예약해주신것도 아니고 직접제가 예약했다가 본사에서 이중으로연락와서는 택배 이미 예약했다고..
저한테물품에대해 사과하실 용의가 정말있었다면 택배예약도 중간에서 판매하신분이 본사에미리연락하는등 저한테 처리를 맡기지말았어야죠. 정신이없어서 그당시는 제가했다가 지금 돌이켜생각해보니 좀 괘씸하네요.
제품도쏘쏘한데 어차피 반품안하시려고 이렇게 까지하시는것같아 그냥 교환으로온거 쓰지만 저는 확실히 이제부터 긱스타는 믿고거를듯.",['https://phinf.pstatic.net/checkout/20200919_245/1600525552186z7gz1_JPEG/review-attachment-235465e4-d9a2-4435-a137-e9fd224e24c6.jpeg?type=f287']
