star_point,comment,photo
5,"원래는 같은 제품 갈축이 없는 줄 을고 적축 사서 썼었어요. 하지만 중간에 걸리는 게 없어서 적축임에도 불구하고 손가락이 밀려난다는 느낌이 들어 마음에 안 들었었는데, 프로 서치러 친구가 갈축을 찾아줘서 재구매했습니다. 스카이디지털은 제품도 좋고 키스킨을 재구매할 수 있다는 점이 마음에 들어요.",['https://phinf.pstatic.net/checkout/20200924_276/1600954312067TWYMF_JPEG/review-attachment-ec78eb65-70c2-467d-948a-9adf520c1cca.jpeg?type=f287']
4,"장점:일단 잘동하고 포장 상태 좋고 . 설명서 .키캡 뽑는 연장.
ps2 포트를 사용하는 사용자의 배려로 ps2젠더 포함 등이 좋았습니다..
사용환경이 어두운 상황에서 LED가 탑재 되어 있어 문서 작업.그래픽작업 . 키보드 전체의 키를 사용하는데 문제가 없는 부분이 매우 좋았음
단점:
1.일반 키보드 사용하던 저의 기준으로 볼때 키보드의 전체 두께가 일반 키보드의 두께 보다 2배 ~ 2.5배 가량 높기 때문에 손목에 약간의 무리가 생기므로
키보드 앞에 손목 받침대를 사용해야 한다는 단점이 있습니다
2.키보드의 무게는 일반 키보드 5개 합친 정도의 무거운 정도
대충 이 키보드로 사람 때리면 죽을 것 같다는 정도
3.설명서가 너무 간단 설명서 이어서 인지 일반인이 볼때 이해 하기 힘들정도의 간단 설명으로 판매자용 페이지 동영사 봐야 이해 할수 있는 정도",[]
4,"성능이 좋네요
키 입력할때 입력감도 가벼우면서 LED 조절 세부적으로 할수있는거 좋은 장점임

근데 본제품은 매크로기능중 quick기능은 없는건가요?
스카이디지탈 다른제품군에는 있는듯한데 필요해서요..

또 loop macro 설정시 1개만 저장가능한건가요?
3개정도 저장해놓고 원하는것 골라서 작동시킬수있는지 궁금합니다

상품자체는 배송도빠르고 성능 디자인 기능 다 만족합니다.",['https://phinf.pstatic.net/checkout/20200505_187/1588652007880W3uQj_PNG/untitled.png?type=f287']
4,"게이밍용으로 이 모델을 구매했습니다. 적축 모델을 이 모델로 처음 사용해봤는데, 타건감은 약간 부드러운 두부 두들기는 느낌이였습니다. 소음은 확실히 전에 사용하던 청축보단 조용합니다.

하지만 본래 목적인 게이밍용보다는 사무용으로 추천드리고 싶습니다. 키보드 기능자체도 게이밍용으로 쓰기보다는 사무용에 적합한 기능이 더 많다보니 사무실로 이놈을 가져가고 게이밍용으로는 다른 녀석을 추가로 구매했습니다.",[]
5,"아직 오래 써보진 못했지만 몇가지 설정하며 만져본 느낌으로는 좋네요. 그리고 요즘 나오는 대부분의 키보드들은 한영키와 한자변환키가 독립적으로 되어있지않아 불편한데, 이 키보드는 구분되어 있어 문서작성에 특히 좋아요~ 주문하고싶었는데 파는곳마다 품절이어서 좌절하다가 이곳에서 살수있어서 너무 기뻤네요ㅎ",[]
5,아직 뜯지도 못하고 연결도 못하고 있는데.. 좋을것 같아요... 지금 쓰고 있는것도 앱코 기계식 LED 키보드인데... 이건 103키라서 몸이 불편한 저에게 오른쪽 알트하고 컨트롤이 안되는게 큰 약점이라서 NKEY R3 키보드는 106키라서 구매 했습니다... 큰 고장 없이 잘 쓸수 있으면 좋겠습니다... 많이 파세요.... ^^,[]
2,키보드 기능 자체는 괭장히 만족했지만.배송중 4번 키가 뭔가에 찍혀서 왔내요. led 기능을 켜보니빛이 세어나올 정도입니다. 일단은 이런거 크게 신경 안쓰는 타입이기도하고반품 하기도 이러저러 설명하고 말씨름하고 뭐하고 귀찮아서그냥쓰지만...평점은 평점이니까요. 저말고도 배송쪽에 문제가 있는거같은데.그부분 좀더 신경쓰는게 좋을꺼같습니다.어차피 키캡은 따로 구매를 하려고 했으니 다른대서 구매를 하던가 해야겠내여,[]
1,낚시조심들하세여 임마들 사진은 화이트로 올려놓고선 보낸건 블랙으로 보냈네? 임마들이거 안될사람들이구만 색상을따로 표기라도 해놓던가 ㅉㅉ 블랙색상이믄 요기보다 싼데 많으니 !!요기말고 딴데 찾아보믄 싼데 나옴니다!!낚시들 조심하세여 사진화이트인데 보내는건 블랙색상입니다,['https://phinf.pstatic.net/checkout/20190608_83/1559952047753YiaJ7_JPEG/KakaoTalk_20190608_085642542.jpg?type=f287']
2,"처음 받은 것이 키 하나가 불량이라 교환 받았는데, 제대로 새 상품 보내는게 맞는지 의문이네요. 박스 여기저기 구겨지고 개봉부분도 찢어진 형태가 딱 개봉감이 충만하고, 키보드 후면 상판도 살짝 들려있기까지 했네요. 분해 수리 흔적인지?",[]
5,스카이 디지탈 유선기계식 키보드 엔키 R3 RGB 청축 배송이 아주 빨리 와서 좋았습니다. 뽁뽁이로 잘 포장돼 와서 더욱 좋았네요 예전에 스카이디지탈 멤브레인키보드 엔키2를 구입하여 사용했던 기억이 있어 스카이 디지탈 제품에 호감이 있었는데 여기 저기 찾아보고 사용평도 보고 유튜브 영상도 참조하여 구입하였습니다. 청축 기계식키보드 임에도 키스킨을 씌우고 타이핑하면 조용한 편이고 감도도 아주 좋은 편입니다. rgb led 불빛도 여러가지라 마음에 드는 편입니다. 디자인도 심플하고 있어야 할 것만 배치되어 있는 디자인에 군더더기가 없어 좋네요 아직 오래 쓰지않아 더 말하기 어렵지만 오류없이 잘 사용만 된다면 좋은 키보드라고 말할 수 있을 것 같습니다. 아직까진 만족하고 사용하고 있습니다.,[]
