star_point,comment,photo
4,"전체적인 키감 만족. 다만 특정상황에서 동시입력이 안된다는 느낌보다는 특정키가 안눌림. 굉장히 특수한 상황으로 리듬게임을 제외하고는 굉장히 쓸만한 키보드. 키보드 자체 불량이라기보다는 3만원짜리 키보드 중에서 제일 좋은 선택지였지만 다음달월급나오면 10만원짜리 키보드 살 예정.

**리듬게임 제외한 게임에서는 모든 기능이 무리없이 돌아감
**리듬게임 안하시는 분들에게는 적극 .
**별한개를 뺀 이유는 리듬게임 하시는분들은 이거사지말라고 하나 뺐습니다.","['https://phinf.pstatic.net/checkout/20200820_183/1597922657712Py9cG_JPEG/review-attachment-05f163ef-b995-4912-ba61-fd6ff69fdb1a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_86/1597922657671K4QDt_JPEG/review-attachment-f38437be-7d0c-48de-a080-d911220f9b4a.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200820_10/1597922657909h8tmh_JPEG/review-attachment-3cf4d6a4-daf9-4223-91c5-3a40e1424684.jpeg?type=f287']"
1,다수의 키를 동시에 연타하면 우측의 키들이 먼저 씹히는 현상이 나타남.연타는 최대 3~5개까지만 인식되는 듯? 나머지는 연타를 해도 키가 눌렀다 떼지는게 아니라 계속 눌려있는 상태로 인식됨.자랑스럽게 엔키포메이션으로 펌웨어 업데이트가 가능하다고 써놨지만엔키포메이션 최신 버전은 2018 년도에 나왔을뿐더러엔키포메이션 없이 자동으로 받은 펌웨어가 이미 최신 버전인 것으로 나옴.그래서 엔키포메이션에서 테스트 > 키보드테스트를 통해 테스트해본 결과?테스트 해보니까 실제로 씹힘.SDFJKL 여섯개의 키로 연타를 해보면 SD나 SDF만 떼졌다 다시 누른 거로 인식되는 것을 볼 수 있음.게다가 엔키포메이션 이 프로그램의 놀라운 점은 PrtSrc나 마우스 좌/우클릭도 누른거로 인식해서로그를 스샷을 찍거나 하려고 해도 뭘 누르면 바로 로그창이 맨 아래로 내려가버리니이걸 찍어서 올릴 수도 없음 ㅋㅋ 환장할 노릇과거에 멤브레인으로 나왔던 NKEY-2 같은 제품을 쓰다가재고가 아무리 찾아봐도 안 보여서 결국 산 제품이 제기능조차 하지 못한다는게 화날 따름굳이 리듬게임처럼 연타 나오는 작업이 필요없는 사람은 사셔도 무방합니다,[]
5,"19년동안 팬타그래프 키보드랑 맴브레인만 사용하다가 처음 산 기계식 키보드인데 정말 너무 좋습니다! 프로그래머라 타자칠 일이 많아서 손가락 관전이 아팠는데 z1 적축으로 교체한 뒤로 타속도 올라가고 손가락도 편하네요^^ 프로그램제작하거나 타이핑 많이하시는 분들에게 강추하고요 기계식에 입문하고싶으신분들, 기계식 쓰고싶은 학생분들에게 추천합니다 정말 저렴한 가격에 이런 성능을 뽑을 수 있다는게 놀랍습니다! 스카이디지탈 최고!","['https://phinf.pstatic.net/checkout/20190217_103/155037036032961Av1_JPEG/20190217_111738.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190217_187/1550370360608SESjt_JPEG/20190217_105951.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190217_280/1550370360745HMG57_JPEG/20190217_110401.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190217_267/1550370360923qbOVi_JPEG/20190217_110533.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190217_76/1550370361434EOXHp_JPEG/20190217_110552.jpg?type=f287']"
5,쓴지 한달정도됐는데 처음엔 좀 적응이안됐는데 점점 타자치는거에도 어느정도 적응이되서 좋아요. 청축쓰다가 소리가 너무 요란해서 갈축으로 갈아탄건데 갈축정도가 저한테는 딱 맞네요. 보통 레인보우led가 많은데 진짜 흔치않은 하얀색led라서 깔끔하니 맘에들고요.,[]
1,"키보드,마우스 같이 주문했는데요.
와 뽁뽁이 감는게 그렇게 귀찮으셨나요?
그냥 뽁뽁이를 따로 넣어주셨네요.
그럼 이왕이면 위아래 다 넣어줘야 완충이 되지.. 한쪽만 넣으면 이건 뭐 넣었다고 생색만 내는건지..
아이코다 다시는 주문 안할렵니다.",[]
4,"소리는 확실히 청축보다 많이 좋습니다 적축보다도
조금 더 소음이 적네요 타이핑 칠때요
다만 살짝 무거운 감이 있어 살짝 적응기 지나면
1-2시간? 괜찮습니다 저 개인적으로는요 ㅎㅎ
적축재고소진되어 저는 갈축?인가요 그거 배송
받았습니다 많이 파세효",['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_07_06_0/dabb197f-bf5d-11ea-bdf8-505dac8c38f5_03.jpg?type=f287']
5,"[포토리뷰] 가성비의 끝판왕, 만족스런 마감까지, NKEY-Z1 구매자의 말 : 솔직히 큰 기대를 안 하고 구매를 했는데 컴퓨터 주변기기를 참 많이도 사는 친구의 물건들과 비교해도 꿀리지 않는 성능에 많이 놀랐다. 스프링 소리가 몇몇 스위치에서 들리지만 작아서 신경쓰일 정돈 아니었다.특히 본인은 마감처리를 가장 중요하게 생각하는데, 본 제품은 마감처리가 훌륭해서 아주 만족하고 있다. 키감 역시 리뷰를 쓰고 있는 지금도 쓰면서 상당히 많족하고 있다. 포토리뷰에는 적지 못 했는데, 무게감이 과한 제품들과 달리 상당히 경량이다. 가볍게 들고 책상을 청소하고 내려놓을 수 있다는 건 정말 좋은 점이다. 다방면에서 썩 괜찮다고 느끼고 있어 적극 권해본다.","['https://phinf.pstatic.net/checkout/20180227_244/1519731436899UXWey_JPEG/20180227_191004.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180227_172/1519731436998F5Qm7_JPEG/20180227_191047.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180227_155/1519731437091qrhYA_JPEG/20180227_191313.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180227_263/1519731437192y0lfL_JPEG/20180227_191358.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180227_262/1519731437268hnXUw_JPEG/20180227_191853.jpg?type=f287']"
4,"소음이 적은 기계식이고 가격이 저렴해서 사무용으로 쓰려고 샀는데, 통울림이 너무 심해서 한달도 못썼습니다. 기계식 감촉은 좋습니다~ 소음에 민감하신 분들은 구매에 참고하세요~ 뜯어 봤는데, 흡음제가 전혀 없고, 따로 구하기도 힘드네요. 소음 상관 없고 기계식 느낌만이 좋다! 하시는 분들에겐 추천 드려요~",[]
5,강추합니다 이번 nkey z1은 정말 제대로 만든 키보드 같아요.받아보니 마감이 상당히 좋고 여기저기 세심히 손을 쓴 곳이 많이 보였습니다.높이조절도 2단으로 할 수 있어서 좋았고 3번째 사진처럼 usb부분에 보호마개를 설치해서보관시나 이동시에 혹시모를 usb단자 손상을 방지 할 수 있게 해놨더라구요.led는 흰색 단색이지만 저처럼 심플한 거 좋아하시고 요란한 것 싫어하시는 분들에겐아주 좋은 제품일 것 같습니다.이 가격에 이 퀄리티라니 정말 만족스러워요. 강추드립니다!,"['https://phinf.pstatic.net/checkout/20180131_114/1517379201492VPwc9_JPEG/KakaoTalk_20180131_150759054.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180131_189/1517379201670JHwxi_JPEG/KakaoTalk_20180131_150756696.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180131_16/1517379201817fwtGz_JPEG/KakaoTalk_20180131_150754922.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180131_296/1517379201977AIt0c_JPEG/KakaoTalk_20180131_150757747.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180131_82/1517379202133dj0pW_JPEG/KakaoTalk_20180131_150753452.jpg?type=f287']"
5,"안녕하세요 20대 대학생입니다.대학생이니만큼 금전적으로 여유가 많진 않은편인데요.쓰던 키보드가 고장나서 어쩔수없이 새 키보드를 장만해야되서새 키보드를 찾게되었는데요.기존에 쓰던 키보드는 10만원대 청축 키보드였는데개인적으로 청축이 안맞기도하고 품질자체도 썩 별로더라고요그래서 저가형 적축 키보드를 많이 찾아보던중 해당 키보드 NKEY Z1 적축을 찾게되어지난주에 구매결정을 하였습니다. 저가형이라 솔직히 우려를 했지만구매후에 몇시간 정도 레포트와 게임으로 타건을 해보았는데 개인적으론 상당히 만족스럽네요지난주 목요일 밤 늦게 주문해서 월요일 일찍 배송이 왔는데배송은 빠르다고 느꼈습니다(요즘 날도 더운데 고생하시는듯ㅠ)줄같은 경우에도 줄에 찍찍이가 달려있어서 정리하기가 매우 편하구요키보드 내부 기능은 첨에 잘 몰랐었는데 설명서를 보니(설명도 자세합니다)'FN+N,D,G,B 키'를 누를시 네이버, 구글같은 주요 포털사이트를 쉽게들어갈수있더라고요인터넷 서핑을 많이 이용하는 사용자로서 매우 반가운 기능이라고 느꼈습니다그리고 사진과 같이 특정 원하는 키만 라이트를 킬수있어서 매우 좋네요첫인상이 매우 좋아서 조금만 더 사용해보고 아주 괜찮다 느껴지면 백업용으로 한개 더 사둘까 생각이들정도네요다음에도 NKEY 브랜드 이용하고싶어졌습니다. 지인에게도 권해주고싶네요","['https://shopping-phinf.pstatic.net/20190627_19/7c217f1c-dbb9-40ee-92a7-05dc2b3d950b.jpg?type=f287', 'https://shopping-phinf.pstatic.net/20190627_14/569a6942-6415-4d3a-83eb-b43fb84ec687.jpg?type=f287']"
