star_point,comment,photo
5,"키보드 색감이 너무 이쁘고 약간 청축느낌 나지만 뭐가 부드러운 청축느낌이랄까 일단 대만족이고 배송도 하루만에 총알택배 오네요 ㅋㅋㅋ 미쳤ㅋㅋㅋ
패드도 엄청크고 부들부들하네요 잘 삿습니다 처음 산 헤드셋과 같이 찍었는데 헤드셋이 제품이 너무좋아서 키보드도 녹스꺼 사봤습니다 대만족이고 마우스도 녹스였지만 오래돼서 두번 클릭 되는것때문에 바꿧습니다 키보드 고민하시는분들 진짜 저렴이사지말고 녹스제품사세요 값어치 합니다.","['https://phinf.pstatic.net/checkout/20201121_257/1605950362854p2OEa_JPEG/review-attachment-ecf87a87-6655-4317-ac6c-dbcde503b935.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201121_149/1605950369784umvPw_JPEG/review-attachment-b09c9039-37b7-4dc5-ba87-edaf6dfff72e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201121_84/16059504994299TLU2_JPEG/review-attachment-40bcdb5a-b8d8-44d3-9912-64ea709e2d8c.jpeg?type=f287']"
5,"너무 예쁘고 키감도 좋고 아주 만족스럽습니다!
사무실에서 쓰고 있는데 딸깍 거리는 소리가 있어 눈치가 보이지만 .. ^^ 그리 조용한 사무실도 아니고 다들 이런 키보드 사용하고 계셔서 당당하게 쓰려구요! 소리 많이 크지 않아요 다만 조용한 사무실에서는 조금 생각을 해보셔야 할 것 같아요! 그리고 색깔은 사진보다 초록색이 약간 더 도는 민트입니다..! 이 색도 예뿌지만 사진 색이랑 좀 달라 슬푸네요 그래도 예뿌게 쓸게요 ~~",['https://phinf.pstatic.net/checkout/20201123_84/1606098868738fFEg3_JPEG/review-attachment-0194b61f-51e2-41dc-9988-8386e17bf782.jpeg?type=f287']
5,"이쁘고 타이핑감도 괜찮네요. 주의 하실점은 시끄러운거 싫어하시는 분은 비추 입니다. 항상 펜타그래프 키보드 쓰고 있다가 광축 키보드 응답속도가 빠르다고 해서 구매를 해봤는데, 탈칵탈칵 하는 스위치 소리와 키를 누를때 탁탁 소리가 상당히 크네요. 펜타그래프 키보드와 비교해서 그런거지 나쁘지는 않습니다. 그리고 키캡을 덮고있는 투명색 2중 프라스틱의 경우엔 가장자리를 자세히 들여다보면 마감이 잘 안된 키들이 몇개 보이네요. 또 키 사이사이에 플라스틱 다듬은 후 나오는 찌꺼기들이 많이 끼어있네요.",[]
5,기계식 키보드 너무 비싼건 부담되고 적당한가격제품 찾았는데 잘 산거같아요 일단 색이 정말 너무 예뻐서 간쥐좔좔 책상완전 깨끗하고이뻐보이네요 일단 디자인도 너무 예쁜데묵직한 키감이 정말 ㅋ ㅑ ~너무 좋아서 자꾸 타이핑 하고싶어지네요~살짝 덧데어진 투며아크릴이 정말 너무 예뻐요~~영롱한거 좋아하신다면 완전 추천합니다!,[]
5,디자인이 너무 이뻐서 주문했는데 선택은 틀리지 않았어요~>0키보드 하나 바꿨을뿐인데 승률이 올라가는 느낌적느낌^^키보드 반응속도도 빨라서 게임에 집중할수 있어서 좋네요.터치감도 좋고 게임외에 다른 작업할때 단축기 쓰기도 편해서 잘쓰고 있어요^^,[]
5,기계식 키보드 첨 써보는데 예뻐요 민트색 좋아해서 선택했는데 불들어오니 훨씬 더 이쁘네요.키감도 좋고 사용하기 괜찮네요. 일반키보드와 다르게 키누를때마다 나는 소리가 저는 맘에 드네요. 그거때문에 바꾼거기도 하구요 ㅎㅎ,[]
5,"회사에서쓰던 마우스랑 키보드가 하나하나 맛이 가길래 주문했어요 ㅋㅋ 마우스 흰색으로 쓰고있어서 거기에 맞춰서 상큼하게 제가좋아하는 민트로 주문했어요 ㅎㅎ
힝 너무이뻐요 ! 타자 치기도 편하고 불빛들어오는것도 넘이쁘네용..영롱보스..ㅋㅋ 잘쓸게요!",['https://phinf.pstatic.net/checkout/20201120_116/1605871036226Gp3FR_JPEG/review-attachment-91b61a77-2f4e-482a-bae6-471b271389a3.jpeg?type=f287']
5,이번에 사용하던 키보드가 오래 되기도 했고 키가 안먹혀서 새로 구매 할까 하다가 완전 제 스타일인 키보드를 발견해서 바로 주문했어요 배송도 다음날 바로 도착했고 오자마자 연결하여 키보드를 만져보는데 너무 부드럽고 타자기 소리도 너무 좋네요,[]
5,배송이 매우 빠르게 잘 왔더라고요. 포장도 깔끔하고 꼼꼼하게 잘 되어 있는게 참 좋았어요. 작동이 매우 잘 되더라고요. 응답속도도 빠르고 타이핑하는 감촉도 매우 좋고요. 디자인도 이쁜게 마감처리도 깔끔하고 색상 배열도 최고였습니다.,[]
5,"디자인에 홀려러 구입!!
너어무 이쁘고 반짝거려요ㅋㅋㅋㅋ
타자칠때 소리도 크지 않고 터치감이 아주 예술이네요 ㅎㅎ
기존에 쓰던 그지같은 키보드랑 비교했을때 정말 신세계입니다 ㅎㅎ
손목도 덜아프고 손가락이힘이 덜들어가서 좋아요!",[]
