star_point,comment,photo
3,"솔직히 생각보다 별로 입니다.
기계식키보드를 여러개 보유하고 있고 무접점도 사용하고 하는데 축에 대한 장단점보다 사용하기가 불편하네요.
첫번째는 숫자패드 5번에 돌기가 없습니다.
풀배열 키보드에 5번키에 돌기가 있어서 5번이라고 안보고 확인이 가능한데 이 제품은 텐키리스 사용하다가 숫자 누르려고 하면 어떤키가 5번인지 구분을 할 수가 없습니다.
이게 엄청 불편합니다.
그도 그럴것이 일반 풀배열 키보드 숫자패드에 비해 위에 한줄이 더 있어서 더 헷갈리게 됩니다.
두번째는 바닥면 형상인데 바닥면에 디자인때문인지 바닥면으로 갈수록 면적이 좁아지는 형상입니다.
게다가 미끄럼방지고무가 볼록한 모양이라 가령 -키나 esc키를 누를때 숫자패드 자체가 기울어지는 현상이 생깁니다.
이건 제가 파워타건 타입에 가까워서 그럴수도 있지만 기우뚱기우뚱 하는게 불편합니다.
차라리 바닥면에 디자인을 주지 않고 그냥 쭉 직선으로 내려오거나 바닥 미끄럼방지고무라도 평평한 모양으로 해주면 기울어지는 현상이 덜 할거 같습니다.
그리고 세번째는 무게감이 너무 없습니다.
저가형이라 이것저것 지적하는게 불편해보일수도 있겠지만 무게감이 없으니까 두번째 불편사항처럼 기울어짐이 더 심한거 같습니다.
어차피 이 제품을 휴대용으로 사용하지는 않을텐데 좀 더 무거웠으면 안정적으로 사용이 가능할것 같습니다.

솔직히 이 가격에 기계식숫자패드를 구매하기는 어렵습니다.
키캡의 마감이니 키캄이니 이런것들을 논하기에는 가격이 너무 저렴하기 때문에 .
레오폴드나 리얼포스는 숫자패드만 해도 몇만원씩 하니까 그에 비해 엄청 싼 가격에 사용할 수 있는 것이 가장 큰 장점인거 같습니다.

추후에 단점들이 개선되어서 나온다면 추가로 구매하고 싶네요.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_03_19_0/93a40820-698c-11ea-835a-28b4484d608c_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200319_204/1584586299608aQKXg_JPEG/KakaoTalk_20200319_113720847.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200319_292/1584586299602qB8Gs_JPEG/KakaoTalk_20200319_113720847_02.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200319_1/1584586299681DvQ5A_JPEG/KakaoTalk_20200319_113720847_04.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200319_55/15845862996582V8ab_JPEG/KakaoTalk_20200319_113720847_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200319_231/1584586299740O9B19_JPEG/KakaoTalk_20200319_113720847_06.jpg?type=f287']"
5,"블루투스 키패드 쓰다가 전원대기 문제때문에 갈아타려고 골랐습니다.
묵직하게 생긴 생김새와 다르게 굉장히 가볍네요. 들고다니기엔 좋을것 같은데... 크기는 좀 크고 하하..
기계식이라 키캡놀이도 되네요. 텐키리스 키보드랑 깔맛을 위해서 좀 어울리는 키캡이 있으면 바꾸는것도 고려를 해봐야겠네요.
박스가 살짝 찌그러지긴 했는데 그거야 택배 배송중에 생긴 문제니까 패스고, 오히려 광속배속이 더 인상깊었습니다.
다만, 사은품에 배터리 이야기는 좀 수정 하셔야 할것 같긴 하네요. 굳이 필요한 물건도 아니고....","['https://phinf.pstatic.net/checkout/20201013_48/1602570085580fMfs1_JPEG/review-attachment-522517f5-bc91-42ec-9cd1-66027d665300.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201013_41/1602570086568NVuWV_JPEG/review-attachment-5ab554fe-2601-4819-a528-2bd2ed106187.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201013_219/1602570086234L5IGk_JPEG/review-attachment-a4ed0c04-8c8f-40cf-9d97-aa0a5f15c173.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201013_36/1602570086338rFnrY_JPEG/review-attachment-33d7ccb4-706a-464f-a8c1-1d7dff5bb957.jpeg?type=f287']"
5,"집에서 쓰던 텐키리스 키보드를 사무실에서 사용을 하려고 하니 키패드가 없어 불편하던 중에 씽크웨이 CROAD K10 LED 모델을 구매하였습니다.
키 감도 좋고, 은은한 LED가 사무실 책상에 포인트가 되네요~
Fn + esc로 계산기를 사용할 수 있는게 신의 한수 였지 않나 싶습니다. 난장판인 책상에서 계산기 찾기 쉽지 않은데 윈도우에서 바로 처리되니 편리성이 극대화 되네요^^","['https://phinf.pstatic.net/checkout/20201124_261/16061973892714EBrW_JPEG/review-attachment-4f16a721-fac8-40c8-8200-e6935598ad6d.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201124_202/160619738938947tRI_JPEG/review-attachment-754f992c-eb25-4668-999a-ef0f702c01f3.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201124_119/1606197389136fOWCI_JPEG/review-attachment-b64c25e1-a586-457e-bd99-e46e0b9ffd0f.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201124_176/1606197389331zqL1I_JPEG/review-attachment-76719d41-4526-4741-b5a5-e26b57becc5d.jpeg?type=f287']"
5,사실 계속 눈여겨보다가 세일한다는 소식듣고 그냥 냅다 결제해버렸습니다!! 키감 쫀득하니 너무좋고 매크로기능 지원에 블루백라이트도 마음에 들어서 너무 100프로 만족입니다!! 이제 키패드를 샀으니 키보드도 텐키리스로 바꿔야겠어욥!!!!!,"['https://phinf.pstatic.net/checkout/20201123_249/1606099654377G0JeS_JPEG/review-attachment-cdb184b8-13cc-4bda-863b-c2311c615c6c.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201123_239/16060996659334WOhj_JPEG/review-attachment-fdd80ad8-759e-464a-a695-f1fc046f322e.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201123_102/1606099667703SFU4G_JPEG/review-attachment-042a8f4b-0cac-47fd-8085-462fd10c7f75.jpeg?type=f287']"
5,"회사에서 작업중에 일반형 키보드 쓰다가 너무 자리차지를 많이해서 무선 텐키리스 키보드를 사용하고 있습니다. 텐키리스에 무선이다보니 자리차지를 거의 안해서 아주 좋습니다.

그런데 평소에는 괜찮은데 한번씩 숫자 칠 일이 생길때마다 작업속도가 확 느려져서 짜증이 나더군요. 그래서 다시 일반형 키보드를 쓸까 하다가 키패드를 사서 써보기로 생각하고 찾던 중에 이 제품을 구매하게 되었습니다.

기계식은 청축만 써봐서 다른 축으로 사용하고 싶기도 하고, 사무실에서 쓰기때문에 청축보단 적축으로 구매했습니다.

제품 포장상태는 좋구요. . LED도 나와서 보기좋고, 무엇보다 적축은 처음 사용해봤는데 처음에는 조금 어색했는데 쓰다보기 괜찮더군요. 누르는 느낌은 적지만 .

허브에 연결해서 사용중이라 쓸 때 마다 켜서 사용하고 있는데, 사용 안할때는 한쪽에 치워두고 해서 자리차지도 많이 안하고 좋습니다.

. 제품 추천드려요~~","['https://phinf.pstatic.net/checkout/20200102_73/157795002227007Os2_JPEG/KakaoTalk_20200102_144312026_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200102_97/1577950022481FA39I_JPEG/KakaoTalk_20200102_144312026_02.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200102_20/1577950022678OrxyD_JPEG/KakaoTalk_20200102_144312026_03.jpg?type=f287']"
5,"크기도 모양도 딱 필요한 키만 배열되어있는점도 아주 만족스럽습니다. 특히 이 가격에 아주 만족스럽습니다.
FN+ESC로 계산기를 불러내는 기능은 아주 요긴하게 잘 쓸것같습니다. 가끔씩 계산기 필요할때가 있는데 그때마다 윈도우키->계->엔터 순으로 띄워서 사용했는데 키 두개만 누르면 바로 뜨니 만족스럽습니다. 소음문제때문에 적축을 골랐는데 소음문제도 만족스럽습니다.","['https://phinf.pstatic.net/checkout/20201121_254/16059509490632njeV_JPEG/review-attachment-3b0aa70a-37aa-40a9-a4dd-cb25aac4bb14.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201121_169/16059509572027XG4U_JPEG/review-attachment-d7ae12eb-5433-4285-a8f6-f34e926cc251.jpeg?type=f287']"
5,"(방금 움찔한사람 꺼토미하세요)
기존 오테뮤가 쓰레기지만 키캡 다 뽑아서 스위치 오일링하고 스테빌 윤활시키면 매우 좋와짐니다 저는 키캡이 집에 남아돌아 키캡까지 손봤고요 그냥 대충 사용하실거면 이렇게 까지 안하셔도 됩니다 led는 고냥고냥 눈에 잘보이는 정도에요",['https://phinf.pstatic.net/checkout/20200826_181/159842889913634gou_JPEG/review-attachment-58a204b0-d9fd-496a-a154-6f27f205e076.jpeg?type=f287']
5,"와 계산기 매크로 있는게 신세계네요!!
탠키리스 키보드를 쓰다보니까 문서작업할때 불편해서 엄청 싼 탠키 사용하고잇었는데 높이가 원래쓰던 탠키리스 키보드 대비 너무 낮아 불편했습니다. 그런데 이거는 진짜 키보드랑 높이도 딱 맞고 계산기 매크로가 진짜 편했어요",['https://phinf.pstatic.net/checkout/20201121_121/1605926840312Bc43o_JPEG/review-attachment-da42ff2a-9e71-44e2-9ac4-bda4ef04b6a9.jpeg?type=f287']
3,"배송은 빨라서 좋았습니다만 제품 포장 겉면에 파손에 대비할만한 에어캡 등등이 되지 않아 제품을 받아볼 때 조금 내구성에 대해 의심을 가지게 되는 부분입니다.
모든 키 테스트 결과 별 이상이 없는 것을 확인하였지만 전자기기 특성상 이러한 보완책은 필요하다고 느껴집니다. led 불빛도 정상적으로 작동합니다. 다만, 통울림이 심하고 스프링 소리도 심합니다. 리뷰를 몇개 읽어보니 적축이나 갈축이나 통울림 스프링 소리등에선 비슷하다고 하는 군요. 잘 생각해서 구매하시길 추천드립니다.
저는 개인적으로","['https://phinf.pstatic.net/checkout/20191011_9/1570772764371Gd5KJ_JPEG/1570772754503.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191011_173/1570772795783TH0oN_JPEG/1570772782107.jpg?type=f287']"
3,"오테뮤 방진(박스)축 사용.
체리식 스테빌(하이브리드 아님)

장점
1. 기계식
2. 탈착식 C타입 USB
3. LED OFF

단점
1. 스프링소리, 무 흡음제, 아주쪼끔 스테빌 윤활
2. 가벼운 무게

총평
1. 최소한 분해후 흡음제 작업, 무게추 작업(동전 실리콘 고정), 스테빌 철심 윤활, 스위치 스프레이 간이 윤활 필수입니다.
2. 작은 숫자 키패드 지만 기계식 기보드 윤활 및 잡소리 제거 공부용으로는 최고에 키보드 입니다.",[]
