star_point,comment,photo
4,"스나이퍼 같은 조용함, 부드러운 터치감, 만족스런 디자인. 아이락스 키보드와 함께한 10여년. 실망시키지 않는 품질에 감사 드린다. 기계식 키보드의 딱딱 거리는 느낌과 터치음을 좋아하는 사람들이 있지만... 사무실이나 혹은 야밤에 딱딱 거리며 키보드 치는건 그다지 좋지 않을듯 하다. 아이락스처럼 소리없는 암살자(?) 스타일이...~^^. 새로 구입한 K01W(그레이) 는 기존에 쓰던 KR6402 모델보다 높이가 살짝 높아졌다. 그래서인지 방향키 등을 연속해서 누를때 키보드 가운데 부분이 아래로 들썩이는 느낌이 있다. 가운데 지지해주는 볼록이(?)가 필요할지 생각나게 한다. 검은색을 사려다 회색 바탕에 흰색 키가 달린 제품으로 했는데 디자인은 꽤 맘에 든다. 오래쓰면 때가 탈듯 하지만.. 그래서 키스킨은 2개나 샀는데... 생각보다 뻑뻑해서 일단 벗겨서 사용한다. 덮었을때도 터치감이 부드러웠던 적이 있었는데... 쉽지.않은 모양이다. 이번 모델과 이 앞모델 둘다 키스킨 터치감은 별로다. 키보드 자체야 뭐... 말이 필요 없지만.^^",[]
4,"세련되보이고 두께가 얇아요. 키보드는 조용하긴 한데,
일반적인 키보드보다 높이가 낮아 아직은 낮설어요...
너무 납작해서 하단부의 버튼 누를때 약간 불편합니다.
(책이라도 고여야 하는지 원 )
익숙해지면 괜찮을까요???
어쨋던 디자인은 세련되 보여요,
한자키가 스페이서 좌측에 있는것도 맘에들고요
버튼배열도 익숙한 구성이라서 마음에 듭니다.
많이 판매하세요..",[]
5,"그동안 쓰던 제품이 단종되어서 일주일동안 두종류의 키보드 구매했다가 품질 미달로 폐기. 많은 우여곡절 끝에 아이락스로 구매했는데 그나마 다른 제품들보다는 낫네요. 상판 바디가 지문, 먼지가 잘 달라붙어서 무광이면 더 좋았을걸 하는 아쉬움이 있습니다. 작은 사이즈로 쓰다가 보통 사이즈로 바꾼지 얼마 안되어서 아직 100% 적응은 못했지만 차차 나아지겠지요. 오염방지하려고 키스킨을 별도 구매했는데, 부드러운 실리콘 재질이 아니라 엄청 뻣뻣해서 키도 뻑뻑하게 눌리고 손가락에 과도한 힘이 들어가다보니 피곤하고 오타도 많이 나서 키스킨은 비추천이네요. 키보드 사용안할때 덮개로나 써야할거 같아요~;; 장패드는 매우 유용하게 잘 쓰고 있습니다. 암튼 당분간은 키보드 고민안하고 써도 될거 같아요. 번창하세요!",[]
5,원래 쓰던건데 일하다가 커피도 많이 쏟고 커버를 벗겨버리고서 먼지랑 뭐가 많이 들어갔는지 밑에 라인 자판이 어느 순간 안눌러 지네요~되다 안되다해서 불안해서 주문했더니 도착한날 안되어서 바꿨어요~정말 다행^^사이즈가 정말 딱 좋아요~저는또 화이트로 주문했어요~블랙으로 해볼까도 했었는데 모니터가 화이트라 또 깔끔한 화이트로ㅋ이번엔 커버도 시킴~잘쓸게요~,[]
5,"원래 블투 키보드 연결해서 쓰다가 동글이가 오류가 잘 나길래, 새로 샀습니다. 팬터그래프 형식을 좋아해서 샀는데, 나쁘지 않네요. 근데 사이즈가 제 손엔(좀 작은편이에요) 조금 커서 한동안은 오타가 잦을 것 같아요 익숙해지겠죠 뭐ㅎㅎ배송은 빨랐습니다!",[]
5,키보드를 좀 세게 누르는 편이라 조용한 사무실에 신경쓰여서 샀어요..저소음이라 소리 조용하고 엔터키도 커서 좋네요.100점 만점 99점 드립니다ㅎㅎ모자란 1점..딱 하나 단점이 전원버튼인데 키보드 닦거나 하다가 실수로 눌러버리는 경우가 생기네요.무선키보드가 아닌데 버튼이 왜있는지 모르겠어용..ㅋㅋ,[]
5,키보드 키스킨 끼우고 쓸 생각에 2개 샀는데 좋아요ㅋㅋㅋ검색해보고 사무실에서 쓸 조용한 타자소리 위주로 골라서 팬타그래프 형식의 키보드라고 해서 구매했는데 좋네요ㅋㅋ진짜 타자 마구 쳐도 소리가 잘 안나고 좋습니다아마 이게 고장나도 재구매 할 거 같다 생각할 정도로 소리 안나고 자리 많이 차지 하지 않고 좋네요~,[]
3,소음을 싫어해서 조용한 키보드를 선택한 것이 이것입니다. 지금 MSI 노트북 쓰는데 노트북에 있는 키보드처럼 완전히 조용하지는 않습니다. 노트북은 쫀쫀하게 소리를 먹는 반면 이것을 달그닥거리는 소리는 조금 납니다. 노트북에 있는 펜타그래프에 비교할 정도는 안 되구요. 멤버레인에서 조금 조용한 정도. 거의 비슷하다고 느끼기도 해요. 근데 이 키보드의 단점은 누르는 것이 얇아서 오타가 굉장히 많이 나네요. 그리고 엔터키를 요즘은 저렇게 크게 안 하고 \ 표시와 나누어 하고 많이 쓰는 백스페이스를 길게 하는 편인데 이 키보다는 옛날 방식으로 엔터키를 2칸에 두어서 요즘 키보드 쓰다가 적응하기는 조금 힘드네요. 긴 백스페이스 키는 4번째 손가락으로 누르게 되는데 이런 키보드 형태는 백스페이스를 새끼 손가락으로 누를 수 밖에 없는데 새끼 손가락 자체가 힘이 없는 손가락이라 백스페이스를 누르려고 할 때 잘 안 눌러져요. 이거 익숙해 지려면 상당한 기간이 걸릴 거라고 생각해요. 장정이라면 외형적으로 아주 간결하면서 이뻐요. 화려하고 반짝이는 거 좋아하는 분들은 그렇지 않다 생각할 수 있지만 저처럼 간결한 거 좋아하는 분들은 아주 깔끔하다 생각할 거예요. 조용하기도 하고 이쁘기도 한데 이 글을 쓰는 현재도 이 키보드는 오타가 너무 심해요. 몇주 됐는데 아직도 백스페이스에 적응이 안 되요. 백스페이스만큼 자주 사용하는 키도 없는데 왜 이리 만들었는지 이해가 안 되네요. 결론적으로 말하면 저 이 키보드 추천하지 않아요. 오타가 심한데 백스페이스 누르기가 너무 힘이 들어요. 그러나 적응할 생각이라면 추천해요. 저도 잘 안 되긴 하지만 이왕 산 거 적응하려고 노력하고 있는 중이예요.,[]
5,"사진은 넣고 싶었지만 차단을 시켜 못하겠구, 아뭏든 이번 구매전에도 아이락스 서넛 제품 써본 결과 슬림형 팬타그래프인가 그 스타일들이 괜찮았고 기존 옛날 형식은 좀 그러햇던것 같습니다. 여튼 가격이 아주 저렴한건 아니지만 사용성을 따진다면 추천할만한 제품이긴 합니다.",[]
5,구입하고 바로 다음날 배송.. 감동입니다. 원래 구입하려던 슬림 모델 아니고 이걸로 착오 구매했는데 사무실에서 하루 종일 키보드 붙잡고 일하고 있는 직업이거든요. 근데 쫀득쫀득한 키감에 넓직해서 전에 쓰던 기계식 키보드 생각이 전혀 안나니오. 멤브레인 방식도 정말 좋습니다. 적극 추천해요!,[]
