star_point,comment,photo
4,"이전에 쓰던 키보드는 sks 810c 삼성키보드로 정말 만족하면서 사용했는데 단종되면서 남아 있는 제품 몸값이 너무 올라 포기하고 구매후기와 주변 지인 추천으로 아이락 제품한번 사봤어여... 첫 느낌은 . 쓰던제품 보다는 덜 부드러워요. 디자인 작업하면서 최대한 손가락힘을 덜 낭비해야해서 최대한 부드럽고 조용한걸 추구하고 있는데...일주일 정도 사용결과. 가성비로 따지자면 아이락이 더 좋네요. 이가격에 이정도 퀄이면. 나무랄때 없어요. 스킨 안씌워도 소음 거의 없고 기울기 조정이 안되지만 굳이 조정할필요 없을듯, 손목무리 거의 없어요 저는. 가격좀 더 받고 더 부드러운 버젼도 있엇으면 좋겠습니다.",['https://phinf.pstatic.net/checkout/20200903_203/1599099837452ml3Ho_PNG/review-attachment-2c3c47a6-c8b1-4f65-9ff9-7a5d1e2339a7.png?type=f287']
3,"\ 역슬래쉬(won 키) 가 보통 엔터키 옆에 있지 않나요? 이거는 아예 위로 올라가서 숫자행에 있네요, 자~주 누르는 키가 아니라서 크게 상관은 없지만...그래도.. 이부분에서 -점수구요.
노트북 키감이라고 후기에서 봤는데 노트북 키감보단 살짝 더 반발력이 있어요. 좀 더 별롭니다. 그래서 여기서 또 실망..해서 -점수.. 싸니까 그냥 씁니다 ㅎㅎ 저는 힘없이 눌려도 타다닥 잘 쳐지는 키감을 좋아하거든요..

색감이 로지텍 키보드랑 비교하라고 올려봤는데 채도가 훨씬 있어요. 찐한 딸기우유색 느낌. 저는 채도 낮은 인디핑크 쪽이 취향인지라 여기서도 조금 마이너스 ^^ 허허
이 키보드 선색으로 만들면 더 좋았을텐데. 선색이 키보드보다 좀더 연한 딸기우유색이라 예뻐요.

단점만 썼는데 그럼에도 이 키보드가 나름 괜찮다고 생각하는 이유는 가격 ~~! 가격이 싸니까 환불 귀찮고 해서 그냥 씁니다.
저렴한데 예쁘고 노트북 키감같은 키보드 찾으려니 꽤힘들더군요..그럼 이만.^^","['https://phinf.pstatic.net/checkout/20200406_234/1586126983981043dV_JPEG/1586126970233.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200406_162/1586126995945RoAqK_JPEG/1586126986570.jpg?type=f287']"
1,"최악입니다! 이 판매자 제품 구매하지마세요....
상품받자마자 키 불량이라 사진찍고 꼼꼼하게 재포장해서 교환신청했는데…정상이랍니다.. 추가 as신청은 제가 직접 본사에 연락해서 불량판정 받으라고 하네요…판매자 대응도 제가 거짓말한다고 생각하시는것 같아 동영상 첨부까지 합니다…
소비자 우롱하며 판매하지 마세요… 장난합니까? 다시 교환요청하려다가 똑같이 기분 나쁘게 대응하실 것 같아서 어이가 없어서 구매확정합니다… 그리고 정상작동한다고 동영상보내주신다고 했는데 확인해보세요…1초가 동영상입니까?
돈 날린것도 기분 나쁘지만 기분이 매우 나쁘네요 네이버에도 정식적으로 영상첨부해서 신고하겠습니다","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_07_12_0/7a707a9c-c390-11ea-a425-48df379ccacc_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200712_221/1594483625631gdKL4_JPEG/review-attachment-a3cf8b5f-f3a2-42bf-9b0f-67ef5fa5ba83.jpeg?type=f287']"
5,"배송 엄청 빨랐는데
선물용으로 주문한거라 후기가 늦었어요;;

우선 핑크색이라 귀엽습니다 ㅎㅎ
배색들어간 키보드로 하려다
기계식 아닌애들 중엔 배색있는게 잘 안나오기도하고
받는 분이 쓰던 키보드브랜드라고 하셔서
믿고 주문했어요.

같은회사 다른 기종을 거의 7년정도 사용했다고 하셔서 ㅋㅋㅋ

핑크라 귀엽고 조용한 편이에요
숫자키패드가 꼭 필요했는데 예쁘면서 숫자키패드있는 조용한 키보드...란 기준에 딱 떨어지네요 ㅎㅎ

더 오래 사용해야 확실히 알겠지만..
우선 지금까진 만족이라고 하네요 ㅎㅎ

다른 후기처럼 커버는 약간 (미끄럽달까...) 아쉽지만ㅋ","['https://phinf.pstatic.net/checkout/20201120_61/1605860763281iRhWN_JPEG/review-attachment-b2a71cdf-6310-4933-89ce-52737d4bf2a6.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201120_74/16058607742984qNpm_JPEG/review-attachment-53fe5e9d-00b0-496c-9a53-98622b0bbc32.jpeg?type=f287']"
5,강아지가 키보드에 오줌을 싸서 (?) ....... 다시 샀어요 ㅋㅋㅋ 원래 쓰던거라서 불편함 없어요. 낮다고 하시는데 저는 적응되서 다른걸 못쓰겠어요. 계속 계속 단종되지말고 만들어주세요! 다른 판매처는 뽁뽁이 포장도 돈 받던데 여긴 이중 포장으로 안전하게 잘 받았어요!!!!! 다음에도 고장나면 또 살거예요. 많이 파세요 ❤️❤️❤️,"['https://phinf.pstatic.net/checkout/20200828_126/1598575761404d89hr_JPEG/review-attachment-f876e03e-92f3-43fc-b91a-5e17dcf34452.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200828_278/1598575764197kOrJL_JPEG/review-attachment-ec60dcf9-8c90-45c8-b197-2d2aac60dfad.jpeg?type=f287']"
5,"집에서 작업용(디자인) 컴터로는 아이락스6170쓰는데
회사에서는 다른거 한번 써볼까 하고 산건데,
뭐 무난하게 잘 쓰고있습니다. 일단 사무실에서 사용하는데 키보드 소음이 없어서 더 좋고, 그래도 사용감은 확실히 6170이 좀 더 낫긴해요 요거는 약간 노트북에 키 같은 느낌적인 느낌~ 둘다 장단점은 있는거 같아서 ㅎ.ㅎ 만족!",['https://phinf.pstatic.net/checkout/20200822_30/1598022396502KpOQs_JPEG/review-attachment-234cf868-3f4c-478b-9556-7c3cde986574.jpeg?type=f287']
3,"다른키판에 비해 소음이 적은건 맞습니다만 저소음이라고 하기엔 좀 애매한것 같고, 키스킨없으면 소리 많이납니다. 그런데 키스킨이 좀 두껍고 둔탁한편이라 벗기고 써야해서 저소음 생각하시면 안될듯요. 저는 키스킨을 안쓸때 먼지방지 덮개정도로만 생각해서 구매했기때문에 괜찮습니다만.. 제일 아쉬웠던점은 지우기 키가 일반 정사각의 키판과 같은 사이즈라는 겁니다. 보통 지우기키는 두배정도 되는데 말이에요 ㅠ 그게 제일 아쉽네요. 노트북키감보다는 힘이들어가는 편이지만 괜찮은 편입니다.",['https://phinf.pstatic.net/checkout/20200504_43/1588551671859ioLyd_JPEG/beauty_20200503221430.jpg?type=f287']
2,"아이락스 IRK25RP인가 그거 망가져서 좀 저렴한이걸 샀는데요, 아이락스 키감은 호불호가 있지만 저는 좋아서 계속사용중인데, 이게 뭔가 키의 위치가 살짝 다르다고 해야되나? 하루에 8~9시간씩 키보드쓰는 사람으로써 뭔가 이게 살짝 더 넓다고 해야되나 뭐라해야되나 살짝 불편한느낌이있어요ㅠㅠ그냥 기존에 사용하던거 살껄 겁나 후회중임...흑.... 뭐 기능적으로는 문제없어요 그냥 개인적으로 아이락스 IRK25RP이게 훨씬 괜찮은것같습니다.",['https://phinf.pstatic.net/checkout/20200710_149/1594345090145jnq6T_JPEG/review-attachment-8ed2a693-3eae-4cdb-83fa-3126600b7a55.jpeg?type=f287']
5,"키스킨 씌우면 뭔가 잘 안눌러져서 키스킨 벗기고 쓰고 싶은데 깨끗하게 쓰고 싶어서 ㅠㅠ 씌우고 사용중입니다.
슬림키보드 처음 써보는데 아직 적응이 안된건지 잘 안눌려지긴 합니다. 그래도 뭔가 공간 적게 차지하는 느낌들어서 좋아요",['https://phinf.pstatic.net/checkout/20201104_28/16044704290068Jjy5_JPEG/review-attachment-ccc72f68-fb4e-47ab-a863-aef9b72eeae7.jpeg?type=f287']
4,"노트북 한 대만 8년을 써서 기계식 키보드는 도저히 쓸 수가 없습니다. 다른 키보드보다야 훨 낫지만 역시 힘은 주어야 해서, 버릇대로 누르다가 자꾸만 오타가 생깁니다. 다른 자판도 스페이스 바처럼 부드럽게 눌린다면 참 편하겠지만, 인제부터 적응해나가야지요. 한자 키가 왼쪽 하단에 있는 것이 불편할 수 있으니, 참고하세요. 한글과 알파벳이 비슷한 크기로 새겨진 것은 마음에 듭니다.",[]
5,"좋아요 그 전에는 KR-6170 쓰다가 이 제품 발견하고 사봤는데 예쁜거는 이게 더 제 스타일이에요
키감은 아직 익숙해지는 단계인데, 사무용으로는 정말 최적인듯해요!
소음이 진짜 적구 다른 리뷰 보니 키스킨 없는게 편하다고 하시는데 일반 키보드 쓰시던분들은 키스킨 쓰고 사용하는게 편하실거에요.
강추강추",['https://phinf.pstatic.net/checkout/20200520_175/1589930029736D1lmp_JPEG/KakaoTalk_20200519_140642719.jpg?type=f287']
1,"이용한 지 1주일만에 컨트롤키 찌걱 찌걱 이상 소음 나네요 싼 맛에 1~2년 대충 쓸 사람, 신경 예민하지 않은 분만 사세요
이전 버전인 알루미늄 본체 키보드 후속작
8년 째 쓰고 있어서, 브랜드 생각나서
싸니까 샀는데 이전 버전만도 못하네요","['https://phinf.pstatic.net/checkout/20200322_176/1584847537636YWJHN_JPEG/20200316_195939.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200322_61/15848475376031sy2S_JPEG/20200316_195930.jpg?type=f287']"
