star_point,comment,photo
5,"멤브레인 답게 키 누르는 느낌이 정말 부드러웠고
소음도 기존에 사용하던 사무용 키보드에 비해서 훨씬 적습니다.
다만 백스페이스 키만 조금 유별나게 시끄럽네요
다른 키들이 워낙 조용하다보니 조금만 소리가 커도 크게 들렸는데
백스페이스 키는 소리가 꽤 큽니다.
이런저런 단점도 몇 가지 보이는 키보드지만 배송비 포함 2만원 초반대로 살 수 있고 무난무난하니 가볍게 쓸 수 있는 제품이 아닐까 싶네요.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_05_27_0/95fba8e0-9f71-11ea-bf97-505dac8c37f3_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200527_144/1590512074098G78zn_JPEG/20200526_185910.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200527_199/1590512073801WkURY_JPEG/20200526_185314.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200527_102/1590512073802SGNat_JPEG/20200526_185139.jpg?type=f287']"
5,"기계식에 체리니 무슨축이니 복잡하다.
소음이 적은걸 고르자니 넘나 비싸고 그래서 찾은 요녀석 가격이 싸서 가벼워서 들썩거리고 디게 씨끄러울거 같았다. 의외로 제법 묵직해서 제자리에 고정도 잘 되고 생각보다 소음도 적었다 키감 안따져서 이정도면 치는맛은 있지라고 생각됨.","['https://phinf.pstatic.net/checkout/20200616_287/1592249662444Xer1M_JPEG/15922496290021953113975743745142.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200616_186/1592249686160qAaqp_JPEG/15922496659644796440156430474677.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200616_57/1592249718887nzfc1_JPEG/15922496892068528852441174279302.jpg?type=f287']"
5,1년만에 후기 쓰네요 ㅎ 바로 어제 12월 31일 도착했거든요 !!! 배송 진짜 빨라서 덕분에 즐거운 게임 할 수 있을 것 같아요!!! 키보드 성능도 너무 좋고 무게감이 있어서 안정적으로 할 수 있을 것 같습니다 ㅎㅎ 판매자님 새해 복 많이 받으시고 번창하세요!!,"['https://phinf.pstatic.net/checkout/20200101_267/1577853590911V8oNI_JPEG/CCEA2F58-230E-4811-B46A-1B78B152FA6A.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200101_186/1577853592379lCNK4_JPEG/1E94DB62-580A-4856-B9FC-83E594441070.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200101_243/1577853593669V7Un5_JPEG/F7187E44-BBB1-4E39-B2DD-1455530C3590.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200101_229/15778535938551QHzF_JPEG/0A9ED54A-5716-4334-B54A-8037D5243D02.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200101_282/15778535945576x1n1_JPEG/B0EFAB9B-CBB4-4925-BA6D-C63CB1CC4FF9.jpeg?type=f287']"
4,"배송 느리지 않았고 포장 상태도 좋았습니다.
노트북 사용하다가 넘어왔는데 나쁘지 않아요~ 백스페이스 키가 확실히 키감이 좀 다르네요. 일부러 그렇게 해두신 것 같아요. 기계식의 통통 튀는 키감을 원하시는 분은 안 맞을 것 같지만, 저는 (저렴한 가격대의) 기계식이 너무 시끄럽기도 해서 오히려 만족합니다. 소리는 아주 크지 않은 편이고 (노트북 사용하셨으면 크다고 느끼긴 할 거예요.) 키감도 부드러워요. 노트북과 기계식의 중간 정도라고 생각하시면 좋을 듯 합니다.
LED 별로 안 좋아하는데 사용해보니 또 나쁘지 않네요. 온오프가 가능해서 더 부담 없는 것 같습니다.
엄청 무거운 편이라 미끄러질 것 같지는 않고요.",['https://phinf.pstatic.net/checkout/20200531_194/1590860520173ErVTs_JPEG/159086048978571424551170194225.jpg?type=f287']
5,"엔터키 빼고 다 좋아요.
엔테키 ㄱ자 엔터였으면 좋았을텐데..
그외에 타감이랑 밝기 집에서 쓰기 무난하고 가성비 좋아요. 저는 기계식보단 플랜저식 타감이 더 좋더라구요
아이락스 키보드만 4개 구매했습니다~
집에 두개 사무실 두개 ㅎㅎ",['https://phinf.pstatic.net/checkout/20201113_46/1605231362825TgVv3_JPEG/review-attachment-f774304c-5d12-4723-a646-629579aeff24.jpeg?type=f287']
5,"사용하던 기계식키보드가 고장나서 AS 맡기는동안 쓸 서브키보드로 구입했는데, 생각보다 키보드가 단단하게 고정되고 키감도 부드럽게 써져서 업무용으로 계속 사용할까 생각중입니다! 청축같은 기계식 키보드 생각하시면 당연히 눌리는 키감의 경쾌함이나 손에 걸리는 느낌은 적은데, 키감이 나쁘지 않고 타건소리도 비교적 조용한 편이고 이정도 가격이라면 가성비갑인정해야 할것같아요ㅎㅎ 오랜만에 멤브레인 키보드 사용하니가 느낌이 새롭네요! 아쉬운점이 한가지 있다면 키보드가 화이트 버전도 있었던데 ㅠㅠ 지금은 단종됐는지 없다는것 정도..?? 화이트버전 다시 나오면 좋겠어요 ㅠ",['https://phinf.pstatic.net/checkout/20200205_272/1580893294119GE7g6_JPEG/1.jpg?type=f287']
5,"오오옹!! 사무실에서 사용하기 딱 좋아요. 막 시끄럽지도 않고, 키감도 부드럽고. 직접 수령하러 갔더니 친절히 물건을 내주셔서 더더욱 좋았습니다.
키감 진짜 부드러워요. 블랙색상이라 때도 안타고, LED 색상도 다양하게 나와서 은은하게 겜방에서 키보드 치는 느낌이네요~
키보드가 무광이라서 더욱더 부드러운게 딱 좋아요! 이런거 찾았습니다!!!!",['https://phinf.pstatic.net/checkout/20200601_163/15909915686878sU4J_JPEG/KakaoTalk_20200601_150510312.jpg?type=f287']
5,"이건 다좋다


그런데 딱 한가지만 단점이있다

난 발로란트라는게임을하는데

쉬프트를 누를때가 잦다

그런대 키보드가 좀 뭉툭하다해야하나

다른키보드랑달라서 쉬프트누르면 컨트롤도 같이눌릴때가있다던가 암튼 다른거 누를때도 난 이거라생각했는데 다른버튼이 눌릴때가있음 생각했던자리랑 겹쳐서

그거빼곤최고임 잘쓰는중",['https://phinf.pstatic.net/checkout/20200711_18/1594449510518MCAim_JPEG/review-attachment-d4a1d88b-6d34-4cfa-9474-25959106172c.jpeg?type=f287']
5,와 키보드 그전꺼 단종된거 쓰고 있었는데 괜찮아서 이걸로 골랐는데 첨에 막 시작키 3번에 한번 열리길래 ...? 아 ㅋ .... 이랬는데 그뒤에 시간 조금 더 주니깐 잘 되서 다행이예요 화이트못사서 좀 아쉬웠는데 블랙도 나름 본새나네요 ~~ 한달 후에 고장 안나면 리뷰 남길게요,['https://phinf.pstatic.net/checkout/20200522_196/1590143657713tInca_JPEG/20200522_193133.jpg?type=f287']
3,"요즘 아무리 코로나때문에 문제라고는 하지만
비대면 발송이라고는 하지만
네이버로 인한 배송예정이라고 멘트만 확인했을뿐
택배기사님께서 사전에 연락도 없고
집에 사람이 있었는데
있는지 없는지 확인 정도없이
문도 두드리는거 없이 현관문 옆에
갖다 놨다놓기만 하고 갖다 놨다는 문자도 없었다는게
좀 아쉽네요!
확인 안했으면 왔는지 안왔는지도 모를뻔 했네요!
요즘 택배물품 몰래 가져간다는 사람들도 많은데 말이죠~",['https://phinf.pstatic.net/checkout/20200418_5/1587142428543uGLSw_JPEG/KakaoTalk_20200418_015329631.jpg?type=f287']
3,배송 잘 받았습니다. 전체적인 디자인도 맘에 들고 튼튼한 것 같습니다. 근데 자판 글자가 제대로 인쇄가 안됐다고 표현을 해야하나요..잘 안보이는 글자가 몇개 있네요. 어차피 자판을 보고 타이핑하는건 아니니까 그냥 넘어갈 만 합니다. 처음에 넘버락 눌러도 오른쪽 상단 불 표시가 안나길래 불량인가 했는데 몇 번 연타하니까 나옵니다. 그냥 저렴한 가격에 쓸 만 한 것같네요.,['https://phinf.pstatic.net/checkout/20191010_158/1570689503355IHYRa_JPEG/CF17D2F4-577A-441D-9A3A-61BF262E008E.jpeg?type=f287']
5,"아이락스 사용중, 컴퓨터한대더 구입하면서 같은제품찾다가 안보여서 구입하게됐어요, 전체 네온이라 좀 거릿김들었지만 실물보니 괜찮네요~! 아이락스가 좀 무거운데 타자만질땐 부드럽고 튼튼하게 무난한게 좋은거같아용! 잘슬게요",[]
4,이정도 가격대에 묵_직한 멤브 LED 달린 키보드 찾기 어렵죠하나 아쉬운점은 각인의 마감과 LED가 각인 윗부분까지 밝게 비추지 못해 아쉽네요(대부분의 저렴한 키보드가 이부분 마감이 아쉽습니다) 키감은 맴브답게 고무실리콘 느낌입니다. 글자쪽 키감은 묵직하지만 backspace 나 엔터쪽은 살짝 가벼운 느낌입니다.그리고 설명서에 한글이 없습니다. 영어로만 되어있고 설명서상 HQ가 대만으로 나와있네요 아이락스 한국기업인줄 알았는데 해외기업인가봅니다(?)그러나 가격이 다 용서가 되지요...,"['https://phinf.pstatic.net/checkout/20190209_97/1549712311581gu9GW_JPEG/KakaoTalk_20190209_203627848.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20190209_217/1549712311894KsFvz_JPEG/KakaoTalk_20190209_203633032.jpg?type=f287']"
5,좋은데 살짝아쉬움 추석앞두고 cj택배가 버뮤다 삼각지대인ㅋ 옥천hub를 단번에 뚫고 하루만에 와줘서 감동했어요~에어포장추가 안했는데 뽁뽁이처리가 되어있어서 다행이었구요!근데 F2위에 흠집도 살짝보이고..F키 7.8.9.10번이랑 숫자키 8.9.0번은 위가 살짝 짤려있는게 완벽한 제품은 아니네요.싼맛에 그래도 만족합니다,"['https://phinf.pstatic.net/checkout/20180921_258/1537513177356eFwHb_JPEG/PRREW_74709087198910050.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180921_139/15375131986993EyzQ_JPEG/PRREW_9098522327393180218.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20180921_118/15375132062855EKe7_JPEG/PRREW_863771636520343814.jpg?type=f287']"
5,"키보드 진짜 무겁네요 ㅋㅋ 상품평에서 보고 키보드가 무거우면 얼마나 무거울려고 했는데ㅋㅋ 무게감있어서 딱 고정되니 좋아요
근데 키보드 덮개를 키보드 스킨으로 알고 구입했는데.. 앞으로 키보드 신경써서 깨끗이 써야겠어요
전체적으로 키감도 좋고 색도 알록달록 이뻐서 좋아요~ 근데 엔터키가 시프트키보다 작은게 좀 함정이네요",['https://phinf.pstatic.net/checkout/20190917_247/1568702832629GXTEK_JPEG/834857FA-F0DB-44D5-90EA-F4AF1A5720C1.jpeg?type=f287']
4,백스페이스키가 유난히 요란한 소리를 내네여. 이것도 뜯어서 봐야 하나 싶고... 글고 먼가 전체적으로 깨끗한 편이지만 누가 교환반품한 제품 같기도 하고요^^^ 와 완전 새삥이다! 같은 느낌은 별로 안 나서 별 하나 뺍니다. 외관과 백스페이스키 말고는 괜찮습니다 열심히 겜 하는 중,[]
5,전천후로 10년 쓸 생각하고 엄격하게 심사함 기존 키보드에 맥주 엎어서 구입했는데 가성비가 훌륭합니다 저가 멤브레인 키보드인데 기대보다 완성도가 높아요-통짜로 만들어진 내부 상판과 일체형 러버돔 그리고 하단의 배수구로 생활방수 가능-기존 입증된 K10 시리즈 케이스를 그대로 쓴거 같음-무게와 강성을 위한 내부 금속판-엘이디 싫어하는데 끌 수 있음역시 믿고 사는 아이락스 입니다 앞으로 키보드는 비프렌드에서 나오는 제품 애용해야 겠어요,['https://phinf.pstatic.net/checkout/20180719_241/1531966033936pKOLk_JPEG/PRREW_800936782609861129.jpg?type=f287']
2,사용한지 4주만에 고장나서 다른 키보드로 바꿧네요처음 살땐 문제없고 가성비가 좋아서 괜찮다고 생각했는데정말 다른것도 아닌 물 몆방울 키보드에 들어갔는데LED색깔이 바래고 키보드가 씹히네요내구성이 좀 그닥인거같네요 물 몆방울 들어갔다고 LED색이 바래서..,['https://phinf.pstatic.net/checkout/20190301_51/1551417042939K0r19_JPEG/%C5%B0%BA%B8%B5%E5%B8%AE%BA%E4%BF%EB.jpg?type=f287']
5,빠른배송감사^^ 당일출고되서 담날 도착햇네요 감사^^흰색도 예쁠거같은데 없어서 아쉬웟어요 키스킨이 없으니 때타는 거 때문에 블랙이 나을지도..키보드는 묵직하고 키감은 가볍고 부드러운 편이에요 기계식 딸깍거리는거 싫어하시는분들 갠찮으실거에요피방에서 마니쓰는거라네요ㅎ만족합니다 마니파세요,['https://phinf.pstatic.net/checkout/20180904_148/1536054410501F4a5p_JPEG/PRREW_2996537147417794835.jpg?type=f287']
4,만족합니다 대체적으로 이정도 가격에 퀄리티며 엘이디도 이뿌게 잘들어옵니다!타자소리도 적당히 크지도않고 좋구요!다만 사진에보이듯 키보드에 글자 및 기호등이 윗부분이 조금씩 짤린듯하게 보이네요ㅠㅠ 쓰는데는 전혀 지장없어요!잘쓸께요~!,['https://phinf.pstatic.net/checkout/20181010_234/1539175152248tdns7_JPEG/PRREW_4104796511502676458.jpeg?type=f287']
