star_point,comment,photo
4,"윈도우 로그인 속도가 아주 빠릅니다.
윈도우 10 Hello를 잘 지원해서 특별한 프로그램 없이 윈도우 10 기본 기능으로도 로그인에 문제가 없습니다.
사진과 같이 지문인식 센서가 작은 편이라 검지 손가락을 등록시켜놓으면 더 편합니다.",['https://phinf.pstatic.net/checkout/20191022_62/15716782544301VAUo_JPEG/20191022_021351.jpg?type=f287']
4,배송도 정말 빠르고 좋아요. 지문인식 센서가 조금 더 컸으면 좋겠어요,"['https://phinf.pstatic.net/checkout/20190917_32/1568714212943VDsJ9_JPEG/0B224AC5-E244-4746-81F2-D456A9C3C77B.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190917_38/1568714213426xtliW_JPEG/5F1F5575-B32E-40B0-9BEF-08CB65D6FEE4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190917_15/1568714214673kXANL_JPEG/EEDABD78-9990-4A5C-83FB-C19FCF5188A4.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190917_94/15687142146813TMVH_JPEG/943ABFC9-8EA0-4A34-B225-ABD5A4361E09.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20190917_111/1568714217443B3m8q_JPEG/BFBADDA7-B71A-463C-B127-EB535A793FF0.jpeg?type=f287']"
5,사무용으로 조용하고 좋네요. 지문인식도 잘 작동합니다.,['https://phinf.pstatic.net/checkout/20201127_225/1606446303307DoUwh_JPEG/review-attachment-7d307a52-660b-4fc6-ad7a-bb5fdcb17438.jpeg?type=f287']
5,"생각보다 더 부드럽구 좋으네요
키보드 여러개 주문해서 이것도 맘에 안들면 어쩔까 싶엇는데 너무 만족합니다
배송두 아주 빨랏어요 굿굿",['https://phinf.pstatic.net/checkout/20201117_139/1605577802553lWljE_JPEG/review-attachment-819c9b85-3b6d-482d-8d34-8f9871b12efa.jpeg?type=f287']
3,반응이 살짝 아쉽네요,['https://phinf.pstatic.net/checkout/20201023_161/1603457928165K0d4p_JPEG/review-attachment-85dfde75-b67a-416f-9967-cb4216c6b482.jpeg?type=f287']
5,키감도 좋고 지문인식도 잘되네요,['https://phinf.pstatic.net/checkout/20200912_104/1599909074137iHHkS_JPEG/review-attachment-1fc83b38-69f6-482a-8ade-c7f5c42b68e8.jpeg?type=f287']
5,회사에서 쓰려고 주문했으요 좋아요,[]
5,사용전이예요 사용하고 리뷰 가능하면 할께요,[]
5,사무실에서 쓰고 있는데 타자치는 느낌이 좋네요,[]
5,가성비 좋아요.타자감 좋구요!,['https://phinf.pstatic.net/checkout/20200604_92/1591237956652fauJm_JPEG/KakaoTalk_20200604_113201512.jpg?type=f287']
5,감사합니다 빠른배송 좋아요 감사합니다 빠른배송 감사합니다,['https://phinf.pstatic.net/checkout/20200729_194/1595949475825kVcgH_JPEG/review-attachment-46386393-6311-4648-b063-e340ed78daaa.jpeg?type=f287']
2,자판이 잘 안눌리고 불편해요 키스킨도 구할수가없네요. ㅠ,['https://phinf.pstatic.net/checkout/20200527_266/1590555372973SSWrr_JPEG/DE5FF54B-FA71-4CE9-AA9A-A6D21594C7BE.jpeg?type=f287']
5,아주 좋아요 잘 쓰고있어요,['https://phinf.pstatic.net/checkout/20200526_12/15904869499334lNSX_JPEG/1590486939168.jpg?type=f287']
3,아이락스 키보드 슬림형으로 오래써왓는데....모든제품군에 지문기능을 추가한 버전으로 출시해줬음 좋겠다....키감이 불편하긴 하네....,[]
5,좋네요 좋아요 좋요,[]
5,감사합니다 만족합니다,[]
5,제 손이 이상해서 그런가 소리는 쫌 큰데 이런 키보드 좋아해서 괜찮았어용 ㅎㅎ 포장도 잘 되어있었고 여러모로 만족스럽습니다,['https://phinf.pstatic.net/checkout/20200403_252/1585921377422q9pjI_JPEG/36F418B1-2539-4C8C-A0C5-95D4BD715024.jpeg?type=f287']
4,맘에들어여 키스킨이 없는게 아쉬워요 단종된건가요 구할수가없내여ㅠ,['https://phinf.pstatic.net/checkout/20200315_177/1584274580959maJfr_JPEG/image.jpg?type=f287']
5,"지문인식도 빠르고 키감도 좋아요
사무용으로 딱",[]
5,감사합니다 만족합니다 감사합니다 빠른배송 좋아요,['https://phinf.pstatic.net/checkout/20200416_142/1587033827291AWWFG_JPEG/5EC1A951-2A85-45DA-AF30-94A1B2F6AF70.jpeg?type=f287']
5,"지문 인식으로 빠른 로그인, 파일 암호 설정 등 좋아요~ 타이핑 느낌도 괜찮구요~ 추천 합니다","['https://phinf.pstatic.net/checkout/20191022_253/1571697967650SWm2H_JPEG/image.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191022_114/1571697986903VQSIn_JPEG/image.jpg?type=f287']"
4,키보드 부분고장이있었는데 빠른교환 감사합니다.,[]
5,진짜부드럽고좋음!!!,[]
1,스페이스바키가 눌려서 잘안올라오네요 그래서 뜯어봣더니 스프링이 한쪽만있던데 이게 정상인건지 모르겠지만 눌려서 글쓸때마다 스페이스바를 몇번을더눌러서 빼야돼는상황 돈버렷네요,[]
4,지문인식이 아주 편하네요ㅎㅎ,['https://phinf.pstatic.net/checkout/20200120_249/1579486590548cjwQm_JPEG/20200120_111447.jpg?type=f287']
4,배송빠르고 지문인식 잘 되서 좋네요.~,[]
5,아주좋아요~~ 잘쓰고있습니당,[]
5,빠른 배송 감사 합니다,[]
5,물건 잘 받았습니다. 키보드는 좀 더 써봐야겠네요,[]
5,배송 빠르고 키보드 깔끔해서 좋네요,[]
5,퀵때문에 신경써주셔서ㅠ감사합니다,[]
5,재구매했습니당~ 쓰기너무좋아용,[]
5,좋습니다 추천합니다 ^^,[]
5,지문인식 기능이 있어 편해졌어요,[]
5,"좋아요~~~~~~~~~~
지문인식짱",[]
5,보안용도로 사용중인데 좋습니다.,[]
5,기본 키보드입니당 일반적인,[]
5,쓰기아주편합니당 지문인식도신박하고,[]
4,디자인도 멋지고 버튼사용이 편리해요,[]
