star_point,comment,photo
5,"무난하게 쓰기 좋은 키보드라고 추천 받아서 샀는데요, 진짜 군더더기 없고 딱 좋아요ㅋㅋㅋ 소리 하나도 안 크고(키스킨 씌움), 하얘서 깔끔하고, 무겁지 않고, 선 길이 적당해요. 저같은 무난맨에게 강추합니다.
참고사항 몇 개 적을게요!
ㅡ백스페이스 키가 제가 평소에 쓰던 노트북 키에 비해 조금 멀리 있어서 처음에 당황했어요. 막 천만 리 떨어져 있는 건 아니라 금방 적응할 것 같긴 한데 생각보다 그 한 칸이 손에 힘을 더 들게 만드네요 신기함.
ㅡ키보드에 전원 버튼이 있는데 키보드 전원 아니고 연결한 컴터 전원입니다~
ㅡ노트북 Fn키는 활성화되지 않아요 저는 볼륨이랑 화면 밝기 조절할 때 펑션 키로 하는데 그땐 노트북에 직접 눌러야 하더라고요!
ㅡ오른쪽 마우스 키 있어요 원래 노트북에서도 안 쓰지만ㅋㅋㅋ 키보드로 모든 작업하시는 분들한텐 편하지 않을까요
ㅡ윈도우 키가 두 개나 있어요 저는 하나로도 충분한데 그렇다고 없애고 그 자리에 뭐가 있으면 좋았을지 말하라면 딱히 떠오르는 건 없네요

키스킨 증정이 구매처 여기로 정한 이유인데, 나중을 위해 하나 더 살까했더니 그렇게 빨리 닳지 않는다고 해서 그냥 증정되는 것만 받았어요. 문의 답변, 배송 다 빨랐습니다.","['https://phinf.pstatic.net/checkout/20200418_168/1587171623096K7FDy_JPEG/81869FA1-B071-4EEA-88D8-D50E8F036A86.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200418_8/1587171623209rel0V_JPEG/8FF11DBB-A79F-4843-BA6E-50F03F83CA93.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200418_142/1587171623204tMVGz_JPEG/E8A26C88-2866-4AEC-9FF3-AC53936079AD.jpeg?type=f287']"
5,"가성비로 유명한 이유가 있었네요. 회사에서 싸구려 멤브레인 쓰다가 손 피로도가 너무 높아서 펜타그래프 검색해서 샀는데, 팬타그래프 중에서는 키보드 높이가 높은 편이라고던데 멤브레인 쓰다 와서 그런지 오히려 적응하기 편했어요. 타자음은 아예 없는 건 아니고 키 치는 잘각잘각 소리가 들리긴 하지만 이 정도면 사무실에 딱 맞아요. 대만족입니다^^ 다만 키스킨은 없느니만 못했어요... 키보드에 착 달라붙는 부드러운 키스킨이 아니라 뻣뻣한 비닐 재질 같은 스킨이라서, 위에 씌우면 키가 잘 안 눌릴 정도로 키감이 떨어지고 바스락거리는 소리까지 나요. 컴퓨터를 많이 쓰는 회사라서 키스킨을 씌우고 쓰는 편인데, 이건 그냥 없이 쓰다가 망가지면 새 키보드를 사는 게 낫겠다 싶어요.",['https://phinf.pstatic.net/checkout/20200925_114/1601037678935DyzsI_JPEG/review-attachment-53999150-4957-463e-aa7b-abff812da328.jpeg?type=f287']
4,"펜타그래프 키보드 찾다가 아이락스 꺼로 샀네요. 많은 키보드 들 중에서 정말 많이 고민했는데 후기가 좋길래 한번 사봤습니다. 생각보다 소음이 정말 작더라구요 노트북 키보드 같습니다. 일반 펜타그래프 키보드는 너무 낮아서 살짝 별로였는데 이건 딱 적당한 높이 여서 좋네요. 전체적인 느낌은 일반 멤브레인 키보드 같은데, 쳐보니까 펜타그래프다 하는 느낌입니다. 일반 펜타그래프 키보드 보다는 살짝 키압이 높은 편인데 멤브레인보다는 키압이 낮습니다. 전체적으로 매우만족입니다! 아참 키스킨은 원래도 안좋아해서 그런지 매우 불호였습니다.

+lg그램은 키보드에 있는 전원버튼 누르면 종료가 아니고 절전모드가 되더라구요. 더 좋았습니다. 그리고 키보드에 글씨가 각인이 아니고 프린팅이여서 조금 아쉽네요",['https://phinf.pstatic.net/checkout/20200911_121/1599802699851qKvF7_JPEG/review-attachment-a37cd018-cf64-4025-b3cd-d598ca8c6683.jpeg?type=f287']
3,상품평이 좋아서 구매 했는데 타이핑시 예상보다 어깨가 많이 아파요. 반반력이 생각보다 커요. 그래서 조금 치면 어깨에 나도 모르게 힘이 들어가게 되네요. 우선 소리는 아주 작아요. 제가 원하던 타이핑 감이 아니라 조금 실망 스럽지만 다 뜯어서 사용한지라 반품은 못할 것 같아서 그냥 쓰려구요. 우선 뒤에 다리를 올리고 각도 조절을 하면 좀더 괜찮은 것 같구요. 보내주신 키스킨은 변경된건가 봐요. 화면이랑 다르네요. 저는 개인적으로 키스킨안하고 하는게 타이핑시 힘들지 않네요. 키스킨이 하드한 편이라 장착하고 사용하면 더 힘이 들어갈 수 밖에 없어요. 상품평이 워낙 좋아서 구매했는데 좀 실망이네요. 역시 실물을 사용해 보고 사야하나봐요. ㅠㅠ,[]
4,"저소음 키보드가 필요해서 구입했습니다.
조용합니다.
키감도 괜찮은 편이고 피로도도 덜해요.
그런데 백스페이스가 너무 작아서 자꾸 다른 키를 누르게 됩니다. 백스페이스 좀 큼지막하게 만들어 주세요.
스페이스바도 길면 좋겠습니다. 자꾸 한/영을 누르게 됩니다.
약간 힘이 들어가면 흔들릴 때가 있어서 내구성이 걱정되는 부분이 있습니다.
인디케이터는 계속 불량이지만 크게 불편하지는 않습니다.
이 키보드 단점 보완해서 새로운 버전 나오면 좋겠습니다. 그리고 다른 색상도 만들어 주세요~","['https://phinf.pstatic.net/checkout/20200705_193/1593918356387u40aH_JPEG/review-attachment-ec9195d4-90bc-4725-8a9f-d10590ec3fcb.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200705_17/1593918356317VHw1V_JPEG/review-attachment-927d7352-6110-498b-a97c-98f956bda969.jpeg?type=f287']"
4,"장점은 다른 리뷰와 비슷합니다. 무게감이 있어서 키보드가 고정이 잘 되어있고, 키보드 높이가 낮아서 손목에 무리가 가지 않습니다. 다만 단점은 생각보다 키가 뻑뻑하고 키가 튕겨올라오는 힘이 커서 세게 눌러야 한다는 점입니다. 처음엔 불편했는데 점점 키가 풀리면서 부드러워지는 듯하여 조금 더 지켜봐야할 거 같아요. 가격 대비 가성비가 좋아요.",['https://phinf.pstatic.net/checkout/20200929_56/1601338477998ppbDu_JPEG/review-attachment-72dc19e6-a2d8-46ca-98bf-b36b5ab3fb73.jpeg?type=f287']
3,"손목이 아파서 부드럽고 가벼운 키감을 기대하고 샀는데 실패한 것 같아요. 키감이 폭신하다기 보단 납작하고 딱딱하네요. 가로 길이가 꽤 멀어서 저같이 손이 작은 사람은 한영키와 back space나 delete키까지 한번에 닿지 않고, 왼쪽에 한자키는 제가 익숙하지 않아서 그런건지 alt키 누를 때 자꾸 누르게 돼서 오타가 생깁니다.",['https://phinf.pstatic.net/checkout/20200922_225/1600750634218yzFUf_JPEG/review-attachment-786ef9b3-99fa-418c-9dbe-9db7b0b1bea9.jpeg?type=f287']
5,"펜타그래프 키보드는 처음 써보는데 저처럼 처음 쓰는 분들은 적응하는데 조금 시간이 걸릴수도 있습니다.왜이렇게 치는데 힘이 들지? 하는 사람들은 일반키보드치듯이 치려니까 그런걸겁니다. 노트북 쓰시는 분들은 쉽게 적응하겠죠. 오히려 시간이 지나면 힘을 완전히 빼고쳐도 될정도로 타자작업에 특화되었다고 하네요. 아무래도 눌러서 입력되기까지 버튼이동거리가 짧으니까 당연하겠죠. 키보드를 세게치는분들은 손에서 힘을 빼는 습관을 들이셔야 할겁니다. 세게치면 바닥판을 때리기 때문에 손가락이 더 힘들수 있다고 합니다.

아무래도 키가 튀어나온 일반키보드보다는 구분감이 떨어질 수는 있습니다. 저같은 경우에는 키보드를 의식하면서 1시간 정도 쳐보니 이제 오타는 안 내고 적응이 되네요.

블랙으로 샀는데 유광인데 생각보다 고급스럽습니다.
실제로 쳐 보니 예상한 느낌보다 더 부드럽고 좋네요.

일단 단 한가지 불만은 백스페이스가 일반 버튼과 크기가 같아서 조금 아쉽습니다. 오타를 낼경우에 백스페이스를 누르려다가 \\\\ 이렇게 쓰게 되는경우가 종종있습니다. 이것때문에 별 하나 빼고 엔터키가 커서 별하나 다시 올렸습니다. 백스페이스랑 엔터는 가장 많이 쓰는 버튼이고 가장 공들여야 하는 부분이라고 생각하니까요.
차기작이 나온다면 이 부분은 보완해야 할거같습니다.
그 외에는 딱히 문제가 없습니다. 모든 버튼 테스트해봤지만 잘 작동하구요.

이걸 살까 아니면 검증된 구버전모델을 살까 고민했는데 이걸 사기 잘한거같습니다. 아무래도 전작보다 그런지 책상위에서도 정말 컴팩트하고 좋습니다. 컴퓨터 전용책상이 아니다 보니 커다란 기계식 키보드를 쓰다보면 좀 부담스럽고 다른 작업할때 굉장히 걸리적거렸는데 이건 가볍고 작아서 책 옮기듯이 옆으로 들어다 놓으면 되거든요.

아무튼 대만족입니다. 내구도가 잘 버텨줬으면 좋겠는데 전에 아이락스 멤브레인 키보드를 쓰다가 너무 고장이 안나서 의도치않게 7년넘게 사용한 기억이 있어서 믿습니다. 그 키보드는 지금도 비상용으로 남겨 뒀습니다. 제가 키보드를 자주 바꾸는게 5만원 넘는 기계식 키보드들도 상대적으로 저가 모델들은 버튼연속입력이 끊기거나 두번씩 입력되는 등 오래 버티지를 못하더라구요. 돌고 돌아 아이락스입니다.",[]
4,"타건감이 가볍고 좋아요. 타이핑할때 피곤감이 정말 적은것 같아요. 다만 키의 높이가 낮고 가벼운 느낌이기때문에 DT35등 멤브레인이나 기계식 키보드 등의 깊이감, 서걱거림 등의 재미는 없지만 오~래 타이핑을 해야할 때. 그럴 때는 정말 피곤함 없이 잘 사용할것 같아요.
함께 오는 키보드스킨은 키보드에 착 달라붙지는 않아서 그냥 먼지 방지차원에서 얹었다고 생각하면 좋을듯 싶습니다.
마치 삼선 슬리퍼처럼, 진짜 하나 구비하고 있으면 좋겠다 싶을 키보드에요 ㅎ_ㅎ",['https://phinf.pstatic.net/checkout/20200715_135/1594798165636qiRLw_JPEG/review-attachment-0f761a0e-79da-42bf-98bc-a8ee115c7312.jpeg?type=f287']
5,"편한 사용감으로 유명하여 사용해보게 되었어요. 타건 소리도 조용해요
비닐 안 씌운게 더 편하긴 한데 구조가 숙달되면 비닐 씌워도 될것 같아요. 원래 하나 보내주시는 줄 모르고 추가구매 하긴 했지만.. 첫번째거 헹구는 동안 두 번째꺼 이렇게 교대로 쓰면 되겠죠 모;; ㅎㅎ 키보드 위에서 뭘 먹어서.. 쩝 암튼 좋은 제품인것 같습니다! 키보드에 컴퓨터 전원 버튼은 왜 들어있는지.. 모르겠지만.. 부디 작업하다가 사용할 일 없길 바라며 리뷰 마쳐봅니당",['https://phinf.pstatic.net/checkout/20200614_7/15921428726267b6rC_JPEG/IMG_8839.JPG?type=f287']
