star_point,comment,photo
4,"화면에서 본대로 깔끔하고 소리도 크게 들리지 않아 조용한 사무실에서 사용하기에 좋은 것 같네요. 일부러 키보드를 세게 쳐봤는데도 그렇게 크지 않네요. (영상에서 확인해주세요)
기존 키보드보다 키의 깊이가 좀 더 깊은지 타자 칠 때 더 아래로 눌러야 하는게 아직 적응이 안됩니다.
개봉하자마자 봤는데 여기저기 잔기스들이 많이 있어서 사진으로 찍어보려 했는데 흰색에다 형광등 불빛까지 더해지니 사진상에는 나타나질 않아 올리진 못합니다. 조립하다 생긴 잔기스이겠거니 하고 그냥 사용하려고 합니다.","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2020_08_08_0/743daa9e-d90a-11ea-95a5-505dac8c38f5_03.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_144/1596844981774zQ8bd_JPEG/review-attachment-24587359-00d4-42af-afb2-e777000ce537.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_14/1596844981813nUI7t_JPEG/review-attachment-c8e628cd-6dac-47ec-9d24-a2ed94111499.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_104/1596844981860YJ1Pz_JPEG/review-attachment-8946de1d-c2db-4ce5-becf-d23975bb85b2.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200808_16/1596844982190lRu4X_JPEG/review-attachment-e18df67a-d2d7-490e-8461-e58ec658087f.jpeg?type=f287']"
4,"솔직히 키감은 안좋아요 기존에 기계식 쓰다 써서 그런가 좀 뻑뻑하고 한번 눌릴때 안눌릴 때가 있어요 특히 스페이스바는 정중앙 아닌곳 누르면 안눌리는 일 간혹 있음
진짜 디자인보고 사서 디자인보고 쓰는거라 사용감은 어느정도 포기했으나 아쉽긴 하네요 글을 많이 쓰는 편이라서 키감이 안좋은게 이렇게 피로할지 몰랐어요 ㅠㅠ
구매하고 하루이틀지나고나서 갑자기 키가 안눌려서 전화해보니
포트를 바꿔끼면 괜찮다고 해서 황당했으나 진짜 그렇더라구요 ㅋㅋ
아무튼 그냥 저냥 싼맛에 쓰기 괜찮아용
키랑 밑에 공간이 많이 비어서 더러워지긴함요 ㅠㅋ","['https://phinf.pstatic.net/checkout/20200625_51/15930554350522pi2C_JPEG/DSC_0228.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200625_220/1593055435628y3eze_JPEG/DSC_0230.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200625_10/1593055435631ABawM_JPEG/DSC_0231.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200625_276/1593055435639WORLC_JPEG/DSC_0240.JPG?type=f287', 'https://phinf.pstatic.net/checkout/20200625_194/1593055435626pkfcK_JPEG/DSC_0233.JPG?type=f287']"
5,"(1)
디자인 : 핑크색 키보드 사고 싶었는데, 색감이 너무 예뻐요! ( 베이비 핑크 생각하시면 될 것 같습니다!)

(2)
사용감 : 원형 형태의 버튼을 처음 써봐서 그런지, 처음 쓸 때엔 오타도 잦고 불편한 점이 있긴 했어요ㅠㅠ 그런데 요 키보드 쓰다 보면 금방 적응할 것 같습니다.

(3)
키보드 소음: 버튼 누르는 소리는 많이 납니다! 저는 집에서 쓰는 거고, 원래 . 그런데 회사에선 사용하시는 거면 조금 눈치 보일 수도 있을 것도 같아요!

(4)
가격 : 오프라인몰에서 봤다가 온라인에서 검색해서 샀는데 훨씬 싸더라구요! !",['https://phinf.pstatic.net/checkout/20201115_69/1605436866241QC294_PNG/review-attachment-ce890ff4-b012-4dc6-9c5d-53921a5ff814.png?type=f287']
3,포장은 너무 말끔하게 왔는데 키보드 버튼에 짜잘짜잘 이상한게 많이묻어왓어요;; 그냥 문지를면 안지워지고 알콜로 닦으니 좀 지워지네요. 여기 새상품파는곳이 아닌가요...? 지워도 잔기스가 있어서 좀 그렇지만 급하게 필요해서 산거라 그냥 쓰려구요 글을 쓰다보니 궁금해지네요 박스개봉시엔 교환환불이 어렵다고 적혀잇던데 요렇게 새상품이 어디에 쓸린듯한 흔적이 있는 상품을 받았을때 교환을 해주시는지? 궁금하네요,"['https://phinf.pstatic.net/checkout/20200320_36/15846906256922UtSU_JPEG/9FAB7A10-5731-424A-A2C3-7A7C8F01CE28.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200320_198/1584690625554VrX5P_JPEG/9643B2EF-085D-479D-BF15-3440D9AE3904.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200320_60/1584690625952uE1a9_JPEG/755FBC52-6032-48D2-A6AA-DC6C7CD4EE0B.jpeg?type=f287']"
4,"사용하던 무선키보드와 마우스 사용감이 너무 좋지 않아서 유선키보드와 유선마우스를 찾던 중에 디자인이 예뻐 주문했었네요~ 사용 전에 동그란 모야의 키감이 어떨지 몰라서 살짝 고민은 했지만 사용해보니 불편하지 않았어요~ 금방 익숙해지더라구요~
10일정도 사용했는데 기존에 사용하던 제품보다 훨씬~ 맘에 들어요~
좀 더 사용해보고 한달 후기 작성할께요~","['https://phinf.pstatic.net/checkout/20201030_98/1604036671200vzLcF_JPEG/review-attachment-ed33c5ba-1f21-42eb-94ca-5746fd4c5610.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20201030_142/1604036671212dM2og_JPEG/review-attachment-466eca2f-450c-456d-9109-90d6b7551062.jpeg?type=f287']"
5,"사무실에서 쓰려고 주문했는데 너무 예뻐요^^ 노란색이 이주 상큼해요. 키감도 부드럽고 좋습니다! 손이 굉장히 편해요. 컴팩트한 타입은 아니라서 크기는 살짝 있고요, 동봉된 양면테이프? 조각은 어디에 쓰는 건지 궁금해요. 오른쪽에 찍힘같은 지워지지않는 얼룩이 조금 있지만 ㅠ 시선이 닿지않는 곳이라 그냥 쓰려고요. 좋은가격 좋은제품 빠른배송 모두 감사합니다:)","['https://phinf.pstatic.net/checkout/20200207_49/1581010257810F9rfz_JPEG/AE77B0BB-676A-4AF6-890F-F238C80B1D1D.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200207_126/15810102581084eNQx_JPEG/635CC96A-3986-48D1-8252-E84A27C2605B.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200207_300/1581010258159Vjz81_JPEG/A0D1DCC7-CAB4-466F-BAE6-F54315F96B41.jpeg?type=f287', 'https://phinf.pstatic.net/checkout/20200207_60/1581010259390gLxb0_JPEG/4FBC79BB-20A0-4F1C-8D11-D4A78C245A46.jpeg?type=f287']"
3,"만족스럽습니다.
다들 손목이 아프다고 하는 이유를 이해하지 못했는데 한번 사용해보니 원래 사용하던 대로 쓰면 키보드 판 자체가 두꺼워서 다른 키(맨 아래 줄)가 눌리더군요. 적응해봐야 알겠지만 자판 많이 써야되는 분들에게는 조금 불편할수도 있을거 같아요!","['https://phinf.pstatic.net/checkout/20200408_180/15863415318137j1vz_JPEG/1586341516397.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200408_229/1586341623945txwAg_JPEG/1586341610661.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20200408_76/1586341913963gfjiD_JPEG/1586341872195.jpg?type=f287']"
4,"2달 가량 써봤는데요
한달 리뷰 댓글에 소음 있다고 했을 때
처음엔 별로 없는 것 같은데? 했지만
계속 써보니 확실히
빨리 치면 소음 꽤 느껴집니다.

그리고 손목 받침대 없이 오래치면
한 6시간(?) 후 쯤에 손목이 엄청 아픕니다.
타자 치면서 이런 거 못 느껴봤는데
턱이 높은가봐요.

아 그리고 게임할 때
스페이스가 불편한 점
문서 타이핑 할때는 괜찮은데
게임할 땐 좀 거슬린다 느껴질 정도되네요.


쓰다보니 단점만 있지만
보통 불편한게 기억이 많이 남잖아요 ㅎ;
그래도
가격 대비 쓸만하다고 생각됩니다~!",[]
5,"솔직히 사기 전에 걱정 많이 했는데 전 생각했던 것보단 훨씬 좋아요! 워드 작업 용으로만 필요해서 최대한 저렴한 것 중에 예쁜 거로 고른 건데 맘에 드네요. 저는 타건감 예민한 편도 아닌데다가, 전에 썼던 키보드가 워낙 뻑뻑했어서 오히려 이건 부드럽게 느껴질 정도예요. 집에서 혼자 써서 그런지 소리도 크게 느껴지지 않고요. 동그란 자판이 처음엔 어색했지만 사용하고 한 시간도 안 돼서 적응했어요. 그런데 키보드 높이가 좀 높은 건 사실입니다. 전 손목 받침대 놓고 써서 전혀 문제 없는데 손목 받칠 거 없는 분들은 그거까지 구매 고려하셔야 할 거 같아요. 그리고 디자인은 정말 예쁨... 무슨 장난감인줄ㅋㅋㅋ 핑크색이랑 노란색 중에 고민했는데, 후회 안 해요. 노란색 아주 상큼상큼 합니다ㅎㅎ","['https://phinf.pstatic.net/image.nmv/shopnbuyer_2019_12_14_0/afd03d27-1dd9-11ea-8257-48df37269ee2_01.jpg?type=f287', 'https://phinf.pstatic.net/checkout/20191214_26/1576262515397dm6zP_JPEG/KakaoTalk_20191214_032114332.jpg?type=f287']"
3,"근데 진짜 ,,, 음,,, 색도 생각했던 색이 아니긴 한데 그냥 책상에 올리니까 또 괜찮아 보이네요. 근데 키감이 진짜,,, 열어서 쳐보자마자 이건,,, 뭐지,,,, 싶었네욬ㅋㅋㅋ 뭐 나쁘진 않은데 ,, 그래요,, 그냥 색깔 때문에 산것도 있는데 ,,, 그냥 돈 좀 더 주고 처음 사려던 앱코 기계식키보드를 사는게 나을뻔,,, 했다는 그런 후회도 있지만 ,,, 그냥 핑크로 맞췄다는 그런,,, 좋은 기분을 가지고,,, 잠깐 쓰다가 여유되면 바꿔야겠어요 ,,,ㅋㅋㅋ 색깔, 디자인은 괜춘해요^^ 가끔 치다가 오타가 좀 자주 나서 그렇지 ㅎ 이거 쓰면서도 몇번 지웠음다. 그래도 이뻐요 ^^ 진짜에요 ^^ 하하하",['https://phinf.pstatic.net/checkout/20200626_97/1593174847391zCzm3_JPEG/KakaoTalk_20200626_213134779.jpg?type=f287']
